Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016
Receita líquida,,,,,1460000000.0,1480000000.0,1660000000.0,1880000000.0,1750000000.0,1690000000.0,1730000000.0,2000000000.0,2049999999.9999998,2069999999.9999998,1860000000.0,2190000000.0,2370000000.0,2100000000.0,1810000000.0,1820000000.0,1690000000.0,1600000000.0,1500000000.0,1680000000.0,1500000000.0,1410000000.0,1170000000.0,1210000000.0,1330000000.0,1090000000.0,1110000000.0,1100000000.0,964120000.0,1060000000.0,1030000000.0
Custos,,,,,-1450000000.0,-1480000000.0,-1640000000.0,-2029999999.9999998,-2280000000.0,-2350000000.0,-1820000000.0,-2620000000.0,-2730000000.0,-2420000000.0,-1790000000.0,-2400000000.0,-2760000000.0,-3160000000.0,-1730000000.0,-1210000000.0,-1910000000.0,-1330000000.0,-1480000000.0,-1480000000.0,-1230000000.0,-1030000000.0,-889280000.0,-952100000.0,-1140000000.0,-896820000.0,-862530000.0,-688470000.0,-978210000.0,-890780000.0,-854830000.0
Lucro bruto,260089999.99999997,150700000.0,251910000.0,-156490000.0,2330000.0,-98820000.0,-72710000.0,-151630000.0,-433440000.0,-606400000.0,-162120000.0,-623810000.0,-676200000.0,-348690000.0,71990000.0,-201320000.0,-382300000.0,-1060000000.0,78190000.0,618540000.0,-216530000.0,269970000.0,19130000.0,204100000.0,271830000.0,380570000.0,282210000.0,257079999.99999997,197880000.0,188350000.0,247320000.0,411580000.0,-14090000.0,169300000.0,172710000.0
Despesas operacionais,37200000.0,320000.0,76000.0,-101000.0,99000.0,94000.0,522000.0,53690000.0,24190000.0,-14720000.0,2009999.9999999998,-7430000.0,66000.0,-1390000.0,-408000.0,17710000.0,-1160000.0,-1280000.0,194010000.0,296180000.0,29720000.0,124700000.0,33409999.999999996,3940000.0,27640000.0,33200000.000000004,12730000.0,20970000.0,10260000.0,14400000.0,7800000.0,37050000.0,19650000.0,10440000.0,12700000.0
EBIT,285750000.0,152540000.0,244630000.0,-180260000.0,-6450000.0,-110030000.0,-82080000.0,-102550000.0,-416410000.0,-624260000.0,-165560000.0,-773660000.0,-700780000.0,-513730000.0,-17380000.0,-322190000.0,-467070000.0,-1140000000.0,183010000.0,757690000.0,-253750000.0,272180000.0,-55700000.0,106360000.0,211910000.0,303980000.0,206760000.0,181100000.0,110520000.0,148200000.0,144880000.0,344380000.0,-82060000.0,66040000.00000001,94630000.0
Resultado financeiro,0,158810000.0,133759999.99999999,121140000.0,0,0,40870000.0,40600000.0,63210000.0,0,0,0,249200000.0,95060000.0,101240000.0,-189310000.0,0,0,0,467760000.0,-49170000.0,173560000.0,190290000.0,0,156230000.0,86880000.0,116270000.0,686330000.0,150290000.0,0,174970000.0,186440000.0,0,233650000.0,0
Antes dos impostos,284580000.0,311350000.0,378390000.0,-192530000.0,62960000.0,-86900000.0,-41200000.0,-61940000.0,-353200000.0,-558090000.0,83920000.0,-609070000.0,-451580000.0,-418670000.0,83860000.0,-511500000.0,-359670000.0,-1070000000.0000001,79040000.0,907580000.0,-302920000.0,445740000.0,134590000.0,194790000.0,368140000.0,390860000.0,323030000.0,345890000.0,260800000.0,344480000.0,319850000.0,530820000.00000006,114700000.0,299690000.0,296200000.0
Imposto,-92120000.0,-117240000.0,-141570000.0,86890000.0,-19320000.0,49620000.0,16629999.999999998,51000000.0,139170000.0,200700000.0,19820000.0,238220000.0,295880000.0,211730000.0,-33060000.000000004,-132729999.99999999,144060000.0,413060000.0,-43990000.0,-253150000.0,283220000.0,-48240000.0,43300000.0,60940000.0,-63610000.0,-103530000.0,-69030000.0,-96750000.0,-39270000.0,-112780000.0,-97180000.0,-161200000.0,-48780000.0,-97730000.0,-83830000.0
Op continuadas,192460000.0,194110000.0,236820000.0,-105640000.0,43640000.0,-37290000.0,-24570000.0,-10940000.0,-214030000.0,-357380000.0,103730000.0,-370860000.0,-155700000.0,-206950000.0,50800000.0,-644240000.0,-215620000.0,-656720000.0,35060000.0,654420000.0,-19700000.0,397500000.0,177900000.0,255730000.0,304520000.0,287330000.0,254010000.0,249140000.0,221530000.0,231710000.0,222680000.0,369620000.0,65920000.0,201960000.0,212370000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
