Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,2240000000.0,2000000000.0,1940000000.0,1950000000.0,1770000000.0,1950000000.0,1710000000.0,1980000000.0,2160000000.0,2210000000.0,2130000000.0,2250000000.0,2180000000.0,1970000000.0,1770000000.0,1890000000.0,1780000000.0,1050000000.0,1160000000.0,1490000000.0,1310000000.0,1140000000.0,1070000000.0000001,1260000000.0,1510000000.0,1340000000.0,1260000000.0,1360000000.0,1290000000.0,1140000000.0,1180000000.0,1220000000.0,1160000000.0,1200000000.0,1110000000.0,1190000000.0,1310000000.0,1170000000.0,1220000000.0,1290000000.0,1330000000.0,1180000000.0,1220000000.0,1340000000.0,1640000000.0,1070000000.0000001,1240000000.0,1300000000.0,1310000000.0,967000000.0,1300000000.0,1390000000.0,1140000000.0,1300000000.0,1270000000.0,1060000000.0,1330000000.0,1420000000.0,1420000000.0
Custos,-1570000000.0,-1270000000.0,-1390000000.0,-1440000000.0,-1240000000.0,-1280000000.0,-1050000000.0,-1360000000.0,-1420000000.0,-1440000000.0,-1390000000.0,-1460000000.0,-1430000000.0,-1250000000.0,-1160000000.0,-1280000000.0,-1200000000.0,-778000000.0,-773000000.0,-1170000000.0,-959000000.0,-797000000.0,-791000000.0,-975000000.0,-1080000000.0,-999000000.0,-947000000.0,-948000000.0,-945000000.0,-860000000.0,-921000000.0,-938000000.0,-884000000.0,-919000000.0,-900000000.0,-932000000.0,-983000000.0,-900000000.0,-916000000.0,-1000000000.0,-992000000.0,-883000000.0,-891000000.0,-961000000.0,-1190000000.0,-726000000.0,-848000000.0,-1490000000.0,-793000000.0,-516000000.0,-767000000.0,-930000000.0,-461000000.0,-937000000.0,-951000000.0,-630000000.0,-828000000.0,-1060000000.0,-1110000000.0
Lucro bruto,668000000.0,725000000.0,550000000.0,504000000.0,531000000.0,678000000.0,664000000.0,615000000.0,740000000.0,777000000.0,743000000.0,795000000.0,752000000.0,721000000.0,606000000.0,618000000.0,577000000.0,268000000.0,389000000.0,315000000.0,349000000.0,346000000.0,280000000.0,287000000.0,426000000.0,341000000.0,315000000.0,414000000.0,345000000.0,279000000.0,257000000.0,277000000.0,278000000.0,282000000.0,209000000.0,256000000.0,324000000.0,270000000.0,304000000.0,290000000.0,336000000.0,299000000.0,329000000.0,375000000.0,450000000.0,340000000.0,395000000.0,-188000000.0,515000000.0,451000000.0,538000000.0,455000000.0,678000000.0,364000000.0,318000000.0,434000000.0,505000000.0,362000000.0,315000000.0
Despesas operacionais,3650000000.0,3500000000.0,3210000000.0,2520000000.0,3090000000.0,3460000000.0,2660000000.0,3560000000.0,3220000000.0,2490000000.0,3420000000.0,2720000000.0,2100000000.0,3460000000.0,1950000000.0,3050000000.0,1430000000.0,364000000.0,1040000000.0,3330000000.0,1690000000.0,2290000000.0,2400000000.0,2280000000.0,2500000000.0,1920000000.0,2160000000.0,1180000000.0,2029999999.9999998,1940000000.0,1880000000.0,1590000000.0,1860000000.0,1950000000.0,1770000000.0,1480000000.0,2990000000.0,1780000000.0,1660000000.0,2080000000.0,1960000000.0,1510000000.0,1520000000.0,1510000000.0,1240000000.0,969000000.0,1050000000.0,1620000000.0,814000000.0,762000000.0,812000000.0,-3720000000.0,-3830000000.0,-3750000000.0,-2870000000.0,-6270000000.0,-3480000000.0,-3430000000.0,-2650000000.0
EBIT,4310000000.0,4230000000.0000005,3760000000.0,3020000000.0,3620000000.0,4139999999.9999995,3320000000.0,4170000000.0,3960000000.0,3270000000.0,4170000000.0,3520000000.0,2850000000.0,4179999999.9999995,2550000000.0,3670000000.0,2000000000.0,632000000.0,1430000000.0,3640000000.0,2029999999.9999998,2630000000.0,2690000000.0,2560000000.0,2930000000.0,2260000000.0,2470000000.0,1600000000.0,2380000000.0,2210000000.0,2140000000.0000002,1870000000.0,2140000000.0000002,2240000000.0,1980000000.0,1740000000.0,3320000000.0,2049999999.9999998,1960000000.0,2370000000.0,2300000000.0,1810000000.0,1850000000.0,1890000000.0,1690000000.0,1310000000.0,1440000000.0,1440000000.0,1330000000.0,1210000000.0,1350000000.0,-3270000000.0,-3150000000.0,-3380000000.0,-2550000000.0,-5840000000.0,-2970000000.0,-3070000000.0,-2330000000.0
Resultado financeiro,-398000000.0,-363000000.0,-253000000.0,-290000000.0,729000000.0,-343000000.0,-431000000.0,-548000000.0,-201000000.0,14000000.0,-278000000.0,360000000.0,-184000000.0,115000000.0,-148000000.0,275000000.0,-54000000.0,-44000000.0,-366000000.0,61000000.0,-46000000.0,-19000000.0,-260000000.0,-232000000.0,-63000000.0,-53000000.0,-59000000.0,-82000000.0,-27000000.0,-71000000.0,-34000000.0,-51000000.0,-48000000.0,-54000000.0,-38000000.0,-8000000.0,-28000000.0,-32000000.0,-24000000.0,11000000.0,-35000000.0,-17000000.0,-19000000.0,-32000000.0,-18000000.0,-11000000.0,-21000000.0,-203000000.0,-32000000.0,-46000000.0,-106000000.0,5320000000.0,4179999999.9999995,4900000000.0,4580000000.0,7990000000.0,4700000000.0,4670000000.0,3910000000.0
Antes dos impostos,3920000000.0,3870000000.0,3500000000.0,2730000000.0,4350000000.0,3800000000.0,2890000000.0,3620000000.0,3760000000.0,3280000000.0,3890000000.0,3880000000.0,2660000000.0,4290000000.0,2410000000.0,3940000000.0,1950000000.0,588000000.0,1060000000.0,3700000000.0,1990000000.0,2620000000.0,2420000000.0,2330000000.0,2870000000.0,2210000000.0,2410000000.0,1510000000.0,2350000000.0,2140000000.0000002,2100000000.0,1820000000.0,2100000000.0,2180000000.0,1940000000.0,1730000000.0,3290000000.0,2020000000.0,1940000000.0,2380000000.0,2260000000.0,1790000000.0,1830000000.0,1850000000.0,1680000000.0,1300000000.0,1420000000.0,1230000000.0,1300000000.0,1170000000.0,1240000000.0,2049999999.9999998,1030000000.0,1510000000.0,2029999999.9999998,2150000000.0,1730000000.0,1600000000.0,1580000000.0
Imposto,-39000000.0,-48000000.0,-48000000.0,374000000.0,-68000000.0,-107000000.0,4000000.0,-160000000.0,-109000000.0,-103000000.0,-30000000.0,610000000.0,-140000000.0,-329000000.0,-90000000.0,-87000000.0,-84000000.0,-6000000.0,-14000000.0,-71000000.0,-30000000.0,-136000000.0,76000000.0,85000000.0,-147000000.0,-55000000.0,8000000.0,236000000.0,34000000.0,49000000.0,-165000000.0,85000000.0,38000000.0,49000000.0,7000000.0,52000000.0,60000000.0,-128000000.0,34000000.0,-2000000.0,-53000000.0,3000000.0,-50000000.0,-10000000.0,-16000000.0,-93000000.0,3000000.0,-64000000.0,0,-71000000.0,55000000.0,-576000000.0,239000000.0,-265000000.0,-662000000.0,-696000000.0,-617000000.0,-298000000.0,-439000000.0
Op continuadas,3880000000.0,3820000000.0,3460000000.0,3110000000.0,4280000000.0000005,3690000000.0,2900000000.0,3460000000.0,3650000000.0,3180000000.0,3860000000.0,4490000000.0,2520000000.0,3970000000.0,2320000000.0,3850000000.0,1860000000.0,582000000.0,1040000000.0,3630000000.0,1960000000.0,2480000000.0,2500000000.0,2420000000.0,2720000000.0,2150000000.0,2420000000.0,1750000000.0,2380000000.0,2190000000.0,1940000000.0,1900000000.0,2130000000.0,2230000000.0,1950000000.0,1780000000.0,3350000000.0,1890000000.0,1970000000.0,2380000000.0,2210000000.0,1790000000.0,1780000000.0,1840000000.0,1660000000.0,1210000000.0,1430000000.0,1170000000.0,1300000000.0,1100000000.0,1300000000.0,1480000000.0,1270000000.0,1250000000.0,1370000000.0,1460000000.0,1110000000.0,1300000000.0,1140000000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27000000.0,-29000000.0,-21000000.0,-47000000.0,-32000000.0,-8000000.0,16000000.0,0,0,0,0,0,0,0,0,0
