Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,5390000000.0,4030000000.0000005,5830000000.0,5830000000.0,5770000000.0,5510000000.0,5580000000.0,2470000000.0,904000000.0,656000000.0,1130000000.0,1240000000.0,649000000.0,2400000000.0,6000000.0,785000000.0,916000000.0,1090000000.0,1310000000.0,842000000.0,892000000.0,884000000.0,1500000000.0,398220000.0,2450000000.0,4770000000.0,1080000000.0,2380000000.0,648910000.0,1740000000.0,703220000.0,1010000000.0,1500000000.0,-230550000.0,449190000.0,2250000000.0,1710000000.0,1380000000.0,1260000000.0,1230000000.0,1220000000.0,1010000000.0,1010000000.0,1020000000.0,935410000.0,835030000.0,754120000.0,737800000.0,788050000.0,828340000.0,734300000.0,756430000.0,846890000.0,666970000.0,338200000.0,307190000.0,281170000.0,252790000.0,180300000.0
Custos,-3560000000.0,-3120000000.0,-3410000000.0,-3770000000.0,-4200000000.0,-3710000000.0,-3840000000.0,-2000000000.0,-1080000000.0,-1040000000.0,-1050000000.0,-1100000000.0,-872000000.0,-836000000.0,-846000000.0,-877000000.0,-865000000.0,-894000000.0,-789000000.0,-666000000.0,-574000000.0,-360000000.0,-734000000.0,329790000.0,-1740000000.0,-4420000000.0,-704170000.0,-1430000000.0,-56880000.0,-1060000000.0,-137080000.0,-519500000.0,-623580000.0,854070000.0,782660000.0,-740020000.0,-666940000.0,-451110000.0,-332020000.0,-296850000.0,-266480000.00000003,-279230000.0,-279230000.0,-269720000.0,-270250000.0,-245320000.0,-235100000.0,-291190000.0,-272930000.0,-251670000.0,-222600000.0,-215310000.0,-212250000.0,-169120000.0,-156520000.0,-138560000.0,-110570000.0,-92880000.0,-34010000.0
Lucro bruto,1840000000.0,908000000.0,2420000000.0,2060000000.0,1570000000.0,1800000000.0,1730000000.0,471000000.0,-181000000.0,-380000000.0,73000000.0,138000000.0,-223000000.0,1560000000.0,-840000000.0,-92000000.0,51000000.0,197000000.0,521000000.0,176000000.0,318000000.0,524000000.0,771000000.0,728010000.0,705140000.0,347430000.0,376530000.0,947790000.0,592030000.0,682220000.0,566140000.0,488320000.0,872480000.0,623510000.0,1230000000.0,1510000000.0,1050000000.0,926490000.0,923920000.0,935880000.0,952930000.0,732620000.0,732620000.0,754930000.0,665160000.0,589710000.0,519010000.0,446610000.0,515120000.0,576670000.0,511700000.0,541120000.0,634640000.0,497840000.0,181680000.0,168630000.0,170600000.0,159910000.0,146280000.0
Despesas operacionais,7550000000.0,7420000000.0,5660000000.0,8050000000.000001,5010000000.0,5900000000.0,5070000000.0,7890000000.0,8359999999.999999,7050000000.0,5920000000.0,7560000000.0,5280000000.0,6800000000.0,5880000000.0,7390000000.0,4170000000.0,3600000000.0,717000000.0,9020000000.0,4230000000.0000005,6100000000.0,5840000000.0,6980000000.0,4520000000.0,3360000000.0,4260000000.0,3660000000.0,6400000000.0,3630000000.0,4410000000.0,5890000000.0,3530000000.0,3270000000.0,2690000000.0,3080000000.0,4280000000.0000005,4010000000.0,4810000000.0,4080000000.0,4269999999.9999995,2460000000.0,2460000000.0,3810000000.0,2170000000.0,1820000000.0,1730000000.0,2690000000.0,1940000000.0,1900000000.0,2000000000.0,3060000000.0,2270000000.0,2150000000.0,2340000000.0,3610000000.0,1880000000.0,1970000000.0,2100000000.0
EBIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resultado financeiro,0,-2000000.0,-1000000.0,-1000000.0,-2000000.0,-5000000.0,-7000000.0,0,0,0,0,427000000.0,0,8000000.0,0,131000000.0,0,0,224000000.0,0,0,-15000000.0,15000000.0,0,7800000.0,9960000.0,1090000.0,1100000.0,7810000.0,1000000.0,14810000.0,761000.0,6350000.0,934000.0,13250000.0,970000.0,6220000.0,1010000.0,14320000.0,1070000.0,7460000.0,15290000.0,15290000.0,1020000.0,4000000.0,-2000.0,14860000.0,6170000.0,5100000.0,13130000.0,157000.0,2880000.0,16870000.0,8850000.0,271000.0,556000.0,2089999.9999999998,0,7120000.0
Antes dos impostos,9390000000.0,8330000000.0,8080000000.0,10110000000.0,6570000000.0,7700000000.0,6790000000.0,8369999999.999999,8180000000.0,6670000000.0,6000000000.0,8119999999.999999,5050000000.0,8380000000.000001,5040000000.0,7430000000.0,4219999999.9999995,3800000000.0,1460000000.0,9200000000.0,4550000000.0,6610000000.0,6620000000.0,7710000000.0,5240000000.0,3720000000.0,4630000000.0,4610000000.0,7000000000.0,4310000000.0,4990000000.0,6380000000.0,4400000000.0,3890000000.0,3940000000.0,4580000000.0,5340000000.0,4940000000.0,5750000000.0,5010000000.0,5230000000.0,3210000000.0,3210000000.0,4570000000.0,2840000000.0,2410000000.0,2260000000.0,3140000000.0,2460000000.0,2490000000.0,2510000000.0,3610000000.0,2920000000.0,2660000000.0,2520000000.0,3780000000.0,2060000000.0,2130000000.0,2250000000.0
Imposto,661000000.0,943000000.0,742000000.0,-711000000.0,1060000000.0,901000000.0,982000000.0,-1260000000.0,-38000000.0,802000000.0,999000000.0,-396000000.0,672000000.0,-985000000.0,372000000.0,209000000.0,392000000.0,1040000000.0,422000000.0,-930000000.0,404000000.0,402000000.0,-115000000.0,-1040000000.0,105270000.0,690690000.0,903880000.0,-295910000.0,-1130000000.0,644650000.0,814510000.0,-1470000000.0,558580000.0,782470000.0,338130000.0,148490000.0,352860000.0,137640000.0,-203010000.0,3220000.0,-380310000.0,147830000.0,147830000.0,-519030000.0,160620000.0,175300000.0,216410000.0,-721200000.0,312950000.0,220350000.0,258670000.00000003,-601360000.0,191540000.0,234340000.0,353690000.0,-725420000.0,272420000.0,-14310000.0,-336000.0
Op continuadas,10600000000.0,10370000000.0,10040000000.0,8950000000.0,8470000000.000001,8930000000.0,7530000000.0,7560000000.0,8119999999.999999,7610000000.0,6950000000.0,7030000000.0,6390000000.0,8740000000.0,6220000000.0,8189999999.999999,5100000000.0,-1900000000.0,3680000000.0,8710000000.0,5500000000.0,6690000000.0,6900000000.0,6860000000.0,6330000000.0,5890000000.0,6560000000.0,4510000000.0,6060000000.0,6650000000.0,6010000000.0,5940000000.0,5620000000.0,6320000000.0,5700000000.0,5140000000.0,9300000000.0,5930000000.0,5780000000.0,6430000000.0,5980000000.0,4840000000.0,4600000000.0,4950000000.0,4320000000.0,3770000000.0,3490000000.0,2930000000.0,3450000000.0,3330000000.0,3480000000.0,3090000000.0,4000000000.0,3810000000.0,3700000000.0,2400000000.0,3240000000.0,3400000000.0,3460000000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
