Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,110500000000.0,100610000000.0,89150000000.0,96340000000.0,91410000000.0,89380000000.0,86680000000.0,92870000000.0,98930000000.0,92190000000.0,90870000000.0,97190000000.0,92630000000.0,85630000000.0,75250000000.0,76060000000.0,70080000000.0,67580000000.0,56480000000.0,57130000000.0,52180000000.0,50840000000.0,44370000000.0,47320000000.0,49400000000.0,45180000000.0,39780000000.0,42730000000.0,41140000000.0,41670000000.0,37620000000.0,41630000000.0,41170000000.0,43670000000.0,43910000000.0,47160000000.0,43030000000.0,38910000000.0,33820000000.0,34299999999.999996,30780000000.0,28970000000.0,26420000000.0,27220000000.0,24220000000.0,21930000000.0,19530000000.0,21850000000.0,19370000000.0,18470000000.0,16010000000.000002,16930000000.0,15570000000.0,14620000000.0,14670000000.0,14320000000.0,14070000000.0,14120000000.0,12210000000.0
Custos,-92310000000.0,-85090000000.0,-77470000000.0,-85250000000.0,-80360000000.0,-79500000000.0,-79070000000.0,-82180000000.0,-82690000000.0,-76000000000.0,-74500000000.0,-77870000000.0,-73350000000.0,-69150000000.0,-64140000000.0,-64440000000.0,-58280000000.0,-53050000000.0,-49210000000.0,-47910000000.0,-43230000000.0,-42910000000.0,-38530000000.0,-40740000000.0,-41780000000.0,-38190000000.0,-34630000000.0,-36390000000.0,-34290000000.0,-35520000000.0,-33200000000.000004,-35690000000.0,-35820000000.0,-38400000000.0,-39150000000.0,-41470000000.0,-36780000000.0,-33030000000.0,-29040000000.0,-28870000000.0,-25220000000.0,-24710000000.0,-23000000000.0,-23490000000.0,-21090000000.0,-18980000000.0,-17490000000.0,-19410000000.0,-16890000000.0,-16350000000.000002,-14360000000.0,-15040000000.0,-13870000000.0,-13200000000.0,-12980000000.0,-12520000000.0,-12290000000.0,-12370000000.0,-10810000000.0
Lucro bruto,18190000000.0,15510000000.0,11680000000.0,11090000000.0,11050000000.0,9890000000.0,7610000000.0,10690000000.0,16239999999.999998,16190000000.000002,16370000000.000002,19320000000.0,19270000000.0,16480000000.0,11110000000.0,11620000000.0,11800000000.0,14530000000.0,7270000000.0,9220000000.0,8950000000.0,7940000000.0,5840000000.0,6570000000.0,7630000000.0,6990000000.0,5150000000.0,6340000000.0,6850000000.0,6160000000.0,4420000000.0,5940000000.0,5340000000.0,5270000000.0,4760000000.0,5690000000.0,6250000000.0,5870000000.0,4780000000.0,5440000000.0,5560000000.0,4260000000.0,3420000000.0,3730000000.0,3130000000.0,2950000000.0,2040000000.0,2440000000.0,2480000000.0,2120000000.0,1650000000.0,1890000000.0,1690000000.0,1420000000.0,1690000000.0,1800000000.0,1780000000.0,1740000000.0,1400000000.0
Despesas operacionais,-9550000000.0,-9580000000.0,-8130000000.000001,-9320000000.0,-8420000000.0,-8350000000.0,-8210000000.000001,-8199999999.999999,-9230000000.0,-8470000000.000001,-8940000000.0,-10020000000.0,-8350000000.0,-9090000000.0,-6460000000.0,-6910000000.0,-6750000000.0,-6090000000.0,-4970000000.0,-5180000000.0,-4710000000.0,-4440000000.0,-4130000000.0,-4680000000.0,-6850000000.0,-4050000000.0,-3580000000.0,-4530000000.0,-5600000000.0,-3530000000.0,-3370000000.0,-4040000000.0,-3270000000.0,-3560000000.0,-3840000000.0,-4130000000.0,-3360000000.0,-3140000000.0,-2770000000.0,-3370000000.0,-2770000000.0,-2420000000.0,-2290000000.0,-2510000000.0,-1930000000.0,-1660000000.0,-1590000000.0,-1770000000.0,-1520000000.0,-1430000000.0,-1260000000.0,-1350000000.0,-1250000000.0,-1150000000.0,-1170000000.0,-1310000000.0,-1120000000.0,-1050000000.0,-947540000.0
EBIT,8640000000.0,5930000000.0,3550000000.0,1770000000.0,2630000000.0,1540000000.0,-594780000.0,2490000000.0,7010000000.0,7720000000.0,7420000000.0,9300000000.0,10920000000.0,7390000000.0,4650000000.0,4710000000.0,5050000000.0,8439999999.999999,2300000000.0,4040000000.0,4240000000.0,3490000000.0,1710000000.0,1900000000.0,777010000.0,2930000000.0,1580000000.0,1810000000.0,1250000000.0,2630000000.0,1050000000.0,1900000000.0,2080000000.0,1710000000.0,919450000.0,1560000000.0,2890000000.0,2730000000.0,2009999999.9999998,2069999999.9999998,2800000000.0,1840000000.0,1130000000.0,1220000000.0,1200000000.0,1290000000.0,449290000.0,674490000.0,960240000.0,688370000.0,397430000.0,541370000.0,442770000.0,273190000.0,523289999.99999994,485490000.0,654020000.0,691020000.0,451050000.0
Resultado financeiro,-2000000000.0,-3130000000.0,-1730000000.0,-1690000000.0,-1840000000.0,-1670000000.0,-1550000000.0,-2130000000.0,-1500000000.0,-2510000000.0,-210070000.0,-1650000000.0,-1110000000.0,-1150000000.0,-1170000000.0,1150000000.0,-1070000000.0000001,-3230000000.0,-9090000000.0,-260310000.0,-3700000000.0,-697600000.0,-1330000000.0,-564730000.0,-1890000000.0,-4720000000.0,-1110000000.0,-2080000000.0,-898470000.0,-2210000000.0,-410760000.0,-939760000.0,-1380000000.0,772380000.0,-4770000000.0,-1740000000.0,2650000000.0,-2300000000.0,83860000.0,-701980000.0,-978650000.0,-1090000000.0,-869330000.0,-767670000.0,-874870000.0,-659580000.0,-78220000.0,-374400000.0,-418660000.0,-389370000.0,-155820000.0,-549220000.0,-519480000.0,-590890000.0,-351130000.0,-950320000.0,-363070000.0,-539790000.0,-369840000.0
Antes dos impostos,6640000000.0,2800000000.0,1820000000.0,87860000.0,791030000.0,-128090000.0,-2150000000.0,352990000.0,5510000000.0,5210000000.0,7210000000.0,7640000000.0,9820000000.0,6250000000.0,3480000000.0,5860000000.0,3980000000.0,5220000000.0,-6790000000.0,3780000000.0,541780000.0,2800000000.0,384290000.0,1330000000.0,-1110000000.0,-1790000000.0,467790000.0,-263010000.0,354550000.0,419470000.0,640740000.0,958510000.0,697090000.0,2480000000.0,-3850000000.0,-176750000.0,5540000000.0,427520000.0,2089999999.9999998,1370000000.0,1820000000.0,747350000.0,259709999.99999997,450690000.0,322300000.0,630930000.0,371070000.0,300090000.0,541580000.0,299000000.0,241600000.0,-7850000.0,-76720000.0,-317700000.0,172160000.0,-464820000.0,290950000.0,151230000.0,81210000.0
Imposto,-2440000000.0,-778340000.0,-13840000.0,120060000.0,-100430000.0,-70080000.0,719380000.0,1860000000.0,-1250000000.0,-922450000.0,-1770000000.0,-1130000000.0,-2170000000.0,-2040000000.0,-1330000000.0,-1840000000.0,-804660000.0,-1870000000.0,899100000.0,-1260000000.0,-87770000.0,-466410000.0,784150000.0,-783060000.0,1010000000.0,958640000.0,120400000.0,-82140000.0,124330000.0,55330000.0,-223810000.0,-250460000.0,233260000.0,-867680000.0,1160000000.0,-32970000.0,-1980000000.0,-175290000.0,-561330000.0,-661430000.0,-588390000.0,-395880000.0,-139690000.0,-240970000.0,-63980000.0,-222880000.0,-128850000.0,-237890000.0,-154970000.0,-114450000.0,-112080000.0,-15290000.0,-105990000.0,110730000.0,-82230000.0,-34710000.0,-124530000.0,-136770000.0,-29420000.0
Op continuadas,4200000000.0,2020000000.0,1810000000.0,207920000.0,690610000.0,-198170000.0,-1430000000.0,2210000000.0,4260000000.0,4280000000.0000005,5440000000.0,6520000000.0,7650000000.0,4210000000.0,2160000000.0,4019999999.9999995,3170000000.0,3350000000.0,-5890000000.0,2510000000.0,454010000.0,2330000000.0,1170000000.0,550560000.0,-101730000.0,-826890000.0,588190000.0,-345140000.0,478880000.0,474800000.0,416930000.0,708050000.0,930350000.0,1610000000.0,-2690000000.0,-209720000.0,3560000000.0,252230000.0,1530000000.0,706910000.0,1230000000.0,351460000.0,120010000.0,209720000.0,258320000.0,408050000.0,242230000.0,62200000.0,386610000.0,184560000.0,129520000.00000001,-23140000.0,-182700000.0,-206970000.0,89920000.0,-499530000.0,166420000.0,14460000.0,51790000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12250000.0
