Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,5000000000.0,4950000000.0,4430000000.0,4500000000.0,4400000000.0,4290000000.0,4830000000.0,5080000000.0,5490000000.0,5040000000.0,4420000000.0,4580000000.0,4360000000.0,4080000000.0,3470000000.0,3290000000.0,3110000000.0,2960000000.0,2590000000.0,2700000000.0,2480000000.0,2600000000.0,2490000000.0,2530000000.0,2870000000.0,2300000000.0,2190000000.0,2300000000.0,2220000000.0,1980000000.0,1870000000.0,1960000000.0,1960000000.0,1700000000.0,1460000000.0,1600000000.0,1450000000.0,1340000000.0,1310000000.0,1260000000.0,1280000000.0,1150000000.0,1200000000.0,1240000000.0,1200000000.0,1090000000.0,1070000000.0000001,1080000000.0,1090000000.0,1030000000.0,969240000.0,994080000.0,990620000.0,947450000.0,957000000.0,930940000.0,982590000.0,905400000.0,844380000.0
Custos,-3060000000.0,-3280000000.0,-2800000000.0,-3050000000.0,-3100000000.0,-2550000000.0,-2480000000.0,-3210000000.0,-2210000000.0,-2760000000.0,-2350000000.0,-2130000000.0,-2200000000.0,-2270000000.0,-2350000000.0,-1960000000.0,-1860000000.0,-1810000000.0,-1600000000.0,-1870000000.0,-1500000000.0,-1850000000.0,-1630000000.0,-1090000000.0,-1610000000.0,-1450000000.0,-1440000000.0,-1450000000.0,-1510000000.0,-1640000000.0,-1040000000.0,-1370000000.0,-1400000000.0,-983200000.0,-940710000.0,-837100000.0,-830580000.0,-903180000.0,-874530000.0,-900130000.0,-656490000.0,-812110000.0,-280780000.0,-788670000.0,-686890000.0,-736980000.0,-658090000.0,-611530000.0,-381680000.0,-750520000.0,-193430000.0,-615490000.0,-710230000.0,-627620000.0,-603530000.0,-443970000.0,-642890000.0,-627740000.0,-577880000.0
Lucro bruto,1940000000.0,1670000000.0,1630000000.0,1450000000.0,1300000000.0,1740000000.0,2350000000.0,1870000000.0,3280000000.0,2280000000.0,2080000000.0,2460000000.0,2160000000.0,1810000000.0,1120000000.0,1330000000.0,1250000000.0,1140000000.0,994220000.0,832180000.0,980010000.0,750640000.0,857830000.0,1440000000.0,1260000000.0,852950000.0,750650000.0,848380000.0,717200000.0,347810000.0,822150000.0,591590000.0,566910000.0,715420000.0,522760000.0,758410000.0,615120000.0,434750000.0,433920000.0,356980000.0,625720000.0,338980000.0,922690000.0,447550000.0,516030000.0,356820000.0,408310000.0,466840000.0,704080000.0,279780000.0,775810000.0,378580000.0,280400000.0,319830000.0,353480000.0,486970000.0,339710000.0,277660000.0,266500000.0
Despesas operacionais,-719100000.0,-669800000.0,-631630000.0,-583480000.0,-668890000.0,-614320000.0,-733540000.0,-767250000.0,-802590000.0,-679120000.0,-575310000.0,-624650000.0,-461370000.0,-511440000.0,-438510000.0,-283930000.0,-465470000.0,-395810000.0,-361910000.0,-474100000.0,215090000.0,-310980000.0,-324300000.0,-347350000.0,-357060000.0,-303510000.0,-310890000.0,-318530000.0,-305290000.0,-278780000.0,-280900000.0,-280800000.0,-293510000.0,-220970000.0,-203260000.0,-206750000.0,-183070000.0,-192630000.0,-167920000.0,-121770000.0,-129169999.99999999,-137090000.0,-156610000.0,-169930000.0,-149300000.0,-147750000.0,-142490000.0,-144570000.0,-153240000.0,-144020000.0,-140470000.0,-108850000.0,-133550000.00000001,-142970000.0,-150220000.0,-171630000.0,-136410000.0,-123370000.0,-118030000.0
EBIT,1220000000.0,997300000.0,1000000000.0,865550000.0,634680000.0,1130000000.0,1620000000.0,1110000000.0,2480000000.0,1600000000.0,1500000000.0,1830000000.0,1700000000.0,1300000000.0,680780000.0,1050000000.0,785540000.0,747250000.0,632310000.0,358080000.0,1200000000.0,439660000.0,533539999.99999994,1100000000.0,899060000.0,549440000.0,439760000.0,529860000.0,411910000.0,69030000.0,541250000.0,310790000.0,273400000.0,494450000.0,319510000.0,551660000.0,432040000.0,242120000.0,266000000.0,235210000.0,496550000.0,201890000.0,766080000.0,277620000.0,366730000.0,209070000.0,265829999.99999997,322270000.0,550840000.0,135760000.0,635340000.0,269740000.0,146850000.0,176860000.0,203260000.0,315340000.0,203300000.0,154280000.0,148470000.0
Resultado financeiro,-403010000.0,-562670000.0,-378360000.0,-324580000.0,-324830000.0,155990000.0,58270000.0,-30640000.0,319320000.0,-302840000.0,-77280000.0,-389610000.0,-290700000.0,-207050000.0,-203110000.0,928500000.0,-1070000000.0000001,-1400000000.0,-5490000000.0,374950000.0,-1250000000.0,-339940000.0,-450160000.0,-21870000.0,-756500000.0,-2009999999.9999998,-262180000.0,-692680000.0,330100000.0,-669200000.0,318390000.0,-235490000.0,-256600000.00000003,1300000000.0,1010000000.0,233200000.0,-2490000000.0,201460000.0,-1380000000.0,-450890000.0,-498510000.0,137520000.0,165770000.0,-248520000.0,-89270000.0,-418200000.0,16950000.0,-78370000.0,-54860000.0,-468660000.0,54120000.0,-64200000.0,-524390000.0,63240000.0,24780000.0,10610000.0,143920000.0,-45730000.0,-80590000.0
Antes dos impostos,817170000.0,434630000.0,623860000.0,540970000.0,309850000.0,1280000000.0,1680000000.0,1080000000.0,2800000000.0,1300000000.0,1420000000.0,1440000000.0,1410000000.0,1090000000.0,477680000.0,1980000000.0,-286150000.0,-650360000.0,-4860000000.0,733030000.0,-51600000.0,99720000.0,83380000.0,1070000000.0000001,142550000.0,-1460000000.0,177590000.0,-162830000.0,742010000.0,-600160000.0,859640000.0,75300000.0,16800000.0,1790000000.0,1330000000.0,784860000.0,-2060000000.0,443580000.0,-1120000000.0,-215680000.0,-1950000.0,339410000.0,931850000.0,29110000.0,277450000.0,-209120000.0,282780000.0,243900000.0,495980000.0,-332890000.0,689470000.0,205540000.0,-377540000.0,240100000.0,228040000.0,325950000.0,347220000.0,108560000.0,67880000.0
Imposto,-88100000.0,-119500000.0,-163850000.0,-170990000.0,-65269999.99999999,-312880000.0,-417530000.0,-286950000.0,-743790000.0,-330260000.0,-549260000.0,-390750000.0,-191610000.0,-372200000.0,-56970000.0,-651170000.0,94940000.0,267620000.0,1710000000.0,-101930000.0,259029999.99999997,-27480000.0,-279540000.0,-160500000.0,-38730000.0,507570000.0,-52930000.0,79940000.0,-351390000.0,222580000.0,-257620000.0,33560000.0,14650000.0,-522570000.00000006,-258620000.0,-264250000.0,716800000.0,-147990000.0,390050000.0,88310000.0,8960000.0,-95890000.0,-324670000.0,-7590000.0,-80610000.0,79300000.0,-81230000.0,-97390000.0,-165140000.0,148990000.0,-230950000.0,-83110000.0,134490000.0,-76960000.0,-87840000.0,-114060000.0,-115660000.0,-37090000.0,-23010000.0
Op continuadas,729070000.0,315130000.0,460010000.0,369980000.0,244580000.0,970700000.0,1260000000.0,789620000.0,2049999999.9999998,971650000.0,874870000.0,1050000000.0,1220000000.0,718760000.0,420710000.0,1330000000.0,-191220000.0,-382730000.0,-3140000000.0,631110000.0,207430000.0,72250000.0,-196160000.0,912980000.0,103820000.0,-954630000.0,124660000.0,-82890000.0,390620000.0,-377580000.0,602020000.0,108860000.0,31450000.0,1270000000.0,1070000000.0000001,520610000.0,-1340000000.0,295600000.0,-728570000.0,-127370000.0,7010000.0,243520000.0,607170000.0,21520000.0,196850000.0,-129820000.0,201550000.0,146510000.0,330840000.0,-183910000.0,458520000.0,122430000.0,-243060000.0,163140000.0,140200000.0,211880000.0,231550000.0,71470000.0,44870000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
