Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,39060000000.0,36060000000.0,31590000000.0,35470000000.0,34700000000.0,31370000000.0,30680000000.0,36050000000.0,34990000000.0,34490000000.0,22340000000.0,23940000000.0,23640000000.0,20570000000.0,17240000000.0,18270000000.0,16829999999.999998,18880000000.0,13500000000.0,14220000000.0,12740000000.0,11720000000.0,10080000000.0,10450000000.0,11090000000.0,5110000000.0,3060000000.0,3110000000.0,2690000000.0,2180000000.0,2049999999.9999998,4900000000.0,4350000000.0,4680000000.0,4910000000.0,5330000000.0,5120000000.0,4720000000.0,4230000000.0000005,4320000000.0,3800000000.0,3790000000.0,4790000000.0,4980000000.0,4940000000.0,4460000000.0,4370000000.0,4530000000.0,4310000000.0,4070000000.0000005,5010000000.0,5550000000.0,5310000000.0,5110000000.0,5250000000.0,5320000000.0,3810000000.0,3560000000.0,3200000000.0
Custos,-33750000000.0,-31200000000.0,-27750000000.0,-31110000000.0,-30970000000.0,-28670000000.0,-28080000000.0,-32369999999.999996,-29930000000.0,-29700000000.0,-18860000000.0,-18910000000.0,-18220000000.0,-16059999999.999998,-14990000000.0,-15530000000.0,-14080000000.0,-14320000000.0,-11830000000.0,-12140000000.0,-10840000000.0,-10240000000.0,-9150000000.0,-9250000000.0,-9570000000.0,-4360000000.0,-2690000000.0,-2660000000.0,-2300000000.0,-1910000000.0,-1780000000.0,-4370000000.0,-3860000000.0,-4099999999.9999995,-4330000000.0,-4650000000.0,-4540000000.0,-4170000000.0,-3750000000.0,-3760000000.0,-3300000000.0,-3320000000.0,-4170000000.0,-4320000000.0,-4360000000.0,-3960000000.0,-3800000000.0,-3880000000.0,-3680000000.0,-3510000000.0,-4240000000.0,-4710000000.0,-4540000000.0,-4430000000.0,-4520000000.0,-4470000000.0,-3200000000.0,-2960000000.0,-2650000000.0
Lucro bruto,5310000000.0,4860000000.0,3840000000.0,4360000000.0,3730000000.0,2690000000.0,2600000000.0,3680000000.0,5050000000.0,4780000000.0,3480000000.0,5030000000.0,5420000000.0,4510000000.0,2250000000.0,2740000000.0,2750000000.0,4560000000.0,1680000000.0,2080000000.0,1900000000.0,1480000000.0,927480000.0,1200000000.0,1520000000.0,754590000.0,373270000.0,447500000.0,388490000.0,273350000.0,261029999.99999997,528530000.0,488610000.0,573980000.0,575710000.0,685830000.0,583620000.0,554480000.0,474020000.0,559090000.0,492960000.0,471870000.0,618870000.0,659750000.0,586260000.0,492660000.0,571000000.0,658410000.0,624270000.0,562270000.0,767120000.0,841260000.0,770740000.0,673790000.0,728770000.0,851780000.0,605040000.0,598330000.0,546300000.0
Despesas operacionais,-3310000000.0,-3330000000.0,-2960000000.0,-3480000000.0,-3030000000.0,-2950000000.0,-2850000000.0,-4040000000.0,-3160000000.0,689850000.0,-1170000000.0,-1380000000.0,-1150000000.0,-1060000000.0,-1010000000.0,-1110000000.0,-963780000.0,-980470000.0,-811680000.0,-949730000.0,-726730000.0,-729920000.0,-565210000.0,-1470000000.0,-633890000.0,-1040000000.0,-280840000.0,-227160000.0,-233670000.0,-247950000.0,-227350000.0,-280680000.0,-272710000.0,-299420000.0,-276570000.0,-352540000.0,-463110000.0,-196450000.0,-242060000.0,-263570000.0,-270200000.0,-276800000.0,-373840000.0,-405070000.0,-354530000.0,-358120000.0,-325200000.0,-362370000.0,-308180000.0,38130000.0,-546840000.0,-529549999.99999994,-341530000.0,-586350000.0,-569870000.0,-426990000.0,-502750000.0,-460540000.0,-335440000.0
EBIT,2000000000.0,1530000000.0,876670000.0,873750000.0,695650000.0,-256709999.99999997,-251500000.0,-352680000.0,1890000000.0,5470000000.0,2310000000.0,3650000000.0,4269999999.9999995,3450000000.0,1240000000.0,1620000000.0,1780000000.0,3580000000.0,864430000.0,1130000000.0,1170000000.0,750660000.0,362260000.0,-268320000.0,881810000.0,-283840000.0,92430000.0,220350000.0,154820000.0,25410000.0,33680000.0,247840000.0,215890000.0,274560000.0,299140000.0,333290000.0,120510000.0,358030000.0,231960000.0,295520000.0,222760000.0,195070000.0,245030000.0,254680000.0,231730000.0,134540000.0,245800000.0,296040000.0,316090000.0,600400000.0,220290000.0,311710000.0,429220000.0,87450000.0,158900000.0,424800000.0,102290000.0,137790000.0,210860000.0
Resultado financeiro,-1340000000.0,-1410000000.0,-972500000.0,-1130000000.0,-1640000000.0,-1520000000.0,-1310000000.0,-1150000000.0,-1880000000.0,-2380000000.0,-1060000000.0,-1750000000.0,-1270000000.0,52380000.0,-733060000.0,-155610000.0,-613080000.0,-773860000.0,-1180000000.0,-610350000.0,-665360000.0,-403740000.0,-380270000.0,-606770000.0,-713690000.0,-517480000.0,-471030000.0,-478180000.0,-418670000.0,-477080000.0,-508770000.0,-607670000.0,-470290000.0,-513539999.99999994,-423190000.0,-435350000.0,-1250000000.0,-390300000.0,-1020000000.0,-684590000.0,-703330000.0,-296100000.0,-387850000.0,-408340000.0,-481130000.0,-845450000.0,-296070000.0,-400900000.0,-254750000.0,-565770000.0,-247290000.0,-537260000.0,-1360000000.0,-227300000.0,-178910000.0,-363740000.0,-212030000.0,-260560000.0,-310910000.0
Antes dos impostos,656420000.0,118140000.0,-95830000.0,-258820000.0,-943050000.0,-1780000000.0,-1560000000.0,-1500000000.0,7590000.0,3090000000.0,1260000000.0,1900000000.0,3000000000.0,3500000000.0,508440000.0,1470000000.0,1170000000.0,2810000000.0,-318590000.0,515880000.0,507840000.0,346920000.0,-18000000.0,-875080000.0,168120000.0,-801320000.0,-378600000.0,-257829999.99999997,-263850000.00000003,-451670000.0,-475090000.0,-359820000.0,-254400000.0,-238990000.0,-124060000.0,-102070000.0,-1130000000.0,-32270000.000000004,-787410000.0,-389060000.0,-480570000.0,-101030000.0,-142810000.0,-153670000.0,-249400000.0,-710910000.0,-50270000.0,-104870000.0,61340000.0,34630000.0,-27000000.0,-225560000.0,-929480000.0,-139850000.0,-20010000.0,61050000.0,-109740000.0,-122770000.0,-100050000.0
Imposto,55950000.0,556540000.0,228170000.0,241020000.0,413570000.0,210930000.0,224080000.0,2620000.0,183680000.0,777320000.0,-762640000.0,-573530000.0,-553730000.0,-1130000000.0,-2100000.0,-45220000.0,-233650000.0,-604890000.0,286320000.0,-117010000.0,133160000.0,53380000.0,160080000.0,-186900000.0,86020000.0,367110000.0,131300000.00000001,46260000.0,88450000.0,189620000.0,147250000.0,138070000.0,110320000.0,50730000.0,36000000.0,48410000.0,398040000.0,11950000.0,232090000.0,88170000.0,148990000.0,30180000.0,51040000.0,74340000.0,58620000.0,234870000.0,-6500000.0,37110000.0,34680000.0,141100000.0,54880000.0,75290000.0,376140000.0,44780000.0,45230000.0,97030000.0,47580000.0,218980000.0,48010000.0
Op continuadas,712370000.0,674680000.0,132330000.00000001,-17800000.0,-529480000.0,-1570000000.0,-1340000000.0,-1500000000.0,191270000.0,3870000000.0,492400000.0,1320000000.0,2440000000.0,2380000000.0,506330000.0,1420000000.0,937820000.0,2200000000.0,-32270000.000000004,398870000.0,640990000.0,400300000.0,142070000.0,-1060000000.0,254140000.0,-434210000.0,-247300000.0,-211570000.0,-175400000.0,-262060000.0,-327840000.0,-221760000.0,-144070000.0,-188260000.0,-88050000.0,-53660000.0,-732980000.0,-20320000.0,-555320000.0,-300890000.0,-331580000.0,-70850000.0,-91770000.0,-79330000.0,-190780000.0,-476040000.0,-56760000.0,-67750000.0,96020000.0,175730000.0,27870000.0,-150260000.0,-553350000.0,-95070000.0,25210000.0,158080000.0,-62160000.0,96210000.0,-52040000.0
Op descontinuadas,-231380000.0,-172190000.0,35650000.0,165300000.0,149750000.0,-253110000.0,-231560000.0,-135140000.0,-139980000.0,-16410000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3490000000.0,59460000.0,51630000.0,46340000.0,194630000.0,123210000.0,107340000.0,106460000.0,-40360000.0,-14630000.0,68630000.0,-4270000.0,-122830000.0,929270000.0,23490000.0,-6570000.0,21790000.0,32610000.0,20400000.0,0,0,-134080000.00000001,64150000.00000001,-24250000.0,-213890000.0,-85940000.0,-166680000.0,1420000.0,8780000.0,10370000.0,7620000.0,0,0,0,0,0
