Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,12260000000.0,11480000000.0,11620000000.0,11550000000.0,9970000000.0,10900000000.0,11930000000.0,11540000000.0,10240000000.0,10460000000.0,10550000000.0,11940000000.0,12250000000.0,9970000000.0,9000000000.0,10490000000.0,7980000000.0,6600000000.0,6920000000.0,7450000000.0,7180000000.0,6730000000.0,7100000000.0,6780000000.0,7200000000.0,6430000000.0,5550000000.0,6610000000.0,5850000000.0,4320000000.0,3740000000.0,4000000000.0,3680000000.0,3770000000.0,3390000000.0,3940000000.0,3340000000.0,4269999999.9999995,3040000000.0,4000000000.0,2910000000.0,2770000000.0,2600000000.0,2710000000.0,2530000000.0,2560000000.0,2790000000.0,3450000000.0,2880000000.0,2730000000.0,2590000000.0,2760000000.0,2530000000.0,2310000000.0,2180000000.0,2520000000.0,2240000000.0,2670000000.0,2040000000.0
Custos,-9230000000.0,-8520000000.0,-8060000000.000001,-8570000000.0,-8050000000.000001,-7900000000.0,-8100000000.0,-8449999999.999999,-7650000000.0,-7000000000.0,-7210000000.0,-8850000000.0,-9290000000.0,-7580000000.0,-6540000000.0,-8130000000.000001,-6000000000.0,-5230000000.0,-5260000000.0,-5700000000.0,-5540000000.0,-5200000000.0,-5650000000.0,-5400000000.0,-5840000000.0,-5190000000.0,-4440000000.0,-5490000000.0,-5080000000.0,-3450000000.0,-2870000000.0,-3190000000.0,-2960000000.0,-2910000000.0,-2490000000.0,-2830000000.0,-2790000000.0,-3510000000.0,-2280000000.0,-2190000000.0,-2490000000.0,-2380000000.0,-2170000000.0,-1910000000.0,-1890000000.0,-1840000000.0,-1930000000.0,-2720000000.0,-2020000000.0,-2009999999.9999998,-1610000000.0,-1730000000.0,-1640000000.0,-1440000000.0,-1440000000.0,-1670000000.0,-1530000000.0,-1790000000.0,-1200000000.0
Lucro bruto,3030000000.0,2970000000.0,3560000000.0,2980000000.0,1920000000.0,3010000000.0,3830000000.0,3090000000.0,2590000000.0,3460000000.0,3340000000.0,3100000000.0,2960000000.0,2390000000.0,2450000000.0,2360000000.0,1980000000.0,1370000000.0,1660000000.0,1750000000.0,1640000000.0,1520000000.0,1460000000.0,1380000000.0,1360000000.0,1230000000.0,1110000000.0,1120000000.0,768130000.0,863860000.0,868530000.0,807460000.0,716660000.0,863180000.0,901690000.0,1110000000.0,553320000.0,761720000.0,760570000.0,1810000000.0,421010000.0,389370000.0,432710000.0,800000000.0,646090000.0,718020000.0,864290000.0,732710000.0,857810000.0,720010000.0,977680000.0,1020000000.0,884680000.0,869490000.0,738100000.0,847300000.0,704740000.0,876530000.0,836100000.0
Despesas operacionais,-766000000.0,-666000000.0,-737000000.0,-797000000.0,658000000.0,-970000000.0,-814000000.0,-862000000.0,-803000000.0,-768000000.0,-694000000.0,-1220000000.0,-603000000.0,-608000000.0,-603000000.0,-685000000.0,-626000000.0,-666000000.0,-519000000.0,-596000000.0,-503000000.0,-536000000.0,-466000000.0,-638460000.0,-374210000.0,-416420000.0,-376900000.0,-452860000.0,-404970000.0,-338450000.0,-298350000.0,-349350000.0,-401370000.0,-363100000.0,-317750000.0,-647960000.0,-387850000.0,-365660000.0,-335760000.0,-847450000.0,-167000000.0,-218070000.0,-164910000.0,-328070000.0,-334490000.0,-390450000.0,-322150000.0,-465220000.0,-454860000.0,-418870000.0,-421000000.0,-550910000.0,-259310000.0,-248030000.0,-250620000.0,-235140000.0,-214690000.0,-221620000.0,-214660000.0
EBIT,2260000000.0,2300000000.0,2820000000.0,2180000000.0,2570000000.0,2040000000.0,3010000000.0,2220000000.0,1780000000.0,2690000000.0,2640000000.0,1880000000.0,2350000000.0,1790000000.0,1850000000.0,1670000000.0,1360000000.0,706000000.0,1150000000.0,1150000000.0,1140000000.0,989000000.0,992000000.0,737460000.0,985860000.0,817940000.0,728630000.0,665000000.0,363160000.0,525409999.99999994,570180000.0,458110000.0,315290000.0,500080000.0,583940000.0,464300000.0,165470000.0,396060000.0,424810000.0,964500000.0,254010000.0,171300000.0,267800000.0,471930000.0,311600000.0,327570000.0,542140000.0,267490000.0,402950000.0,301140000.0,556680000.0,469670000.0,625370000.0,621460000.0,487480000.0,612160000.0,490050000.0,654910000.0,621440000.0
Resultado financeiro,-1140000000.0,-1190000000.0,-1290000000.0,-1140000000.0,-1110000000.0,-1320000000.0,-1270000000.0,-947000000.0,-780000000.0,-1160000000.0,-917000000.0,-909000000.0,-566000000.0,-426000000.0,-382000000.0,-350000000.0,-197000000.0,-169000000.0,-314000000.0,-368000000.0,-310000000.0,-371000000.0,-292000000.0,-323990000.0,-266970000.00000003,-281000000.0,-297010000.0,-379690000.0,-358080000.0,-330670000.0,-325800000.0,-349780000.0,-324660000.0,-338830000.0,-283340000.0,-243210000.0,-239920000.0,-186010000.0,-199190000.0,-264339999.99999997,-183500000.0,-154550000.0,-93750000.0,-153810000.0,-33180000.0,-37700000.0,-31960000.0,16540000.0,-46670000.0,-30800000.0,-21940000.0,-24420000.0,-26900000.0,-17140000.0,-20340000.0,-8630000.0,126090000.0,-41180000.0,1760000.0
Antes dos impostos,1130000000.0,1110000000.0,1530000000.0,1040000000.0,1460000000.0,715000000.0,1740000000.0,1280000000.0,1000000000.0,1530000000.0,1730000000.0,971000000.0,1790000000.0,1360000000.0,1470000000.0,1320000000.0,1160000000.0,537000000.0,831000000.0,786000000.0,828000000.0,618000000.0,700000000.0,413480000.0,718890000.0,536940000.0,431620000.0,285310000.0,5080000.0,194750000.0,244380000.0,108330000.0,-9380000.0,161250000.0,300610000.0,221090000.0,-74450000.0,210060000.0,225620000.0,700160000.0,70510000.0,16750000.0,174050000.0,318120000.0,278420000.0,289870000.0,510180000.0,284030000.0,356280000.0,270340000.0,534740000.0,445250000.0,598470000.0,604310000.0,467140000.0,603520000.0,616140000.0,613740000.0,623200000.0
Imposto,-280000000.0,-258000000.0,-384000000.0,-53000000.0,98000000.0,31000000.0,-505000000.0,-323000000.0,498000000.0,-440000000.0,-487000000.0,-310000000.0,-468000000.0,-315000000.0,-430000000.0,-292000000.0,-316000000.0,-102000000.0,-233000000.0,-144000000.0,-211000000.0,-78000000.0,-190000000.0,-48650000.0,-201650000.0,-125750000.0,-130919999.99999999,-121770000.0,-20950000.0,-51110000.0,-84160000.0,-54830000.0,-6070000.0,-48690000.0,-96920000.0,-107710000.0,5200000.0,-29850000.0,-77960000.0,-108450000.0,-50600000.0,1770000.0,-29380000.0,-52640000.0,-55570000.0,-51560000.0,-113260000.0,-19960000.0,-59900000.0,-40850000.0,-81550000.0,-49950000.0,-67440000.0,-93310000.0,-59380000.0,-95390000.0,-85680000.0,-89670000.0,-121270000.0
Op continuadas,847000000.0,856000000.0,1150000000.0,989000000.0,1560000000.0,746000000.0,1230000000.0,954000000.0,1500000000.0,1090000000.0,1240000000.0,661000000.0,1320000000.0,1040000000.0,1040000000.0,1030000000.0,843000000.0,435000000.0,598000000.0,642000000.0,617000000.0,540000000.0,510000000.0,364820000.0,517240000.0,411190000.0,300700000.0,163540000.0,-15880000.0,143630000.0,160230000.0,53500000.0,-15450000.0,112560000.0,203690000.0,113380000.0,-69250000.0,180210000.0,147660000.0,591710000.0,19910000.0,18520000.0,144680000.0,265490000.0,222850000.0,238310000.0,396920000.0,264070000.0,296380000.0,229490000.0,453190000.0,395300000.0,531030000.0,511000000.0,407760000.0,508130000.0,530460000.00000006,524070000.00000006,501930000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46320000.0,-4200000.0,-16270000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
