Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,9340000000.0,8980000000.0,8670000000.0,8600000000.0,8310000000.000001,7880000000.0,7610000000.0,7460000000.0,6870000000.0,6250000000.0,5840000000.0,5990000000.0,5540000000.0,4900000000.0,4800000000.0,5230000000.0,4800000000.0,4179999999.9999995,4480000000.0,4860000000.0,4560000000.0,4330000000.0,4330000000.0,4620000000.0,4440000000.0,4420000000.0,4340000000.0,4490000000.0,4269999999.9999995,4099999999.9999995,4030000000.0000005,4150000000.0000005,4110000000.0000005,3900000000.0,3980000000.0,4139999999.9999995,3880000000.0,3650000000.0,0,3990000000.0,3690000000.0,3360000000.0,0,-9130000000.0,3300000000.0,3060000000.0,2920000000.0,-7760000000.0,2800000000.0,2490000000.0,0,0,0,0,0,0,0,0,0
Custos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro bruto,9340000000.0,8980000000.0,8670000000.0,8600000000.0,8310000000.000001,7880000000.0,7610000000.0,7460000000.0,6870000000.0,6250000000.0,5840000000.0,5990000000.0,5540000000.0,4900000000.0,4800000000.0,5230000000.0,4800000000.0,4179999999.9999995,4480000000.0,4860000000.0,4560000000.0,4330000000.0,4330000000.0,4620000000.0,4440000000.0,4420000000.0,4340000000.0,4490000000.0,4269999999.9999995,4099999999.9999995,4030000000.0000005,4150000000.0000005,4110000000.0000005,3900000000.0,3980000000.0,4139999999.9999995,3880000000.0,3650000000.0,0,3990000000.0,3690000000.0,3360000000.0,0,-9130000000.0,3300000000.0,3060000000.0,2920000000.0,-7760000000.0,2800000000.0,2490000000.0,0,0,0,0,0,0,0,0,0
Despesas operacionais,-8520000000.0,-8210000000.000001,-7910000000.0,-7700000000.0,-7430000000.0,-7270000000.0,-7190000000.0,-6920000000.0,-6780000000.0,-6120000000.0,-5750000000.0,-5820000000.0,-5370000000.0,-4280000000.0000005,-4500000000.0,-4960000000.0,-4250000000.0,-3690000000.0,-4099999999.9999995,-4600000000.0,-4310000000.0,-4059999999.9999995,-4120000000.0,-4320000000.0,-4099999999.9999995,-4059999999.9999995,-4099999999.9999995,-4320000000.0,-4170000000.0,-4040000000.0,-3960000000.0,-4139999999.9999995,-4050000000.0,-3900000000.0,-3930000000.0,-4099999999.9999995,-3830000000.0,-3500000000.0,0,-3890000000.0,-3530000000.0,-3230000000.0,0,9980000000.0,-3170000000.0,-2860000000.0,-2830000000.0,7790000000.0,-2770000000.0,-2510000000.0,-33310000.000000004,-70240000.0,-4380000.0,-25930000.0,26440000.0,29770000.0,101630000.0,63210000.0,1530000.0
EBIT,819170000.0,771080000.0,758620000.0,898360000.0,875400000.0,610850000.0,422090000.0,539740000.0,84560000.0,128789999.99999999,85310000.0,163140000.0,161750000.0,620040000.0,302110000.0,270750000.0,543750000.0,490480000.0,379180000.0,254620000.0,250500000.0,264610000.0,218230000.0,302340000.0,343200000.0,351830000.0,242780000.0,174750000.0,101730000.0,64030000.0,61430000.0,8950000.0,67720000.0,-5070000.0,47910000.0,30690000.0,49070000.0,154740000.0,0,100630000.0,156240000.0,126970000.0,0,849190000.0,133789999.99999999,201840000.0,83410000.0,32080000.0,29980000.0,-19430000.0,-33310000.000000004,-70240000.0,-4380000.0,-25930000.0,26440000.0,29770000.0,101630000.0,63210000.0,1530000.0
Resultado financeiro,208620000.0,115210000.0,273940000.0,184600000.0,70110000.0,305130000.0,176500000.0,140660000.0,117100000.0,70310000.0,156200000.0,137990000.0,-37060000.0,174080000.0,193710000.0,299880000.0,125060000.0,497670000.0,-1540000.0,269570000.0,252290000.0,246170000.0,271070000.0,297510000.0,224550000.0,168060000.0,235800000.0,153980000.0,473570000.0,197330000.0,305860000.0,270620000.0,284190000.0,310860000.0,352840000.0,306000000.0,210230000.0,281290000.0,0,257579999.99999997,212050000.0,226630000.0,0,590340000.0,155950000.0,118210000.0,93630000.0,227880000.0,225220000.0,231130000.0,261380000.0,225230000.0,254770000.0,183430000.0,206910000.0,172020000.0,204630000.0,145510000.0,187560000.0
Antes dos impostos,1030000000.0,886290000.0,1030000000.0,1080000000.0,945510000.0,915970000.0,598590000.0,680410000.0,201660000.0,199100000.0,241510000.0,301130000.0,124690000.0,794120000.0,495820000.0,570620000.0,668810000.0,988150000.0,377640000.0,524190000.00000006,502790000.0,510780000.0,489300000.0,599850000.0,567750000.0,519890000.0,478590000.0,328730000.0,575310000.0,261360000.0,367290000.0,279570000.0,351910000.0,305780000.0,400750000.0,336690000.0,259300000.0,436030000.0,0,358210000.0,368280000.0,353600000.0,0,1440000000.0,289740000.0,320050000.0,177040000.0,259970000.00000003,255190000.0,211700000.0,228060000.0,154990000.0,250390000.0,157490000.0,233350000.0,201790000.0,306260000.0,208720000.0,189090000.0
Imposto,-276880000.0,-291470000.0,-370930000.0,-387210000.0,-375230000.0,-222620000.0,-243110000.0,-95730000.0,32350000.0,-34160000.0,-67720000.0,231700000.0,-64590000.0,-137450000.0,-201150000.0,-163350000.0,-269220000.0,-333340000.0,-151110000.0,-153280000.0,-169620000.0,-133250000.0,-191790000.0,-215140000.0,-251880000.0,-186940000.0,-202740000.0,-61240000.0,-192880000.0,-26490000.0,-153840000.0,21200000.0,-150340000.0,-134190000.0,-163340000.0,-45200000.0,-54850000.0,-162760000.0,0,-78160000.0,-135710000.0,-137660000.0,0,-512280000.0,-116220000.0,-129740000.00000001,-70810000.0,-8670000.0,-100090000.0,-75890000.0,-90270000.0,37270000.0,-100370000.0,-63150000.0,-89800000.0,-21370000.0,-112170000.0,-81630000.0,-67320000.0
Op continuadas,750910000.0,594810000.0,661630000.0,695750000.0,570280000.0,693350000.0,355480000.0,584680000.0,234000000.0,164940000.0,173790000.0,532830000.00000006,60100000.0,656660000.0,294670000.0,407270000.0,399590000.0,654820000.0,226530000.0,370900000.0,333170000.0,377530000.0,297510000.0,384710000.0,315870000.0,332950000.0,275850000.0,267490000.0,382430000.0,234870000.0,213450000.0,300770000.0,201570000.0,171600000.0,237410000.0,291500000.0,204450000.0,273270000.0,0,280060000.0,232580000.0,215940000.0,0,927240000.0,173520000.0,190320000.0,106230000.0,251300000.0,155100000.0,135800000.0,137790000.0,192260000.0,150010000.0,94340000.0,143560000.0,180420000.0,194090000.0,127090000.0,121770000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
