Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,4T2019,2T2019
Receita líquida,72910000000.0,57760000000.0,53680000000.0,58490000000.0,59460000000.0,48820000000.0,54970000000.0,60370000000.0,64239999999.99999,66260000000.00001,53490000000.0,55390000000.0,48340000000.0,34049999999.999996,26500000000.0,25100000000.0,22260000000.0,15560000000.0,26710000000.0,25130000000.0
Custos,-68540000000.00001,-55110000000.0,-49890000000.0,-53960000000.0,-54870000000.0,-46010000000.0,-47990000000.0,-56880000000.0,-61990000000.0,-63700000000.0,-50930000000.0,-51240000000.0,-45710000000.0,-31700000000.0,-24960000000.0,-23690000000.0,-21010000000.0,-15420000000.0,-25070000000.0,-24010000000.0
Lucro bruto,4370000000.0,2650000000.0,3790000000.0,4530000000.0,4590000000.0,2810000000.0,6970000000.0,3490000000.0,2250000000.0,2560000000.0,2560000000.0,4150000000.0000005,2630000000.0,2350000000.0,1540000000.0,1400000000.0,1250000000.0,136810000.0,1650000000.0,1110000000.0
Despesas operacionais,-2590000000.0,137430000.0,-2640000000.0,-1980000000.0,-2710000000.0,-476510000.0,-1620000000.0,-1940000000.0,-2650000000.0,-966530000.0,-1820000000.0,-1550000000.0,-1370000000.0,-792300000.0,-678250000.0,-724580000.0,-495190000.0,-559570000.0,445250000.0,-528460000.00000006
EBIT,1780000000.0,2790000000.0,1150000000.0,2560000000.0,1880000000.0,2330000000.0,5350000000.0,1550000000.0,-399730000.0,1590000000.0,747790000.0,2600000000.0,1270000000.0,1550000000.0,862160000.0,680050000.0,754310000.0,-422760000.0,2089999999.9999998,585700000.0
Resultado financeiro,-1690000000.0,-1480000000.0,-1720000000.0,-1520000000.0,-1710000000.0,-1380000000.0,-1360000000.0,-1450000000.0,-1070000000.0000001,-938510000.0,-645640000.0,-587470000.0,-560760000.0,-174640000.0,-170780000.0,-65610000.0,-71090000.0,-60950000.0,-154030000.0,-154210000.0
Antes dos impostos,96150000.0,1300000000.0,-560360000.0,1040000000.0,174870000.0,956510000.0,3990000000.0,98060000.0,-1470000000.0,651230000.0,102150000.0,2009999999.9999998,707530000.0,1380000000.0,691390000.0,614440000.0,683210000.0,-483710000.0,1940000000.0,431490000.0
Imposto,-254490000.0,-238310000.0,-318260000.0,-247820000.0,-146470000.0,-285410000.0,-1320000000.0,69870000.0,538780000.0,-45310000.0,213840000.0,-590180000.0,23220000.0,-599160000.0,-235700000.0,-205990000.0,-174810000.0,150520000.0,-550690000.0,-140450000.0
Op continuadas,-158350000.0,1070000000.0000001,-878620000.0,793240000.0,28400000.0,671110000.0,2660000000.0,167930000.0,-933640000.0,605920000.0,315990000.0,1420000000.0,730750000.0,780320000.0,455690000.0,408450000.0,508400000.0,-333190000.0,1390000000.0,291040000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,-158350000.0,1070000000.0000001,-878620000.0,793240000.0,28400000.0,671110000.0,2660000000.0,167930000.0,-933640000.0,605920000.0,315990000.0,1420000000.0,730750000.0,780320000.0,455690000.0,408450000.0,508400000.0,-333190000.0,1390000000.0,291040000.0
Dos controladores,-181580000.0,1050000000.0,-877210000.0,779200000.0,-19030000.0,637750000.0,2600000000.0,174180000.0,-880120000.0,551900000.0,250420000.0,1390000000.0,712670000.0,800550000.0,441370000.0,398800000.0,489170000.0,-332850000.0,1370000000.0,276680000.0
Dos não controladores,23230000.0,15490000.0,-1410000.0,14040000.0,47430000.0,33350000.0,67940000.0,-6250000.0,-53520000.0,54030000.0,65569999.99999999,37130000.0,18070000.0,-20230000.0,14320000.0,9660000.0,19220000.0,-339000.0,17120000.0,14360000.0
