Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,35200000000.0,32759999999.999996,32600000000.0,32630000000.000004,32650000000.0,30850000000.0,32150000000.0,30700000000.0,30250000000.0,27910000000.0,26360000000.0,23850000000.0,20310000000.0,17530000000.0,16300000000.0,14780000000.0,14730000000.0,14650000000.0,18620000000.0,17490000000.0,18660000000.0,18360000000.0,18330000000.0,16770000000.0,18280000000.0,18390000000.0,17040000000.0,16600000000.000002,17710000000.0,17980000000.0,19120000000.0,19480000000.0,19640000000.0,19160000000.0,18870000000.0,17950000000.0,18730000000.0,17140000000.0,16050000000.0,15900000000.0,15110000000.0,14040000000.0,13880000000.0,13720000000.0,12970000000.0,12390000000.0,12140000000.0,12280000000.0,13170000000.0,13530000000.0,13670000000.0,13970000000.0,13280000000.0,12680000000.0,11800000000.0,11190000000.0,10600000000.0,9840000000.0,9280000000.0
Custos,-21210000000.0,-18900000000.0,-19220000000.0,-20340000000.0,-20450000000.0,-21020000000.0,-19590000000.0,-19200000000.0,-19200000000.0,-16410000000.0,-12910000000.0,-10130000000.0,-6910000000.0,-5200000000.0,-4430000000.0,-3580000000.0,-3620000000.0,-3950000000.0,-7180000000.0,-6240000000.0,-7370000000.0,-7050000000.0,-7860000000.0,-6050000000.0,-7220000000.0,-8070000000.0,-7220000000.0,-7510000000.0,-8760000000.0,-9300000000.0,-10900000000.0,-11290000000.0,-12090000000.0,-11910000000.0,-11270000000.0,-11020000000.0,-10970000000.0,-7720000000.0,-8820000000.0,-9120000000.0,-8570000000.0,-7140000000.0,-6870000000.0,-6690000000.0,-6080000000.0,-5160000000.0,-4810000000.0,-4650000000.0,-5150000000.0,-5290000000.0,-5960000000.0,-6370000000.0,-6380000000.0,-5920000000.0,-5160000000.0,-4830000000.0,-4570000000.0,-3970000000.0,-3440000000.0
Lucro bruto,13990000000.0,13870000000.0,13390000000.0,12280000000.0,12200000000.0,9840000000.0,12560000000.0,11510000000.0,11050000000.0,11500000000.0,13450000000.0,13710000000.0,13390000000.0,12340000000.0,11870000000.0,11200000000.0,11120000000.0,10690000000.0,11440000000.0,11250000000.0,11290000000.0,11310000000.0,10470000000.0,10720000000.0,11060000000.0,10320000000.0,9820000000.0,9090000000.0,8940000000.0,8690000000.0,8220000000.000001,8189999999.999999,7550000000.0,7250000000.0,7600000000.0,6930000000.0,7760000000.0,9410000000.0,7240000000.0,6770000000.0,6540000000.0,6900000000.0,7010000000.0,7030000000.0,6890000000.0,7220000000.0,7330000000.0,7630000000.0,8010000000.0,8230000000.0,7710000000.0,7600000000.0,6900000000.0,6760000000.0,6640000000.0,6360000000.0,6040000000.0,5870000000.0,5830000000.0
Despesas operacionais,-8610000000.0,-8600000000.0,-8970000000.0,-9660000000.0,-8710000000.0,-6750000000.0,-9840000000.0,-7880000000.0,-6460000000.0,-6210000000.0,-7380000000.0,-8550000000.000001,-9550000000.0,-1840000000.0,-6630000000.0,-140510000.0,-6360000000.0,-10510000000.0,-17760000000.0,-4990000000.0,-7640000000.0,-4790000000.0,-4630000000.0,-3920000000.0,-6700000000.0,-10440000000.0,-4950000000.0,-6650000000.0,-3350000000.0,-6560000000.0,-3880000000.0,-7910000000.0,-4440000000.0,-515870000.0,-1340000000.0,-5420000000.0,-13240000000.0,-6430000000.0,-9460000000.0,-5990000000.0,-6020000000.0,-4340000000.0,-4420000000.0,-7510000000.0,-5190000000.0,-6870000000.0,-4900000000.0,-7070000000.0,-6070000000.0,-7840000000.0,-5130000000.0,-5060000000.0,-6490000000.0,-3720000000.0,-3720000000.0,-3550000000.0,-3140000000.0,-3700000000.0,-3710000000.0
EBIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resultado financeiro,46720000.0,1960000000.0,20010000.0,,24340000.0,24840000.0,44980000.0,,25480000.0,25950000.0,376780000.0,,25470000.0,27550000.0,25030000.0,,22100000.0,29380000.0,201450000.0,79520000.0,8470000.0,13930000.0,663000.0,181220000.0,2880000.0,18770000.0,2230000.0,102590000.0,-29440000.0,-215950000.0,3760000.0,-454770000.0,-426000.0,-2670000.0,25870000.0,-324550000.0,773370000.0,36130000.0,52080000.0,27020000.0,69390000.0,35800000.0,10940000.0,1050000000.0,6920000.0,-7390000.0,85940000.0,186840000.0,-2380000.0,-14770000.0,31790000.0,744400000.0,32240000.000000004,35110000.0,40980000.0,5290000.0,109140000.0,33720000.0,252760000.0
Antes dos impostos,5380000000.0,5270000000.0,4420000000.0,2620000000.0,3500000000.0,3080000000.0,2720000000.0,3620000000.0,4590000000.0,5290000000.0,6070000000.0,5170000000.0,3840000000.0,10500000000.0,5240000000.0,11060000000.0,4760000000.0,178440000.0,-6330000000.0,6260000000.0,3650000000.0,6520000000.0,5840000000.0,6800000000.0,4360000000.0,-115390000.0,4870000000.0,2450000000.0,5600000000.0,2130000000.0,4340000000.0,281380000.0,3110000000.0,6730000000.0,6260000000.0,1510000000.0,-5490000000.0,2980000000.0,-2220000000.0,780530000.0,523210000.00000006,2550000000.0,2590000000.0,-476690000.0,1700000000.0,354710000.0,2440000000.0,554050000.0,1940000000.0,390680000.0,2590000000.0,2540000000.0,411160000.0,3040000000.0,2920000000.0,2810000000.0,2890000000.0,2170000000.0,2120000000.0
Imposto,-1730000000.0,-1640000000.0,-1360000000.0,-553870000.0,-716670000.0,-1480000000.0,325100000.0,-718940000.0,-1160000000.0,0,-2250000000.0,-1540000000.0,16690000.000000002,-6490000000.0,-1180000000.0,-7340000000.0,-951090000.0,1880000000.0,10190000000.0,-755410000.0,308420000.0,-3030000000.0,-2160000000.0,-3040000000.0,-1120000000.0,3040000000.0,-1990000000.0,38370000.0,-3210000000.0,133530000.0,-2330000000.0,1240000000.0,-810130000.0,-4920000000.0,-4430000000.0,34840000.0,7200000000.0,1950000000.0,3860000000.0,647970000.0,799800000.0,-1010000000.0,-1170000000.0,-98110000.0,-376310000.0,1110000000.0,-867960000.0,210200000.0,-468040000.0,1080000000.0,-856090000.0,-739140000.0,1390000000.0,-956060000.0,-850560000.0,-894260000.0,-956400000.0,-403200000.0,-360070000.0
Op continuadas,3650000000.0,3630000000.0,3060000000.0,2069999999.9999998,2780000000.0,1600000000.0,3050000000.0,2910000000.0,3430000000.0,5290000000.0,3820000000.0,3630000000.0,3860000000.0,4010000000.0,4059999999.9999995,3720000000.0,3800000000.0,2060000000.0,3870000000.0,5510000000.0,3960000000.0,3490000000.0,3670000000.0,3770000000.0,3240000000.0,2920000000.0,2870000000.0,2480000000.0,2380000000.0,2260000000.0,2009999999.9999998,1520000000.0,2300000000.0,1820000000.0,1830000000.0,1550000000.0,1720000000.0,4930000000.0,1640000000.0,1430000000.0,1320000000.0,1540000000.0,1420000000.0,-574800000.0,1330000000.0,1460000000.0,1570000000.0,764250000.0,1470000000.0,1470000000.0,1730000000.0,1800000000.0,1800000000.0,2080000000.0,2069999999.9999998,1920000000.0,1930000000.0,1770000000.0,1760000000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020000000.0,21680000.0,15030000.0,9500000.0,55310000.0,0,0,0,0,0,0,0,0,0,0,0
