Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,1710000000.0,1660000000.0,1700000000.0,1700000000.0,1610000000.0,1540000000.0,1450000000.0,1480000000.0,1430000000.0,1360000000.0,1410000000.0,1380000000.0,1320000000.0,1270000000.0,1230000000.0,1240000000.0,1170000000.0,1150000000.0,1250000000.0,1340000000.0,1190000000.0,1100000000.0,1100000000.0,1100000000.0,1050000000.0,1020000000.0,999420000.0,1030000000.0,1010000000.0,908850000.0,926430000.0,926610000.0,868220000.0,876070000.0,806620000.0,836980000.0,759850000.0,707730000.0,666620000.0,677650000.0,653260000.0,646540000.0,639600000.0,625920000.0,597270000.0,590680000.0,556310000.0,562780000.0,548740000.0,533039999.99999994,478830000.0,466490000.0,436800000.0,451830000.0,387270000.0,382420000.0,374650000.0,358460000.0,364740000.0
Custos,-735910000.0,-735620000.0,-685830000.0,-666060000.0,-643090000.0,-617140000.0,-588610000.0,-573590000.0,-569190000.0,-650750000.0,-589830000.0,-572650000.0,-534679999.99999994,-516450000.00000006,-496220000.0,-476270000.0,-503670000.0,-479680000.0,-461550000.0,-501230000.0,-476610000.0,-451430000.0,-429660000.0,-442740000.0,-453380000.0,-401760000.0,-382170000.0,-414030000.0,-398940000.0,-383390000.0,-359780000.0,-387410000.0,-348650000.0,-350530000.0,-358520000.0,-360480000.0,-350300000.0,-336190000.0,-298190000.0,-304590000.0,-283160000.0,-271820000.0,-255550000.0,-259500000.0,-238070000.0,-229610000.0,-214040000.0,-233100000.0,-203040000.0,-199940000.0,-182790000.0,-192240000.0,-182030000.0,-181440000.0,-170830000.0,-181910000.0,-177280000.0,-157410000.0,-150510000.0
Lucro bruto,973840000.0,928630000.0,1010000000.0,1030000000.0,962690000.0,918890000.0,865350000.0,901640000.0,863280000.0,708370000.0,817010000.0,810530000.0,786680000.0,756940000.0,730250000.0,760520000.0,663020000.0,670360000.0,784590000.0,838380000.0,708730000.0,647860000.0,668920000.0,655210000.0,591810000.0,617880000.0,617260000.0,611430000.0,609730000.0,525460000.00000006,566650000.0,539210000.0,519570000.00000006,525539999.99999994,448110000.0,476500000.0,409550000.0,371530000.0,368440000.0,373060000.0,370100000.0,374720000.0,384050000.0,366420000.0,359200000.0,361070000.0,342270000.0,329680000.0,345700000.0,333100000.0,296040000.0,274250000.0,254770000.0,270390000.0,216440000.0,200500000.0,197380000.0,201050000.0,214230000.0
Despesas operacionais,-357340000.0,-421750000.0,-371400000.0,-432820000.0,-306610000.0,-373380000.0,-317750000.0,-405350000.0,-397840000.0,-371880000.0,-326670000.0,-335710000.0,-295360000.0,-272700000.0,-301890000.0,-307350000.0,-362370000.0,-287710000.0,-350540000.0,-293290000.0,-308150000.0,-329480000.0,-298690000.0,-249860000.0,-303660000.0,-284190000.0,-273810000.0,-296720000.0,-320060000.0,-264360000.0,-295880000.0,-337590000.0,-299330000.0,-238830000.0,-202810000.0,-293530000.0,-218600000.0,-215690000.0,-198410000.0,-206700000.0,-225890000.0,-229710000.0,-178860000.0,-246280000.0,-179870000.0,-196100000.0,-164170000.0,-260230000.00000003,-184960000.0,-157250000.0,-130100000.0,-163490000.0,-125550000.0,-129100000.0,-103050000.0,-140280000.0,-131729999.99999999,-103130000.0,-105400000.0
EBIT,616500000.0,506870000.0,640780000.0,598090000.0,656080000.0,545510000.0,547610000.0,496290000.0,465440000.0,336480000.0,490340000.0,474820000.0,491330000.0,484240000.0,428360000.0,453170000.0,300660000.0,382650000.0,434050000.0,545090000.0,400580000.0,318380000.0,370240000.0,405350000.0,288150000.0,333700000.0,343450000.0,314700000.0,289670000.0,261100000.00000003,270770000.0,201620000.0,220240000.0,286710000.0,245300000.0,182960000.0,190950000.0,155840000.0,170030000.0,166360000.0,144210000.0,145010000.0,205190000.0,120140000.0,179330000.0,164970000.0,178100000.0,69450000.0,160740000.0,175850000.0,165940000.0,110760000.0,129220000.0,141290000.0,113390000.0,60220000.0,65650000.00000001,97920000.0,108830000.0
Resultado financeiro,-48830000.0,-53100000.0,-74530000.0,-141600000.0,-65030000.0,-45800000.0,-70540000.0,-67150000.0,-56870000.0,-63650000.0,-55330000.0,-66599999.99999999,-93260000.0,-59980000.0,-55340000.0,-62830000.0,-57420000.0,-31740000.0,-52790000.0,-45950000.0,-44060000.0,-44610000.0,-45780000.0,-48340000.0,-68130000.0,-33340000.000000004,-55830000.0,-122360000.0,-27300000.0,-39490000.0,-33020000.000000004,-40890000.0,-49540000.0,-44550000.0,-29300000.0,-41570000.0,-42880000.0,-35580000.0,-39450000.0,-33150000.0,-26020000.0,-25660000.0,-24730000.0,-22140000.0,-25840000.0,-24870000.0,-25560000.0,-45710000.0,-25990000.0,-27630000.0,-27180000.0,-29170000.0,-30120000.0,-33890000.0,-33479999.999999996,-33439999.999999996,-31110000.0,-31360000.0,-32350000.0
Antes dos impostos,567670000.0,453780000.0,566250000.0,456490000.0,591050000.0,499710000.0,477060000.0,429140000.0,408570000.0,272830000.0,435010000.0,408220000.0,398070000.0,424270000.0,373020000.0,390350000.0,243240000.0,350910000.0,381260000.0,499140000.0,356520000.0,273770000.0,324450000.0,357010000.0,220020000.0,300350000.0,287620000.0,192340000.0,262370000.0,221610000.0,237750000.0,160730000.0,170700000.0,242160000.0,216000000.0,141400000.0,148080000.0,120260000.0,130580000.00000001,133210000.00000001,118180000.0,119340000.0,180460000.0,97990000.0,153490000.0,140100000.0,152540000.0,23740000.0,134750000.0,148220000.0,138760000.0,81590000.0,99100000.0,107410000.0,79920000.0,26790000.0,34540000.0,66560000.0,76470000.0
Imposto,-190150000.0,-78180000.0,-186900000.0,-91670000.0,-194190000.0,-77610000.0,-157490000.0,-78180000.0,-133639999.99999999,-39120000.0,-143070000.0,-76230000.0,-130720000.0,-92450000.0,-126530000.0,-98990000.0,-78660000.0,-66530000.0,-125240000.0,-112820000.0,-112880000.0,-41240000.0,-106910000.0,-36990000.0,-88030000.0,-46790000.0,-100710000.0,-38150000.0,-87300000.0,-24750000.0,-77700000.0,-1800000.0,-56140000.0,-33080000.0,-71720000.0,-1970000.0,-48490000.0,-6940000.0,-44460000.0,-16620000.000000002,-39820000.0,-11990000.0,-61180000.0,-9970000.0,-51960000.0,-27610000.0,-51680000.0,11720000.0,-45500000.0,-29110000.0,-46830000.0,-7090000.0,-33490000.000000004,-16270000.0,-26880000.0,-5750000.0,-11550000.0,-12610000.0,-25520000.0
Op continuadas,377530000.0,375600000.0,379350000.0,364820000.0,396860000.0,422110000.0,319570000.0,350960000.0,274930000.0,233710000.0,291940000.0,331980000.0,267339999.99999997,331820000.0,246490000.0,291350000.0,164580000.0,284390000.0,256019999.99999997,386320000.0,243640000.0,232530000.0,217550000.0,320010000.0,132000000.0,253560000.0,186910000.0,154190000.0,175070000.0,196860000.0,160050000.0,158930000.0,114560000.0,209080000.0,144280000.0,139420000.0,99580000.0,113320000.0,86120000.0,116590000.0,78360000.0,107360000.0,119280000.0,88020000.0,101530000.0,112500000.0,100860000.0,35470000.0,89250000.0,119100000.0,91940000.0,74500000.0,65610000.0,91140000.0,53030000.0,21040000.0,23000000.0,53950000.0,50950000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
