Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,15000000000.0,6750000000.0,6560000000.0,7270000000.0,6450000000.0,0,0,0,0,5270000000.0,4870000000.0,5060000000.0,5150000000.0,4600000000.0,4680000000.0,4880000000.0,4440000000.0,4430000000.0,4040000000.0,4700000000.0,5410000000.0,4000000000.0,3880000000.0,4900000000.0,3810000000.0,3670000000.0,3700000000.0,4019999999.9999995,3540000000.0,3490000000.0,3560000000.0,3890000000.0,3750000000.0,3440000000.0,3030000000.0,3220000000.0,3200000000.0,2820000000.0,2470000000.0,2840000000.0,2820000000.0,2750000000.0,2790000000.0,3100000000.0,2770000000.0,2800000000.0,2650000000.0,2980000000.0,2710000000.0,2480000000.0,2590000000.0,2710000000.0,2590000000.0,2340000000.0,2300000000.0,2440000000.0,2350000000.0,2270000000.0,2160000000.0
Custos,-3990000000.0,-3870000000.0,-3980000000.0,-4240000000.0,-3940000000.0,0,0,0,0,-3530000000.0,-3120000000.0,-3360000000.0,-3320000000.0,-3060000000.0,-3050000000.0,-3000000000.0,-2940000000.0,-2820000000.0,-2420000000.0,-2860000000.0,-2380000000.0,-2560000000.0,-2340000000.0,-2480000000.0,-2310000000.0,-2150000000.0,-2140000000.0000002,-2430000000.0,-2049999999.9999998,-2240000000.0,-2060000000.0,-2570000000.0,-2240000000.0,-2270000000.0,-1940000000.0,-2140000000.0000002,-2260000000.0,-2109999999.9999998,-1760000000.0,-2140000000.0000002,-1990000000.0,-1830000000.0,-1680000000.0,-1910000000.0,-1640000000.0,-1730000000.0,-1540000000.0,-1800000000.0,-1590000000.0,-1570000000.0,-1510000000.0,-1590000000.0,-1640000000.0,-1440000000.0,-1370000000.0,-1380000000.0,-1360000000.0,-1300000000.0,-1150000000.0
Lucro bruto,11010000000.0,2880000000.0,2580000000.0,3020000000.0,2510000000.0,0,0,0,0,1730000000.0,1750000000.0,1700000000.0,1830000000.0,1530000000.0,1630000000.0,1890000000.0,1500000000.0,1610000000.0,1620000000.0,1840000000.0,3030000000.0,1430000000.0,1540000000.0,2420000000.0,1500000000.0,1520000000.0,1560000000.0,1590000000.0,1490000000.0,1250000000.0,1500000000.0,1320000000.0,1510000000.0,1170000000.0,1090000000.0,1090000000.0,935530000.0,717440000.0,709960000.0,702790000.0,837590000.0,924020000.0,1110000000.0,1200000000.0,1130000000.0,1060000000.0,1110000000.0,1180000000.0,1120000000.0,908420000.0,1080000000.0,1120000000.0,957120000.0,902420000.0,927270000.0,1070000000.0000001,991250000.0,970950000.0,1010000000.0
Despesas operacionais,-1150000000.0,-667840000.0,-922760000.0,-848970000.0,-800080000.0,0,0,0,0,-819380000.0,-619930000.0,-833760000.0,-602020000.0,-633270000.0,-524390000.0,-577310000.0,-509790000.0,-421090000.0,-617310000.0,-632760000.0,-472320000.0,-629560000.0,-399750000.0,-525000000.0,-371210000.0,-447940000.0,-477830000.0,-566300000.0,-342670000.0,-493250000.0,-465380000.0,-419730000.0,-445480000.0,-332370000.0,-457900000.0,-350470000.0,-249410000.0,-233240000.0,426300000.0,-441910000.0,-344620000.0,-479680000.0,-400710000.0,-354380000.0,-284880000.0,-348170000.0,-373040000.0,-346290000.0,-456640000.0,-268470000.0,-372380000.0,-481030000.0,-322630000.0,-254730000.0,-497890000.0,-336060000.0,-351270000.0,-367010000.0,-309980000.0
EBIT,9860000000.0,2220000000.0,1660000000.0,2170000000.0,1710000000.0,0,0,0,0,914110000.0,1130000000.0,866270000.0,1230000000.0,899220000.0,1100000000.0,1310000000.0,986200000.0,1190000000.0,1000000000.0,1210000000.0,2560000000.0,804370000.0,1140000000.0,1900000000.0,1130000000.0,1070000000.0000001,1080000000.0,1020000000.0,1150000000.0,759950000.0,1030000000.0,898290000.0,1060000000.0,839070000.0,628660000.0,737400000.0,686130000.0,484200000.0,1140000000.0,260880000.0,492980000.0,444340000.0,712500000.0,842250000.0,845280000.0,716160000.0,735140000.0,832650000.0,662090000.0,639950000.0,710560000.0,642820000.0,634490000.0,647690000.0,429380000.0,729980000.0,639980000.0,603940000.0,698260000.0
Resultado financeiro,-524539999.99999994,-461940000.0,-338190000.0,-887420000.0,-431000000.0,0,0,0,0,-324370000.0,340120000.0,-301240000.0,-520620000.0,248810000.0,-354370000.0,-179980000.0,-330640000.0,-675470000.0,-1980000000.0,-7720000.0,-719930000.0,-155580000.0,-150460000.0,29600000.0,-262769999.99999997,-837230000.0,-193930000.0,-403500000.0,222870000.0,-281220000.0,3800000.0,163380000.0,-176810000.0,372720000.0,340160000.0,-86680000.0,-1540000000.0,155390000.0,-985760000.0,-304040000.0,-337770000.0,-21580000.0,27520000.0,-183360000.0,-119940000.0,-207260000.0,27310000.0,97190000.0,-109410000.0,-332060000.0,42910000.0,-117520000.0,-510870000.0,45440000.0,-50690000.0,-102990000.0,62940000.0,-119980000.0,-219370000.0
Antes dos impostos,9330000000.0,1750000000.0,1320000000.0,1290000000.0,1280000000.0,0,0,0,0,589740000.0,1470000000.0,565030000.0,706480000.0,1150000000.0,750620000.0,1130000000.0,655560000.0,517090000.00000006,-977260000.0,1200000000.0,1840000000.0,648790000.0,991200000.0,1930000000.0,863510000.0,234690000.0,888670000.0,619730000.0,1370000000.0,478730000.0,1040000000.0,1060000000.0,886780000.0,1210000000.0,968820000.0,650720000.0,-853280000.0,639590000.0,150500000.0,-43150000.0,155210000.0,422760000.0,740020000.0,658890000.0,725350000.0,508910000.0,762450000.0,929850000.0,552690000.0,307890000.0,753480000.0,525299999.99999994,123620000.0,693130000.0,378690000.0,626990000.0,702920000.0,483960000.0,478890000.0
Imposto,-3220000000.0,-545200000.0,-500560000.0,-100280000.0,-431350000.0,0,0,0,0,-167280000.0,-498660000.0,2400000.0,-237950000.0,-374980000.0,-253760000.0,-299080000.0,-233980000.0,-138930000.0,319310000.0,-142330000.0,-629770000.0,-194420000.0,-343910000.0,-417860000.0,-298350000.0,-52810000.0,-308240000.0,-7120000.0,-468800000.0,-146920000.0,-361460000.0,-114770000.0,-312890000.0,-414260000.0,-340030000.0,-189790000.0,273140000.0,-302280000.0,167680000.0,74630000.0,-63710000.0,-120340000.0,-262440000.0,-68170000.0,-250380000.0,-147240000.0,-266250000.0,-164440000.0,-190920000.0,-15080000.0,-261560000.0,-32290000.0,-55660000.0,-213490000.0,-195900000.0,-52050000.0,-265899999.99999997,-164510000.0,-179840000.0
Op continuadas,6110000000.0,1210000000.0,823290000.0,1190000000.0,846290000.0,0,0,0,0,422460000.0,975540000.0,567430000.0,468530000.0,773050000.0,496860000.0,831530000.0,421580000.0,378160000.0,-657950000.0,1060000000.0,1210000000.0,454380000.0,647290000.0,1510000000.0,565160000.0,181890000.0,580430000.0,612620000.0,900520000.0,331810000.0,674360000.0,946890000.0,573890000.0,797530000.0,628790000.0,460930000.0,-580140000.0,337310000.0,318180000.0,31470000.0,91500000.0,302420000.0,477590000.0,590730000.0,474960000.0,361670000.0,496200000.0,765410000.0,361760000.0,292810000.0,491910000.0,493010000.0,67960000.0,479650000.0,182790000.0,574930000.0,437020000.0,319450000.0,299050000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
