Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,1650000000.0,2109999999.9999998,1990000000.0,1910000000.0,2049999999.9999998,2109999999.9999998,3020000000.0,2250000000.0,1380000000.0,2390000000.0,3500000000.0,1930000000.0,1140000000.0,1690000000.0,1570000000.0,1210000000.0,751270000.0,983910000.0,926810000.0,905420000.0,563110000.0,806800000.0,765330000.0,870510000.0,537590000.0,752670000.0,662700000.0,726820000.0,561030000.0,472930000.0,459120000.0,629640000.0,317620000.0,291190000.0,421200000.0,583620000.0,342700000.0,471000000.0,364270000.0,438610000.0,314190000.0,395600000.0,350780000.0,338690000.0,268660000.0,317300000.0,256870000.0,298890000.0,268250000.0,226780000.0,324810000.0,323580000.0,275680000.0,210100000.0,196280000.0,285280000.0,219830000.0,206420000.0,177190000.0
Custos,-1370000000.0,-1280000000.0,-1350000000.0,-1780000000.0,-1460000000.0,-1380000000.0,-1850000000.0,-1690000000.0,-1220000000.0,-1460000000.0,-2020000000.0,-1380000000.0,-934980000.0,-895670000.0,-868020000.0,-872610000.0,-734460000.0,-596450000.0,-599260000.0,-706340000.0,-625330000.0,-412250000.0,-513559999.99999994,-754940000.0,-423090000.0,-451240000.0,-348240000.0,-559510000.0,-405470000.0,-303450000.0,-274170000.0,-424830000.0,-277420000.0,-363400000.0,-347530000.0,-465870000.0,-255050000.0,-365190000.0,-242350000.0,-327760000.0,-260890000.0,-343160000.0,-234280000.0,-302250000.0,-212790000.0,-220610000.0,-184580000.0,-225680000.0,-195250000.0,-223180000.0,-220840000.0,-234390000.0,-149560000.0,-135880000.0,-121540000.0,-219880000.0,-141430000.0,-131610000.00000001,-176090000.0
Lucro bruto,279090000.0,831060000.0,646220000.0,133680000.0,586250000.0,732980000.0,1170000000.0,557030000.0,167230000.0,928370000.0,1480000000.0,549540000.0,208510000.0,792230000.0,697360000.0,338490000.0,16810000.0,387450000.0,327550000.0,199080000.0,-62230000.0,394560000.0,251770000.0,115570000.0,114500000.0,301430000.0,314460000.0,167310000.0,155560000.0,169480000.0,184950000.0,204810000.0,40200000.0,-72210000.0,73670000.0,117750000.0,87640000.0,105810000.0,121920000.0,110850000.0,53300000.0,52440000.0,116490000.0,36450000.0,55870000.0,96680000.0,72280000.0,73210000.0,73000000.0,3600000.0,103970000.0,89190000.0,126130000.0,74230000.0,74740000.0,65400000.00000001,78400000.0,74810000.0,1090000.0
Despesas operacionais,-206130000.0,-155900000.0,-147690000.0,-230740000.0,-171290000.0,-88980000.0,-194510000.0,-223880000.0,-119000000.0,-120050000.0,-163070000.0,-146680000.0,-23130000.0,-72340000.0,-92120000.0,-103350000.0,-51800000.0,-63410000.0,-70810000.0,-65190000.0,-47650000.0,-45770000.0,-65870000.00000001,-58590000.0,-45740000.0,-36840000.0,-47020000.0,26830000.0,-41460000.0,-31480000.0,-37730000.0,-20910000.0,-38620000.0,-31420000.0,-45210000.0,-48100000.0,-31830000.0,-31120000.0,-36570000.0,-50640000.0,-34460000.0,-27140000.0,-30050000.0,-34140000.0,-24940000.0,-24590000.0,-27130000.0,-34170000.0,-24620000.0,-21140000.0,-28730000.0,-37800000.0,-25580000.0,-21410000.0,-22600000.0,-34540000.0,-24670000.0,-17530000.0,-16910000.0
EBIT,72950000.0,675160000.0,498520000.0,-97060000.0,414960000.0,644000000.0,973280000.0,333140000.0,48230000.0,808310000.0,1320000000.0,402860000.0,185380000.0,719890000.0,605240000.0,235130000.0,-34990000.0,324050000.0,256740000.0,133889999.99999999,-109870000.0,348790000.0,185900000.0,56980000.0,68750000.0,264579999.99999997,267440000.0,194140000.0,114090000.0,137990000.0,147220000.0,183900000.0,1580000.0,-103630000.0,28460000.0,69650000.0,55810000.0,74690000.0,85350000.0,60200000.0,18840000.0,25310000.0,86450000.0,2310000.0,30930000.0,72100000.0,45150000.0,39050000.0,48380000.0,-17540000.0,75240000.0,51380000.0,100550000.0,52820000.0,52130000.0,30860000.0,53730000.0,57280000.0,-15820000.0
Resultado financeiro,-211050000.0,-224400000.0,-190400000.0,-199980000.0,-190930000.0,-172610000.0,-147750000.0,-223130000.0,-192760000.0,-131590000.0,-151980000.0,-166260000.0,-83660000.0,-68830000.0,-33800000.0,-4880000.0,-26400000.0,-34740000.0,-25730000.0,-45320000.0,-41310000.0,-36920000.0,-20500000.0,-17500000.0,-24970000.0,-15030000.0,-15180000.0,-31970000.0,-16059999.999999998,-22470000.0,-21950000.0,-26400000.0,-40690000.0,-11640000.0,-35750000.0,-23750000.0,-44990000.0,-14760000.0,-35340000.0,-42060000.0,-19020000.0,-19160000.0,-21490000.0,-9980000.0,-8100000.0,-17820000.0,11000000.0,25500000.0,-39520000.0,-40230000.0,-18340000.0,-3160000.0,-6130000.0,11520000.0,-17930000.0,-17640000.0,-24020000.0,-13890000.0,13400000.0
Antes dos impostos,-138090000.0,450760000.0,308120000.0,-297050000.0,224030000.0,471390000.0,825520000.0,110020000.0,-144530000.0,676720000.0,1160000000.0,236600000.0,101720000.0,651060000.0,571430000.0,230250000.0,-61390000.0,289310000.0,231010000.0,88570000.0,-151180000.0,311870000.0,165400000.0,39480000.0,43790000.0,249550000.0,252260000.0,162160000.0,98030000.0,115520000.0,125270000.0,157500000.0,-39110000.0,-115270000.0,-7280000.0,45900000.0,10820000.0,59930000.0,50010000.0,18150000.0,-179000.0,6140000.0,64959999.99999999,-7670000.0,22830000.0,54280000.0,56150000.0,64550000.0,8850000.0,-57770000.0,56900000.0,48230000.0,94420000.0,64340000.0,34200000.0,13210000.0,29710000.0,43390000.0,-2420000.0
Imposto,120810000.0,-129340000.0,-79170000.0,144060000.0,-56760000.0,-122680000.0,-250550000.0,22420000.0,66190000.0,-191140000.0,-366560000.0,-43640000.0,12030000.0,-203820000.0,-194630000.0,-36080000.0,25680000.0,-93220000.0,-74610000.0,97000.0,54220000.0,-99920000.0,-54020000.0,-6020000.0,-8199999.999999999,-81360000.0,-83000000.0,-25540000.0,-27530000.0,-37330000.0,-41330000.0,-43450000.0,17890000.0,40750000.0,4610000.0,-10560000.0,-1310000.0,-16820000.0,-16800000.0,-875000.0,2890000.0,-72000.0,-20870000.0,5950000.0,-7630000.0,-17580000.0,-9710000.0,-13700000.0,-9160000.0,12500000.0,-23740000.0,-15220000.0,-31810000.0,-22330000.0,-11820000.0,-1970000.0,-11940000.0,-13440000.0,2080000.0
Op continuadas,-17280000.0,321410000.0,228940000.0,-152990000.0,167270000.0,348720000.0,574980000.0,132430000.0,-78340000.0,485580000.0,797060000.0,192960000.0,113750000.0,447240000.0,376800000.0,194170000.0,-35710000.0,196090000.0,156400000.0,88670000.0,-96960000.0,211950000.0,111380000.0,33460000.0,35590000.0,168200000.0,169260000.0,136630000.0,70500000.0,78190000.0,83940000.0,114050000.0,-21210000.0,-74520000.0,-2670000.0,35340000.0,9520000.0,43110000.0,33210000.0,17270000.0,2710000.0,6070000.0,44090000.0,-1730000.0,15200000.0,36690000.0,46440000.0,50850000.0,-303000.0,-45270000.0,33159999.999999996,33000000.0,62610000.0,42010000.0,22370000.0,11240000.0,17770000.0,29950000.0,-342000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
