Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,990990000.0,911110000.0,731320000.0,1300000000.0,688960000.0,682500000.0,692910000.0,509360000.0,463790000.0,847720000.0,795650000.0,716960000.0,942320000.0,904320000.0,908450000.0,1170000000.0,943980000.0,760070000.0,688400000.0,472490000.0,597750000.0,427500000.0,342250000.0,495770000.0,431240000.0,374260000.0,333970000.0,360570000.0,214900000.0,169270000.0,332320000.0,298130000.0,364610000.0,323360000.0,404970000.0,459510000.0,348240000.0,392190000.0,342530000.0,346440000.0,622100000.0,259730000.00000003,267540000.00000003,309180000.0,612040000.0,263360000.0,263269999.99999997,244680000.0,527620000.0,176520000.0,178050000.0,187030000.0,465260000.0,150610000.0,157950000.0,170040000.0,298300000.0,164970000.0,165290000.0
Custos,-387020000.0,-343920000.0,-119150000.0,-638670000.0,-255410000.0,-240190000.0,-106450000.0,-197090000.0,-137840000.0,-93800000.0,-69710000.0,-125420000.0,-195020000.0,-131500000.0,-197050000.0,-292540000.0,-253750000.0,-282360000.0,-219330000.0,-211460000.0,-193100000.0,-88280000.0,-81180000.0,-185590000.0,-83640000.0,-52940000.0,-40190000.0,-86860000.0,-47240000.0,-25700000.0,-37980000.0,-63440000.0,-49830000.0,-21350000.0,-14570000.0,-33760000.0,-37240000.0,-25610000.0,-21880000.0,-58350000.0,-42720000.0,-32110000.0,-37710000.0,-75020000.0,-45010000.0,-47530000.0,-51020000.0,-32080000.0,-34240000.0,-13870000.0,-15230000.0,-25450000.0,-13750000.0,-12760000.0,-12130000.0,-23030000.0,-15510000.0,-14060000.0,-17980000.0
Lucro bruto,603970000.0,567190000.0,612170000.0,662180000.0,433560000.0,442310000.0,586470000.0,312260000.0,325950000.0,753920000.0,725930000.0,591540000.0,747300000.0,772820000.0,711400000.0,876300000.0,690230000.0,477710000.0,469070000.0,261040000.00000003,404650000.0,339220000.0,261070000.0,310180000.0,347600000.0,321330000.0,293780000.0,273700000.0,167660000.0,143580000.0,294340000.0,234690000.0,314780000.0,302000000.0,390400000.0,425750000.0,310990000.0,366590000.0,320650000.0,288090000.0,579390000.0,227620000.0,229820000.0,234160000.0,567030000.0,215820000.0,212250000.0,212600000.0,493380000.0,162650000.0,162820000.0,161580000.0,451510000.0,137850000.0,145820000.0,147010000.0,282790000.0,150920000.0,147310000.0
Despesas operacionais,57750000.0,79340000.0,98600000.0,48900000.0,-10780000.0,32409999.999999996,143150000.0,-88200000.0,70850000.0,171210000.0,169360000.0,98410000.0,108920000.0,242220000.0,162640000.0,237450000.0,196090000.0,110470000.0,137380000.0,126670000.0,47910000.0,79870000.0,-6930000.0,27610000.0,50990000.0,42630000.0,35740000.0,67460000.0,-19250000.0,-25990000.0,24760000.0,23910000.0,36540000.0,17850000.0,51050000.0,40870000.0,1590000.0,34940000.0,36170000.0,15810000.0,162980000.0,4300000.0,7540000.0,-975000.0,127410000.0,-18090000.0,-16440000.000000002,-22810000.0,39830000.0,-12290000.0,14910000.0,-14460000.0,-10780000.0,-8160000.0,-7050000.0,-15440000.0,-10440000.0,-10830000.0,-9600000.0
EBIT,661720000.0,646530000.0,710770000.0,711080000.0,422780000.0,474720000.0,729620000.0,224060000.0,396800000.0,925130000.0,895290000.0,689950000.0,856210000.0,1020000000.0,874040000.0,1110000000.0,886320000.0,588180000.0,606450000.0,387710000.0,452560000.0,419090000.0,254130000.0,337790000.0,398590000.0,363960000.0,329520000.0,341160000.0,148410000.0,117580000.0,319100000.0,258600000.00000003,351320000.0,319850000.0,441460000.0,466620000.0,312590000.0,401530000.0,356810000.0,303900000.0,742360000.0,231920000.0,237360000.0,233190000.0,694440000.0,197730000.0,195810000.0,189780000.0,533220000.0,150360000.0,177730000.0,147110000.0,440740000.0,129690000.0,138770000.0,131570000.0,272350000.0,140090000.0,137710000.0
Resultado financeiro,-210580000.0,-202910000.0,-303910000.0,-192440000.0,-180600000.0,-246170000.0,-281700000.0,-163040000.0,-85760000.0,-260579999.99999997,-228180000.0,-223510000.0,-230360000.0,-173140000.0,-183100000.0,-192920000.0,-119290000.0,-28460000.0,-134860000.0,-74220000.0,-48810000.0,-71600000.0,-64180000.00000001,-41450000.0,-63080000.0,-54710000.0,-51950000.0,-51250000.0,-47380000.0,-53060000.0,-70900000.0,-74270000.0,-92960000.0,-99870000.0,-133789999.99999999,-118510000.0,-96740000.0,-115550000.0,-137390000.0,-103390000.0,-88760000.0,-119700000.0,-102260000.0,-115440000.0,-98200000.0,-91960000.0,-63860000.0,-57630000.0,-58780000.0,-62490000.0,-68360000.0,-65129999.99999999,-38900000.0,-38920000.0,-35770000.0,-34350000.0,-24930000.0,-31680000.0,-33660000.0
Antes dos impostos,451130000.0,443620000.0,406850000.0,518640000.0,242180000.0,228540000.0,447920000.0,61020000.0,311040000.0,664550000.0,667110000.0,466430000.0,625850000.0,841910000.0,690950000.0,920840000.0,767030000.0,559720000.0,471590000.0,313490000.0,403760000.0,347500000.0,189960000.0,296340000.0,335510000.0,309240000.0,277570000.0,289910000.0,101030000.0,64519999.99999999,248200000.0,184320000.0,258360000.0,219980000.0,307670000.0,348120000.0,215850000.0,285980000.0,219420000.0,200510000.0,653600000.0,112220000.0,135100000.0,117750000.0,596240000.0,105770000.0,131949999.99999999,132150000.0,474440000.0,87870000.0,109370000.0,81990000.0,401830000.0,90770000.0,103000000.0,97220000.0,247430000.0,108400000.0,104050000.0
Imposto,-41850000.0,-40480000.0,-32830000.0,-38080000.0,40050000.0,-6910000.0,-61150000.0,-38210000.0,-8590000.0,-100530000.0,-107190000.0,-43350000.0,-88970000.0,-144020000.0,-135090000.0,-170750000.0,-109660000.0,-95490000.0,-80350000.0,-32220000.0,-45920000.0,-40070000.0,-30370000.0,-27150000.0,-40780000.0,-33090000.000000004,-46350000.0,-12350000.0,-3700000.0,7510000.0,-46840000.0,-707000.0,-40800000.0,-12780000.0,-53990000.0,-40140000.0,-56860000.0,-45460000.0,-17490000.0,15120000.0,-155980000.0,-32140000.0,-23600000.0,23610000.0,-118290000.0,-3370000.0,39200000.0,-12280000.0,-174900000.0,-13920000.0,-13540000.0,-9090000.0,-124910000.0,-18030000.0,-30170000.0,18110000.0,-75670000.0,-36130000.0,-34780000.0
Op continuadas,409280000.0,403140000.0,374030000.0,480560000.0,282230000.0,221640000.0,386770000.0,22820000.0,302450000.0,564020000.0,559920000.0,423080000.0,536890000.0,697890000.0,555850000.0,750090000.0,657370000.0,464230000.0,391240000.0,281270000.0,357840000.0,307420000.0,159580000.0,269190000.0,294730000.0,276160000.0,231230000.0,277560000.0,97330000.0,72030000.0,201370000.0,183620000.0,217560000.0,207210000.0,253690000.0,307980000.0,158990000.0,240520000.0,201930000.0,215640000.0,497620000.0,80080000.0,111510000.0,141360000.0,477950000.0,102400000.0,171150000.0,119870000.0,299540000.0,73950000.0,95820000.0,72900000.0,276920000.0,72750000.0,72830000.0,115330000.0,171760000.0,72270000.0,69260000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,409280000.0,403140000.0,374030000.0,480560000.0,282230000.0,221640000.0,386770000.0,22820000.0,302450000.0,564020000.0,559920000.0,423080000.0,536890000.0,697890000.0,555850000.0,750090000.0,657370000.0,464230000.0,391240000.0,281270000.0,357840000.0,307420000.0,159580000.0,269190000.0,294730000.0,276160000.0,231230000.0,277560000.0,97330000.0,72030000.0,201370000.0,183620000.0,217560000.0,207210000.0,253690000.0,307980000.0,158990000.0,240520000.0,201930000.0,215640000.0,497620000.0,80080000.0,111510000.0,141360000.0,477950000.0,102400000.0,171150000.0,119870000.0,299540000.0,73950000.0,95820000.0,72900000.0,276920000.0,72750000.0,72830000.0,115330000.0,171760000.0,72270000.0,69260000.0
Dos controladores,409280000.0,403140000.0,374030000.0,480560000.0,282230000.0,221640000.0,368770000.0,22820000.0,302450000.0,564020000.0,559920000.0,423080000.0,536890000.0,697890000.0,555850000.0,750090000.0,657370000.0,464230000.0,391240000.0,281270000.0,357610000.0,307200000.0,159580000.0,269190000.0,294730000.0,276160000.0,231230000.0,277560000.0,97330000.0,72030000.0,201370000.0,183620000.0,217560000.0,207210000.0,253690000.0,307980000.0,158990000.0,240520000.0,201930000.0,215640000.0,497620000.0,80080000.0,111510000.0,141360000.0,477950000.0,102400000.0,171150000.0,119870000.0,299540000.0,73950000.0,95820000.0,72900000.0,276920000.0,72750000.0,72830000.0,115330000.0,171760000.0,72270000.0,69260000.0
Dos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230000.0,227000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
