Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020
Receita líquida,3500000000.0,2800000000.0,2680000000.0,3030000000.0,2400000000.0,1760000000.0,1800000000.0,2160000000.0,1960000000.0,1500000000.0,1270000000.0,1640000000.0,1730000000.0,1210000000.0,769270000.0,1000000000.0,853630000.0,791260000.0,466440000.0
Custos,-2870000000.0,-2080000000.0,-2180000000.0,-2600000000.0,-2029999999.9999998,-1580000000.0,-1540000000.0,-1770000000.0,-1720000000.0,-1240000000.0,-1120000000.0,-1440000000.0,-1520000000.0,-1020000000.0,-662030000.0,-823200000.0,-702890000.0,-672350000.0,-413820000.0
Lucro bruto,630550000.0,716200000.0,500780000.0,426730000.0,374870000.0,184250000.0,260160000.00000003,390780000.0,241230000.0,253090000.0,158190000.0,195270000.0,213000000.0,185540000.0,107250000.0,177910000.0,150730000.0,118920000.0,52620000.0
Despesas operacionais,-289350000.0,-337590000.0,-314880000.0,-298270000.0,-213150000.0,-143410000.0,-149490000.0,-152440000.0,-142220000.0,-99300000.0,-111690000.0,-119430000.0,-100730000.0,-70030000.0,-57270000.0,-30120000.0,-62120000.0,-47350000.0,-33110000.0
EBIT,341200000.0,378610000.0,185900000.0,128460000.00000001,161730000.0,40840000.0,110660000.0,238340000.0,99020000.0,153790000.0,46500000.0,75840000.0,112270000.0,115510000.0,49970000.0,147780000.0,88620000.0,71560000.0,19510000.0
Resultado financeiro,113350000.0,-162100000.0,-9060000.0,32759999.999999996,-46410000.0,17130000.0,-16450000.0,-12070000.0,2580000.0,6400000.0,5760000.0,22170000.0,-15310000.0,24470000.0,-5080000.0,-27040000.0,10330000.0,-34430000.0,-20890000.0
Antes dos impostos,454550000.0,216510000.0,176840000.0,161220000.0,115320000.0,57970000.0,94210000.0,226270000.0,101600000.0,160190000.0,52260000.0,98010000.0,96970000.0,139980000.0,44890000.0,120750000.0,98950000.0,37130000.0,-1380000.0
Imposto,-136180000.0,-70860000.0,-20400000.0,14420000.0,102550000.0,18980000.0,9130000.0,-2260000.0,67560000.0,-38970000.0,4520000.0,69050000.0,970000.0,-25700000.0,6150000.0,-9290000.0,-2330000.0,-2040000.0,4490000.0
Op continuadas,318380000.0,145640000.0,156440000.0,175650000.0,217870000.0,76950000.0,103340000.0,224010000.0,169160000.0,121220000.0,56780000.0,167060000.0,97940000.0,114280000.0,51040000.0,111450000.0,96610000.0,35090000.0,3100000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,318380000.0,145640000.0,156440000.0,175650000.0,217870000.0,76950000.0,103340000.0,224010000.0,169160000.0,121220000.0,56780000.0,167060000.0,97940000.0,114280000.0,51040000.0,111450000.0,96610000.0,35090000.0,3100000.0
Dos controladores,318730000.0,146280000.0,157420000.0,173210000.0,219140000.0,78360000.0,104570000.0,224280000.0,169150000.0,121220000.0,56780000.0,0,0,0,,,,,
Dos não controladores,-359000.0,-634000.0,-986000.0,2440000.0,-1280000.0,-1410000.0,-1230000.0,-271000.0,8000.0,0,0,0,0,0,,,,,
