Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,6820000000.0,6350000000.0,6220000000.0,6780000000.0,6710000000.0,6890000000.0,7260000000.0,7660000000.0,8430000000.0,8529999999.999999,7840000000.0,8050000000.000001,9030000000.0,9600000000.0,7070000000.0,5470000000.0,4380000000.0,2420000000.0,3810000000.0,3870000000.0,3850000000.0,3690000000.0,3530000000.0,3430000000.0,3860000000.0,3200000000.0,3240000000.0,3080000000.0,2740000000.0,2570000000.0,2350000000.0,2120000000.0,2270000000.0,2029999999.9999998,2040000000.0,2400000000.0,2420000000.0,2680000000.0,2680000000.0,2590000000.0,2910000000.0,3110000000.0,3140000000.0,3190000000.0,3200000000.0,3240000000.0,3190000000.0,3210000000.0,3390000000.0,3230000000.0,2880000000.0,2810000000.0,3000000000.0,3030000000.0,3060000000.0,3090000000.0,3240000000.0,3590000000.0,3040000000.0
Custos,-6400000000.0,-6020000000.0,-5820000000.0,-6640000000.0,-6540000000.0,-6300000000.0,-6370000000.0,-6890000000.0,-7430000000.0,-6340000000.0,-6130000000.0,-6020000000.0,-5890000000.0,-5950000000.0,-4600000000.0,-3900000000.0,-3490000000.0,-2150000000.0,-3300000000.0,-3580000000.0,-3370000000.0,-3090000000.0,-3040000000.0,-3050000000.0,-3220000000.0,-2620000000.0,-2630000000.0,-2660000000.0,-2380000000.0,-2190000000.0,-1870000000.0,-1860000000.0,-2000000000.0,-2029999999.9999998,-2080000000.0,-2470000000.0,-2530000000.0,-2570000000.0,-2440000000.0,-2530000000.0,-2780000000.0,-2770000000.0,-2620000000.0,-2760000000.0,-2740000000.0,-2870000000.0,-2990000000.0,-3090000000.0,-3300000000.0,-3110000000.0,-2730000000.0,-2590000000.0,-2650000000.0,-2610000000.0,-2760000000.0,-2890000000.0,-2440000000.0,-2760000000.0,-2340000000.0
Lucro bruto,413690000.0,328240000.0,398950000.0,145220000.0,175360000.0,582470000.0,884790000.0,773150000.0,1000000000.0,2190000000.0,1720000000.0,2029999999.9999998,3140000000.0,3640000000.0,2460000000.0,1570000000.0,891890000.0,278980000.0,512850000.0,296300000.0,475840000.0,606470000.0,495990000.0,375870000.0,644330000.0,582790000.0,612100000.0,414460000.0,357670000.0,382230000.0,480740000.0,259410000.00000003,265800000.0,2700000.0,-40580000.0,-66750000.0,-109690000.0,105380000.0,243620000.0,58150000.0,124860000.0,334060000.0,519700000.00000006,436940000.0,455460000.0,376240000.0,207170000.0,119390000.0,90760000.0,118600000.0,152440000.0,227350000.0,348050000.0,420050000.0,298720000.0,201210000.0,803420000.0,826350000.0,699880000.0
Despesas operacionais,-262510000.0,-355820000.0,-267910000.00000003,227970000.0,-420010000.0,-452010000.0,-344340000.0,-1800000000.0,-362000000.0,-470470000.0,-384970000.0,198530000.0,-864110000.0,1180000000.0,-301120000.0,535679999.99999994,-320390000.0,-321020000.0,-222330000.0,-105140000.0,-276600000.0,-277360000.0,-262980000.00000003,-266870000.0,-216220000.0,-342390000.0,-247340000.0,-291850000.0,-200090000.0,-300000.0,-258990000.0,51000000.0,-272850000.0,-259350000.00000003,-227710000.0,-2109999999.9999998,-335610000.0,-1160000000.0,-196170000.0,-56980000.0,-60580000.0,-73530000.0,-138920000.0,-214350000.0,-181050000.0,-209760000.0,-169770000.0,-262690000.0,-217890000.0,-130940000.0,-177250000.0,-194030000.0,-103190000.0,-184620000.0,-119510000.0,-46680000.0,-242130000.0,-134199999.99999999,-147410000.0
EBIT,151170000.0,-27580000.0,131050000.00000001,373190000.0,-244650000.0,130460000.00000001,540450000.0,-1020000000.0,641970000.0,1720000000.0,1330000000.0,2230000000.0,2270000000.0,4830000000.0,2160000000.0,2109999999.9999998,571500000.0,-42040000.0,290520000.0,191160000.0,199240000.0,329100000.0,233010000.0,109000000.0,428110000.0,240400000.0,364760000.0,122610000.0,157580000.0,381930000.0,221750000.0,310400000.0,-7050000.0,-256649999.99999997,-268290000.00000003,-2170000000.0,-445300000.0,-1060000000.0,47450000.0,1170000.0,64280000.0,260529999.99999997,380770000.0,222590000.0,274420000.0,166480000.0,37400000.0,-143300000.0,-127130000.0,-12340000.0,-24810000.0,33320000.0,244860000.0,235440000.0,179210000.0,154530000.0,561300000.0,692140000.0,552480000.0
Resultado financeiro,55830000.0,-196610000.0,-155700000.0,65290000.00000001,-97810000.0,205470000.0,193440000.0,187970000.0,170880000.0,-248070000.0,501710000.0,309310000.0,-420020000.0,1330000000.0,-375740000.0,224410000.0,-167820000.0,-281460000.0,-857630000.0,154430000.0,-444730000.0,-83760000.0,-135780000.0,637790000.0,-134390000.0,-276580000.0,-133770000.00000001,-172080000.0,-64959999.99999999,-171290000.0,-54580000.0,-87050000.0,-159280000.0,114620000.0,101550000.0,-24090000.0,-820080000.0,-40630000.0,-360900000.0,-213760000.0,-232450000.0,-58560000.0,-18060000.0,-265180000.0,-117570000.0,-276310000.0,-236150000.0,-107920000.0,-116420000.0,-237290000.0,-29510000.0,56660000.0,-195770000.0,45620000.0,43470000.0,41320000.0,144150000.0,-90260000.0,-81990000.0
Antes dos impostos,207000000.0,-224190000.0,-24660000.0,438470000.0,-342470000.0,335930000.0,733890000.0,-834700000.0,812850000.0,1470000000.0,1830000000.0,2540000000.0,1850000000.0,6160000000.0,1790000000.0,2330000000.0,403680000.0,-323490000.0,-567110000.0,345590000.0,-245490000.0,245340000.0,97230000.0,746790000.0,293720000.0,-36180000.0,230990000.0,-49470000.0,92620000.0,210630000.0,167170000.0,223350000.0,-166330000.0,-142030000.0,-166740000.0,-2200000000.0,-1270000000.0,-1100000000.0,-313450000.0,-212590000.0,-168170000.0,201970000.0,362710000.0,-42590000.0,156850000.0,-109830000.0,-198750000.0,-251220000.0,-243550000.0,-249630000.0,-54330000.0,89980000.0,49090000.0,281050000.0,222680000.0,195850000.0,705450000.0,601890000.0,470480000.0
Imposto,-22380000.0,124460000.0,60300000.0,536049999.99999994,176880000.0,-48570000.0,-189810000.0,-4090000.0,-204280000.0,-408840000.0,-568820000.0,-53020000.0,-27510000.0,-1610000000.0,-581630000.0,-420190000.0,-205600000.0,-71570000.0,143130000.0,-77440000.0,106510000.0,-74100000.0,-20960000.0,-345360000.0,-4590000.0,17130000.0,-73800000.0,4620000.0,-16710000.0,-34920000.0,-58850000.0,-418320000.0,59190000.0,18680000.0,15360000.0,569250000.0,223220000.0,319380000.0,78070000.0,95260000.0,143740000.0,-73360000.0,-141090000.0,89600000.0,-42240000.0,87710000.0,76050000.0,-98900000.0,118700000.0,163120000.0,17530000.0,-12500000.0,104940000.0,-124450000.0,-81740000.0,46190000.0,-239590000.0,-239820000.0,-134710000.0
Op continuadas,184620000.0,-99730000.0,35650000.0,974520000.0,-165590000.0,287360000.0,544080000.0,-838780000.0,608580000.0,1060000000.0,1260000000.0,2490000000.0,1820000000.0,4540000000.0,1200000000.0,1910000000.0,198080000.0,-395060000.0,-423980000.0,268149999.99999997,-138980000.0,171250000.0,76280000.0,401430000.0,289130000.0,-19050000.0,157190000.0,-44850000.0,75900000.0,175710000.0,108320000.0,-194970000.0,-107140000.0,-123360000.0,-151380000.0,-1630000000.0,-1040000000.0,-780800000.0,-235380000.0,-117330000.0,-24430000.0,128610000.00000001,221630000.0,47000000.0,114610000.0,-22120000.0,-122690000.0,-350120000.0,-124850000.0,-86510000.0,-36800000.0,77480000.0,154030000.0,156600000.0,140940000.0,242040000.0,465860000.0,362070000.0,335770000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-124920000.0,37830000.0,47970000.0,52670000.0,39430000.0
