Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,52980000000.0,51730000000.0,41890000000.0,64500000000.0,51960000000.0,47760000000.0,43840000000.0,62730000000.0,52080000000.0,54970000000.0,56720000000.0,73320000000.0,64420000000.0,86990000000.0,68790000000.0,76510000000.0,57910000000.0,40430000000.0,31250000000.0,41020000000.0,40660000000.0,36000000000.0,30950000000.0,37460000000.0,37860000000.0,31230000000.0,27930000000.0,29830000000.0,28600000000.0,23360000000.0,26740000000.0,30650000000.0,21830000000.0,21580000000.0,20570000000.0,15240000000.0,23350000000.0,21440000000.0,18030000000.0,23150000000.0,20630000000.0,22080000000.0,22410000000.0,29960000000.0,28190000000.0,22110000000.0,21230000000.0,24460000000.0,22740000000.0,24580000000.0,20460000000.0,29300000000.0,26790000000.0,23910000000.0,22020000000.0,26490000000.0,25680000000.0,18470000000.0,12580000000.0
Custos,-34830000000.0,-33130000000.000004,-26590000000.0,-34090000000.000004,-30850000000.0,-29360000000.0,-25720000000.0,-37600000000.0,-33040000000.0,-29380000000.0,-24170000000.0,-36290000000.0,-28630000000.0,-28760000000.0,-23590000000.0,-23170000000.0,-25890000000.0,-22670000000.0,-19210000000.0,-23180000000.0,-22630000000.0,-20280000000.0,-17750000000.0,-21940000000.0,-22830000000.0,-19460000000.0,-16969999999.999998,-18830000000.0,-17100000000.000002,-16460000000.0,-14870000000.0,-16870000000.000002,-14100000000.0,-15100000000.0,-15070000000.0,-13800000000.0,-18020000000.0,-15970000000.0,-14990000000.0,-17540000000.0,-14810000000.0,-13570000000.0,-13170000000.0,-15180000000.0,-14290000000.0,-12230000000.0,-10810000000.0,-13560000000.0,-13450000000.0,-12850000000.0,-10920000000.0,-14050000000.0,-10110000000.0,-9060000000.0,-9230000000.0,-10380000000.0,-9000000000.0,-7730000000.0,-6640000000.0
Lucro bruto,18150000000.0,18600000000.0,15300000000.0,30420000000.0,21110000000.0,18400000000.0,18120000000.0,25130000000.0,19040000000.0,25600000000.0,32549999999.999996,37030000000.0,35790000000.0,58230000000.0,45200000000.0,53330000000.0,32009999999.999996,17770000000.0,12040000000.0,17840000000.0,18040000000.0,15720000000.0,13200000000.0,15510000000.0,15040000000.0,11770000000.0,10960000000.0,11000000000.0,11500000000.0,6900000000.0,11880000000.0,13780000000.0,7730000000.0,6470000000.0,5510000000.0,1440000000.0,5330000000.0,5470000000.0,3040000000.0,5610000000.0,5820000000.0,8520000000.0,9240000000.0,14790000000.0,13900000000.0,9880000000.0,10420000000.0,10900000000.0,9290000000.0,11740000000.0,9540000000.0,15260000000.0,16670000000.000002,14860000000.0,12780000000.0,16110000000.0,16670000000.000002,10740000000.0,5950000000.0
Despesas operacionais,-937000000.0,2360000000.0,-2570000000.0,-10530000000.0,-4610000000.0,-4190000000.0000005,-3450000000.0,-6410000000.0,-3790000000.0,-4750000000.0,2970000000.0,-22610000000.0,-2810000000.0,-6240000000.0,-3260000000.0,-33830000000.0,-5300000000.0,-9450000000.0,-4010000000.0,-28360000000.0,-3150000000.0,-11450000000.0,-19600000000.0,-4219999999.9999995,-2020000000.0,-2760000000.0,-1110000000.0,-3330000000.0,-1690000000.0,-2160000000.0,431510000.0,-6110000000.0,-933540000.0,-5160000000.0,-564100000.0,-35590000000.0,-3640000000.0,-1540000000.0,-1700000000.0,-4780000000.0,-2130000000.0,-3060000000.0,-1640000000.0,-8820000000.0,-2740000000.0,-2300000000.0,-1690000000.0,-17020000000.0,-3590000000.0,-3600000000.0,-2220000000.0,-3980000000.0,-2560000000.0,-1760000000.0,1010000000.0,-3300000000.0,-2120000000.0,-1690000000.0,-1920000000.0
EBIT,17210000000.0,20960000000.0,12730000000.0,19890000000.0,16500000000.0,14210000000.0,14670000000.0,18720000000.0,15240000000.0,20840000000.0,35520000000.0,14420000000.0,32979999999.999996,52000000000.0,41940000000.0,19500000000.0,26710000000.0,8320000000.0,8020000000.0,-10520000000.0,14880000000.0,4280000000.0000005,-6400000000.0,11300000000.0,13020000000.0,9010000000.0,9860000000.0,7670000000.0,9820000000.0,4740000000.0,12310000000.0,7670000000.0,6800000000.0,1310000000.0,4940000000.0,-34150000000.0,1680000000.0,3940000000.0,1340000000.0,834940000.0,3690000000.0,5450000000.0,7590000000.0,5970000000.0,11160000000.0,7580000000.0,8720000000.0,-6120000000.0,5700000000.0,8140000000.000001,7330000000.0,11280000000.0,14110000000.0,13100000000.0,13790000000.0,12810000000.0,14560000000.0,9040000000.0,4030000000.0000005
Resultado financeiro,-2069999999.9999998,-6610000000.0,-2180000000.0,-4310000000.0,-1920000000.0,-714000000.0,-2770000000.0,-3440000000.0,12170000000.0,4030000000.0000005,-1380000000.0,17750000000.0,-1820000000.0,2060000000.0,-185000000.0,-3700000000.0,-7380000000.0,-2590000000.0,-10490000000.0,-3460000000.0,-4560000000.0,-2840000000.0,-2590000000.0,-98340000.0,-4960000000.0,-10930000000.0,-2069999999.9999998,-4170000000.0,753980000.0,-4340000000.0,-1890000000.0,-2049999999.9999998,-3390000000.0,7020000000.0,4720000000.0,417060000.0,-25850000000.0,1620000000.0,-13680000000.0,-7160000000.0,-7790000000.0,-128550000.00000001,327630000.0,-9520000000.0,-1250000000.0,-7010000000.0,-667000000.0,-1450000000.0,-1860000000.0,-5140000000.0,205060000.0,-1100000000.0,-5880000000.0,894940000.0,-267420000.00000003,-474760000.0,64720000.0,-1020000000.0,-1340000000.0
Antes dos impostos,15140000000.0,14350000000.0,10550000000.0,15580000000.0,14580000000.0,13490000000.0,11900000000.0,15280000000.0,27410000000.0,24870000000.0,34140000000.0,32170000000.0,31160000000.0,54060000000.0,41760000000.0,15810000000.0,19330000000.0,5730000000.0,-2470000000.0,-13980000000.0,10330000000.0,1440000000.0,-8990000000.0,11200000000.0,8060000000.000001,-1920000000.0,7780000000.0,3500000000.0,10570000000.0,402760000.0,10410000000.0,5620000000.0,3410000000.0,8330000000.0,9660000000.0,-33729999999.999996,-24170000000.0,5560000000.0,-12340000000.0,-6330000000.0,-4099999999.9999995,5330000000.0,7920000000.0,-3550000000.0,9910000000.0,568360000.0,8060000000.000001,-7580000000.0,3840000000.0,3000000000.0,7530000000.0,10180000000.0,8230000000.0,13990000000.0,13520000000.0,12330000000.0,14620000000.0,8029999999.999999,2700000000.0
Imposto,-1870000000.0,237000000.0,-2210000000.0,-3480000000.0,-616000000.0,-8740000000.0,-2160000000.0,4380000000.0,-4179999999.9999995,-4400000000.0,-10990000000.0,-1930000000.0,-2420000000.0,-11020000000.0,-9950000000.0,-2620000000.0,-4260000000.0,-854830000.0,3100000000.0,5790000000.0,-3870000000.0,-1860000000.0,2440000000.0,3460000000.0,-2450000000.0,2290000000.0,-2340000000.0,514890000.0,-3060000000.0,155340000.0,-2220000000.0,-154790000.0,-1410000000.0,-4620000000.0,-3380000000.0,173150000.0,17079999999.999998,-561090000.0,2650000000.0,1220000000.0,749740000.0,-2240000000.0,-2340000000.0,-11520000000.0,-2049999999.9999998,171420000.0,-1860000000.0,2029999999.9999998,-716310000.0,2180000000.0,-925590000.0,-2000000000.0,-379420000.0,-3810000000.0,-2320000000.0,-2120000000.0,-3970000000.0,-1300000000.0,353450000.0
Op continuadas,13270000000.0,14590000000.0,8330000000.0,12100000000.0,13970000000.0,4750000000.0,9730000000.0,19660000000.0,23230000000.0,20470000000.0,23160000000.0,30240000000.0,28740000000.0,43040000000.0,31810000000.0,13190000000.0,15070000000.0,4880000000.0,636940000.0,-8189999999.999999,6460000000.0,-418870000.0,-6550000000.0,14660000000.0,5610000000.0,370580000.0,5440000000.0,4010000000.0,7510000000.0,558090000.0,8199999999.999999,5470000000.0,1990000000.0,3710000000.0,6280000000.0,-33560000000.000004,-7090000000.0,5000000000.0,-9690000000.0,-5100000000.0,-3350000000.0,3090000000.0,5580000000.0,-15060000000.0,7870000000.0,739770000.0,6200000000.0,-5550000000.0,3120000000.0,5190000000.0,6610000000.0,8170000000.0,7850000000.0,10180000000.0,11200000000.0,10210000000.0,10650000000.0,6730000000.0,3050000000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,9810000000.0,6000000.0,-47000000.0,-8380000000.000001,-2880000000.0,-1170000000.0,-8880000000.0,0,0,0,0,0,0,0,-437000.0,0,-39090000.0,-270910000.0,-1600000000.0,-346010000.0,-388110000.0,-257100000.00000003,-4000000000.0,-127330000.0,-72250000.0,45200000.0,-660300000.0,0,0,0,0,0,0,0,117320000.0,-28470000.0,23000000.0,-116000000.0,-11830000.0,32009999.999999996,0,0,0,0,0,0,-568000.0,14610000.0,-11870000.0,-224450000.0
