Ano,Dividendos,Cotação,DY
2024,"2,820687","R$ 35,70","7,90%"
2023,"4,563162","R$ 39,01","11,70%"
2022,"6,445661","R$ 31,33","20,57%"
2021,"6,547635","R$ 39,00","16,79%"
2020,"0,499087","R$ 45,00","1,11%"
2019,"3,162148","R$ 38,91","8,13%"
2018,"0,473300","R$ 23,03","2,06%"
2017,"0,183006","R$ 22,00","0,83%"
2016,"1,750783","R$ 25,00","7,00%"
2015,"1,035882","R$ 26,50","3,91%"
2014,"0,622800","R$ 25,00","2,49%"
2013,"0,584400","R$ 32,01","1,83%"
2011,"2,000985","R$ 46,00","4,35%"
2010,"3,671868","R$ 31,66","11,60%"
2009,"3,376834","R$ 29,21","11,56%"
2008,"3,215758","R$ 27,49","11,70%"
2007,"1,266850","R$ 31,50","4,02%"
