Ano,Dividendos,Cotação,DY
2024,"0,151705","R$ 5,83","2,60%"
2023,"0,283548","R$ 4,69","6,05%"
2022,"0,251379","R$ 5,24","4,80%"
2021,"0,175557","R$ 2,28","7,70%"
2020,"0,064863","R$ 4,00","1,62%"
2019,"0,513954","R$ 8,37","6,14%"
2018,"1,418035","R$ 8,89","15,95%"
2017,"0,882855","R$ 23,52","3,75%"
2016,"0,558500","R$ 27,89","2,00%"
2015,"0,770100","R$ 33,59","2,29%"
2014,"1,906400","R$ 41,67","4,57%"
2013,"2,354100","R$ 65,65","3,59%"
2012,"2,365500","R$ 56,99","4,15%"
2011,"1,652400","R$ 48,20","3,43%"
2010,"1,109400","R$ 13,45","8,25%"
