Ano,Dividendos,Cotação,DY
2025,"2,413265","R$ 30,99","7,79%"
2024,"2,413265","R$ 30,73","7,85%"
2023,"1,256640","R$ 33,97","3,70%"
2022,"1,018140","R$ 25,00","4,07%"
2021,"0,909348","R$ 20,95","4,34%"
2020,"1,303560","R$ 31,63","4,12%"
2019,"2,804560","R$ 37,10","7,56%"
2018,"1,657400","R$ 35,50","4,67%"
2017,"0,324500","R$ 42,58","0,76%"
2016,"0,834400","R$ 33,85","2,46%"
2015,"1,318600","R$ 26,33","5,01%"
2014,"0,523600","R$ 34,60","1,51%"
2013,"0,863400","R$ 31,35","2,75%"
2012,"1,005800","R$ 33,39","3,01%"
2011,"0,940400","R$ 33,99","2,77%"
2010,"0,845900","R$ 39,79","2,13%"
2009,"0,377600","R$ 38,69","0,98%"
