"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","4,97","6,75","4,68","6,28","8,92","4,83","
                    
                    8,39
                    
                ","
                    
                    7,77
                    
                ","
                    
                    7,81
                    
                ","
                    
                    5,24
                    
                ","
                    
                    5,43
                    
                ","
                    
                    6,75
                    
                ","
                    
                    9,75
                    
                ","
                    
                    7,38
                    
                ","
                    
                    7,69
                    
                ","
                    
                    12,03
                    
                "
"P/VP","0,75","0,98","0,72","0,77","0,67","0,63","
                    
                    0,96
                    
                ","
                    
                    0,99
                    
                ","
                    
                    1,10
                    
                ","
                    
                    0,78
                    
                ","
                    
                    0,77
                    
                ","
                    
                    0,94
                    
                ","
                    
                    1,32
                    
                ","
                    
                    1,16
                    
                ","
                    
                    1,15
                    
                ","
                    
                    1,49
                    
                "
"P/EBIT","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"PSR","0,65","1,06","0,92","0,88","0,49","0,96","
                    
                    1,08
                    
                ","
                    
                    1,30
                    
                ","
                    
                    1,58
                    
                ","
                    
                    0,52
                    
                ","
                    
                    0,83
                    
                ","
                    
                    1,15
                    
                ","
                    
                    1,67
                    
                ","
                    
                    1,44
                    
                ","
                    
                    1,68
                    
                ","
                    
                    2,48
                    
                "
"P/Ativos","0,07","0,10","0,07","0,07","0,07","0,07","
                    
                    0,11
                    
                ","
                    
                    0,11
                    
                ","
                    
                    0,12
                    
                ","
                    
                    0,08
                    
                ","
                    
                    0,08
                    
                ","
                    
                    0,10
                    
                ","
                    
                    0,16
                    
                ","
                    
                    0,17
                    
                ","
                    
                    0,16
                    
                ","
                    
                    0,25
                    
                "
"LPA","3,92","3,48","3,27","2,34","1,32","2,16","
                    
                    1,71
                    
                ","
                    
                    1,71
                    
                ","
                    
                    1,66
                    
                ","
                    
                    1,52
                    
                ","
                    
                    1,27
                    
                ","
                    
                    1,08
                    
                ","
                    
                    0,93
                    
                ","
                    
                    0,96
                    
                ","
                    
                    0,83
                    
                ","
                    
                    0,62
                    
                "
"VPA","26,07","24,00","21,28","19,09","17,53","16,52","
                    
                    14,98
                    
                ","
                    
                    13,42
                    
                ","
                    
                    11,83
                    
                ","
                    
                    10,26
                    
                ","
                    
                    8,95
                    
                ","
                    
                    7,77
                    
                ","
                    
                    6,86
                    
                ","
                    
                    6,13
                    
                ","
                    
                    5,51
                    
                ","
                    
                    4,98
                    
                "
"EBIT por ação","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Ativo por ação","282,87","244,41","232,03","201,73","176,97","151,42","
                    
                    133,76
                    
                ","
                    
                    117,55
                    
                ","
                    
                    104,92
                    
                ","
                    
                    97,95
                    
                ","
                    
                    84,75
                    
                ","
                    
                    70,55
                    
                ","
                    
                    55,07
                    
                ","
                    
                    42,92
                    
                ","
                    
                    40,09
                    
                ","
                    
                    30,15
                    
                "
"Receita líquida por ação","30,19","22,24","16,66","16,72","24,13","10,86","
                    
                    13,25
                    
                ","
                    
                    10,22
                    
                ","
                    
                    8,19
                    
                ","
                    
                    15,26
                    
                ","
                    
                    8,29
                    
                ","
                    
                    6,31
                    
                ","
                    
                    5,42
                    
                ","
                    
                    4,96
                    
                ","
                    
                    3,77
                    
                ","
                    
                    2,99
                    
                "
