"Conta","3T2024 (TTM)","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010"
"P/L","7,92","10,70","9,20","4,50","6,35","11,65","
                    
                    6,12
                    
                ","
                    
                    6,24
                    
                ","
                    
                    27,45
                    
                ","
                    
                    78,66
                    
                ","
                    
                    3,03
                    
                ","
                    
                    -33,20
                    
                ","
                    
                    16,48
                    
                ","
                    
                    -83,48
                    
                ","
                    
                    31,06
                    
                ","
                    
                    -26,79
                    
                "
"P/VP","1,03","1,11","1,12","1,06","0,92","1,24","
                    
                    1,23
                    
                ","
                    
                    1,04
                    
                ","
                    
                    1,12
                    
                ","
                    
                    0,91
                    
                ","
                    
                    0,73
                    
                ","
                    
                    0,76
                    
                ","
                    
                    0,81
                    
                ","
                    
                    0,83
                    
                ","
                    
                    0,80
                    
                ","
                    
                    0,89
                    
                "
"P/EBIT","7,75","13,06","8,96","3,39","5,12","8,48","
                    
                    5,80
                    
                ","
                    
                    4,90
                    
                ","
                    
                    -4.051,83
                    
                ","
                    
                    -21,72
                    
                ","
                    
                    3,47
                    
                ","
                    
                    -16,21
                    
                ","
                    
                    17,55
                    
                ","
                    
                    -35,19
                    
                ","
                    
                    43,32
                    
                ","
                    
                    -10,88
                    
                "
"PSR","1,89","2,29","1,93","1,22","1,65","1,97","
                    
                    1,95
                    
                ","
                    
                    2,05
                    
                ","
                    
                    4,07
                    
                ","
                    
                    4,65
                    
                ","
                    
                    1,46
                    
                ","
                    
                    2,91
                    
                ","
                    
                    1,94
                    
                ","
                    
                    2,98
                    
                ","
                    
                    4,52
                    
                ","
                    
                    51,40
                    
                "
"P/Ativos","0,60","0,67","0,70","0,70","0,59","0,68","
                    
                    0,80
                    
                ","
                    
                    0,67
                    
                ","
                    
                    0,85
                    
                ","
                    
                    0,73
                    
                ","
                    
                    0,54
                    
                ","
                    
                    0,54
                    
                ","
                    
                    0,61
                    
                ","
                    
                    0,63
                    
                ","
                    
                    0,61
                    
                ","
                    
                    0,70
                    
                "
"LPA","2,87","2,21","2,62","5,07","3,09","1,16","
                    
                    1,72
                    
                ","
                    
                    1,23
                    
                ","
                    
                    0,27
                    
                ","
                    
                    0,08
                    
                ","
                    
                    1,76
                    
                ","
                    
                    -0,13
                    
                ","
                    
                    0,28
                    
                ","
                    
                    -0,05
                    
                ","
                    
                    0,14
                    
                ","
                    
                    -0,18
                    
                "
"VPA","22,10","21,23","21,40","21,58","21,26","10,92","
                    
                    8,58
                    
                ","
                    
                    7,36
                    
                ","
                    
                    6,50
                    
                ","
                    
                    6,70
                    
                ","
                    
                    7,32
                    
                ","
                    
                    5,69
                    
                ","
                    
                    5,72
                    
                ","
                    
                    5,44
                    
                ","
                    
                    5,55
                    
                ","
                    
                    5,40
                    
                "
"EBIT por ação","2,93","1,81","2,69","6,72","3,84","1,60","
                    
                    1,82
                    
                ","
                    
                    1,57
                    
                ","
                    
                    -0,00
                    
                ","
                    
                    -0,28
                    
                ","
                    
                    1,54
                    
                ","
                    
                    -0,27
                    
                ","
                    
                    0,26
                    
                ","
                    
                    -0,13
                    
                ","
                    
                    0,10
                    
                ","
                    
                    -0,44
                    
                "
"Ativo por ação","37,54","35,11","34,16","32,58","33,39","19,91","
                    
                    13,22
                    
                ","
                    
                    11,49
                    
                ","
                    
                    8,60
                    
                ","
                    
                    8,33
                    
                ","
                    
                    9,91
                    
                ","
                    
                    8,07
                    
                ","
                    
                    7,51
                    
                ","
                    
                    7,17
                    
                ","
                    
                    7,32
                    
                ","
                    
                    6,91
                    
                "
"Receita líquida por ação","11,98","10,31","12,47","18,68","11,89","6,87","
                    
                    5,41
                    
                ","
                    
                    3,74
                    
                ","
                    
                    1,79
                    
                ","
                    
                    1,32
                    
                ","
                    
                    3,65
                    
                ","
                    
                    1,48
                    
                ","
                    
                    2,38
                    
                ","
                    
                    1,52
                    
                ","
                    
                    0,99
                    
                ","
                    
                    0,09
                    
                "
