"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018"
"P/L","-65,98","-45,88","55,23","41,95","91,45","-","
                    
                    -
                    
                "
"P/VP","10,63","1,50","3,34","5,14","3,41","-","
                    
                    -
                    
                "
"P/EBIT","15,57","2,89","4,95","18,39","31,75","-","
                    
                    -
                    
                "
"PSR","3,05","0,53","0,93","3,16","5,84","-","
                    
                    -
                    
                "
"P/Ativos","1,32","0,22","0,36","1,24","2,49","-","
                    
                    -
                    
                "
"LPA","-1,70","-0,34","0,38","0,86","0,27","-","
                    
                    -
                    
                "
"VPA","10,57","10,43","6,32","7,05","7,19","-","
                    
                    -
                    
                "
"EBIT por ação","7,22","5,40","4,26","1,97","0,77","-","
                    
                    -
                    
                "
"Ativo por ação","84,84","69,70","59,16","29,10","9,84","-","
                    
                    -
                    
                "
"Receita líquida por ação","36,81","29,17","22,69","11,47","4,20","-","
                    
                    -
                    
                "
"Margem bruta","21,47%","23,76%","22,18%","21,74%","22,63%","22,61%","
                    
                    22,01%
                    
                "
"Margem líquida","-2,17%","1,16%","2,87%","8,81%","7,06%","7,32%","
                    
                    10,19%
                    
                "
"Margem EBIT","19,61%","18,52%","18,78%","17,15%","18,40%","17,47%","
                    
                    15,11%
                    
                "
"Margem EBITDA","28,08%","27,01%","27,62%","26,98%","28,16%","27,25%","
                    
                    --%
                    
                "
"Margem operacional","0,23%","4,78%","5,34%","11,62%","10,62%","9,21%","
                    
                    8,35%
                    
                "
"ROE","-4,72%","2,17%","8,37%","12,94%","4,04%","16,97%","
                    
                    21,57%
                    
                "
"ROA","-0,01","0,00","0,01","0,03","0,03","0,06","
                    
                    0,09
                    
                "
"Giro do ativo","0,43","0,42","0,38","0,39","0,43","0,78","
                    
                    0,84
                    
                "
"EBITDA","1.726 mi","1.315 mi","1.046 mi","516 mi","197 mi","131 mi","
                    
                    --
                    
                "
"Liquidez corrente","3,01","2,37","2,41","1,67","5,23","1,71","
                    
                    1,15
                    
                "
"Liquidez seca","2,84","2,25","2,35","1,61","5,23","1,71","
                    
                    1,15
                    
                "
"Liquidez imediata","1,83","1,34","1,57","0,88","3,57","0,59","
                    
                    0,17
                    
                "
"Dívida bruta","8.594 mi","7.135 mi","7.101 mi","2.667 mi","207 mi","320 mi","
                    
                    201 mi
                    
                "
"Dívida líquida","4.877 mi","4.227 mi","4.191 mi","1.874 mi","-385 mi","243 mi","
                    
                    179 mi
                    
                "
"Capital de giro","3.907 mi","2.794 mi","2.571 mi","602 mi","700 mi","94 mi","
                    
                    18 mi
                    
                "
"Endividamento geral","402,10%","345,51%","660,49%","272,60%","34,14%","197,91%","
                    
                    151,83%
                    
                "
