"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","3,93","4,53","3,14","3,99","5,09","3,13","
                    
                    7,42
                    
                ","
                    
                    6,97
                    
                ","
                    
                    7,64
                    
                ","
                    
                    2,43
                    
                ","
                    
                    3,29
                    
                ","
                    
                    2,25
                    
                ","
                    
                    3,17
                    
                ","
                    
                    2,83
                    
                ","
                    
                    3,17
                    
                ","
                    
                    3,83
                    
                "
"P/VP","0,78","0,93","0,63","0,58","0,55","0,57","
                    
                    1,02
                    
                ","
                    
                    0,87
                    
                ","
                    
                    0,79
                    
                ","
                    
                    0,49
                    
                ","
                    
                    0,53
                    
                ","
                    
                    0,51
                    
                ","
                    
                    0,64
                    
                ","
                    
                    0,60
                    
                ","
                    
                    0,74
                    
                ","
                    
                    1,08
                    
                "
"P/EBIT","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"PSR","0,54","0,60","0,42","0,60","0,52","0,44","
                    
                    0,69
                    
                ","
                    
                    0,51
                    
                ","
                    
                    0,37
                    
                ","
                    
                    0,19
                    
                ","
                    
                    0,28
                    
                ","
                    
                    0,34
                    
                ","
                    
                    0,41
                    
                ","
                    
                    0,38
                    
                ","
                    
                    0,52
                    
                ","
                    
                    0,69
                    
                "
"P/Ativos","0,06","0,07","0,05","0,04","0,04","0,04","
                    
                    0,06
                    
                ","
                    
                    0,05
                    
                ","
                    
                    0,04
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,03
                    
                ","
                    
                    0,03
                    
                ","
                    
                    0,04
                    
                ","
                    
                    0,04
                    
                ","
                    
                    0,05
                    
                ","
                    
                    0,06
                    
                "
"LPA","6,17","5,87","5,39","3,42","2,18","3,12","
                    
                    2,21
                    
                ","
                    
                    1,90
                    
                ","
                    
                    1,38
                    
                ","
                    
                    2,46
                    
                ","
                    
                    1,96
                    
                ","
                    
                    2,76
                    
                ","
                    
                    2,15
                    
                ","
                    
                    2,14
                    
                ","
                    
                    2,05
                    
                ","
                    
                    1,77
                    
                "
"VPA","31,00","28,55","26,84","23,42","20,37","17,26","
                    
                    16,05
                    
                ","
                    
                    15,27
                    
                ","
                    
                    13,30
                    
                ","
                    
                    12,33
                    
                ","
                    
                    12,18
                    
                ","
                    
                    12,19
                    
                ","
                    
                    10,68
                    
                ","
                    
                    10,15
                    
                ","
                    
                    8,81
                    
                ","
                    
                    6,30
                    
                "
"EBIT por ação","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Ativo por ação","425,22","385,29","359,98","347,01","311,04","270,60","
                    
                    258,10
                    
                ","
                    
                    248,69
                    
                ","
                    
                    262,84
                    
                ","
                    
                    264,30
                    
                ","
                    
                    241,00
                    
                ","
                    
                    213,66
                    
                ","
                    
                    182,89
                    
                ","
                    
                    155,36
                    
                ","
                    
                    128,69
                    
                ","
                    
                    115,27
                    
                "
"Receita líquida por ação","45,01","44,19","40,07","22,73","21,24","22,41","
                    
                    23,60
                    
                ","
                    
                    26,12
                    
                ","
                    
                    28,85
                    
                ","
                    
                    31,55
                    
                ","
                    
                    23,36
                    
                ","
                    
                    18,07
                    
                ","
                    
                    16,43
                    
                ","
                    
                    15,72
                    
                ","
                    
                    12,46
                    
                ","
                    
                    9,77
                    
                "
