"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","7,77","9,56","6,08","8,35","11,67","5,90","
                    
                    11,38
                    
                ","
                    
                    13,26
                    
                ","
                    
                    10,23
                    
                ","
                    
                    7,27
                    
                ","
                    
                    8,64
                    
                ","
                    
                    11,06
                    
                ","
                    
                    12,37
                    
                ","
                    
                    11,61
                    
                ","
                    
                    12,97
                    
                ","
                    
                    15,82
                    
                "
"P/VP","0,76","0,90","0,82","1,25","1,34","1,00","
                    
                    1,79
                    
                ","
                    
                    1,76
                    
                ","
                    
                    1,54
                    
                ","
                    
                    1,41
                    
                ","
                    
                    1,60
                    
                ","
                    
                    1,87
                    
                ","
                    
                    2,01
                    
                ","
                    
                    2,30
                    
                ","
                    
                    2,70
                    
                ","
                    
                    3,04
                    
                "
"P/EBIT","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"PSR","0,66","0,78","0,78","1,78","2,42","1,35","
                    
                    2,36
                    
                ","
                    
                    1,65
                    
                ","
                    
                    1,12
                    
                ","
                    
                    1,13
                    
                ","
                    
                    1,38
                    
                ","
                    
                    1,73
                    
                ","
                    
                    1,79
                    
                ","
                    
                    1,59
                    
                ","
                    
                    2,05
                    
                ","
                    
                    2,12
                    
                "
"P/Ativos","0,07","0,09","0,08","0,13","0,14","0,12","
                    
                    0,20
                    
                ","
                    
                    0,18
                    
                ","
                    
                    0,14
                    
                ","
                    
                    0,13
                    
                ","
                    
                    0,13
                    
                ","
                    
                    0,15
                    
                ","
                    
                    0,17
                    
                ","
                    
                    0,17
                    
                ","
                    
                    0,20
                    
                ","
                    
                    0,25
                    
                "
"LPA","1,49","1,42","1,95","2,06","1,55","2,12","
                    
                    1,79
                    
                ","
                    
                    1,38
                    
                ","
                    
                    1,42
                    
                ","
                    
                    1,62
                    
                ","
                    
                    1,42
                    
                ","
                    
                    1,13
                    
                ","
                    
                    1,07
                    
                ","
                    
                    1,04
                    
                ","
                    
                    0,94
                    
                ","
                    
                    0,75
                    
                "
"VPA","15,31","15,15","14,50","13,82","13,50","12,57","
                    
                    11,38
                    
                ","
                    
                    10,38
                    
                ","
                    
                    9,44
                    
                ","
                    
                    8,35
                    
                ","
                    
                    7,66
                    
                ","
                    
                    6,67
                    
                ","
                    
                    6,58
                    
                ","
                    
                    5,22
                    
                ","
                    
                    4,51
                    
                ","
                    
                    3,92
                    
                "
"EBIT por ação","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Ativo por ação","155,34","149,24","141,28","133,47","128,93","107,78","
                    
                    104,51
                    
                ","
                    
                    98,96
                    
                ","
                    
                    101,64
                    
                ","
                    
                    89,00
                    
                ","
                    
                    91,96
                    
                ","
                    
                    82,89
                    
                ","
                    
                    79,34
                    
                ","
                    
                    70,79
                    
                ","
                    
                    59,68
                    
                ","
                    
                    47,96
                    
                "
"Receita líquida por ação","17,63","17,33","15,18","9,65","7,50","9,30","
                    
                    8,66
                    
                ","
                    
                    11,07
                    
                ","
                    
                    12,95
                    
                ","
                    
                    10,43
                    
                ","
                    
                    8,86
                    
                ","
                    
                    7,23
                    
                ","
                    
                    7,39
                    
                ","
                    
                    7,56
                    
                ","
                    
                    5,95
                    
                ","
                    
                    5,61
                    
                "
"Margem bruta","14,93%","11,93%","16,16%","36,80%","-2,98%","33,80%","
                    
                    22,36%
                    
                ","
                    
                    21,15%
                    
                ","
                    
                    31,53%
                    
                ","
                    
                    -9,64%
                    
                ","
                    
                    10,06%
                    
                ","
                    
                    9,63%
                    
                ","
                    
                    19,63%
                    
                ","
                    
                    12,19%
                    
                ","
                    
                    23,13%
                    
                ","
                    
                    23,23%
                    
                "
"Margem líquida","8,45%","8,20%","12,83%","21,36%","20,72%","22,81%","
                    
                    20,70%
                    
                ","
                    
                    12,44%
                    
                ","
                    
                    10,95%
                    
                ","
                    
                    15,49%
                    
                ","
                    
                    15,99%
                    
                ","
                    
                    15,60%
                    
                ","
                    
                    14,46%
                    
                ","
                    
                    13,71%
                    
                ","
                    
                    15,83%
                    
                ","
                    
                    13,41%
                    
                "
"Margem EBIT","--%","--%","--%","--%","--%","--%","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                "
"Margem EBITDA","--%","--%","--%","--%","--%","--%","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                "
"Margem operacional","4,34%","2,62%","10,75%","24,13%","0,53%","11,51%","
                    
                    18,43%
                    
                ","
                    
                    10,56%
                    
                ","
                    
                    15,02%
                    
                ","
                    
                    2,76%
                    
                ","
                    
                    12,56%
                    
                ","
                    
                    11,15%
                    
                ","
                    
                    12,31%
                    
                ","
                    
                    11,38%
                    
                ","
                    
                    15,77%
                    
                ","
                    
                    13,22%
                    
                "
"ROE","9,73%","9,38%","13,44%","14,92%","11,51%","16,89%","
                    
                    15,76%
                    
                ","
                    
                    13,27%
                    
                ","
                    
                    15,02%
                    
                ","
                    
                    19,33%
                    
                ","
                    
                    18,51%
                    
                ","
                    
                    16,93%
                    
                ","
                    
                    16,25%
                    
                ","
                    
                    19,84%
                    
                ","
                    
                    20,86%
                    
                ","
                    
                    19,19%
                    
                "
"ROA","0,01","0,01","0,01","0,02","0,01","0,02","
                    
                    0,02
                    
                ","
                    
                    0,01
                    
                ","
                    
                    0,01
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,01
                    
                ","
                    
                    0,01
                    
                ","
                    
                    0,01
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,02
                    
                "
"Giro do ativo","0,11","0,12","0,11","0,07","0,06","0,09","
                    
                    0,08
                    
                ","
                    
                    0,11
                    
                ","
                    
                    0,13
                    
                ","
                    
                    0,12
                    
                ","
                    
                    0,10
                    
                ","
                    
                    0,09
                    
                ","
                    
                    0,09
                    
                ","
                    
                    0,11
                    
                ","
                    
                    0,10
                    
                ","
                    
                    0,12
                    
                "
"EBITDA","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Liquidez corrente","--","--","--","--","--","0,86","
                    
                    0,88
                    
                ","
                    
                    0,79
                    
                ","
                    
                    0,73
                    
                ","
                    
                    0,78
                    
                ","
                    
                    0,91
                    
                ","
                    
                    0,89
                    
                ","
                    
                    0,89
                    
                ","
                    
                    1,13
                    
                ","
                    
                    1,05
                    
                ","
                    
                    1,14
                    
                "
"Liquidez seca","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Liquidez imediata","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Dívida bruta","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Dívida líquida","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Capital de giro","--","--","--","--","--","-93.083 mi","
                    
                    -78.640 mi
                    
                ","
                    
                    -140.478 mi
                    
                ","
                    
                    -194.946 mi
                    
                ","
                    
                    -134.962 mi
                    
                ","
                    
                    -60.878 mi
                    
                ","
                    
                    -64.193 mi
                    
                ","
                    
                    -64.237 mi
                    
                ","
                    
                    58.257 mi
                    
                ","
                    
                    17.508 mi
                    
                ","
                    
                    40.509 mi
                    
                "
"Endividamento geral","--%","--%","--%","--%","--%","--%","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                "
