"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","2.264,14","9,74","9,25","11,62","7,27","237,55","
                    
                    -2,68
                    
                ","
                    
                    -13,01
                    
                ","
                    
                    23,53
                    
                ","
                    
                    -6,57
                    
                ","
                    
                    -8,26
                    
                ","
                    
                    -15,11
                    
                ","
                    
                    -31,69
                    
                ","
                    
                    73,23
                    
                ","
                    
                    139,35
                    
                ","
                    
                    42,76
                    
                "
"P/VP","4,03","23,51","11,91","10,64","6,04","-13,63","
                    
                    -11,27
                    
                ","
                    
                    51,44
                    
                ","
                    
                    8,81
                    
                ","
                    
                    -13,69
                    
                ","
                    
                    7,20
                    
                ","
                    
                    10,71
                    
                ","
                    
                    8,18
                    
                ","
                    
                    6,20
                    
                ","
                    
                    5,74
                    
                ","
                    
                    5,94
                    
                "
"P/EBIT","1,35","2,00","2,49","3,42","2,83","2,62","
                    
                    5,03
                    
                ","
                    
                    3,69
                    
                ","
                    
                    5,17
                    
                ","
                    
                    5,71
                    
                ","
                    
                    5,82
                    
                ","
                    
                    10,32
                    
                ","
                    
                    14,70
                    
                ","
                    
                    11,77
                    
                ","
                    
                    13,29
                    
                ","
                    
                    21,73
                    
                "
"PSR","0,10","0,15","0,19","0,26","0,26","0,22","
                    
                    0,21
                    
                ","
                    
                    0,30
                    
                ","
                    
                    0,48
                    
                ","
                    
                    0,55
                    
                ","
                    
                    0,49
                    
                ","
                    
                    0,87
                    
                ","
                    
                    1,40
                    
                ","
                    
                    0,84
                    
                ","
                    
                    0,85
                    
                ","
                    
                    1,20
                    
                "
"P/Ativos","0,08","0,14","0,28","0,35","0,30","0,29","
                    
                    0,26
                    
                ","
                    
                    0,31
                    
                ","
                    
                    0,52
                    
                ","
                    
                    0,63
                    
                ","
                    
                    0,48
                    
                ","
                    
                    0,95
                    
                ","
                    
                    1,41
                    
                ","
                    
                    0,95
                    
                ","
                    
                    1,11
                    
                ","
                    
                    1,49
                    
                "
"LPA","0,00","0,69","1,07","0,99","1,15","0,03","
                    
                    -2,08
                    
                ","
                    
                    -0,46
                    
                ","
                    
                    0,32
                    
                ","
                    
                    -1,32
                    
                ","
                    
                    -0,69
                    
                ","
                    
                    -0,52
                    
                ","
                    
                    -0,32
                    
                ","
                    
                    0,07
                    
                ","
                    
                    0,03
                    
                ","
                    
                    0,12
                    
                "
"VPA","1,23","0,29","0,83","1,08","1,38","-0,46","
                    
                    -0,50
                    
                ","
                    
                    0,12
                    
                ","
                    
                    0,86
                    
                ","
                    
                    -0,63
                    
                ","
                    
                    0,79
                    
                ","
                    
                    0,73
                    
                ","
                    
                    1,24
                    
                ","
                    
                    0,88
                    
                ","
                    
                    0,83
                    
                ","
                    
                    0,86
                    
                "
"EBIT por ação","3,66","3,38","3,99","3,35","2,95","2,41","
                    
                    1,11
                    
                ","
                    
                    1,63
                    
                ","
                    
                    1,46
                    
                ","
                    
                    1,52
                    
                ","
                    
                    0,98
                    
                ","
                    
                    0,76
                    
                ","
                    
                    0,69
                    
                ","
                    
                    0,46
                    
                ","
                    
                    0,36
                    
                ","
                    
                    0,24
                    
                "
"Ativo por ação","59,23","47,09","35,24","33,05","27,87","21,79","
                    
                    21,12
                    
                ","
                    
                    19,60
                    
                ","
                    
                    14,63
                    
                ","
                    
                    13,69
                    
                ","
                    
                    11,93
                    
                ","
                    
                    8,20
                    
                ","
                    
                    7,19
                    
                ","
                    
                    5,76
                    
                ","
                    
                    4,33
                    
                ","
                    
                    3,44
                    
                "
"Receita líquida por ação","48,61","44,28","51,01","44,40","31,96","28,20","
                    
                    26,70
                    
                ","
                    
                    19,93
                    
                ","
                    
                    15,89
                    
                ","
                    
                    15,68
                    
                ","
                    
                    11,51
                    
                ","
                    
                    8,99
                    
                ","
                    
                    7,21
                    
                ","
                    
                    6,55
                    
                ","
                    
                    5,61
                    
                ","
                    
                    4,28
                    
                "
"Margem bruta","21,13%","20,50%","18,52%","17,23%","19,76%","19,23%","
                    
                    17,57%
                    
                ","
                    
                    18,48%
                    
                ","
                    
                    19,54%
                    
                ","
                    
                    20,19%
                    
                ","
                    
                    19,37%
                    
                ","
                    
                    20,63%
                    
                ","
                    
                    20,91%
                    
                ","
                    
                    15,10%
                    
                ","
                    
                    19,01%
                    
                ","
                    
                    18,14%
                    
                "
