"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016"
"P/L","4,98","9,03","4,44","5,33","5,97","3,76","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"P/VP","0,52","0,47","0,25","0,33","0,48","0,34","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"P/EBIT","--","--","--","--","--","--","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"PSR","0,30","0,25","0,16","0,28","0,49","0,38","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"P/Ativos","0,05","0,04","0,02","0,03","0,06","0,07","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"LPA","0,76","0,35","0,39","0,41","0,56","0,63","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"VPA","7,30","6,73","6,75","6,62","7,08","6,91","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"EBIT por ação","--","--","--","--","--","--","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"Ativo por ação","81,27","80,01","80,61","63,32","52,16","35,34","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"Receita líquida por ação","12,62","12,53","10,72","7,99","6,91","6,20","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"Margem bruta","25,72%","19,99%","25,54%","40,69%","53,11%","47,71%","
                    
                    42,22%
                    
                ","
                    
                    30,78%
                    
                ","
                    
                    1,53%
                    
                "
"Margem líquida","6,05%","2,80%","3,62%","5,19%","8,16%","10,17%","
                    
                    5,31%
                    
                ","
                    
                    0,95%
                    
                ","
                    
                    2,12%
                    
                "
"Margem EBIT","--%","--%","--%","--%","--%","--%","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                "
"Margem EBITDA","--%","--%","--%","--%","--%","--%","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                "
"Margem operacional","5,60%","-1,74%","-1,10%","1,51%","10,56%","2,44%","
                    
                    10,70%
                    
                ","
                    
                    -2,01%
                    
                ","
                    
                    1,52%
                    
                "
"ROE","10,45%","5,21%","5,74%","6,26%","7,97%","9,12%","
                    
                    6,47%
                    
                ","
                    
                    1,02%
                    
                ","
                    
                    1,97%
                    
                "
"ROA","0,01","0,00","0,00","0,01","0,01","0,02","
                    
                    0,01
                    
                ","
                    
                    0,00
                    
                ","
                    
                    0,00
                    
                "
"Giro do ativo","0,16","0,16","0,13","0,13","0,13","0,18","
                    
                    0,17
                    
                ","
                    
                    0,15
                    
                ","
                    
                    0,13
                    
                "
"EBITDA","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Liquidez corrente","0,78","0,72","1,11","0,68","0,77","1,36","
                    
                    1,47
                    
                ","
                    
                    1,56
                    
                ","
                    
                    1,17
                    
                "
"Liquidez seca","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Liquidez imediata","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Dívida bruta","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Dívida líquida","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Capital de giro","-4.523 mi","-6.902 mi","2.159 mi","-5.672 mi","-3.014 mi","2.883 mi","
                    
                    3.207 mi
                    
                ","
                    
                    3.590 mi
                    
                ","
                    
                    1.371 mi
                    
                "
"Endividamento geral","--%","--%","--%","--%","--%","--%","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                "
