"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011"
"P/L","10,62","16,86","8,70","15,86","19,09","10,26","
                    
                    16,04
                    
                ","
                    
                    9,55
                    
                ","
                    
                    -9,79
                    
                ","
                    
                    230,11
                    
                ","
                    
                    342,62
                    
                ","
                    
                    -26,45
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"P/VP","0,97","1,44","0,80","2,12","2,35","1,07","
                    
                    0,87
                    
                ","
                    
                    0,57
                    
                ","
                    
                    0,68
                    
                ","
                    
                    0,51
                    
                ","
                    
                    0,44
                    
                ","
                    
                    1,11
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"P/EBIT","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"PSR","0,50","0,75","0,43","1,17","1,30","0,65","
                    
                    0,50
                    
                ","
                    
                    0,26
                    
                ","
                    
                    0,37
                    
                ","
                    
                    0,25
                    
                ","
                    
                    0,33
                    
                ","
                    
                    0,38
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"P/Ativos","0,12","0,20","0,11","0,25","0,32","0,16","
                    
                    0,13
                    
                ","
                    
                    0,08
                    
                ","
                    
                    0,09
                    
                ","
                    
                    0,07
                    
                ","
                    
                    0,07
                    
                ","
                    
                    0,11
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"LPA","0,60","0,55","0,56","0,61","0,52","0,41","
                    
                    0,17
                    
                ","
                    
                    0,17
                    
                ","
                    
                    -0,19
                    
                ","
                    
                    0,01
                    
                ","
                    
                    0,00
                    
                ","
                    
                    -0,07
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"VPA","6,55","6,39","6,07","4,57","4,19","3,88","
                    
                    3,23
                    
                ","
                    
                    2,80
                    
                ","
                    
                    2,69
                    
                ","
                    
                    2,87
                    
                ","
                    
                    2,86
                    
                ","
                    
                    1,76
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"EBIT por ação","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"Ativo por ação","52,91","46,37","45,02","38,16","30,70","26,18","
                    
                    21,78
                    
                ","
                    
                    20,61
                    
                ","
                    
                    20,95
                    
                ","
                    
                    19,54
                    
                ","
                    
                    18,93
                    
                ","
                    
                    17,27
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"Receita líquida por ação","12,68","12,28","11,21","8,26","7,56","6,42","
                    
                    5,58
                    
                ","
                    
                    6,08
                    
                ","
                    
                    4,98
                    
                ","
                    
                    5,80
                    
                ","
                    
                    3,80
                    
                ","
                    
                    5,18
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"Margem bruta","48,31%","49,56%","48,84%","62,54%","61,65%","53,10%","
                    
                    54,87%
                    
                ","
                    
                    55,29%
                    
                ","
                    
                    46,79%
                    
                ","
                    
                    37,75%
                    
                ","
                    
                    36,97%
                    
                ","
                    
                    42,50%
                    
                ","
                    
                    11,68%
                    
                ","
                    
                    25,22%
                    
                "
"Margem líquida","4,71%","4,46%","4,97%","7,39%","6,84%","6,33%","
                    
                    3,13%
                    
                ","
                    
                    2,75%
                    
                ","
                    
                    -3,75%
                    
                ","
                    
                    0,11%
                    
                ","
                    
                    0,10%
                    
                ","
                    
                    -5,86%
                    
                ","
                    
                    -21,46%
                    
                ","
                    
                    2,36%
                    
                "
"Margem EBIT","--%","--%","--%","--%","--%","--%","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                "
