"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","3,29","3,12","2,11","1,05","8,34","-13,55","
                    
                    4,46
                    
                ","
                    
                    2,23
                    
                ","
                    
                    5,30
                    
                ","
                    
                    -0,35
                    
                ","
                    
                    14,84
                    
                ","
                    
                    -52,98
                    
                ","
                    
                    7,22
                    
                ","
                    
                    2,35
                    
                ","
                    
                    3,20
                    
                ","
                    
                    5,88
                    
                "
"P/VP","0,67","0,76","1,05","1,13","1,09","0,57","
                    
                    0,53
                    
                ","
                    
                    0,59
                    
                ","
                    
                    0,42
                    
                ","
                    
                    0,12
                    
                ","
                    
                    0,17
                    
                ","
                    
                    0,28
                    
                ","
                    
                    0,38
                    
                ","
                    
                    0,55
                    
                ","
                    
                    0,83
                    
                ","
                    
                    1,01
                    
                "
"P/EBIT","3,39","3,24","2,16","1,06","8,38","-13,15","
                    
                    4,30
                    
                ","
                    
                    1,99
                    
                ","
                    
                    4,26
                    
                ","
                    
                    -0,37
                    
                ","
                    
                    26,14
                    
                ","
                    
                    129,00
                    
                ","
                    
                    6,05
                    
                ","
                    
                    2,19
                    
                ","
                    
                    3,05
                    
                ","
                    
                    4,20
                    
                "
"PSR","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    2,01
                    
                "
"P/Ativos","0,66","0,75","0,98","1,12","1,08","0,54","
                    
                    0,50
                    
                ","
                    
                    0,46
                    
                ","
                    
                    0,32
                    
                ","
                    
                    0,09
                    
                ","
                    
                    0,14
                    
                ","
                    
                    0,23
                    
                ","
                    
                    0,32
                    
                ","
                    
                    0,44
                    
                ","
                    
                    0,66
                    
                ","
                    
                    0,47
                    
                "
"LPA","4,59","4,82","9,48","20,55","3,73","-1,03","
                    
                    3,03
                    
                ","
                    
                    5,92
                    
                ","
                    
                    1,60
                    
                ","
                    
                    -6,59
                    
                ","
                    
                    0,26
                    
                ","
                    
                    -0,12
                    
                ","
                    
                    1,24
                    
                ","
                    
                    5,15
                    
                ","
                    
                    4,48
                    
                ","
                    
                    2,45
                    
                "
"VPA","22,41","19,93","19,02","19,09","28,63","24,32","
                    
                    25,34
                    
                ","
                    
                    22,40
                    
                ","
                    
                    20,12
                    
                ","
                    
                    20,14
                    
                ","
                    
                    22,74
                    
                ","
                    
                    22,98
                    
                ","
                    
                    23,29
                    
                ","
                    
                    22,07
                    
                ","
                    
                    17,24
                    
                ","
                    
                    14,25
                    
                "
"EBIT por ação","4,45","4,65","9,28","20,40","3,72","-1,06","
                    
                    3,14
                    
                ","
                    
                    6,64
                    
                ","
                    
                    1,99
                    
                ","
                    
                    -6,30
                    
                ","
                    
                    0,15
                    
                ","
                    
                    0,05
                    
                ","
                    
                    1,47
                    
                ","
                    
                    5,51
                    
                ","
                    
                    4,70
                    
                ","
                    
                    3,43
                    
                "
"Ativo por ação","22,69","20,07","20,51","19,22","28,74","25,71","
                    
                    27,05
                    
                ","
                    
                    28,80
                    
                ","
                    
                    26,14
                    
                ","
                    
                    24,66
                    
                ","
                    
                    26,96
                    
                ","
                    
                    27,62
                    
                ","
                    
                    27,73
                    
                ","
                    
                    27,32
                    
                ","
                    
                    21,67
                    
                ","
                    
                    30,77
                    
                "
"Receita líquida por ação","0,00","0,00","0,00","0,00","0,00","0,00","
                    
                    0,00
                    
                ","
                    
                    0,00
                    
                ","
                    
                    0,00
                    
                ","
                    
                    0,00
                    
                ","
                    
                    0,00
                    
                ","
                    
                    0,00
                    
                ","
                    
                    0,00
                    
                ","
                    
                    0,00
                    
                ","
                    
                    0,00
                    
                ","
                    
                    7,17
                    
                "
