"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","12,21","-13,22","-3,23","72,84","29,96","83,33","
                    
                    -8,37
                    
                ","
                    
                    -33,33
                    
                ","
                    
                    -170,42
                    
                ","
                    
                    26,82
                    
                ","
                    
                    45,35
                    
                ","
                    
                    67,03
                    
                ","
                    
                    89,65
                    
                ","
                    
                    40,46
                    
                ","
                    
                    57,75
                    
                ","
                    
                    334,68
                    
                "
"P/VP","2,41","1,80","0,91","3,61","4,83","3,14","
                    
                    5,35
                    
                ","
                    
                    3,35
                    
                ","
                    
                    5,36
                    
                ","
                    
                    6,17
                    
                ","
                    
                    6,47
                    
                ","
                    
                    4,86
                    
                ","
                    
                    4,74
                    
                ","
                    
                    3,93
                    
                ","
                    
                    3,41
                    
                ","
                    
                    3,17
                    
                "
"P/EBIT","6,77","32,07","-74,93","10,15","14,56","8,40","
                    
                    -180,45
                    
                ","
                    
                    56,57
                    
                ","
                    
                    34,96
                    
                ","
                    
                    19,73
                    
                ","
                    
                    29,01
                    
                ","
                    
                    37,56
                    
                ","
                    
                    52,16
                    
                ","
                    
                    27,64
                    
                ","
                    
                    31,28
                    
                ","
                    
                    532,26
                    
                "
"PSR","0,69","0,50","0,19","0,63","1,05","0,74","
                    
                    1,23
                    
                ","
                    
                    1,33
                    
                ","
                    
                    1,88
                    
                ","
                    
                    2,59
                    
                ","
                    
                    3,48
                    
                ","
                    
                    2,56
                    
                ","
                    
                    2,42
                    
                ","
                    
                    2,15
                    
                ","
                    
                    2,05
                    
                ","
                    
                    2,59
                    
                "
"P/Ativos","0,66","0,47","0,18","0,55","0,83","0,59","
                    
                    0,88
                    
                ","
                    
                    0,83
                    
                ","
                    
                    1,48
                    
                ","
                    
                    2,07
                    
                ","
                    
                    2,80
                    
                ","
                    
                    2,20
                    
                ","
                    
                    2,24
                    
                ","
                    
                    1,84
                    
                ","
                    
                    1,67
                    
                ","
                    
                    1,45
                    
                "
"LPA","1,94","-1,21","-1,88","0,25","0,82","0,18","
                    
                    -2,64
                    
                ","
                    
                    -0,67
                    
                ","
                    
                    -0,22
                    
                ","
                    
                    1,85
                    
                ","
                    
                    1,32
                    
                ","
                    
                    0,63
                    
                ","
                    
                    0,46
                    
                ","
                    
                    0,81
                    
                ","
                    
                    0,48
                    
                ","
                    
                    0,07
                    
                "
"VPA","9,82","8,87","6,70","5,03","5,10","4,69","
                    
                    4,14
                    
                ","
                    
                    6,66
                    
                ","
                    
                    7,04
                    
                ","
                    
                    8,03
                    
                ","
                    
                    9,27
                    
                ","
                    
                    8,71
                    
                ","
                    
                    8,65
                    
                ","
                    
                    8,36
                    
                ","
                    
                    8,10
                    
                ","
                    
                    7,72
                    
                "
"EBIT por ação","3,50","0,50","-0,08","1,79","1,69","1,75","
                    
                    -0,12
                    
                ","
                    
                    0,39
                    
                ","
                    
                    1,08
                    
                ","
                    
                    2,51
                    
                ","
                    
                    2,07
                    
                ","
                    
                    1,13
                    
                ","
                    
                    0,79
                    
                ","
                    
                    1,19
                    
                ","
                    
                    0,88
                    
                ","
                    
                    0,05
                    
                "
"Ativo por ação","35,95","34,04","34,39","33,23","29,52","24,79","
                    
                    25,19
                    
                ","
                    
                    26,88
                    
                ","
                    
                    25,52
                    
                ","
                    
                    24,01
                    
                ","
                    
                    21,46
                    
                ","
                    
                    19,24
                    
                ","
                    
                    18,29
                    
                ","
                    
                    17,82
                    
                ","
                    
                    16,49
                    
                ","
                    
                    16,87
                    
                "
"Receita líquida por ação","34,63","31,87","31,98","28,73","23,46","19,88","
                    
                    17,94
                    
                ","
                    
                    16,83
                    
                ","
                    
                    20,05
                    
                ","
                    
                    19,14
                    
                ","
                    
                    17,24
                    
                ","
                    
                    16,52
                    
                ","
                    
                    16,95
                    
                ","
                    
                    15,28
                    
                ","
                    
                    13,48
                    
                ","
                    
                    9,45
                    
                "
"Margem bruta","24,99%","16,48%","15,12%","20,05%","23,65%","24,15%","
                    
                    16,12%
                    
                ","
                    
                    20,18%
                    
                ","
                    
                    22,31%
                    
                ","
                    
                    31,34%
                    
                ","
                    
                    29,34%
                    
                ","
                    
                    24,87%
                    
                ","
                    
                    22,63%
                    
                ","
                    
                    25,91%
                    
                ","
                    
                    25,26%
                    
                ","
                    
                    19,97%
                    
                "
"Margem líquida","6,14%","-3,49%","-5,84%","0,90%","3,52%","0,89%","
                    
                    -14,79%
                    
                ","
                    
                    -3,88%
                    
                ","
                    
                    -1,09%
                    
                ","
                    
                    9,72%
                    
                ","
                    
                    7,67%
                    
                ","
                    
                    3,84%
                    
                ","
                    
                    2,73%
                    
                ","
                    
                    5,31%
                    
                ","
                    
                    3,55%
                    
                ","
                    
                    0,75%
                    
                "
"Margem EBIT","10,12%","1,56%","-0,25%","6,23%","7,21%","8,83%","
                    
                    -0,68%
                    
                ","
                    
                    2,34%
                    
                ","
                    
                    5,38%
                    
                ","
                    
                    13,13%
                    
                ","
                    
                    11,99%
                    
                ","
                    
                    6,82%
                    
                ","
                    
                    4,64%
                    
                ","
                    
                    7,78%
                    
                ","
                    
                    6,55%
                    
                ","
                    
                    0,49%
                    
                "
