"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","-1,29","-4,60","-45,93","2,43","-4,02","-4,17","
                    
                    11,71
                    
                ","
                    
                    7,43
                    
                ","
                    
                    -47,43
                    
                ","
                    
                    4,31
                    
                ","
                    
                    6,69
                    
                ","
                    
                    17,66
                    
                ","
                    
                    -9,45
                    
                ","
                    
                    -14,10
                    
                ","
                    
                    5,33
                    
                ","
                    
                    23,87
                    
                "
"P/VP","-373,73","5,27","2,11","4,32","-12,22","2,39","
                    
                    4,95
                    
                ","
                    
                    4,66
                    
                ","
                    
                    7,13
                    
                ","
                    
                    7,94
                    
                ","
                    
                    0,96
                    
                ","
                    
                    1,19
                    
                ","
                    
                    0,81
                    
                ","
                    
                    0,72
                    
                ","
                    
                    0,97
                    
                ","
                    
                    1,91
                    
                "
"P/EBIT","-45,14","-7,54","3,61","1,30","-374,36","-206,42","
                    
                    4,04
                    
                ","
                    
                    3,24
                    
                ","
                    
                    3,28
                    
                ","
                    
                    1,88
                    
                ","
                    
                    1,62
                    
                ","
                    
                    3,28
                    
                ","
                    
                    4,34
                    
                ","
                    
                    3,75
                    
                ","
                    
                    3,14
                    
                ","
                    
                    6,77
                    
                "
"PSR","0,12","0,30","0,16","0,32","0,46","0,22","
                    
                    0,58
                    
                ","
                    
                    0,62
                    
                ","
                    
                    0,41
                    
                ","
                    
                    0,28
                    
                ","
                    
                    0,13
                    
                ","
                    
                    0,22
                    
                ","
                    
                    0,19
                    
                ","
                    
                    0,22
                    
                ","
                    
                    0,40
                    
                ","
                    
                    0,59
                    
                "
"P/Ativos","0,10","0,23","0,18","0,37","0,31","0,17","
                    
                    0,57
                    
                ","
                    
                    0,57
                    
                ","
                    
                    0,37
                    
                ","
                    
                    0,21
                    
                ","
                    
                    0,12
                    
                ","
                    
                    0,19
                    
                ","
                    
                    0,17
                    
                ","
                    
                    0,19
                    
                ","
                    
                    0,29
                    
                ","
                    
                    0,41
                    
                "
"LPA","-9,09","-5,74","-0,42","17,54","-8,39","-3,51","
                    
                    3,60
                    
                ","
                    
                    5,12
                    
                ","
                    
                    -0,52
                    
                ","
                    
                    3,77
                    
                ","
                    
                    1,08
                    
                ","
                    
                    0,64
                    
                ","
                    
                    -0,92
                    
                ","
                    
                    -0,62
                    
                ","
                    
                    2,38
                    
                ","
                    
                    0,50
                    
                "
"VPA","-0,03","5,01","9,18","9,87","-2,76","6,13","
                    
                    8,51
                    
                ","
                    
                    8,18
                    
                ","
                    
                    3,44
                    
                ","
                    
                    2,05
                    
                ","
                    
                    7,58
                    
                ","
                    
                    9,46
                    
                ","
                    
                    10,74
                    
                ","
                    
                    12,25
                    
                ","
                    
                    13,03
                    
                ","
                    
                    6,25
                    
                "
"EBIT por ação","-0,26","-3,50","5,36","32,67","-0,09","-0,07","
                    
                    10,42
                    
                ","
                    
                    11,74
                    
                ","
                    
                    7,47
                    
                ","
                    
                    8,64
                    
                ","
                    
                    4,48
                    
                ","
                    
                    3,44
                    
                ","
                    
                    2,00
                    
                ","
                    
                    2,34
                    
                ","
                    
                    4,03
                    
                ","
                    
                    1,76
                    
                "
"Ativo por ação","116,22","115,08","110,45","116,11","107,98","85,46","
                    
                    74,25
                    
                ","
                    
                    66,91
                    
                ","
                    
                    65,67
                    
                ","
                    
                    76,05
                    
                ","
                    
                    61,99
                    
                ","
                    
                    58,72
                    
                ","
                    
                    51,64
                    
                ","
                    
                    46,91
                    
                ","
                    
                    43,25
                    
                ","
                    
                    29,32
                    
                "
"Receita líquida por ação","94,02","88,52","121,07","132,49","73,44","65,63","
                    
                    72,75
                    
                ","
                    
                    61,79
                    
                ","
                    
                    59,79
                    
                ","
                    
                    58,81
                    
                ","
                    
                    57,74
                    
                ","
                    
                    51,39
                    
                ","
                    
                    45,36
                    
                ","
                    
                    40,76
                    
                ","
                    
                    31,98
                    
                ","
                    
                    20,24
                    
                "
