"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","4,26","5,86","5,12","3,88","5,21","2,68","
                    
                    6,74
                    
                ","
                    
                    5,38
                    
                ","
                    
                    6,06
                    
                ","
                    
                    2,38
                    
                ","
                    
                    3,60
                    
                ","
                    
                    3,54
                    
                ","
                    
                    4,37
                    
                ","
                    
                    4,24
                    
                ","
                    
                    5,09
                    
                ","
                    
                    6,08
                    
                "
"P/VP","0,39","0,53","0,39","0,41","0,45","0,46","
                    
                    0,97
                    
                ","
                    
                    0,81
                    
                ","
                    
                    0,62
                    
                ","
                    
                    0,32
                    
                ","
                    
                    0,44
                    
                ","
                    
                    0,54
                    
                ","
                    
                    0,77
                    
                ","
                    
                    0,87
                    
                ","
                    
                    0,98
                    
                ","
                    
                    0,96
                    
                "
"P/EBIT","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"PSR","0,24","0,32","0,28","0,45","0,46","0,40","
                    
                    0,74
                    
                ","
                    
                    0,57
                    
                ","
                    
                    0,38
                    
                ","
                    
                    0,19
                    
                ","
                    
                    0,30
                    
                ","
                    
                    0,43
                    
                ","
                    
                    0,56
                    
                ","
                    
                    0,65
                    
                ","
                    
                    0,78
                    
                ","
                    
                    0,77
                    
                "
"P/Ativos","0,03","0,04","0,03","0,04","0,04","0,04","
                    
                    0,09
                    
                ","
                    
                    0,08
                    
                ","
                    
                    0,06
                    
                ","
                    
                    0,03
                    
                ","
                    
                    0,04
                    
                ","
                    
                    0,05
                    
                ","
                    
                    0,08
                    
                ","
                    
                    0,10
                    
                ","
                    
                    0,12
                    
                ","
                    
                    0,11
                    
                "
"LPA","2,29","2,13","1,75","2,32","1,78","3,29","
                    
                    2,56
                    
                ","
                    
                    2,57
                    
                ","
                    
                    1,61
                    
                ","
                    
                    2,08
                    
                ","
                    
                    1,69
                    
                ","
                    
                    1,94
                    
                ","
                    
                    2,00
                    
                ","
                    
                    2,21
                    
                ","
                    
                    1,81
                    
                ","
                    
                    1,32
                    
                "
"VPA","25,07","23,63","23,02","22,12","20,40","19,05","
                    
                    17,79
                    
                ","
                    
                    17,19
                    
                ","
                    
                    15,75
                    
                ","
                    
                    15,17
                    
                ","
                    
                    13,86
                    
                ","
                    
                    12,59
                    
                ","
                    
                    11,33
                    
                ","
                    
                    10,76
                    
                ","
                    
                    9,43
                    
                ","
                    
                    8,33
                    
                "
"EBIT por ação","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Ativo por ação","346,09","304,03","276,39","256,56","224,16","198,04","
                    
                    188,35
                    
                ","
                    
                    177,42
                    
                ","
                    
                    166,87
                    
                ","
                    
                    160,84
                    
                ","
                    
                    144,11
                    
                ","
                    
                    129,89
                    
                ","
                    
                    114,95
                    
                ","
                    
                    92,50
                    
                ","
                    
                    79,10
                    
                ","
                    
                    71,60
                    
                "
"Receita líquida por ação","40,24","38,39","31,70","20,05","20,11","22,19","
                    
                    23,28
                    
                ","
                    
                    24,27
                    
                ","
                    
                    25,96
                    
                ","
                    
                    26,33
                    
                ","
                    
                    20,00
                    
                ","
                    
                    16,06
                    
                ","
                    
                    15,51
                    
                ","
                    
                    14,50
                    
                ","
                    
                    11,80
                    
                ","
                    
                    10,40
                    
                "
"Margem bruta","36,13%","33,39%","34,70%","58,44%","63,68%","60,31%","
                    
                    45,79%
                    
                ","
                    
                    37,18%
                    
                ","
                    
                    32,15%
                    
                ","
                    
                    25,98%
                    
                ","
                    
                    36,25%
                    
                ","
                    
                    45,27%
                    
                ","
                    
                    44,87%
                    
                ","
                    
                    45,52%
                    
                ","
                    
                    48,97%
                    
                ","
                    
                    49,26%
                    
                "
"Margem líquida","5,68%","5,54%","5,51%","11,57%","8,84%","14,82%","
                    
                    11,02%
                    
                ","
                    
                    10,61%
                    
                ","
                    
                    6,21%
                    
                ","
                    
                    7,88%
                    
                ","
                    
                    8,45%
                    
                ","
                    
                    12,05%
                    
                ","
                    
                    12,91%
                    
                ","
                    
                    15,25%
                    
                ","
                    
                    15,36%
                    
                ","
                    
                    12,72%
                    
                "
"Margem EBIT","--%","--%","--%","--%","--%","--%","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                "
"Margem EBITDA","--%","--%","--%","--%","--%","--%","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                "
"Margem operacional","8,34%","6,26%","3,51%","13,65%","11,43%","15,74%","
                    
                    17,08%
                    
                ","
                    
                    14,73%
                    
                ","
                    
                    9,23%
                    
                ","
                    
                    8,72%
                    
                ","
                    
                    10,87%
                    
                ","
                    
                    17,89%
                    
                ","
                    
                    18,65%
                    
                ","
                    
                    22,76%
                    
                ","
                    
                    23,38%
                    
                ","
                    
                    19,70%
                    
                "
"ROE","9,12%","9,01%","7,59%","10,49%","8,72%","17,25%","
                    
                    14,41%
                    
                ","
                    
                    14,98%
                    
                ","
                    
                    10,24%
                    
                ","
                    
                    13,68%
                    
                ","
                    
                    12,20%
                    
                ","
                    
                    15,38%
                    
                ","
                    
                    17,66%
                    
                ","
                    
                    20,56%
                    
                ","
                    
                    19,23%
                    
                ","
                    
                    15,88%
                    
                "
"ROA","0,01","0,01","0,01","0,01","0,01","0,02","
                    
                    0,01
                    
                ","
                    
                    0,01
                    
                ","
                    
                    0,01
                    
                ","
                    
                    0,01
                    
                ","
                    
                    0,01
                    
                ","
                    
                    0,01
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,02
                    
                "
"Giro do ativo","0,12","0,13","0,11","0,08","0,09","0,11","
                    
                    0,12
                    
                ","
                    
                    0,14
                    
                ","
                    
                    0,16
                    
                ","
                    
                    0,16
                    
                ","
                    
                    0,14
                    
                ","
                    
                    0,12
                    
                ","
                    
                    0,13
                    
                ","
                    
                    0,16
                    
                ","
                    
                    0,15
                    
                ","
                    
                    0,15
                    
                "
"EBITDA","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Liquidez corrente","--","--","--","--","--","1,07","
                    
                    1,35
                    
                ","
                    
                    1,56
                    
                ","
                    
                    1,18
                    
                ","
                    
                    1,03
                    
                ","
                    
                    0,92
                    
                ","
                    
                    0,88
                    
                ","
                    
                    0,95
                    
                ","
                    
                    0,79
                    
                ","
                    
                    0,75
                    
                ","
                    
                    0,81
                    
                "
"Liquidez seca","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Liquidez imediata","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Dívida bruta","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Dívida líquida","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Capital de giro","--","--","--","--","--","4.940 mi","
                    
                    10.595 mi
                    
                ","
                    
                    15.920 mi
                    
                ","
                    
                    4.801 mi
                    
                ","
                    
                    968 mi
                    
                ","
                    
                    -2.166 mi
                    
                ","
                    
                    -3.261 mi
                    
                ","
                    
                    -1.409 mi
                    
                ","
                    
                    -4.985 mi
                    
                ","
                    
                    -5.942 mi
                    
                ","
                    
                    -4.004 mi
                    
                "
"Endividamento geral","--%","--%","--%","--%","--%","--%","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                "
