"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","65,08","236,51","159,86","127,73","155,15","172,67","
                    
                    -77,11
                    
                ","
                    
                    -322,43
                    
                ","
                    
                    412,83
                    
                ","
                    
                    432,44
                    
                ","
                    
                    63,28
                    
                ","
                    
                    113,73
                    
                ","
                    
                    215,97
                    
                ","
                    
                    580,86
                    
                ","
                    
                    -400,03
                    
                ","
                    
                    300,68
                    
                "
"P/VP","5,48","5,99","7,90","10,31","13,18","16,44","
                    
                    7,38
                    
                ","
                    
                    7,03
                    
                ","
                    
                    8,75
                    
                ","
                    
                    3,70
                    
                ","
                    
                    3,70
                    
                ","
                    
                    3,88
                    
                ","
                    
                    3,74
                    
                ","
                    
                    3,59
                    
                ","
                    
                    3,03
                    
                ","
                    
                    10,17
                    
                "
"P/EBIT","24,70","46,34","62,25","61,87","62,96","76,18","
                    
                    -137,09
                    
                ","
                    
                    259,91
                    
                ","
                    
                    72,55
                    
                ","
                    
                    44,42
                    
                ","
                    
                    23,78
                    
                ","
                    
                    45,78
                    
                ","
                    
                    89,79
                    
                ","
                    
                    121,54
                    
                ","
                    
                    -373,87
                    
                ","
                    
                    183,62
                    
                "
"PSR","6,45","7,34","10,43","14,15","15,26","18,39","
                    
                    8,47
                    
                ","
                    
                    9,00
                    
                ","
                    
                    12,77
                    
                ","
                    
                    5,93
                    
                ","
                    
                    6,35
                    
                ","
                    
                    7,17
                    
                ","
                    
                    7,58
                    
                ","
                    
                    8,52
                    
                ","
                    
                    9,39
                    
                ","
                    
                    22,03
                    
                "
"P/Ativos","2,37","2,39","3,39","4,41","4,63","5,81","
                    
                    2,76
                    
                ","
                    
                    2,85
                    
                ","
                    
                    4,04
                    
                ","
                    
                    1,77
                    
                ","
                    
                    1,96
                    
                ","
                    
                    2,03
                    
                ","
                    
                    2,06
                    
                ","
                    
                    2,01
                    
                ","
                    
                    1,92
                    
                ","
                    
                    6,40
                    
                "
"LPA","0,16","0,04","0,08","0,12","0,10","0,10","
                    
                    -0,10
                    
                ","
                    
                    -0,02
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,01
                    
                ","
                    
                    0,06
                    
                ","
                    
                    0,04
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,01
                    
                ","
                    
                    -0,01
                    
                ","
                    
                    0,03
                    
                "
"VPA","1,90","1,74","1,62","1,45","1,15","1,09","
                    
                    1,08
                    
                ","
                    
                    1,14
                    
                ","
                    
                    1,16
                    
                ","
                    
                    1,11
                    
                ","
                    
                    1,11
                    
                ","
                    
                    1,06
                    
                ","
                    
                    1,07
                    
                ","
                    
                    1,11
                    
                ","
                    
                    1,31
                    
                ","
                    
                    0,88
                    
                "
"EBIT por ação","0,42","0,23","0,21","0,24","0,24","0,24","
                    
                    -0,06
                    
                ","
                    
                    0,03
                    
                ","
                    
                    0,14
                    
                ","
                    
                    0,09
                    
                ","
                    
                    0,17
                    
                ","
                    
                    0,09
                    
                ","
                    
                    0,04
                    
                ","
                    
                    0,03
                    
                ","
                    
                    -0,01
                    
                ","
                    
                    0,05
                    
                "
"Ativo por ação","4,40","4,36","3,77","3,40","3,27","3,09","
                    
                    2,89
                    
                ","
                    
                    2,80
                    
                ","
                    
                    2,52
                    
                ","
                    
                    2,32
                    
                ","
                    
                    2,09
                    
                ","
                    
                    2,02
                    
                ","
                    
                    1,95
                    
                ","
                    
                    1,99
                    
                ","
                    
                    2,08
                    
                ","
                    
                    1,40
                    
                "
"Receita líquida por ação","1,62","1,42","1,23","1,06","0,99","0,98","
                    
                    0,94
                    
                ","
                    
                    0,89
                    
                ","
                    
                    0,80
                    
                ","
                    
                    0,69
                    
                ","
                    
                    0,65
                    
                ","
                    
                    0,57
                    
                ","
                    
                    0,53
                    
                ","
                    
                    0,47
                    
                ","
                    
                    0,42
                    
                ","
                    
                    0,41
                    
                "
