"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","5,76","5,25","5,49","4,18","5,43","6,27","
                    
                    7,31
                    
                ","
                    
                    20,28
                    
                ","
                    
                    12,99
                    
                ","
                    
                    10,36
                    
                ","
                    
                    7,08
                    
                ","
                    
                    6,80
                    
                ","
                    
                    7,73
                    
                ","
                    
                    8,80
                    
                ","
                    
                    5,57
                    
                ","
                    
                    5,70
                    
                "
"P/VP","1,45","1,50","1,46","1,13","1,08","1,21","
                    
                    0,90
                    
                ","
                    
                    1,13
                    
                ","
                    
                    1,14
                    
                ","
                    
                    1,16
                    
                ","
                    
                    1,22
                    
                ","
                    
                    1,37
                    
                ","
                    
                    2,54
                    
                ","
                    
                    2,87
                    
                ","
                    
                    2,22
                    
                ","
                    
                    2,39
                    
                "
"P/EBIT","2,64","2,56","2,69","2,47","3,66","3,84","
                    
                    4,07
                    
                ","
                    
                    5,21
                    
                ","
                    
                    4,56
                    
                ","
                    
                    4,48
                    
                ","
                    
                    3,79
                    
                ","
                    
                    4,21
                    
                ","
                    
                    5,54
                    
                ","
                    
                    6,31
                    
                ","
                    
                    4,65
                    
                ","
                    
                    4,63
                    
                "
"PSR","0,65","0,64","0,62","0,49","0,59","0,62","
                    
                    0,51
                    
                ","
                    
                    0,44
                    
                ","
                    
                    0,48
                    
                ","
                    
                    0,52
                    
                ","
                    
                    0,60
                    
                ","
                    
                    0,69
                    
                ","
                    
                    0,88
                    
                ","
                    
                    1,33
                    
                ","
                    
                    1,20
                    
                ","
                    
                    1,27
                    
                "
"P/Ativos","0,35","0,35","0,34","0,29","0,32","0,33","
                    
                    0,32
                    
                ","
                    
                    0,29
                    
                ","
                    
                    0,32
                    
                ","
                    
                    0,33
                    
                ","
                    
                    0,39
                    
                ","
                    
                    0,44
                    
                ","
                    
                    0,73
                    
                ","
                    
                    1,10
                    
                ","
                    
                    0,98
                    
                ","
                    
                    1,06
                    
                "
"LPA","6,67","7,02","5,98","6,37","4,65","3,85","
                    
                    2,44
                    
                ","
                    
                    0,68
                    
                ","
                    
                    0,99
                    
                ","
                    
                    1,28
                    
                ","
                    
                    1,82
                    
                ","
                    
                    1,93
                    
                ","
                    
                    2,53
                    
                ","
                    
                    2,86
                    
                ","
                    
                    3,61
                    
                ","
                    
                    3,39
                    
                "
"VPA","26,54","24,56","22,55","23,56","23,31","19,91","
                    
                    19,86
                    
                ","
                    
                    12,08
                    
                ","
                    
                    11,28
                    
                ","
                    
                    11,40
                    
                ","
                    
                    10,54
                    
                ","
                    
                    9,55
                    
                ","
                    
                    7,69
                    
                ","
                    
                    8,77
                    
                ","
                    
                    9,07
                    
                ","
                    
                    8,10
                    
                "
"EBIT por ação","14,53","14,40","12,22","10,75","6,91","6,28","
                    
                    4,38
                    
                ","
                    
                    2,63
                    
                ","
                    
                    2,82
                    
                ","
                    
                    2,96
                    
                ","
                    
                    3,39
                    
                ","
                    
                    3,11
                    
                ","
                    
                    3,53
                    
                ","
                    
                    3,99
                    
                ","
                    
                    4,33
                    
                ","
                    
                    4,18
                    
                "
"Ativo por ação","110,40","106,38","97,80","93,08","79,82","72,28","
                    
                    55,44
                    
                ","
                    
                    47,90
                    
                ","
                    
                    40,18
                    
                ","
                    
                    40,81
                    
                ","
                    
                    32,90
                    
                ","
                    
                    29,93
                    
                ","
                    
                    26,64
                    
                ","
                    
                    22,90
                    
                ","
                    
                    20,50
                    
                ","
                    
                    18,15
                    
                "
"Receita líquida por ação","59,44","57,84","53,33","54,43","43,06","38,99","
                    
                    35,24
                    
                ","
                    
                    31,06
                    
                ","
                    
                    26,96
                    
                ","
                    
                    25,63
                    
                ","
                    
                    21,43
                    
                ","
                    
                    19,01
                    
                ","
                    
                    22,18
                    
                ","
                    
                    18,95
                    
                ","
                    
                    16,77
                    
                ","
                    
                    15,25
                    
                "
"Margem bruta","30,11%","30,89%","29,18%","25,04%","22,62%","22,76%","
                    
                    18,67%
                    
                ","
                    
                    14,83%
                    
                ","
                    
                    18,21%
                    
                ","
                    
                    21,18%
                    
                ","
                    
                    26,92%
                    
                ","
                    
                    29,21%
                    
                ","
                    
                    28,59%
                    
                ","
                    
                    33,26%
                    
                ","
                    
                    33,94%
                    
                ","
                    
                    34,72%
                    
                "
"Margem líquida","11,22%","12,13%","11,21%","11,70%","10,80%","9,87%","
                    
                    6,91%
                    
                ","
                    
                    2,17%
                    
                ","
                    
                    3,67%
                    
                ","
                    
                    5,00%
                    
                ","
                    
                    8,47%
                    
                ","
                    
                    10,13%
                    
                ","
                    
                    11,40%
                    
                ","
                    
                    15,11%
                    
                ","
                    
                    21,52%
                    
                ","
                    
                    22,21%
                    
                "
"Margem EBIT","24,44%","24,90%","22,91%","19,75%","16,05%","16,10%","
                    
                    12,42%
                    
                ","
                    
                    8,46%
                    
                ","
                    
                    10,46%
                    
                ","
                    
                    11,56%
                    
                ","
                    
                    15,82%
                    
                ","
                    
                    16,35%
                    
                ","
                    
                    15,93%
                    
                ","
                    
                    21,06%
                    
                ","
                    
                    25,80%
                    
                ","
                    
                    27,38%
                    
                "
"Margem EBITDA","30,43%","30,66%","28,43%","24,48%","21,13%","21,04%","
                    
                    17,13%
                    
                ","
                    
                    13,36%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    25,77%
                    
                ","
                    
                    30,49%
                    
                ","
                    
                    --%
                    
                "
"Margem operacional","13,33%","13,36%","13,50%","14,45%","12,92%","11,38%","
                    
                    8,23%
                    
                ","
                    
                    2,61%
                    
                ","
                    
                    3,86%
                    
                ","
                    
                    6,61%
                    
                ","
                    
                    9,59%
                    
                ","
                    
                    12,11%
                    
                ","
                    
                    13,18%
                    
                ","
                    
                    17,46%
                    
                ","
                    
                    25,37%
                    
                ","
                    
                    26,70%
                    
                "
"ROE","25,13%","28,57%","26,51%","27,02%","19,95%","19,33%","
                    
                    12,27%
                    
                ","
                    
                    5,59%
                    
                ","
                    
                    8,79%
                    
                ","
                    
                    11,25%
                    
                ","
                    
                    17,22%
                    
                ","
                    
                    20,18%
                    
                ","
                    
                    32,90%
                    
                ","
                    
                    32,66%
                    
                ","
                    
                    39,79%
                    
                ","
                    
                    41,83%
                    
                "
"ROA","0,06","0,07","0,06","0,07","0,06","0,05","
                    
                    0,04
                    
                ","
                    
                    0,01
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,03
                    
                ","
                    
                    0,06
                    
                ","
                    
                    0,06
                    
                ","
                    
                    0,09
                    
                ","
                    
                    0,12
                    
                ","
                    
                    0,18
                    
                ","
                    
                    0,19
                    
                "
"Giro do ativo","0,54","0,54","0,55","0,58","0,54","0,54","
                    
                    0,64
                    
                ","
                    
                    0,65
                    
                ","
                    
                    0,67
                    
                ","
                    
                    0,63
                    
                ","
                    
                    0,65
                    
                ","
                    
                    0,64
                    
                ","
                    
                    0,83
                    
                ","
                    
                    0,83
                    
                ","
                    
                    0,82
                    
                ","
                    
                    0,84
                    
                "
"EBITDA","4.741 mi","4.647 mi","3.974 mi","3.492 mi","2.385 mi","2.150 mi","
                    
                    1.582 mi
                    
                ","
                    
                    1.087 mi
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    1.280 mi
                    
                ","
                    
                    1.339 mi
                    
                ","
                    
                    --
                    
                "
"Liquidez corrente","0,76","0,87","0,94","1,13","1,19","1,18","
                    
                    1,23
                    
                ","
                    
                    0,77
                    
                ","
                    
                    0,71
                    
                ","
                    
                    0,96
                    
                ","
                    
                    1,11
                    
                ","
                    
                    1,02
                    
                ","
                    
                    0,89
                    
                ","
                    
                    1,07
                    
                ","
                    
                    1,15
                    
                ","
                    
                    1,02
                    
                "
"Liquidez seca","0,76","0,87","0,94","1,13","1,19","1,18","
                    
                    1,23
                    
                ","
                    
                    0,76
                    
                ","
                    
                    0,71
                    
                ","
                    
                    0,96
                    
                ","
                    
                    1,10
                    
                ","
                    
                    1,01
                    
                ","
                    
                    0,89
                    
                ","
                    
                    1,06
                    
                ","
                    
                    1,14
                    
                ","
                    
                    1,02
                    
                "
"Liquidez imediata","0,11","0,14","0,17","0,13","0,14","0,22","
                    
                    0,33
                    
                ","
                    
                    0,15
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,03
                    
                ","
                    
                    0,03
                    
                ","
                    
                    0,15
                    
                ","
                    
                    0,14
                    
                ","
                    
                    0,09
                    
                ","
                    
                    0,17
                    
                "
"Dívida bruta","14.297 mi","14.261 mi","13.151 mi","11.408 mi","7.817 mi","7.715 mi","
                    
                    6.286 mi
                    
                ","
                    
                    5.350 mi
                    
                ","
                    
                    4.994 mi
                    
                ","
                    
                    5.186 mi
                    
                ","
                    
                    3.811 mi
                    
                ","
                    
                    3.544 mi
                    
                ","
                    
                    3.187 mi
                    
                ","
                    
                    2.663 mi
                    
                ","
                    
                    2.082 mi
                    
                ","
                    
                    1.468 mi
                    
                "
"Dívida líquida","13.530 mi","13.287 mi","12.116 mi","10.714 mi","7.339 mi","6.856 mi","
                    
                    5.394 mi
                    
                ","
                    
                    4.767 mi
                    
                ","
                    
                    4.723 mi
                    
                ","
                    
                    4.225 mi
                    
                ","
                    
                    3.600 mi
                    
                ","
                    
                    2.949 mi
                    
                ","
                    
                    2.907 mi
                    
                ","
                    
                    2.447 mi
                    
                ","
                    
                    1.911 mi
                    
                ","
                    
                    1.166 mi
                    
                "
"Capital de giro","-1.588 mi","-887 mi","-350 mi","633 mi","669 mi","684 mi","
                    
                    637 mi
                    
                ","
                    
                    -913 mi
                    
                ","
                    
                    -871 mi
                    
                ","
                    
                    -105 mi
                    
                ","
                    
                    191 mi
                    
                ","
                    
                    29 mi
                    
                ","
                    
                    -178 mi
                    
                ","
                    
                    91 mi
                    
                ","
                    
                    172 mi
                    
                ","
                    
                    25 mi
                    
                "
"Endividamento geral","315,91%","333,17%","333,65%","295,03%","242,46%","263,00%","
                    
                    179,17%
                    
                ","
                    
                    296,55%
                    
                ","
                    
                    256,26%
                    
                ","
                    
                    257,91%
                    
                ","
                    
                    212,14%
                    
                ","
                    
                    213,50%
                    
                ","
                    
                    246,51%
                    
                ","
                    
                    161,17%
                    
                ","
                    
                    126,06%
                    
                ","
                    
                    124,20%
                    
                "
