"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","4,53","4,50","3,40","3,73","3,91","6,79","
                    
                    11,88
                    
                ","
                    
                    18,15
                    
                ","
                    
                    -80,58
                    
                ","
                    
                    7,37
                    
                ","
                    
                    2,68
                    
                ","
                    
                    6,92
                    
                ","
                    
                    -4,98
                    
                ","
                    
                    9,88
                    
                ","
                    
                    7,54
                    
                ","
                    
                    13,83
                    
                "
"P/VP","0,90","0,85","0,64","0,80","1,02","1,37","
                    
                    1,09
                    
                ","
                    
                    0,66
                    
                ","
                    
                    0,38
                    
                ","
                    
                    0,43
                    
                ","
                    
                    0,59
                    
                ","
                    
                    0,64
                    
                ","
                    
                    0,72
                    
                ","
                    
                    1,47
                    
                ","
                    
                    1,06
                    
                ","
                    
                    0,99
                    
                "
"P/EBIT","2,99","3,04","2,29","2,63","2,97","3,87","
                    
                    5,15
                    
                ","
                    
                    3,95
                    
                ","
                    
                    8,44
                    
                ","
                    
                    3,41
                    
                ","
                    
                    1,62
                    
                ","
                    
                    9,49
                    
                ","
                    
                    -2,52
                    
                ","
                    
                    7,29
                    
                ","
                    
                    7,56
                    
                ","
                    
                    19,47
                    
                "
"PSR","0,29","0,24","0,19","0,18","0,23","0,24","
                    
                    0,26
                    
                ","
                    
                    0,17
                    
                ","
                    
                    0,13
                    
                ","
                    
                    0,14
                    
                ","
                    
                    0,22
                    
                ","
                    
                    0,28
                    
                ","
                    
                    0,29
                    
                ","
                    
                    0,76
                    
                ","
                    
                    0,51
                    
                ","
                    
                    0,49
                    
                "
"P/Ativos","0,23","0,20","0,16","0,18","0,19","0,20","
                    
                    0,20
                    
                ","
                    
                    0,13
                    
                ","
                    
                    0,09
                    
                ","
                    
                    0,12
                    
                ","
                    
                    0,22
                    
                ","
                    
                    0,24
                    
                ","
                    
                    0,24
                    
                ","
                    
                    0,60
                    
                ","
                    
                    0,41
                    
                ","
                    
                    0,36
                    
                "
"LPA","17,49","14,44","14,01","14,60","13,45","7,35","
                    
                    4,28
                    
                ","
                    
                    1,72
                    
                ","
                    
                    -0,25
                    
                ","
                    
                    3,39
                    
                ","
                    
                    13,30
                    
                ","
                    
                    5,16
                    
                ","
                    
                    -6,63
                    
                ","
                    
                    8,40
                    
                ","
                    
                    7,09
                    
                ","
                    
                    3,23
                    
                "
"VPA","87,71","76,03","74,75","67,96","51,45","36,48","
                    
                    46,69
                    
                ","
                    
                    47,76
                    
                ","
                    
                    53,82
                    
                ","
                    
                    57,68
                    
                ","
                    
                    60,76
                    
                ","
                    
                    55,42
                    
                ","
                    
                    46,08
                    
                ","
                    
                    56,38
                    
                ","
                    
                    50,31
                    
                ","
                    
                    45,05
                    
                "
"EBIT por ação","26,52","21,39","20,80","20,67","17,67","12,89","
                    
                    9,87
                    
                ","
                    
                    7,91
                    
                ","
                    
                    2,43
                    
                ","
                    
                    7,33
                    
                ","
                    
                    21,98
                    
                ","
                    
                    3,76
                    
                ","
                    
                    -13,09
                    
                ","
                    
                    11,38
                    
                ","
                    
                    7,08
                    
                ","
                    
                    2,29
                    
                "
"Ativo por ação","347,96","318,95","301,47","310,03","276,56","246,25","
                    
                    255,49
                    
                ","
                    
                    234,89
                    
                ","
                    
                    223,71
                    
                ","
                    
                    207,12
                    
                ","
                    
                    159,99
                    
                ","
                    
                    145,90
                    
                ","
                    
                    138,53
                    
                ","
                    
                    139,10
                    
                ","
                    
                    129,68
                    
                ","
                    
                    123,06
                    
                "
"Receita líquida por ação","273,93","269,70","256,65","294,04","229,67","207,82","
                    
                    198,71
                    
                ","
                    
                    183,48
                    
                ","
                    
                    158,37
                    
                ","
                    
                    182,82
                    
                ","
                    
                    161,91
                    
                ","
                    
                    126,32
                    
                ","
                    
                    114,46
                    
                ","
                    
                    108,67
                    
                ","
                    
                    104,66
                    
                ","
                    
                    90,70
                    
                "
"Margem bruta","17,34%","15,93%","14,54%","11,35%","13,59%","12,39%","
                    
                    10,63%
                    
                ","
                    
                    12,43%
                    
                ","
                    
                    8,59%
                    
                ","
                    
                    9,56%
                    
                ","
                    
                    16,34%
                    
                ","
                    
                    16,83%
                    
                ","
                    
                    9,34%
                    
                ","
                    
                    22,14%
                    
                ","
                    
                    16,31%
                    
                ","
                    
                    17,19%
                    
                "
"Margem líquida","6,39%","5,35%","5,46%","4,97%","5,86%","3,54%","
                    
                    2,15%
                    
                ","
                    
                    0,94%
                    
                ","
                    
                    -0,16%
                    
                ","
                    
                    1,85%
                    
                ","
                    
                    8,22%
                    
                ","
                    
                    4,08%
                    
                ","
                    
                    -5,79%
                    
                ","
                    
                    7,73%
                    
                ","
                    
                    6,78%
                    
                ","
                    
                    3,56%
                    
                "
"Margem EBIT","9,68%","7,93%","8,11%","7,03%","7,69%","6,20%","
                    
                    4,97%
                    
                ","
                    
                    4,31%
                    
                ","
                    
                    1,53%
                    
                ","
                    
                    4,01%
                    
                ","
                    
                    13,57%
                    
                ","
                    
                    2,98%
                    
                ","
                    
                    -11,43%
                    
                ","
                    
                    10,47%
                    
                ","
                    
                    6,76%
                    
                ","
                    
                    2,52%
                    
                "
