"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","3,97","4,40","5,15","5,11","4,71","2,65","
                    
                    7,41
                    
                ","
                    
                    7,23
                    
                ","
                    
                    25,51
                    
                ","
                    
                    2,48
                    
                ","
                    
                    2,93
                    
                ","
                    
                    2,86
                    
                ","
                    
                    2,77
                    
                ","
                    
                    7,87
                    
                ","
                    
                    5,69
                    
                ","
                    
                    5,16
                    
                "
"P/VP","1,13","1,03","0,97","0,99","0,77","0,53","
                    
                    0,86
                    
                ","
                    
                    0,51
                    
                ","
                    
                    0,66
                    
                ","
                    
                    0,47
                    
                ","
                    
                    0,81
                    
                ","
                    
                    0,70
                    
                ","
                    
                    1,03
                    
                ","
                    
                    1,62
                    
                ","
                    
                    1,12
                    
                ","
                    
                    0,99
                    
                "
"P/EBIT","3,05","3,51","3,71","2,76","2,86","2,64","
                    
                    5,04
                    
                ","
                    
                    2,74
                    
                ","
                    
                    4,72
                    
                ","
                    
                    1,30
                    
                ","
                    
                    1,65
                    
                ","
                    
                    2,03
                    
                ","
                    
                    3,41
                    
                ","
                    
                    4,42
                    
                ","
                    
                    3,52
                    
                ","
                    
                    2,98
                    
                "
"PSR","0,82","0,69","0,61","0,57","0,53","0,33","
                    
                    0,57
                    
                ","
                    
                    0,33
                    
                ","
                    
                    0,45
                    
                ","
                    
                    0,28
                    
                ","
                    
                    0,47
                    
                ","
                    
                    0,61
                    
                ","
                    
                    0,84
                    
                ","
                    
                    1,21
                    
                ","
                    
                    0,93
                    
                ","
                    
                    0,91
                    
                "
"P/Ativos","0,50","0,46","0,39","0,37","0,25","0,17","
                    
                    0,21
                    
                ","
                    
                    0,17
                    
                ","
                    
                    0,20
                    
                ","
                    
                    0,15
                    
                ","
                    
                    0,26
                    
                ","
                    
                    0,30
                    
                ","
                    
                    0,36
                    
                ","
                    
                    0,51
                    
                ","
                    
                    0,38
                    
                ","
                    
                    0,36
                    
                "
"LPA","2,80","2,01","1,43","1,31","1,00","1,12","
                    
                    0,59
                    
                ","
                    
                    0,35
                    
                ","
                    
                    0,12
                    
                ","
                    
                    0,86
                    
                ","
                    
                    1,10
                    
                ","
                    
                    1,08
                    
                ","
                    
                    1,49
                    
                ","
                    
                    0,84
                    
                ","
                    
                    0,79
                    
                ","
                    
                    0,75
                    
                "
"VPA","9,81","8,61","7,61","6,80","6,11","5,63","
                    
                    5,09
                    
                ","
                    
                    5,01
                    
                ","
                    
                    4,52
                    
                ","
                    
                    4,54
                    
                ","
                    
                    3,94
                    
                ","
                    
                    4,42
                    
                ","
                    
                    4,04
                    
                ","
                    
                    4,10
                    
                ","
                    
                    4,01
                    
                ","
                    
                    3,90
                    
                "
"EBIT por ação","3,64","2,53","1,99","2,43","1,64","1,12","
                    
                    0,87
                    
                ","
                    
                    0,92
                    
                ","
                    
                    0,63
                    
                ","
                    
                    1,64
                    
                ","
                    
                    1,95
                    
                ","
                    
                    1,52
                    
                ","
                    
                    1,21
                    
                ","
                    
                    1,50
                    
                ","
                    
                    1,27
                    
                ","
                    
                    1,29
                    
                "
"Ativo por ação","22,02","19,22","18,75","18,19","18,90","17,66","
                    
                    20,92
                    
                ","
                    
                    14,76
                    
                ","
                    
                    14,69
                    
                ","
                    
                    14,28
                    
                ","
                    
                    12,23
                    
                ","
                    
                    10,42
                    
                ","
                    
                    11,38
                    
                ","
                    
                    12,93
                    
                ","
                    
                    11,73
                    
                ","
                    
                    10,59
                    
                "
"Receita líquida por ação","13,49","12,88","12,04","11,76","8,82","8,91","
                    
                    7,78
                    
                ","
                    
                    7,59
                    
                ","
                    
                    6,56
                    
                ","
                    
                    7,64
                    
                ","
                    
                    6,83
                    
                ","
                    
                    5,11
                    
                ","
                    
                    4,94
                    
                ","
                    
                    5,50
                    
                ","
                    
                    4,84
                    
                ","
                    
                    4,25
                    
                "
"Margem bruta","21,65%","22,75%","19,76%","19,98%","21,34%","23,10%","
                    
                    20,61%
                    
                ","
                    
                    19,46%
                    
                ","
                    
                    23,14%
                    
                ","
                    
                    27,82%
                    
                ","
                    
                    34,48%
                    
                ","
                    
                    32,67%
                    
                ","
                    
                    31,42%
                    
                ","
                    
                    36,50%
                    
                ","
                    
                    35,23%
                    
                ","
                    
                    39,17%
                    
                "
"Margem líquida","20,75%","15,65%","11,88%","11,15%","11,36%","12,53%","
                    
                    7,82%
                    
                ","
                    
                    4,61%
                    
                ","
                    
                    1,78%
                    
                ","
                    
                    11,29%
                    
                ","
                    
                    16,05%
                    
                ","
                    
                    21,22%
                    
                ","
                    
                    30,22%
                    
                ","
                    
                    15,34%
                    
                ","
                    
                    16,31%
                    
                ","
                    
                    18,15%
                    
                "
"Margem EBIT","27,02%","19,62%","16,50%","20,66%","18,66%","12,59%","
                    
                    11,21%
                    
                ","
                    
                    12,17%
                    
                ","
                    
                    9,62%
                    
                ","
                    
                    21,50%
                    
                ","
                    
                    28,56%
                    
                ","
                    
                    29,82%
                    
                ","
                    
                    24,58%
                    
                ","
                    
                    27,32%
                    
                ","
                    
                    26,34%
                    
                ","
                    
                    30,36%
                    
                "
"Margem EBITDA","30,55%","23,08%","19,93%","23,78%","22,58%","16,35%","
                    
                    15,02%
                    
                ","
                    
                    16,08%
                    
                ","
                    
                    14,06%
                    
                ","
                    
                    25,32%
                    
                ","
                    
                    32,66%
                    
                ","
                    
                    35,46%
                    
                ","
                    
                    29,98%
                    
                ","
                    
                    33,56%
                    
                ","
                    
                    32,80%
                    
                ","
                    
                    37,73%
                    
                "
"Margem operacional","26,44%","18,59%","11,96%","13,96%","15,07%","17,93%","
                    
                    8,88%
                    
                ","
                    
                    7,58%
                    
                ","
                    
                    1,96%
                    
                ","
                    
                    15,37%
                    
                ","
                    
                    22,92%
                    
                ","
                    
                    27,72%
                    
                ","
                    
                    36,10%
                    
                ","
                    
                    21,16%
                    
                ","
                    
                    20,38%
                    
                ","
                    
                    27,45%
                    
                "
"ROE","28,53%","23,39%","18,80%","19,28%","16,39%","19,84%","
                    
                    10,93%
                    
                ","
                    
                    6,99%
                    
                ","
                    
                    2,59%
                    
                ","
                    
                    19,01%
                    
                ","
                    
                    27,80%
                    
                ","
                    
                    24,56%
                    
                ","
                    
                    36,98%
                    
                ","
                    
                    20,57%
                    
                ","
                    
                    19,68%
                    
                ","
                    
                    19,76%
                    
                "
"ROA","0,13","0,10","0,08","0,07","0,05","0,06","
                    
                    0,03
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,01
                    
                ","
                    
                    0,06
                    
                ","
                    
                    0,09
                    
                ","
                    
                    0,10
                    
                ","
                    
                    0,13
                    
                ","
                    
                    0,07
                    
                ","
                    
                    0,07
                    
                ","
                    
                    0,07
                    
                "
"Giro do ativo","0,61","0,67","0,64","0,65","0,47","0,50","
                    
                    0,37
                    
                ","
                    
                    0,51
                    
                ","
                    
                    0,45
                    
                ","
                    
                    0,54
                    
                ","
                    
                    0,56
                    
                ","
                    
                    0,49
                    
                ","
                    
                    0,43
                    
                ","
                    
                    0,43
                    
                ","
                    
                    0,41
                    
                ","
                    
                    0,40
                    
                "
"EBITDA","11.791 mi","8.504 mi","6.869 mi","8.000 mi","5.695 mi","4.168 mi","
                    
                    3.344 mi
                    
                ","
                    
                    3.492 mi
                    
                ","
                    
                    2.639 mi
                    
                ","
                    
                    5.537 mi
                    
                ","
                    
                    6.381 mi
                    
                ","
                    
                    5.186 mi
                    
                ","
                    
                    4.237 mi
                    
                ","
                    
                    5.285 mi
                    
                ","
                    
                    4.542 mi
                    
                ","
                    
                    4.586 mi
                    
                "
"Liquidez corrente","1,04","0,91","1,20","1,21","1,59","1,30","
                    
                    1,19
                    
                ","
                    
                    0,99
                    
                ","
                    
                    0,72
                    
                ","
                    
                    0,72
                    
                ","
                    
                    0,65
                    
                ","
                    
                    1,13
                    
                ","
                    
                    0,69
                    
                ","
                    
                    0,70
                    
                ","
                    
                    1,26
                    
                ","
                    
                    0,84
                    
                "
"Liquidez seca","1,04","0,91","1,20","1,21","1,59","1,30","
                    
                    1,19
                    
                ","
                    
                    0,98
                    
                ","
                    
                    0,72
                    
                ","
                    
                    0,71
                    
                ","
                    
                    0,64
                    
                ","
                    
                    1,12
                    
                ","
                    
                    0,68
                    
                ","
                    
                    0,70
                    
                ","
                    
                    1,26
                    
                ","
                    
                    0,83
                    
                "
"Liquidez imediata","0,23","0,12","0,13","0,08","0,17","0,07","
                    
                    0,04
                    
                ","
                    
                    0,12
                    
                ","
                    
                    0,09
                    
                ","
                    
                    0,07
                    
                ","
                    
                    0,09
                    
                ","
                    
                    0,37
                    
                ","
                    
                    0,15
                    
                ","
                    
                    0,24
                    
                ","
                    
                    0,47
                    
                ","
                    
                    0,43
                    
                "
"Dívida bruta","14.134 mi","9.831 mi","10.579 mi","11.363 mi","15.020 mi","14.776 mi","
                    
                    14.771 mi
                    
                ","
                    
                    14.397 mi
                    
                ","
                    
                    15.179 mi
                    
                ","
                    
                    15.166 mi
                    
                ","
                    
                    13.508 mi
                    
                ","
                    
                    9.457 mi
                    
                ","
                    
                    10.415 mi
                    
                ","
                    
                    15.779 mi
                    
                ","
                    
                    13.226 mi
                    
                ","
                    
                    11.292 mi
                    
                "
"Dívida líquida","7.513 mi","7.519 mi","7.394 mi","8.814 mi","9.979 mi","13.499 mi","
                    
                    13.177 mi
                    
                ","
                    
                    12.309 mi
                    
                ","
                    
                    13.169 mi
                    
                ","
                    
                    11.815 mi
                    
                ","
                    
                    11.627 mi
                    
                ","
                    
                    6.321 mi
                    
                ","
                    
                    7.839 mi
                    
                ","
                    
                    12.557 mi
                    
                ","
                    
                    9.924 mi
                    
                ","
                    
                    6.867 mi
                    
                "
"Capital de giro","677 mi","-1.224 mi","2.260 mi","2.261 mi","5.765 mi","2.388 mi","
                    
                    4.402 mi
                    
                ","
                    
                    -125 mi
                    
                ","
                    
                    -3.162 mi
                    
                ","
                    
                    -3.698 mi
                    
                ","
                    
                    -3.569 mi
                    
                ","
                    
                    747 mi
                    
                ","
                    
                    -3.995 mi
                    
                ","
                    
                    -3.638 mi
                    
                ","
                    
                    1.682 mi
                    
                ","
                    
                    -1.663 mi
                    
                "
"Endividamento geral","124,50%","123,08%","146,39%","167,43%","209,45%","213,78%","
                    
                    275,52%
                    
                ","
                    
                    194,76%
                    
                ","
                    
                    224,99%
                    
                ","
                    
                    214,58%
                    
                ","
                    
                    210,15%
                    
                ","
                    
                    135,90%
                    
                ","
                    
                    181,99%
                    
                ","
                    
                    215,10%
                    
                ","
                    
                    192,40%
                    
                ","
                    
                    171,31%
                    
                "
