"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","6,68","6,69","6,03","6,01","6,48","7,29","
                    
                    10,69
                    
                ","
                    
                    15,06
                    
                ","
                    
                    20,41
                    
                ","
                    
                    15,47
                    
                ","
                    
                    14,71
                    
                ","
                    
                    12,87
                    
                ","
                    
                    11,17
                    
                ","
                    
                    10,34
                    
                ","
                    
                    16,85
                    
                ","
                    
                    13,88
                    
                "
"P/VP","1,80","1,96","1,89","1,89","1,69","1,52","
                    
                    2,14
                    
                ","
                    
                    1,98
                    
                ","
                    
                    2,31
                    
                ","
                    
                    1,74
                    
                ","
                    
                    2,01
                    
                ","
                    
                    1,72
                    
                ","
                    
                    2,06
                    
                ","
                    
                    2,30
                    
                ","
                    
                    3,99
                    
                ","
                    
                    3,67
                    
                "
"P/EBIT","3,44","3,49","3,01","3,85","4,62","4,18","
                    
                    5,44
                    
                ","
                    
                    5,33
                    
                ","
                    
                    6,49
                    
                ","
                    
                    4,67
                    
                ","
                    
                    5,37
                    
                ","
                    
                    4,84
                    
                ","
                    
                    5,35
                    
                ","
                    
                    5,33
                    
                ","
                    
                    9,46
                    
                ","
                    
                    8,27
                    
                "
"PSR","0,89","0,93","0,78","0,73","0,76","0,66","
                    
                    0,78
                    
                ","
                    
                    0,66
                    
                ","
                    
                    0,96
                    
                ","
                    
                    0,65
                    
                ","
                    
                    0,81
                    
                ","
                    
                    0,82
                    
                ","
                    
                    0,88
                    
                ","
                    
                    1,27
                    
                ","
                    
                    2,16
                    
                ","
                    
                    2,03
                    
                "
"P/Ativos","0,49","0,49","0,43","0,43","0,48","0,45","
                    
                    0,52
                    
                ","
                    
                    0,43
                    
                ","
                    
                    0,44
                    
                ","
                    
                    0,33
                    
                ","
                    
                    0,40
                    
                ","
                    
                    0,39
                    
                ","
                    
                    0,45
                    
                ","
                    
                    0,59
                    
                ","
                    
                    1,29
                    
                ","
                    
                    1,24
                    
                "
"LPA","4,76","4,80","4,43","4,12","3,16","2,35","
                    
                    1,79
                    
                ","
                    
                    1,02
                    
                ","
                    
                    0,78
                    
                ","
                    
                    0,75
                    
                ","
                    
                    0,82
                    
                ","
                    
                    0,81
                    
                ","
                    
                    1,02
                    
                ","
                    
                    1,36
                    
                ","
                    
                    1,33
                    
                ","
                    
                    1,44
                    
                "
"VPA","17,72","16,38","14,11","13,14","12,09","11,28","
                    
                    8,91
                    
                ","
                    
                    7,78
                    
                ","
                    
                    6,92
                    
                ","
                    
                    6,66
                    
                ","
                    
                    6,03
                    
                ","
                    
                    6,10
                    
                ","
                    
                    5,54
                    
                ","
                    
                    6,13
                    
                ","
                    
                    5,64
                    
                ","
                    
                    5,44
                    
                "
"EBIT por ação","9,24","9,18","8,88","6,43","4,44","4,09","
                    
                    3,51
                    
                ","
                    
                    2,89
                    
                ","
                    
                    2,46
                    
                ","
                    
                    2,48
                    
                ","
                    
                    2,26
                    
                ","
                    
                    2,16
                    
                ","
                    
                    2,13
                    
                ","
                    
                    2,65
                    
                ","
                    
                    2,38
                    
                ","
                    
                    2,42
                    
                "
"Ativo por ação","65,55","65,06","61,75","57,38","42,62","38,25","
                    
                    36,63
                    
                ","
                    
                    35,83
                    
                ","
                    
                    36,60
                    
                ","
                    
                    35,18
                    
                ","
                    
                    30,50
                    
                ","
                    
                    26,94
                    
                ","
                    
                    25,10
                    
                ","
                    
                    23,79
                    
                ","
                    
                    17,41
                    
                ","
                    
                    16,05
                    
                "
"Receita líquida por ação","35,78","34,49","34,15","34,03","26,82","25,98","
                    
                    24,42
                    
                ","
                    
                    23,21
                    
                ","
                    
                    16,59
                    
                ","
                    
                    17,88
                    
                ","
                    
                    15,02
                    
                ","
                    
                    12,70
                    
                ","
                    
                    12,92
                    
                ","
                    
                    11,08
                    
                ","
                    
                    10,44
                    
                ","
                    
                    9,86
                    
                "
"Margem bruta","33,61%","34,33%","30,08%","23,61%","22,40%","21,97%","
                    
                    20,58%
                    
                ","
                    
                    18,69%
                    
                ","
                    
                    22,53%
                    
                ","
                    
                    21,03%
                    
                ","
                    
                    23,37%
                    
                ","
                    
                    27,06%
                    
                ","
                    
                    26,22%
                    
                ","
                    
                    33,27%
                    
                ","
                    
                    30,63%
                    
                ","
                    
                    32,30%
                    
                "
"Margem líquida","13,38%","13,93%","13,26%","12,38%","12,00%","9,18%","
                    
                    7,70%
                    
                ","
                    
                    4,65%
                    
                ","
                    
                    4,60%
                    
                ","
                    
                    4,25%
                    
                ","
                    
                    5,12%
                    
                ","
                    
                    6,49%
                    
                ","
                    
                    8,11%
                    
                ","
                    
                    12,73%
                    
                ","
                    
                    12,97%
                    
                ","
                    
                    14,87%
                    
                "
"Margem EBIT","25,83%","26,62%","26,00%","18,89%","16,55%","15,74%","
                    
                    14,37%
                    
                ","
                    
                    12,47%
                    
                ","
                    
                    14,83%
                    
                ","
                    
                    13,90%
                    
                ","
                    
                    15,02%
                    
                ","
                    
                    17,02%
                    
                ","
                    
                    16,49%
                    
                ","
                    
                    23,90%
                    
                ","
                    
                    22,78%
                    
                ","
                    
                    24,50%
                    
                "
"Margem EBITDA","31,46%","32,28%","31,16%","23,36%","21,94%","21,36%","
                    
                    20,03%
                    
                ","
                    
                    18,18%
                    
                ","
                    
                    21,58%
                    
                ","
                    
                    20,11%
                    
                ","
                    
                    21,73%
                    
                ","
                    
                    24,23%
                    
                ","
                    
                    23,07%
                    
                ","
                    
                    30,18%
                    
                ","
                    
                    28,54%
                    
                ","
                    
                    30,43%
                    
                "
"Margem operacional","18,77%","20,19%","18,60%","16,87%","15,53%","13,32%","
                    
                    10,45%
                    
                ","
                    
                    6,90%
                    
                ","
                    
                    7,22%
                    
                ","
                    
                    7,06%
                    
                ","
                    
                    8,73%
                    
                ","
                    
                    10,38%
                    
                ","
                    
                    12,61%
                    
                ","
                    
                    19,00%
                    
                ","
                    
                    19,84%
                    
                ","
                    
                    21,77%
                    
                "
"ROE","25,69%","27,69%","29,75%","28,88%","26,04%","20,69%","
                    
                    17,28%
                    
                ","
                    
                    11,11%
                    
                ","
                    
                    8,47%
                    
                ","
                    
                    8,64%
                    
                ","
                    
                    9,43%
                    
                ","
                    
                    10,79%
                    
                ","
                    
                    15,30%
                    
                ","
                    
                    18,99%
                    
                ","
                    
                    23,11%
                    
                ","
                    
                    25,84%
                    
                "
"ROA","0,07","0,07","0,07","0,07","0,08","0,06","
                    
                    0,05
                    
                ","
                    
                    0,03
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,03
                    
                ","
                    
                    0,03
                    
                ","
                    
                    0,04
                    
                ","
                    
                    0,06
                    
                ","
                    
                    0,08
                    
                ","
                    
                    0,09
                    
                "
"Giro do ativo","0,55","0,53","0,55","0,59","0,63","0,68","
                    
                    0,67
                    
                ","
                    
                    0,65
                    
                ","
                    
                    0,45
                    
                ","
                    
                    0,51
                    
                ","
                    
                    0,49
                    
                ","
                    
                    0,47
                    
                ","
                    
                    0,51
                    
                ","
                    
                    0,47
                    
                ","
                    
                    0,60
                    
                ","
                    
                    0,61
                    
                "
"EBITDA","12.968 mi","12.829 mi","12.262 mi","9.159 mi","6.779 mi","6.393 mi","
                    
                    5.636 mi
                    
                ","
                    
                    4.863 mi
                    
                ","
                    
                    4.125 mi
                    
                ","
                    
                    4.142 mi
                    
                ","
                    
                    3.759 mi
                    
                ","
                    
                    3.545 mi
                    
                ","
                    
                    3.434 mi
                    
                ","
                    
                    3.851 mi
                    
                ","
                    
                    3.431 mi
                    
                ","
                    
                    3.455 mi
                    
                "
"Liquidez corrente","1,11","0,91","1,02","1,20","0,96","1,03","
                    
                    1,12
                    
                ","
                    
                    0,84
                    
                ","
                    
                    1,26
                    
                ","
                    
                    1,31
                    
                ","
                    
                    1,24
                    
                ","
                    
                    1,48
                    
                ","
                    
                    1,12
                    
                ","
                    
                    1,19
                    
                ","
                    
                    0,88
                    
                ","
                    
                    1,07
                    
                "
"Liquidez seca","1,10","0,91","1,01","1,19","0,95","1,02","
                    
                    1,12
                    
                ","
                    
                    0,84
                    
                ","
                    
                    1,26
                    
                ","
                    
                    1,31
                    
                ","
                    
                    1,24
                    
                ","
                    
                    1,48
                    
                ","
                    
                    1,11
                    
                ","
                    
                    1,18
                    
                ","
                    
                    0,87
                    
                ","
                    
                    1,06
                    
                "
"Liquidez imediata","0,15","0,22","0,25","0,17","0,27","0,19","
                    
                    0,22
                    
                ","
                    
                    0,29
                    
                ","
                    
                    0,68
                    
                ","
                    
                    0,60
                    
                ","
                    
                    0,59
                    
                ","
                    
                    0,86
                    
                ","
                    
                    0,49
                    
                ","
                    
                    0,60
                    
                ","
                    
                    0,35
                    
                ","
                    
                    0,43
                    
                "
"Dívida bruta","28.573 mi","26.437 mi","25.382 mi","22.415 mi","18.870 mi","18.909 mi","
                    
                    20.376 mi
                    
                ","
                    
                    20.168 mi
                    
                ","
                    
                    22.043 mi
                    
                ","
                    
                    21.733 mi
                    
                ","
                    
                    19.149 mi
                    
                ","
                    
                    17.021 mi
                    
                ","
                    
                    15.473 mi
                    
                ","
                    
                    13.607 mi
                    
                ","
                    
                    9.406 mi
                    
                ","
                    
                    7.899 mi
                    
                "
