"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","7,96","10,99","15,61","3,41","3,74","5,91","
                    
                    4,43
                    
                ","
                    
                    4,18
                    
                ","
                    
                    4,86
                    
                ","
                    
                    2,55
                    
                ","
                    
                    3,09
                    
                ","
                    
                    2,92
                    
                ","
                    
                    4,85
                    
                ","
                    
                    3,99
                    
                ","
                    
                    5,07
                    
                ","
                    
                    6,10
                    
                "
"P/VP","0,97","1,04","0,83","0,77","0,73","0,68","
                    
                    0,39
                    
                ","
                    
                    0,28
                    
                ","
                    
                    0,30
                    
                ","
                    
                    0,21
                    
                ","
                    
                    0,28
                    
                ","
                    
                    0,25
                    
                ","
                    
                    0,28
                    
                ","
                    
                    0,39
                    
                ","
                    
                    0,45
                    
                ","
                    
                    0,47
                    
                "
"P/EBIT","5,71","6,72","5,89","3,11","3,43","3,56","
                    
                    2,60
                    
                ","
                    
                    2,02
                    
                ","
                    
                    2,19
                    
                ","
                    
                    1,43
                    
                ","
                    
                    2,16
                    
                ","
                    
                    2,55
                    
                ","
                    
                    3,40
                    
                ","
                    
                    3,40
                    
                ","
                    
                    4,85
                    
                ","
                    
                    4,57
                    
                "
"PSR","1,11","1,16","0,85","0,71","0,78","0,74","
                    
                    0,42
                    
                ","
                    
                    0,31
                    
                ","
                    
                    0,33
                    
                ","
                    
                    0,20
                    
                ","
                    
                    0,27
                    
                ","
                    
                    0,34
                    
                ","
                    
                    0,40
                    
                ","
                    
                    0,59
                    
                ","
                    
                    0,73
                    
                ","
                    
                    0,77
                    
                "
"P/Ativos","0,44","0,44","0,35","0,34","0,31","0,31","
                    
                    0,17
                    
                ","
                    
                    0,13
                    
                ","
                    
                    0,14
                    
                ","
                    
                    0,11
                    
                ","
                    
                    0,15
                    
                ","
                    
                    0,14
                    
                ","
                    
                    0,16
                    
                ","
                    
                    0,25
                    
                ","
                    
                    0,28
                    
                ","
                    
                    0,30
                    
                "
"LPA","1,04","0,76","0,37","1,66","1,31","0,67","
                    
                    0,47
                    
                ","
                    
                    0,35
                    
                ","
                    
                    0,30
                    
                ","
                    
                    0,40
                    
                ","
                    
                    0,40
                    
                ","
                    
                    0,36
                    
                ","
                    
                    0,23
                    
                ","
                    
                    0,39
                    
                ","
                    
                    0,33
                    
                ","
                    
                    0,27
                    
                "
"VPA","8,55","8,01","6,98","7,32","6,69","5,78","
                    
                    5,38
                    
                ","
                    
                    5,10
                    
                ","
                    
                    4,93
                    
                ","
                    
                    4,78
                    
                ","
                    
                    4,47
                    
                ","
                    
                    4,24
                    
                ","
                    
                    4,06
                    
                ","
                    
                    3,96
                    
                ","
                    
                    3,70
                    
                ","
                    
                    3,45
                    
                "
"EBIT por ação","1,45","1,24","0,99","1,83","1,43","1,11","
                    
                    0,80
                    
                ","
                    
                    0,72
                    
                ","
                    
                    0,67
                    
                ","
                    
                    0,71
                    
                ","
                    
                    0,58
                    
                ","
                    
                    0,41
                    
                ","
                    
                    0,34
                    
                ","
                    
                    0,46
                    
                ","
                    
                    0,35
                    
                ","
                    
                    0,35
                    
                "
"Ativo por ação","18,96","18,71","16,66","16,61","15,68","12,84","
                    
                    12,05
                    
                ","
                    
                    11,12
                    
                ","
                    
                    10,15
                    
                ","
                    
                    9,70
                    
                ","
                    
                    8,59
                    
                ","
                    
                    7,75
                    
                ","
                    
                    7,11
                    
                ","
                    
                    6,32
                    
                ","
                    
                    5,99
                    
                ","
                    
                    5,47
                    
                "
"Receita líquida por ação","7,44","7,20","6,88","8,04","6,25","5,32","
                    
                    5,01
                    
                ","
                    
                    4,70
                    
                ","
                    
                    4,39
                    
                ","
                    
                    5,01
                    
                ","
                    
                    4,67
                    
                ","
                    
                    3,08
                    
                ","
                    
                    2,85
                    
                ","
                    
                    2,61
                    
                ","
                    
                    2,31
                    
                ","
                    
                    2,10
                    
                "
"Margem bruta","22,71%","22,80%","24,01%","20,28%","28,37%","27,76%","
                    
                    22,99%
                    
                ","
                    
                    23,95%
                    
                ","
                    
                    21,89%
                    
                ","
                    
                    21,05%
                    
                ","
                    
                    18,89%
                    
                ","
                    
                    23,34%
                    
                ","
                    
                    22,99%
                    
                ","
                    
                    29,82%
                    
                ","
                    
                    27,89%
                    
                ","
                    
                    25,94%
                    
                "
"Margem líquida","14,27%","10,83%","5,60%","21,05%","20,98%","13,00%","
                    
                    9,67%
                    
                ","
                    
                    7,97%
                    
                ","
                    
                    6,67%
                    
                ","
                    
                    8,47%
                    
                ","
                    
                    9,60%
                    
                ","
                    
                    12,00%
                    
                ","
                    
                    8,55%
                    
                ","
                    
                    15,13%
                    
                ","
                    
                    14,64%
                    
                ","
                    
                    13,00%
                    
                "
"Margem EBIT","19,49%","17,20%","14,36%","22,71%","22,83%","20,81%","
                    
                    16,03%
                    
                ","
                    
                    15,27%
                    
                ","
                    
                    15,18%
                    
                ","
                    
                    14,23%
                    
                ","
                    
                    12,41%
                    
                ","
                    
                    13,36%
                    
                ","
                    
                    11,76%
                    
                ","
                    
                    17,48%
                    
                ","
                    
                    14,96%
                    
                ","
                    
                    16,92%
                    
                "
"Margem EBITDA","26,00%","23,64%","20,36%","27,22%","28,25%","26,80%","
                    
                    21,05%
                    
                ","
                    
                    20,49%
                    
                ","
                    
                    20,59%
                    
                ","
                    
                    18,75%
                    
                ","
                    
                    16,93%
                    
                ","
                    
                    19,93%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                "
"Margem operacional","14,60%","11,59%","4,59%","21,34%","27,48%","17,94%","
                    
                    13,10%
                    
                ","
                    
                    9,93%
                    
                ","
                    
                    10,64%
                    
                ","
                    
                    12,03%
                    
                ","
                    
                    13,35%
                    
                ","
                    
                    16,41%
                    
                ","
                    
                    11,45%
                    
                ","
                    
                    20,37%
                    
                ","
                    
                    20,01%
                    
                ","
                    
                    17,03%
                    
                "
"ROE","12,44%","9,62%","5,44%","22,77%","19,31%","11,72%","
                    
                    8,84%
                    
                ","
                    
                    7,21%
                    
                ","
                    
                    5,84%
                    
                ","
                    
                    8,68%
                    
                ","
                    
                    9,76%
                    
                ","
                    
                    8,52%
                    
                ","
                    
                    5,88%
                    
                ","
                    
                    9,75%
                    
                ","
                    
                    8,94%
                    
                ","
                    
                    7,72%
                    
                "
"ROA","0,06","0,04","0,02","0,10","0,08","0,05","
                    
                    0,04
                    
                ","
                    
                    0,03
                    
                ","
                    
                    0,03
                    
                ","
                    
                    0,04
                    
                ","
                    
                    0,05
                    
                ","
                    
                    0,05
                    
                ","
                    
                    0,03
                    
                ","
                    
                    0,06
                    
                ","
                    
                    0,06
                    
                ","
                    
                    0,05
                    
                "
"Giro do ativo","0,39","0,38","0,41","0,48","0,40","0,41","
                    
                    0,42
                    
                ","
                    
                    0,42
                    
                ","
                    
                    0,43
                    
                ","
                    
                    0,52
                    
                ","
                    
                    0,54
                    
                ","
                    
                    0,40
                    
                ","
                    
                    0,40
                    
                ","
                    
                    0,41
                    
                ","
                    
                    0,39
                    
                ","
                    
                    0,38
                    
                "
"EBITDA","5.771 mi","5.076 mi","4.181 mi","6.528 mi","5.263 mi","4.253 mi","
                    
                    3.143 mi
                    
                ","
                    
                    2.872 mi
                    
                ","
                    
                    2.697 mi
                    
                ","
                    
                    2.802 mi
                    
                ","
                    
                    2.356 mi
                    
                ","
                    
                    1.829 mi
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Liquidez corrente","1,45","1,47","1,30","1,40","1,18","1,48","
                    
                    1,00
                    
                ","
                    
                    0,93
                    
                ","
                    
                    0,75
                    
                ","
                    
                    1,45
                    
                ","
                    
                    1,29
                    
                ","
                    
                    1,40
                    
                ","
                    
                    1,65
                    
                ","
                    
                    1,80
                    
                ","
                    
                    1,64
                    
                ","
                    
                    2,10
                    
                "
"Liquidez seca","1,43","1,45","1,28","1,38","1,16","1,46","
                    
                    0,98
                    
                ","
                    
                    0,92
                    
                ","
                    
                    0,73
                    
                ","
                    
                    1,42
                    
                ","
                    
                    1,25
                    
                ","
                    
                    1,36
                    
                ","
                    
                    1,61
                    
                ","
                    
                    1,75
                    
                ","
                    
                    1,59
                    
                ","
                    
                    2,03
                    
                "
"Liquidez imediata","0,73","0,61","0,37","0,44","0,33","0,55","
                    
                    0,29
                    
                ","
                    
                    0,17
                    
                ","
                    
                    0,17
                    
                ","
                    
                    0,31
                    
                ","
                    
                    0,18
                    
                ","
                    
                    0,52
                    
                ","
                    
                    0,52
                    
                ","
                    
                    0,51
                    
                ","
                    
                    0,71
                    
                ","
                    
                    0,88
                    
                "
