"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","5,66","5,63","5,85","7,43","5,18","4,28","
                    
                    8,12
                    
                ","
                    
                    6,14
                    
                ","
                    
                    6,90
                    
                ","
                    
                    -106,94
                    
                ","
                    
                    3,84
                    
                ","
                    
                    5,63
                    
                ","
                    
                    6,48
                    
                ","
                    
                    5,66
                    
                ","
                    
                    2,43
                    
                ","
                    
                    3,21
                    
                "
"P/VP","1,01","1,02","0,68","0,59","0,66","0,48","
                    
                    0,75
                    
                ","
                    
                    0,55
                    
                ","
                    
                    0,50
                    
                ","
                    
                    0,22
                    
                ","
                    
                    0,22
                    
                ","
                    
                    0,44
                    
                ","
                    
                    0,63
                    
                ","
                    
                    0,58
                    
                ","
                    
                    0,39
                    
                ","
                    
                    0,44
                    
                "
"P/EBIT","3,88","4,34","3,94","4,72","3,31","2,80","
                    
                    5,09
                    
                ","
                    
                    3,60
                    
                ","
                    
                    3,75
                    
                ","
                    
                    3,94
                    
                ","
                    
                    1,97
                    
                ","
                    
                    3,26
                    
                ","
                    
                    4,09
                    
                ","
                    
                    3,57
                    
                ","
                    
                    1,71
                    
                ","
                    
                    2,56
                    
                "
"PSR","1,01","1,05","0,80","0,68","0,79","0,63","
                    
                    0,99
                    
                ","
                    
                    0,80
                    
                ","
                    
                    0,74
                    
                ","
                    
                    0,32
                    
                ","
                    
                    0,30
                    
                ","
                    
                    0,63
                    
                ","
                    
                    0,91
                    
                ","
                    
                    0,81
                    
                ","
                    
                    0,50
                    
                ","
                    
                    0,51
                    
                "
"P/Ativos","0,52","0,55","0,37","0,31","0,36","0,28","
                    
                    0,42
                    
                ","
                    
                    0,32
                    
                ","
                    
                    0,27
                    
                ","
                    
                    0,11
                    
                ","
                    
                    0,12
                    
                ","
                    
                    0,25
                    
                ","
                    
                    0,34
                    
                ","
                    
                    0,32
                    
                ","
                    
                    0,22
                    
                ","
                    
                    0,24
                    
                "
"LPA","3,68","3,63","2,22","1,41","2,15","1,98","
                    
                    1,52
                    
                ","
                    
                    1,47
                    
                ","
                    
                    1,14
                    
                ","
                    
                    -0,03
                    
                ","
                    
                    0,84
                    
                ","
                    
                    1,10
                    
                ","
                    
                    1,27
                    
                ","
                    
                    1,22
                    
                ","
                    
                    1,76
                    
                ","
                    
                    1,37
                    
                "
"VPA","20,69","19,92","19,08","17,78","16,98","17,73","
                    
                    16,38
                    
                ","
                    
                    16,42
                    
                ","
                    
                    15,62
                    
                ","
                    
                    14,85
                    
                ","
                    
                    14,56
                    
                ","
                    
                    14,04
                    
                ","
                    
                    12,98
                    
                ","
                    
                    11,92
                    
                ","
                    
                    11,10
                    
                ","
                    
                    9,93
                    
                "
"EBIT por ação","5,38","4,71","3,29","2,23","3,37","3,04","
                    
                    2,43
                    
                ","
                    
                    2,52
                    
                ","
                    
                    2,10
                    
                ","
                    
                    0,83
                    
                ","
                    
                    1,63
                    
                ","
                    
                    1,91
                    
                ","
                    
                    2,01
                    
                ","
                    
                    1,94
                    
                ","
                    
                    2,50
                    
                ","
                    
                    1,71
                    
                "
"Ativo por ação","40,39","37,32","34,69","33,46","30,96","30,32","
                    
                    29,40
                    
                ","
                    
                    28,43
                    
                ","
                    
                    28,79
                    
                ","
                    
                    28,75
                    
                ","
                    
                    26,72
                    
                ","
                    
                    24,69
                    
                ","
                    
                    23,90
                    
                ","
                    
                    21,74
                    
                ","
                    
                    19,15
                    
                ","
                    
                    18,39
                    
                "
"Receita líquida por ação","20,69","19,47","16,24","15,50","14,05","13,56","
                    
                    12,46
                    
                ","
                    
                    11,38
                    
                ","
                    
                    10,61
                    
                ","
                    
                    10,08
                    
                ","
                    
                    10,87
                    
                ","
                    
                    9,82
                    
                ","
                    
                    9,07
                    
                ","
                    
                    8,48
                    
                ","
                    
                    8,52
                    
                ","
                    
                    8,60
                    
                "
"Margem bruta","43,42%","41,35%","37,49%","36,46%","44,99%","41,81%","
                    
                    39,04%
                    
                ","
                    
                    42,42%
                    
                ","
                    
                    38,40%
                    
                ","
                    
                    29,63%
                    
                ","
                    
                    34,08%
                    
                ","
                    
                    37,27%
                    
                ","
                    
                    39,18%
                    
                ","
                    
                    40,36%
                    
                ","
                    
                    36,90%
                    
                ","
                    
                    35,51%
                    
                "
"Margem líquida","17,80%","18,63%","13,65%","9,12%","15,28%","14,63%","
                    
                    12,22%
                    
                ","
                    
                    12,95%
                    
                ","
                    
                    10,77%
                    
                ","
                    
                    -0,30%
                    
                ","
                    
                    7,70%
                    
                ","
                    
                    11,24%
                    
                ","
                    
                    13,97%
                    
                ","
                    
                    14,40%
                    
                ","
                    
                    20,68%
                    
                ","
                    
                    15,88%
                    
                "
"Margem EBIT","25,98%","24,16%","20,27%","14,36%","23,96%","22,40%","
                    
                    19,47%
                    
                ","
                    
                    22,11%
                    
                ","
                    
                    19,82%
                    
                ","
                    
                    8,21%
                    
                ","
                    
                    15,00%
                    
                ","
                    
                    19,45%
                    
                ","
                    
                    22,13%
                    
                ","
                    
                    22,82%
                    
                ","
                    
                    29,33%
                    
                ","
                    
                    19,93%
                    
                "
"Margem EBITDA","36,03%","34,83%","32,10%","27,07%","36,06%","34,10%","
                    
                    31,47%
                    
                ","
                    
                    35,15%
                    
                ","
                    
                    34,62%
                    
                ","
                    
                    22,55%
                    
                ","
                    
                    26,82%
                    
                ","
                    
                    30,99%
                    
                ","
                    
                    33,15%
                    
                ","
                    
                    32,61%
                    
                ","
                    
                    39,28%
                    
                ","
                    
                    27,66%
                    
                "
"Margem operacional","23,00%","24,12%","16,93%","11,10%","20,69%","19,82%","
                    
                    15,45%
                    
                ","
                    
                    17,54%
                    
                ","
                    
                    14,89%
                    
                ","
                    
                    -0,73%
                    
                ","
                    
                    10,47%
                    
                ","
                    
                    15,17%
                    
                ","
                    
                    18,54%
                    
                ","
                    
                    19,84%
                    
                ","
                    
                    28,12%
                    
                ","
                    
                    20,31%
                    
                "
