"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","-8,03","-59,09","10,38","1,92","8,60","3,36","
                    
                    2,57
                    
                ","
                    
                    688,09
                    
                ","
                    
                    -7,83
                    
                ","
                    
                    -4,73
                    
                ","
                    
                    -41,46
                    
                ","
                    
                    14,38
                    
                ","
                    
                    -14,30
                    
                ","
                    
                    2,86
                    
                ","
                    
                    6,19
                    
                ","
                    
                    5,94
                    
                "
"P/VP","0,83","1,07","0,83","1,16","3,29","0,59","
                    
                    1,50
                    
                ","
                    
                    1,01
                    
                ","
                    
                    1,18
                    
                ","
                    
                    0,96
                    
                ","
                    
                    0,77
                    
                ","
                    
                    0,90
                    
                ","
                    
                    0,70
                    
                ","
                    
                    1,33
                    
                ","
                    
                    2,04
                    
                ","
                    
                    2,39
                    
                "
"P/EBIT","2,31","3,63","2,11","1,14","5,71","1,70","
                    
                    1,88
                    
                ","
                    
                    2,37
                    
                ","
                    
                    3,76
                    
                ","
                    
                    1,14
                    
                ","
                    
                    1,55
                    
                ","
                    
                    2,35
                    
                ","
                    
                    8,36
                    
                ","
                    
                    1,84
                    
                ","
                    
                    3,12
                    
                ","
                    
                    4,37
                    
                "
"PSR","0,25","0,41","0,36","0,49","1,09","0,24","
                    
                    0,57
                    
                ","
                    
                    0,38
                    
                ","
                    
                    0,43
                    
                ","
                    
                    0,38
                    
                ","
                    
                    0,27
                    
                ","
                    
                    0,42
                    
                ","
                    
                    0,39
                    
                ","
                    
                    0,64
                    
                ","
                    
                    1,08
                    
                ","
                    
                    1,42
                    
                "
"P/Ativos","0,11","0,21","0,19","0,30","0,52","0,12","
                    
                    0,28
                    
                ","
                    
                    0,16
                    
                ","
                    
                    0,17
                    
                ","
                    
                    0,12
                    
                ","
                    
                    0,09
                    
                ","
                    
                    0,15
                    
                ","
                    
                    0,11
                    
                ","
                    
                    0,23
                    
                ","
                    
                    0,41
                    
                ","
                    
                    0,51
                    
                "
"LPA","-1,04","-0,24","1,17","9,24","2,86","1,35","
                    
                    3,83
                    
                ","
                    
                    0,01
                    
                ","
                    
                    -0,70
                    
                ","
                    
                    -0,92
                    
                ","
                    
                    -0,08
                    
                ","
                    
                    0,38
                    
                ","
                    
                    -0,32
                    
                ","
                    
                    2,79
                    
                ","
                    
                    1,90
                    
                ","
                    
                    1,97
                    
                "
"VPA","10,12","13,20","14,70","15,32","7,48","7,67","
                    
                    6,56
                    
                ","
                    
                    5,30
                    
                ","
                    
                    4,67
                    
                ","
                    
                    4,50
                    
                ","
                    
                    4,30
                    
                ","
                    
                    6,11
                    
                ","
                    
                    6,50
                    
                ","
                    
                    6,02
                    
                ","
                    
                    5,76
                    
                ","
                    
                    4,91
                    
                "
"EBIT por ação","3,62","3,91","5,76","15,49","4,31","2,67","
                    
                    5,24
                    
                ","
                    
                    2,25
                    
                ","
                    
                    1,47
                    
                ","
                    
                    3,81
                    
                ","
                    
                    2,12
                    
                ","
                    
                    2,35
                    
                ","
                    
                    0,54
                    
                ","
                    
                    4,34
                    
                ","
                    
                    3,77
                    
                ","
                    
                    2,69
                    
                "
"Ativo por ação","73,05","69,02","64,37","59,86","47,51","38,36","
                    
                    35,69
                    
                ","
                    
                    34,09
                    
                ","
                    
                    33,30
                    
                ","
                    
                    35,70
                    
                ","
                    
                    37,53
                    
                ","
                    
                    38,01
                    
                ","
                    
                    40,18
                    
                ","
                    
                    35,34
                    
                ","
                    
                    28,70
                    
                ","
                    
                    23,17
                    
                "
"Receita líquida por ação","32,93","34,26","33,45","36,13","22,67","19,18","
                    
                    17,32
                    
                ","
                    
                    13,97
                    
                ","
                    
                    12,93
                    
                ","
                    
                    11,51
                    
                ","
                    
                    12,16
                    
                ","
                    
                    13,06
                    
                ","
                    
                    11,48
                    
                ","
                    
                    12,46
                    
                ","
                    
                    10,90
                    
                ","
                    
                    8,28
                    
                "
"Margem bruta","26,52%","26,33%","30,00%","46,07%","36,39%","32,13%","
                    
                    29,88%
                    
                ","
                    
                    26,60%
                    
                ","
                    
                    26,29%
                    
                ","
                    
                    23,07%
                    
                ","
                    
                    28,11%
                    
                ","
                    
                    28,24%
                    
                ","
                    
                    26,07%
                    
                ","
                    
                    40,67%
                    
                ","
                    
                    45,45%
                    
                ","
                    
                    36,04%
                    
                "
"Margem líquida","-1,38%","0,89%","4,89%","28,38%","14,28%","8,82%","
                    
                    22,64%
                    
                ","
                    
                    0,60%
                    
                ","
                    
                    -4,97%
                    
                ","
                    
                    -7,97%
                    
                ","
                    
                    -0,70%
                    
                ","
                    
                    3,08%
                    
                ","
                    
                    -3,16%
                    
                ","
                    
                    22,20%
                    
                ","
                    
                    17,41%
                    
                ","
                    
                    23,82%
                    
                "
"Margem EBIT","10,98%","11,41%","17,23%","42,87%","19,01%","13,92%","
                    
                    30,24%
                    
                ","
                    
                    16,11%
                    
                ","
                    
                    11,34%
                    
                ","
                    
                    33,09%
                    
                ","
                    
                    17,47%
                    
                ","
                    
                    18,02%
                    
                ","
                    
                    4,72%
                    
                ","
                    
                    34,85%
                    
                ","
                    
                    34,59%
                    
                ","
                    
                    32,44%
                    
                "
"Margem EBITDA","19,44%","18,85%","23,71%","47,50%","27,40%","19,90%","
                    
                    35,79%
                    
                ","
                    
                    23,95%
                    
                ","
                    
                    19,06%
                    
                ","
                    
                    40,80%
                    
                ","
                    
                    25,42%
                    
                ","
                    
                    24,70%
                    
                ","
                    
                    11,94%
                    
                ","
                    
                    40,59%
                    
                ","
                    
                    40,22%
                    
                ","
                    
                    39,54%
                    
                "
"Margem operacional","-0,71%","2,28%","9,30%","38,81%","16,36%","5,55%","
                    
                    23,73%
                    
                ","
                    
                    2,81%
                    
                ","
                    
                    -3,36%
                    
                ","
                    
                    11,04%
                    
                ","
                    
                    -1,63%
                    
                ","
                    
                    3,51%
                    
                ","
                    
                    -9,41%
                    
                ","
                    
                    22,71%
                    
                ","
                    
                    21,36%
                    
                ","
                    
                    30,19%
                    
                "
"ROE","-3,95%","2,05%","9,94%","58,16%","38,15%","19,75%","
                    
                    51,94%
                    
                ","
                    
                    1,34%
                    
                ","
                    
                    -11,55%
                    
                ","
                    
                    -17,15%
                    
                ","
                    
                    -1,96%
                    
                ","
                    
                    6,62%
                    
                ","
                    
                    -5,34%
                    
                ","
                    
                    43,57%
                    
                ","
                    
                    32,17%
                    
                ","
                    
                    39,69%
                    
                "
"ROA","-0,01","0,00","0,03","0,17","0,07","0,04","
                    
                    0,11
                    
                ","
                    
                    0,00
                    
                ","
                    
                    -0,02
                    
                ","
                    
                    -0,03
                    
                ","
                    
                    -0,00
                    
                ","
                    
                    0,01
                    
                ","
                    
                    -0,01
                    
                ","
                    
                    0,08
                    
                ","
                    
                    0,07
                    
                ","
                    
                    0,09
                    
                "
"Giro do ativo","0,45","0,50","0,52","0,60","0,48","0,50","
                    
                    0,49
                    
                ","
                    
                    0,41
                    
                ","
                    
                    0,39
                    
                ","
                    
                    0,32
                    
                ","
                    
                    0,32
                    
                ","
                    
                    0,34
                    
                ","
                    
                    0,29
                    
                ","
                    
                    0,35
                    
                ","
                    
                    0,38
                    
                ","
                    
                    0,36
                    
                "
"EBITDA","8.490 mi","8.565 mi","10.519 mi","22.758 mi","8.236 mi","5.061 mi","
                    
                    8.219 mi
                    
                ","
                    
                    4.437 mi
                    
                ","
                    
                    3.267 mi
                    
                ","
                    
                    6.227 mi
                    
                ","
                    
                    4.099 mi
                    
                ","
                    
                    4.275 mi
                    
                ","
                    
                    1.819 mi
                    
                ","
                    
                    6.705 mi
                    
                ","
                    
                    5.812 mi
                    
                ","
                    
                    4.341 mi
                    
                "
"Liquidez corrente","1,34","1,32","1,36","1,43","1,59","1,10","
                    
                    1,05
                    
                ","
                    
                    1,11
                    
                ","
                    
                    2,26
                    
                ","
                    
                    3,23
                    
                ","
                    
                    2,50
                    
                ","
                    
                    2,95
                    
                ","
                    
                    2,92
                    
                ","
                    
                    3,38
                    
                ","
                    
                    3,54
                    
                ","
                    
                    3,21
                    
                "
"Liquidez seca","0,93","0,94","0,86","0,98","1,26","0,64","
                    
                    0,61
                    
                ","
                    
                    0,70
                    
                ","
                    
                    1,54
                    
                ","
                    
                    2,26
                    
                ","
                    
                    1,86
                    
                ","
                    
                    2,38
                    
                ","
                    
                    2,40
                    
                ","
                    
                    2,80
                    
                ","
                    
                    2,79
                    
                ","
                    
                    2,56
                    
                "
"Liquidez imediata","0,71","0,64","0,53","0,68","0,68","0,09","
                    
                    0,20
                    
                ","
                    
                    0,32
                    
                ","
                    
                    0,89
                    
                ","
                    
                    1,55
                    
                ","
                    
                    1,37
                    
                ","
                    
                    1,80
                    
                ","
                    
                    1,82
                    
                ","
                    
                    2,37
                    
                ","
                    
                    2,30
                    
                ","
                    
                    1,99
                    
                "
"Dívida bruta","51.631 mi","44.859 mi","40.918 mi","32.507 mi","35.270 mi","27.967 mi","
                    
                    28.827 mi
                    
                ","
                    
                    29.510 mi
                    
                ","
                    
                    30.441 mi
                    
                ","
                    
                    34.282 mi
                    
                ","
                    
                    30.354 mi
                    
                ","
                    
                    27.746 mi
                    
                ","
                    
                    29.304 mi
                    
                ","
                    
                    27.888 mi
                    
                ","
                    
                    20.089 mi
                    
                ","
                    
                    14.267 mi
                    
                "
"Dívida líquida","32.150 mi","27.279 mi","27.470 mi","13.216 mi","21.542 mi","24.244 mi","
                    
                    25.683 mi
                    
                ","
                    
                    25.363 mi
                    
                ","
                    
                    24.809 mi
                    
                ","
                    
                    25.657 mi
                    
                ","
                    
                    21.668 mi
                    
                ","
                    
                    17.750 mi
                    
                ","
                    
                    17.412 mi
                    
                ","
                    
                    12.471 mi
                    
                ","
                    
                    9.850 mi
                    
                ","
                    
                    6.296 mi
                    
                "
"Capital de giro","8.786 mi","8.060 mi","8.137 mi","10.430 mi","8.660 mi","1.105 mi","
                    
                    575 mi
                    
                ","
                    
                    1.211 mi
                    
                ","
                    
                    6.948 mi
                    
                ","
                    
                    11.348 mi
                    
                ","
                    
                    9.572 mi
                    
                ","
                    
                    10.837 mi
                    
                ","
                    
                    12.547 mi
                    
                ","
                    
                    15.447 mi
                    
                ","
                    
                    11.337 mi
                    
                ","
                    
                    8.837 mi
                    
                "
"Endividamento geral","535,89%","364,98%","291,25%","239,60%","459,94%","347,72%","
                    
                    372,64%
                    
                ","
                    
                    445,47%
                    
                ","
                    
                    497,92%
                    
                ","
                    
                    567,57%
                    
                ","
                    
                    767,78%
                    
                ","
                    
                    524,64%
                    
                ","
                    
                    491,54%
                    
                ","
                    
                    456,83%
                    
                ","
                    
                    386,48%
                    
                ","
                    
                    366,28%
                    
                "
