"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","6,98","9,02","10,82","18,83","9,54","10,35","
                    
                    10,96
                    
                ","
                    
                    8,30
                    
                ","
                    
                    9,01
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"P/VP","2,69","3,49","3,42","3,71","3,45","3,42","
                    
                    4,01
                    
                ","
                    
                    2,44
                    
                ","
                    
                    2,11
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"P/EBIT","3,84","4,86","4,97","6,01","4,79","5,57","
                    
                    6,92
                    
                ","
                    
                    5,84
                    
                ","
                    
                    5,76
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"PSR","2,72","2,88","2,42","2,35","2,18","2,44","
                    
                    2,88
                    
                ","
                    
                    2,37
                    
                ","
                    
                    2,16
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"P/Ativos","0,60","0,73","0,75","0,77","0,76","0,79","
                    
                    1,07
                    
                ","
                    
                    0,85
                    
                ","
                    
                    0,97
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"LPA","5,10","4,20","3,26","1,92","3,43","2,83","
                    
                    2,84
                    
                ","
                    
                    2,46
                    
                ","
                    
                    1,90
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"VPA","13,23","10,86","10,34","9,72","9,49","8,57","
                    
                    7,74
                    
                ","
                    
                    8,37
                    
                ","
                    
                    8,10
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"EBIT por ação","9,27","7,80","7,11","6,00","6,83","5,26","
                    
                    4,49
                    
                ","
                    
                    3,49
                    
                ","
                    
                    2,97
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"Ativo por ação","59,15","51,75","46,80","46,71","43,12","36,93","
                    
                    29,09
                    
                ","
                    
                    23,98
                    
                ","
                    
                    17,67
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"Receita líquida por ação","13,06","13,17","14,59","15,37","15,02","12,02","
                    
                    10,78
                    
                ","
                    
                    8,59
                    
                ","
                    
                    7,90
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"Margem bruta","55,23%","54,96%","46,94%","47,14%","44,57%","42,34%","
                    
                    44,56%
                    
                ","
                    
                    42,88%
                    
                ","
                    
                    42,55%
                    
                ","
                    
                    41,60%
                    
                ","
                    
                    38,59%
                    
                ","
                    
                    47,71%
                    
                ","
                    
                    56,62%
                    
                ","
                    
                    57,00%
                    
                ","
                    
                    53,95%
                    
                ","
                    
                    55,18%
                    
                "
"Margem líquida","39,04%","31,90%","22,38%","12,48%","22,82%","23,57%","
                    
                    26,33%
                    
                ","
                    
                    28,60%
                    
                ","
                    
                    24,03%
                    
                ","
                    
                    23,05%
                    
                ","
                    
                    21,37%
                    
                ","
                    
                    25,80%
                    
                ","
                    
                    30,35%
                    
                ","
                    
                    33,47%
                    
                ","
                    
                    29,55%
                    
                ","
                    
                    31,20%
                    
                "
"Margem EBIT","70,99%","59,18%","48,72%","39,06%","45,43%","43,81%","
                    
                    41,70%
                    
                ","
                    
                    40,66%
                    
                ","
                    
                    37,59%
                    
                ","
                    
                    38,45%
                    
                ","
                    
                    35,58%
                    
                ","
                    
                    42,87%
                    
                ","
                    
                    51,69%
                    
                ","
                    
                    55,66%
                    
                ","
                    
                    52,44%
                    
                ","
                    
                    50,82%
                    
                "
"Margem EBITDA","80,53%","67,78%","57,03%","47,37%","52,90%","52,61%","
                    
                    49,20%
                    
                ","
                    
                    49,92%
                    
                ","
                    
                    47,37%
                    
                ","
                    
                    47,67%
                    
                ","
                    
                    44,73%
                    
                ","
                    
                    53,33%
                    
                ","
                    
                    63,11%
                    
                ","
                    
                    67,25%
                    
                ","
                    
                    63,69%
                    
                ","
                    
                    62,97%
                    
                "
"Margem operacional","52,67%","40,91%","27,59%","14,51%","30,08%","31,50%","
                    
                    33,75%
                    
                ","
                    
                    37,42%
                    
                ","
                    
                    32,08%
                    
                ","
                    
                    31,22%
                    
                ","
                    
                    30,23%
                    
                ","
                    
                    35,95%
                    
                ","
                    
                    42,47%
                    
                ","
                    
                    47,03%
                    
                ","
                    
                    41,98%
                    
                ","
                    
                    43,96%
                    
                "
