"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","7,64","20,92","20,76","14,96","11,70","4,22","
                    
                    5,35
                    
                ","
                    
                    -23,02
                    
                ","
                    
                    9,65
                    
                ","
                    
                    -0,89
                    
                ","
                    
                    -3,68
                    
                ","
                    
                    -1,97
                    
                ","
                    
                    -1,76
                    
                ","
                    
                    7,39
                    
                ","
                    
                    17,04
                    
                ","
                    
                    37,87
                    
                "
"P/VP","0,65","0,85","0,68","1,11","1,01","0,67","
                    
                    1,28
                    
                ","
                    
                    0,96
                    
                ","
                    
                    0,75
                    
                ","
                    
                    0,30
                    
                ","
                    
                    0,20
                    
                ","
                    
                    0,20
                    
                ","
                    
                    0,18
                    
                ","
                    
                    0,36
                    
                ","
                    
                    0,54
                    
                ","
                    
                    0,50
                    
                "
"P/EBIT","4,28","6,93","9,77","6,76","8,60","4,89","
                    
                    4,10
                    
                ","
                    
                    6,53
                    
                ","
                    
                    2,07
                    
                ","
                    
                    -1,02
                    
                ","
                    
                    -5,70
                    
                ","
                    
                    -2,34
                    
                ","
                    
                    -1,33
                    
                ","
                    
                    6,41
                    
                ","
                    
                    8,68
                    
                ","
                    
                    8,52
                    
                "
"PSR","2,07","2,56","2,21","2,44","2,55","1,59","
                    
                    2,75
                    
                ","
                    
                    1,38
                    
                ","
                    
                    0,55
                    
                ","
                    
                    0,39
                    
                ","
                    
                    0,37
                    
                ","
                    
                    0,51
                    
                ","
                    
                    0,36
                    
                ","
                    
                    0,81
                    
                ","
                    
                    1,28
                    
                ","
                    
                    1,34
                    
                "
"P/Ativos","0,28","0,36","0,28","0,45","0,41","0,26","
                    
                    0,39
                    
                ","
                    
                    0,23
                    
                ","
                    
                    0,19
                    
                ","
                    
                    0,09
                    
                ","
                    
                    0,08
                    
                ","
                    
                    0,09
                    
                ","
                    
                    0,08
                    
                ","
                    
                    0,17
                    
                ","
                    
                    0,26
                    
                ","
                    
                    0,25
                    
                "
"LPA","4,47","1,97","1,58","2,45","2,75","4,85","
                    
                    5,75
                    
                ","
                    
                    -0,76
                    
                ","
                    
                    1,48
                    
                ","
                    
                    -6,26
                    
                ","
                    
                    -1,31
                    
                ","
                    
                    -2,68
                    
                ","
                    
                    -2,98
                    
                ","
                    
                    1,62
                    
                ","
                    
                    0,97
                    
                ","
                    
                    0,40
                    
                "
"VPA","52,56","48,69","47,90","32,99","31,85","30,65","
                    
                    24,07
                    
                ","
                    
                    18,35
                    
                ","
                    
                    19,16
                    
                ","
                    
                    18,24
                    
                ","
                    
                    24,51
                    
                ","
                    
                    26,61
                    
                ","
                    
                    29,08
                    
                ","
                    
                    33,31
                    
                ","
                    
                    30,47
                    
                ","
                    
                    30,01
                    
                "
"EBIT por ação","7,98","5,95","3,35","5,42","3,74","4,19","
                    
                    7,50
                    
                ","
                    
                    2,70
                    
                ","
                    
                    6,92
                    
                ","
                    
                    -5,44
                    
                ","
                    
                    -0,85
                    
                ","
                    
                    -2,25
                    
                ","
                    
                    -3,94
                    
                ","
                    
                    1,87
                    
                ","
                    
                    1,91
                    
                ","
                    
                    1,76
                    
                "
"Ativo por ação","121,28","115,75","117,12","81,62","77,57","77,42","
                    
                    78,54
                    
                ","
                    
                    74,98
                    
                ","
                    
                    73,90
                    
                ","
                    
                    64,86
                    
                ","
                    
                    62,69
                    
                ","
                    
                    60,07
                    
                ","
                    
                    61,74
                    
                ","
                    
                    71,12
                    
                ","
                    
                    63,67
                    
                ","
                    
                    59,69
                    
                "
"Receita líquida por ação","16,50","16,11","14,77","15,01","12,60","12,88","
                    
                    11,17
                    
                ","
                    
                    12,76
                    
                ","
                    
                    26,14
                    
                ","
                    
                    14,13
                    
                ","
                    
                    13,06
                    
                ","
                    
                    10,33
                    
                ","
                    
                    14,58
                    
                ","
                    
                    14,71
                    
                ","
                    
                    12,92
                    
                ","
                    
                    11,20
                    
                "
"Margem bruta","46,21%","49,75%","53,46%","72,05%","53,83%","74,93%","
                    
                    78,52%
                    
                ","
                    
                    67,87%
                    
                ","
                    
                    73,12%
                    
                ","
                    
                    47,86%
                    
                ","
                    
                    45,82%
                    
                ","
                    
                    49,19%
                    
                ","
                    
                    83,26%
                    
                ","
                    
                    86,10%
                    
                ","
                    
                    85,64%
                    
                ","
                    
                    84,91%
                    
                "
"Margem líquida","26,69%","11,83%","10,68%","16,50%","21,96%","37,47%","
                    
                    51,79%
                    
                ","
                    
                    -5,86%
                    
                ","
                    
                    5,82%
                    
                ","
                    
                    -45,89%
                    
                ","
                    
                    -9,83%
                    
                ","
                    
                    -25,98%
                    
                ","
                    
                    -20,58%
                    
                ","
                    
                    11,09%
                    
                ","
                    
                    8,56%
                    
                ","
                    
                    4,84%
                    
                "
"Margem EBIT","48,35%","36,95%","22,66%","36,10%","29,66%","32,53%","
                    
                    67,15%
                    
                ","
                    
                    21,12%
                    
                ","
                    
                    26,45%
                    
                ","
                    
                    -38,49%
                    
                ","
                    
                    -6,49%
                    
                ","
                    
                    -21,82%
                    
                ","
                    
                    -27,05%
                    
                ","
                    
                    12,69%
                    
                ","
                    
                    14,80%
                    
                ","
                    
                    15,68%
                    
                "
"Margem EBITDA","58,47%","46,70%","30,55%","40,27%","36,06%","38,61%","
                    
                    73,75%
                    
                ","
                    
                    26,30%
                    
                ","
                    
                    29,51%
                    
                ","
                    
                    -32,84%
                    
                ","
                    
                    -0,59%
                    
                ","
                    
                    -15,48%
                    
                ","
                    
                    -22,03%
                    
                ","
                    
                    17,77%
                    
                ","
                    
                    20,14%
                    
                ","
                    
                    21,97%
                    
                "
"Margem operacional","18,87%","4,65%","9,82%","31,94%","23,91%","24,29%","
                    
                    61,81%
                    
                ","
                    
                    15,23%
                    
                ","
                    
                    19,94%
                    
                ","
                    
                    -43,71%
                    
                ","
                    
                    -4,19%
                    
                ","
                    
                    -20,24%
                    
                ","
                    
                    -22,04%
                    
                ","
                    
                    13,38%
                    
                ","
                    
                    13,57%
                    
                ","
                    
                    1,60%
                    
                "
"ROE","8,37%","3,91%","3,28%","7,48%","8,66%","15,65%","
                    
                    23,83%
                    
                ","
                    
                    -4,04%
                    
                ","
                    
                    7,97%
                    
                ","
                    
                    -35,83%
                    
                ","
                    
                    -5,21%
                    
                ","
                    
                    -10,06%
                    
                ","
                    
                    -10,29%
                    
                ","
                    
                    4,87%
                    
                ","
                    
                    3,62%
                    
                ","
                    
                    1,80%
                    
                "
"ROA","0,04","0,02","0,01","0,03","0,04","0,06","
                    
                    0,07
                    
                ","
                    
                    -0,01
                    
                ","
                    
                    0,02
                    
                ","
                    
                    -0,10
                    
                ","
                    
                    -0,02
                    
                ","
                    
                    -0,04
                    
                ","
                    
                    -0,05
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,01
                    
                "
"Giro do ativo","0,14","0,14","0,13","0,18","0,16","0,17","
                    
                    0,14
                    
                ","
                    
                    0,17
                    
                ","
                    
                    0,35
                    
                ","
                    
                    0,22
                    
                ","
                    
                    0,21
                    
                ","
                    
                    0,17
                    
                ","
                    
                    0,24
                    
                ","
                    
                    0,21
                    
                ","
                    
                    0,20
                    
                ","
                    
                    0,19
                    
                "
"EBITDA","22.263 mi","17.351 mi","10.411 mi","13.944 mi","10.487 mi","11.474 mi","
                    
                    19.007 mi
                    
                ","
                    
                    7.742 mi
                    
                ","
                    
                    17.798 mi
                    
                ","
                    
                    -10.702 mi
                    
                ","
                    
                    -180 mi
                    
                ","
                    
                    -3.691 mi
                    
                ","
                    
                    -7.412 mi
                    
                ","
                    
                    6.028 mi
                    
                ","
                    
                    6.003 mi
                    
                ","
                    
                    5.675 mi
                    
                "
"Liquidez corrente","2,06","1,77","1,88","1,66","1,64","1,57","
                    
                    1,28
                    
                ","
                    
                    1,09
                    
                ","
                    
                    0,94
                    
                ","
                    
                    1,05
                    
                ","
                    
                    1,58
                    
                ","
                    
                    1,53
                    
                ","
                    
                    1,65
                    
                ","
                    
                    1,40
                    
                ","
                    
                    1,77
                    
                ","
                    
                    2,17
                    
                "
"Liquidez seca","2,04","1,75","1,86","1,62","1,60","1,54","
                    
                    1,26
                    
                ","
                    
                    1,07
                    
                ","
                    
                    0,91
                    
                ","
                    
                    1,01
                    
                ","
                    
                    1,54
                    
                ","
                    
                    1,49
                    
                ","
                    
                    1,62
                    
                ","
                    
                    1,37
                    
                ","
                    
                    1,74
                    
                ","
                    
                    2,12
                    
                "
"Liquidez imediata","0,84","0,50","0,52","0,12","0,14","0,14","
                    
                    0,06
                    
                ","
                    
                    0,06
                    
                ","
                    
                    0,07
                    
                ","
                    
                    0,07
                    
                ","
                    
                    0,16
                    
                ","
                    
                    0,17
                    
                ","
                    
                    0,24
                    
                ","
                    
                    0,31
                    
                ","
                    
                    0,61
                    
                ","
                    
                    0,75
                    
                "
