"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","15,56","19,30","23,84","8,73","9,59","8,27","
                    
                    19,57
                    
                ","
                    
                    15,85
                    
                ","
                    
                    18,03
                    
                ","
                    
                    10,89
                    
                ","
                    
                    10,28
                    
                ","
                    
                    61,70
                    
                ","
                    
                    30,61
                    
                ","
                    
                    17,57
                    
                ","
                    
                    11,58
                    
                ","
                    
                    8,81
                    
                "
"P/VP","1,35","1,90","1,97","2,53","2,73","2,46","
                    
                    3,21
                    
                ","
                    
                    3,30
                    
                ","
                    
                    3,19
                    
                ","
                    
                    2,53
                    
                ","
                    
                    2,31
                    
                ","
                    
                    1,80
                    
                ","
                    
                    1,93
                    
                ","
                    
                    2,23
                    
                ","
                    
                    1,72
                    
                ","
                    
                    1,34
                    
                "
"P/EBIT","4,20","5,24","6,21","6,46","5,97","4,64","
                    
                    8,64
                    
                ","
                    
                    11,21
                    
                ","
                    
                    10,89
                    
                ","
                    
                    10,85
                    
                ","
                    
                    6,88
                    
                ","
                    
                    14,68
                    
                ","
                    
                    10,35
                    
                ","
                    
                    7,86
                    
                ","
                    
                    5,35
                    
                ","
                    
                    4,38
                    
                "
"PSR","0,79","0,98","1,21","1,33","1,60","1,06","
                    
                    1,60
                    
                ","
                    
                    1,74
                    
                ","
                    
                    1,61
                    
                ","
                    
                    1,21
                    
                ","
                    
                    0,96
                    
                ","
                    
                    0,90
                    
                ","
                    
                    1,45
                    
                ","
                    
                    1,42
                    
                ","
                    
                    1,22
                    
                ","
                    
                    1,21
                    
                "
"P/Ativos","0,31","0,39","0,36","0,52","0,65","0,53","
                    
                    0,70
                    
                ","
                    
                    0,90
                    
                ","
                    
                    0,90
                    
                ","
                    
                    0,70
                    
                ","
                    
                    0,58
                    
                ","
                    
                    0,47
                    
                ","
                    
                    0,45
                    
                ","
                    
                    0,83
                    
                ","
                    
                    0,67
                    
                ","
                    
                    0,59
                    
                "
"LPA","1,78","1,66","1,10","2,96","2,38","1,93","
                    
                    0,73
                    
                ","
                    
                    0,80
                    
                ","
                    
                    0,57
                    
                ","
                    
                    0,65
                    
                ","
                    
                    0,51
                    
                ","
                    
                    0,05
                    
                ","
                    
                    0,11
                    
                ","
                    
                    0,13
                    
                ","
                    
                    0,15
                    
                ","
                    
                    0,18
                    
                "
"VPA","20,55","16,88","13,30","10,21","8,37","6,49","
                    
                    4,48
                    
                ","
                    
                    3,83
                    
                ","
                    
                    3,22
                    
                ","
                    
                    2,79
                    
                ","
                    
                    2,27
                    
                ","
                    
                    1,88
                    
                ","
                    
                    1,73
                    
                ","
                    
                    1,01
                    
                ","
                    
                    1,02
                    
                ","
                    
                    1,17
                    
                "
"EBIT por ação","6,59","6,12","4,22","3,99","3,83","3,45","
                    
                    1,66
                    
                ","
                    
                    1,13
                    
                ","
                    
                    0,94
                    
                ","
                    
                    0,65
                    
                ","
                    
                    0,76
                    
                ","
                    
                    0,23
                    
                ","
                    
                    0,32
                    
                ","
                    
                    0,29
                    
                ","
                    
                    0,33
                    
                ","
                    
                    0,36
                    
                "
"Ativo por ação","89,96","82,96","72,54","49,40","35,32","30,04","
                    
                    20,42
                    
                ","
                    
                    14,00
                    
                ","
                    
                    11,38
                    
                ","
                    
                    10,07
                    
                ","
                    
                    9,02
                    
                ","
                    
                    7,29
                    
                ","
                    
                    7,43
                    
                ","
                    
                    2,72
                    
                ","
                    
                    2,62
                    
                ","
                    
                    2,67
                    
                "
"Receita líquida por ação","35,22","32,81","21,72","19,40","14,32","15,05","
                    
                    9,01
                    
                ","
                    
                    7,26
                    
                ","
                    
                    6,37
                    
                ","
                    
                    5,81
                    
                ","
                    
                    5,45
                    
                ","
                    
                    3,77
                    
                ","
                    
                    2,31
                    
                ","
                    
                    1,59
                    
                ","
                    
                    1,44
                    
                ","
                    
                    1,30
                    
                "
