"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","7,72","4,94","3,49","2,63","15,07","9,69","
                    
                    7,52
                    
                ","
                    
                    -48,42
                    
                ","
                    
                    -4,20
                    
                ","
                    
                    -1,59
                    
                ","
                    
                    7,87
                    
                ","
                    
                    9,77
                    
                ","
                    
                    11,45
                    
                ","
                    
                    9,02
                    
                ","
                    
                    9,55
                    
                ","
                    
                    20,40
                    
                "
"P/VP","0,67","0,76","0,86","0,96","1,16","0,43","
                    
                    0,67
                    
                ","
                    
                    0,74
                    
                ","
                    
                    0,51
                    
                ","
                    
                    0,23
                    
                ","
                    
                    0,34
                    
                ","
                    
                    0,51
                    
                ","
                    
                    0,60
                    
                ","
                    
                    0,72
                    
                ","
                    
                    1,05
                    
                ","
                    
                    1,24
                    
                "
"P/EBIT","5,05","3,55","2,24","1,94","6,86","3,66","
                    
                    4,28
                    
                ","
                    
                    15,82
                    
                ","
                    
                    -7,42
                    
                ","
                    
                    -2,25
                    
                ","
                    
                    3,81
                    
                ","
                    
                    5,62
                    
                ","
                    
                    6,95
                    
                ","
                    
                    6,28
                    
                ","
                    
                    5,61
                    
                ","
                    
                    27,03
                    
                "
"PSR","0,57","0,54","0,48","0,52","0,81","0,29","
                    
                    0,38
                    
                ","
                    
                    0,47
                    
                ","
                    
                    0,32
                    
                ","
                    
                    0,17
                    
                ","
                    
                    0,26
                    
                ","
                    
                    0,39
                    
                ","
                    
                    0,43
                    
                ","
                    
                    0,51
                    
                ","
                    
                    0,65
                    
                ","
                    
                    0,86
                    
                "
"P/Ativos","0,46","0,50","0,54","0,55","0,56","0,22","
                    
                    0,34
                    
                ","
                    
                    0,35
                    
                ","
                    
                    0,22
                    
                ","
                    
                    0,10
                    
                ","
                    
                    0,18
                    
                ","
                    
                    0,27
                    
                ","
                    
                    0,31
                    
                ","
                    
                    0,36
                    
                ","
                    
                    0,48
                    
                ","
                    
                    0,51
                    
                "
"LPA","2,32","3,61","5,50","7,45","1,14","0,58","
                    
                    1,11
                    
                ","
                    
                    -0,17
                    
                ","
                    
                    -1,39
                    
                ","
                    
                    -2,19
                    
                ","
                    
                    0,67
                    
                ","
                    
                    0,76
                    
                ","
                    
                    0,69
                    
                ","
                    
                    0,96
                    
                ","
                    
                    1,03
                    
                ","
                    
                    0,54
                    
                "
"VPA","26,60","23,60","22,18","20,49","14,85","12,97","
                    
                    12,38
                    
                ","
                    
                    11,37
                    
                ","
                    
                    11,56
                    
                ","
                    
                    15,24
                    
                ","
                    
                    15,49
                    
                ","
                    
                    14,59
                    
                ","
                    
                    13,11
                    
                ","
                    
                    12,02
                    
                ","
                    
                    9,37
                    
                ","
                    
                    8,90
                    
                "
"EBIT por ação","3,55","5,03","8,54","10,11","2,50","1,53","
                    
                    1,95
                    
                ","
                    
                    0,53
                    
                ","
                    
                    -0,79
                    
                ","
                    
                    -1,55
                    
                ","
                    
                    1,39
                    
                ","
                    
                    1,32
                    
                ","
                    
                    1,13
                    
                ","
                    
                    1,38
                    
                ","
                    
                    1,75
                    
                ","
                    
                    0,41
                    
                "
"Ativo por ação","39,37","36,02","35,50","35,51","30,36","25,98","
                    
                    24,67
                    
                ","
                    
                    24,20
                    
                ","
                    
                    26,28
                    
                ","
                    
                    33,72
                    
                ","
                    
                    30,33
                    
                ","
                    
                    28,00
                    
                ","
                    
                    25,54
                    
                ","
                    
                    24,04
                    
                ","
                    
                    20,63
                    
                ","
                    
                    21,45
                    
                "
"Receita líquida por ação","31,23","33,15","39,64","37,69","21,08","19,07","
                    
                    22,20
                    
                ","
                    
                    17,76
                    
                ","
                    
                    18,11
                    
                ","
                    
                    20,96
                    
                ","
                    
                    20,47
                    
                ","
                    
                    19,18
                    
                ","
                    
                    18,27
                    
                ","
                    
                    17,03
                    
                ","
                    
                    15,10
                    
                ","
                    
                    12,77
                    
                "
"Margem bruta","13,58%","16,44%","22,75%","26,57%","13,54%","10,60%","
                    
                    13,32%
                    
                ","
                    
                    9,76%
                    
                ","
                    
                    9,20%
                    
                ","
                    
                    9,85%
                    
                ","
                    
                    12,08%
                    
                ","
                    
                    12,88%
                    
                ","
                    
                    12,50%
                    
                ","
                    
                    14,43%
                    
                ","
                    
                    17,58%
                    
                ","
                    
                    15,96%
                    
                "
"Margem líquida","7,49%","10,94%","13,93%","19,86%","5,45%","3,07%","
                    
                    5,04%
                    
                ","
                    
                    -0,92%
                    
                ","
                    
                    -7,66%
                    
                ","
                    
                    -10,55%
                    
                ","
                    
                    3,50%
                    
                ","
                    
                    4,25%
                    
                ","
                    
                    3,94%
                    
                ","
                    
                    5,92%
                    
                ","
                    
                    7,83%
                    
                ","
                    
                    3,78%
                    
                "
"Margem EBIT","11,38%","15,17%","21,54%","26,83%","11,86%","8,03%","
                    
                    8,77%
                    
                ","
                    
                    2,98%
                    
                ","
                    
                    -4,35%
                    
                ","
                    
                    -7,38%
                    
                ","
                    
                    6,81%
                    
                ","
                    
                    6,91%
                    
                ","
                    
                    6,18%
                    
                ","
                    
                    8,13%
                    
                ","
                    
                    11,61%
                    
                ","
                    
                    3,19%
                    
                "
