"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","6,16","3,93","2,71","1,88","9,76","6,82","
                    
                    5,45
                    
                ","
                    
                    -21,16
                    
                ","
                    
                    -2,16
                    
                ","
                    
                    -0,63
                    
                ","
                    
                    31,76
                    
                ","
                    
                    20,08
                    
                ","
                    
                    24,61
                    
                ","
                    
                    16,82
                    
                ","
                    
                    15,04
                    
                ","
                    
                    39,51
                    
                "
"P/VP","0,54","0,60","0,62","0,65","0,73","0,29","
                    
                    0,47
                    
                ","
                    
                    0,51
                    
                ","
                    
                    0,35
                    
                ","
                    
                    0,12
                    
                ","
                    
                    0,55
                    
                ","
                    
                    0,91
                    
                ","
                    
                    1,13
                    
                ","
                    
                    1,41
                    
                ","
                    
                    1,72
                    
                ","
                    
                    1,76
                    
                "
"P/EBIT","1,37","0,97","0,57","0,45","1,64","0,91","
                    
                    1,08
                    
                ","
                    
                    3,94
                    
                ","
                    
                    -1,81
                    
                ","
                    
                    -0,44
                    
                ","
                    
                    2,24
                    
                ","
                    
                    3,73
                    
                ","
                    
                    4,84
                    
                ","
                    
                    4,46
                    
                ","
                    
                    3,74
                    
                ","
                    
                    18,38
                    
                "
"PSR","0,16","0,15","0,12","0,12","0,19","0,07","
                    
                    0,09
                    
                ","
                    
                    0,12
                    
                ","
                    
                    0,08
                    
                ","
                    
                    0,03
                    
                ","
                    
                    0,15
                    
                ","
                    
                    0,25
                    
                ","
                    
                    0,30
                    
                ","
                    
                    0,36
                    
                ","
                    
                    0,43
                    
                ","
                    
                    0,56
                    
                "
"P/Ativos","0,12","0,13","0,14","0,13","0,13","0,05","
                    
                    0,08
                    
                ","
                    
                    0,09
                    
                ","
                    
                    0,05
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,10
                    
                ","
                    
                    0,17
                    
                ","
                    
                    0,21
                    
                ","
                    
                    0,25
                    
                ","
                    
                    0,31
                    
                ","
                    
                    0,32
                    
                "
"LPA","1,62","2,52","3,69","4,99","0,86","0,42","
                    
                    0,79
                    
                ","
                    
                    -0,20
                    
                ","
                    
                    -1,36
                    
                ","
                    
                    -2,30
                    
                ","
                    
                    0,20
                    
                ","
                    
                    0,50
                    
                ","
                    
                    0,45
                    
                ","
                    
                    0,75
                    
                ","
                    
                    0,88
                    
                ","
                    
                    0,37
                    
                "
"VPA","18,63","16,52","16,22","14,53","11,53","9,87","
                    
                    9,21
                    
                ","
                    
                    8,37
                    
                ","
                    
                    8,46
                    
                ","
                    
                    11,86
                    
                ","
                    
                    11,43
                    
                ","
                    
                    10,96
                    
                ","
                    
                    9,82
                    
                ","
                    
                    8,91
                    
                ","
                    
                    7,72
                    
                ","
                    
                    8,28
                    
                "
"EBIT por ação","7,27","10,26","17,44","20,69","5,11","3,13","
                    
                    3,97
                    
                ","
                    
                    1,08
                    
                ","
                    
                    -1,62
                    
                ","
                    
                    -3,29
                    
                ","
                    
                    2,83
                    
                ","
                    
                    2,68
                    
                ","
                    
                    2,29
                    
                ","
                    
                    2,83
                    
                ","
                    
                    3,55
                    
                ","
                    
                    0,79
                    
                "
"Ativo por ação","80,94","74,17","73,71","73,56","63,85","53,28","
                    
                    50,62
                    
                ","
                    
                    49,64
                    
                ","
                    
                    53,98
                    
                ","
                    
                    69,23
                    
                ","
                    
                    62,36
                    
                ","
                    
                    57,68
                    
                ","
                    
                    52,62
                    
                ","
                    
                    49,46
                    
                ","
                    
                    42,51
                    
                ","
                    
                    45,05
                    
                "
"Receita líquida por ação","64,00","67,94","81,25","77,24","43,19","39,08","
                    
                    45,51
                    
                ","
                    
                    36,40
                    
                ","
                    
                    37,12
                    
                ","
                    
                    42,96
                    
                ","
                    
                    41,94
                    
                ","
                    
                    39,30
                    
                ","
                    
                    37,44
                    
                ","
                    
                    34,91
                    
                ","
                    
                    30,95
                    
                ","
                    
                    26,16
                    
                "
"Margem bruta","13,58%","16,44%","22,75%","26,57%","13,54%","10,60%","
                    
                    13,32%
                    
                ","
                    
                    9,76%
                    
                ","
                    
                    9,20%
                    
                ","
                    
                    9,85%
                    
                ","
                    
                    12,08%
                    
                ","
                    
                    12,88%
                    
                ","
                    
                    12,50%
                    
                ","
                    
                    14,43%
                    
                ","
                    
                    17,58%
                    
                ","
                    
                    15,96%
                    
                "
"Margem líquida","7,53%","11,01%","13,91%","19,85%","5,44%","3,02%","
                    
                    4,85%
                    
                ","
                    
                    -1,10%
                    
                ","
                    
                    -8,41%
                    
                ","
                    
                    -11,54%
                    
                ","
                    
                    2,60%
                    
                ","
                    
                    3,81%
                    
                ","
                    
                    3,51%
                    
                ","
                    
                    5,59%
                    
                ","
                    
                    7,29%
                    
                ","
                    
                    3,00%
                    
                "
"Margem EBIT","11,35%","15,11%","21,46%","26,78%","11,84%","8,01%","
                    
                    8,71%
                    
                ","
                    
                    2,96%
                    
                ","
                    
                    -4,37%
                    
                ","
                    
                    -7,66%
                    
                ","
                    
                    6,75%
                    
                ","
                    
                    6,82%
                    
                ","
                    
                    6,11%
                    
                ","
                    
                    8,10%
                    
                ","
                    
                    11,48%
                    
                ","
                    
                    3,03%
                    
                "
"Margem EBITDA","16,10%","19,53%","24,94%","30,18%","17,54%","13,24%","
                    
                    12,81%
                    
                ","
                    
                    8,63%
                    
                ","
                    
                    2,37%
                    
                ","
                    
                    -1,67%
                    
                ","
                    
                    11,98%
                    
                ","
                    
                    11,91%
                    
                ","
                    
                    10,92%
                    
                ","
                    
                    13,11%
                    
                ","
                    
                    17,51%
                    
                ","
                    
                    9,60%
                    
                "
"Margem operacional","9,04%","13,67%","19,26%","25,90%","7,97%","4,17%","
                    
                    4,53%
                    
                ","
                    
                    -0,30%
                    
                ","
                    
                    -7,58%
                    
                ","
                    
                    -14,92%
                    
                ","
                    
                    2,61%
                    
                ","
                    
                    3,13%
                    
                ","
                    
                    3,56%
                    
                ","
                    
                    6,16%
                    
                ","
                    
                    8,81%
                    
                ","
                    
                    3,01%
                    
                "
"ROE","8,77%","15,30%","24,24%","35,66%","7,31%","4,40%","
                    
                    8,83%
                    
                ","
                    
                    -1,73%
                    
                ","
                    
                    -13,55%
                    
                ","
                    
                    -16,50%
                    
                ","
                    
                    3,54%
                    
                ","
                    
                    5,04%
                    
                ","
                    
                    4,97%
                    
                ","
                    
                    8,06%
                    
                ","
                    
                    12,52%
                    
                ","
                    
                    3,73%
                    
                "
"ROA","0,06","0,10","0,15","0,21","0,04","0,02","
                    
                    0,04
                    
                ","
                    
                    -0,01
                    
                ","
                    
                    -0,06
                    
                ","
                    
                    -0,07
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,03
                    
                ","
                    
                    0,03
                    
                ","
                    
                    0,04
                    
                ","
                    
                    0,05
                    
                ","
                    
                    0,02
                    
                "
