"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","6,86","7,87","5,34","6,79","10,24","5,82","
                    
                    8,14
                    
                ","
                    
                    9,08
                    
                ","
                    
                    6,00
                    
                ","
                    
                    4,55
                    
                ","
                    
                    5,88
                    
                ","
                    
                    7,27
                    
                ","
                    
                    10,20
                    
                ","
                    
                    10,13
                    
                ","
                    
                    12,20
                    
                ","
                    
                    12,65
                    
                "
"P/VP","1,11","1,28","1,00","1,26","1,26","1,09","
                    
                    1,39
                    
                ","
                    
                    1,42
                    
                ","
                    
                    1,03
                    
                ","
                    
                    0,90
                    
                ","
                    
                    1,19
                    
                ","
                    
                    1,25
                    
                ","
                    
                    1,54
                    
                ","
                    
                    1,67
                    
                ","
                    
                    2,06
                    
                ","
                    
                    2,38
                    
                "
"P/EBIT","6,28","7,51","4,69","6,33","9,35","5,45","
                    
                    7,51
                    
                ","
                    
                    8,89
                    
                ","
                    
                    5,98
                    
                ","
                    
                    4,45
                    
                ","
                    
                    5,59
                    
                ","
                    
                    6,54
                    
                ","
                    
                    8,86
                    
                ","
                    
                    -3,91
                    
                ","
                    
                    -3,83
                    
                ","
                    
                    -3,95
                    
                "
"PSR","11,86","14,35","8,60","10,14","12,28","11,97","
                    
                    14,28
                    
                ","
                    
                    14,88
                    
                ","
                    
                    10,50
                    
                ","
                    
                    8,26
                    
                ","
                    
                    9,27
                    
                ","
                    
                    7,83
                    
                ","
                    
                    9,48
                    
                ","
                    
                    9,62
                    
                ","
                    
                    10,29
                    
                ","
                    
                    12,84
                    
                "
"P/Ativos","0,86","1,01","0,76","0,96","0,99","0,89","
                    
                    1,16
                    
                ","
                    
                    1,15
                    
                ","
                    
                    0,83
                    
                ","
                    
                    0,74
                    
                ","
                    
                    0,96
                    
                ","
                    
                    0,99
                    
                ","
                    
                    1,19
                    
                ","
                    
                    0,16
                    
                ","
                    
                    0,20
                    
                ","
                    
                    0,26
                    
                "
"LPA","1,29","1,24","1,26","1,12","0,65","0,95","
                    
                    0,87
                    
                ","
                    
                    0,75
                    
                ","
                    
                    0,76
                    
                ","
                    
                    0,82
                    
                ","
                    
                    0,73
                    
                ","
                    
                    0,53
                    
                ","
                    
                    0,42
                    
                ","
                    
                    0,45
                    
                ","
                    
                    0,41
                    
                ","
                    
                    0,40
                    
                "
"VPA","7,97","7,65","6,71","6,08","5,29","5,09","
                    
                    5,08
                    
                ","
                    
                    4,79
                    
                ","
                    
                    4,40
                    
                ","
                    
                    4,14
                    
                ","
                    
                    3,62
                    
                ","
                    
                    3,06
                    
                ","
                    
                    2,77
                    
                ","
                    
                    2,71
                    
                ","
                    
                    2,41
                    
                ","
                    
                    2,14
                    
                "
"EBIT por ação","1,41","1,30","1,44","1,21","0,71","1,01","
                    
                    0,94
                    
                ","
                    
                    0,77
                    
                ","
                    
                    0,76
                    
                ","
                    
                    0,84
                    
                ","
                    
                    0,77
                    
                ","
                    
                    0,58
                    
                ","
                    
                    0,48
                    
                ","
                    
                    -1,16
                    
                ","
                    
                    -1,30
                    
                ","
                    
                    -1,29
                    
                "
"Ativo por ação","10,32","9,71","8,91","7,93","6,69","6,22","
                    
                    6,09
                    
                ","
                    
                    5,93
                    
                ","
                    
                    5,44
                    
                ","
                    
                    5,06
                    
                ","
                    
                    4,48
                    
                ","
                    
                    3,87
                    
                ","
                    
                    3,60
                    
                ","
                    
                    28,77
                    
                ","
                    
                    25,40
                    
                ","
                    
                    19,69
                    
                "
"Receita líquida por ação","0,75","0,68","0,78","0,75","0,54","0,46","
                    
                    0,50
                    
                ","
                    
                    0,46
                    
                ","
                    
                    0,43
                    
                ","
                    
                    0,45
                    
                ","
                    
                    0,46
                    
                ","
                    
                    0,49
                    
                ","
                    
                    0,45
                    
                ","
                    
                    0,47
                    
                ","
                    
                    0,48
                    
                ","
                    
                    0,40
                    
                "
"Margem bruta","30,14%","32,20%","33,88%","35,18%","31,50%","25,76%","
                    
                    25,47%
                    
                ","
                    
                    26,06%
                    
                ","
                    
                    22,32%
                    
                ","
                    
                    23,62%
                    
                ","
                    
                    24,98%
                    
                ","
                    
                    29,50%
                    
                ","
                    
                    26,95%
                    
                ","
                    
                    35,63%
                    
                ","
                    
                    30,84%
                    
                ","
                    
                    22,54%
                    
                "
"Margem líquida","175,63%","189,33%","166,79%","162,68%","124,90%","211,04%","
                    
                    180,65%
                    
                ","
                    
                    166,29%
                    
                ","
                    
                    175,29%
                    
                ","
                    
                    184,11%
                    
                ","
                    
                    162,54%
                    
                ","
                    
                    113,65%
                    
                ","
                    
                    99,04%
                    
                ","
                    
                    105,36%
                    
                ","
                    
                    95,67%
                    
                ","
                    
                    110,47%
                    
                "
"Margem EBIT","188,74%","191,11%","183,47%","160,31%","131,36%","219,53%","
                    
                    190,25%
                    
                ","
                    
                    167,50%
                    
                ","
                    
                    175,55%
                    
                ","
                    
                    185,63%
                    
                ","
                    
                    165,76%
                    
                ","
                    
                    119,74%
                    
                ","
                    
                    107,04%
                    
                ","
                    
                    -246,21%
                    
                ","
                    
                    -268,78%
                    
                ","
                    
                    -325,03%
                    
                "
"Margem EBITDA","204,87%","207,04%","193,54%","169,14%","142,02%","234,03%","
                    
                    205,60%
                    
                ","
                    
                    179,41%
                    
                ","
                    
                    189,31%
                    
                ","
                    
                    198,69%
                    
                ","
                    
                    178,73%
                    
                ","
                    
                    131,56%
                    
                ","
                    
                    118,41%
                    
                ","
                    
                    -217,65%
                    
                ","
                    
                    -246,16%
                    
                ","
                    
                    -297,53%
                    
                "
"Margem operacional","172,68%","186,58%","171,53%","162,06%","128,15%","214,26%","
                    
                    182,68%
                    
                ","
                    
                    163,19%
                    
                ","
                    
                    171,47%
                    
                ","
                    
                    183,75%
                    
                ","
                    
                    164,57%
                    
                ","
                    
                    118,19%
                    
                ","
                    
                    101,17%
                    
                ","
                    
                    130,17%
                    
                ","
                    
                    134,79%
                    
                ","
                    
                    179,32%
                    
                "
"ROE","15,72%","16,06%","18,49%","19,12%","12,11%","18,11%","
                    
                    16,72%
                    
                ","
                    
                    15,05%
                    
                ","
                    
                    16,21%
                    
                ","
                    
                    18,79%
                    
                ","
                    
                    19,32%
                    
                ","
                    
                    16,71%
                    
                ","
                    
                    14,80%
                    
                ","
                    
                    16,62%
                    
                ","
                    
                    17,26%
                    
                ","
                    
                    18,38%
                    
                "
"ROA","0,13","0,13","0,15","0,15","0,10","0,16","
                    
                    0,15
                    
                ","
                    
                    0,13
                    
                ","
                    
                    0,14
                    
                ","
                    
                    0,16
                    
                ","
                    
                    0,17
                    
                ","
                    
                    0,14
                    
                ","
                    
                    0,12
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,02
                    
                "
"Giro do ativo","0,07","0,07","0,09","0,10","0,08","0,07","
                    
                    0,08
                    
                ","
                    
                    0,08
                    
                ","
                    
                    0,08
                    
                ","
                    
                    0,09
                    
                ","
                    
                    0,10
                    
                ","
                    
                    0,13
                    
                ","
                    
                    0,12
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,02
                    
                "
"EBITDA","16.633 mi","15.286 mi","16.424 mi","13.819 mi","8.351 mi","11.720 mi","
                    
                    11.051 mi
                    
                ","
                    
                    8.915 mi
                    
                ","
                    
                    8.873 mi
                    
                ","
                    
                    9.706 mi
                    
                ","
                    
                    8.974 mi
                    
                ","
                    
                    6.958 mi
                    
                ","
                    
                    5.782 mi
                    
                ","
                    
                    -11.087 mi
                    
                ","
                    
                    -12.899 mi
                    
                ","
                    
                    -12.791 mi
                    
                "
"Liquidez corrente","2,61","2,64","1,59","1,68","2,15","2,48","
                    
                    2,71
                    
                ","
                    
                    1,76
                    
                ","
                    
                    1,71
                    
                ","
                    
                    1,92
                    
                ","
                    
                    1,71
                    
                ","
                    
                    1,81
                    
                ","
                    
                    1,48
                    
                ","
                    
                    1,33
                    
                ","
                    
                    1,25
                    
                ","
                    
                    1,25
                    
                "
"Liquidez seca","2,35","2,34","1,37","1,43","1,90","2,15","
                    
                    2,37
                    
                ","
                    
                    1,50
                    
                ","
                    
                    1,47
                    
                ","
                    
                    1,62
                    
                ","
                    
                    1,46
                    
                ","
                    
                    1,55
                    
                ","
                    
                    1,26
                    
                ","
                    
                    1,32
                    
                ","
                    
                    1,25
                    
                ","
                    
                    1,24
                    
                "
"Liquidez imediata","1,33","1,25","0,61","0,67","0,77","0,92","
                    
                    1,03
                    
                ","
                    
                    0,37
                    
                ","
                    
                    0,66
                    
                ","
                    
                    0,68
                    
                ","
                    
                    0,58
                    
                ","
                    
                    0,53
                    
                ","
                    
                    0,39
                    
                ","
                    
                    0,03
                    
                ","
                    
                    0,03
                    
                ","
                    
                    0,04
                    
                "
"Dívida bruta","13.181 mi","10.772 mi","12.047 mi","8.884 mi","5.701 mi","4.155 mi","
                    
                    4.071 mi
                    
                ","
                    
                    4.756 mi
                    
                ","
                    
                    3.712 mi
                    
                ","
                    
                    3.098 mi
                    
                ","
                    
                    3.025 mi
                    
                ","
                    
                    2.764 mi
                    
                ","
                    
                    3.221 mi
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Dívida líquida","4.205 mi","3.079 mi","5.570 mi","3.492 mi","1.341 mi","573 mi","
                    
                    620 mi
                    
                ","
                    
                    2.099 mi
                    
                ","
                    
                    968 mi
                    
                ","
                    
                    642 mi
                    
                ","
                    
                    838 mi
                    
                ","
                    
                    1.139 mi
                    
                ","
                    
                    1.410 mi
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
