"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","7,25","8,54","6,25","7,56","10,84","6,62","
                    
                    10,23
                    
                ","
                    
                    9,93
                    
                ","
                    
                    8,05
                    
                ","
                    
                    5,15
                    
                ","
                    
                    7,19
                    
                ","
                    
                    10,40
                    
                ","
                    
                    12,39
                    
                ","
                    
                    9,23
                    
                ","
                    
                    10,99
                    
                ","
                    
                    14,06
                    
                "
"P/VP","1,40","1,56","1,14","1,37","1,50","1,34","
                    
                    1,70
                    
                ","
                    
                    1,63
                    
                ","
                    
                    1,28
                    
                ","
                    
                    0,98
                    
                ","
                    
                    1,23
                    
                ","
                    
                    1,36
                    
                ","
                    
                    1,56
                    
                ","
                    
                    1,40
                    
                ","
                    
                    1,60
                    
                ","
                    
                    1,71
                    
                "
"P/EBIT","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"PSR","12,90","12,57","35,96","46,16","50,12","42,92","
                    
                    25,80
                    
                ","
                    
                    38,35
                    
                ","
                    
                    55,75
                    
                ","
                    
                    16,47
                    
                ","
                    
                    27,80
                    
                ","
                    
                    34,17
                    
                ","
                    
                    43,33
                    
                ","
                    
                    42,06
                    
                ","
                    
                    110,48
                    
                ","
                    
                    245,94
                    
                "
"P/Ativos","0,61","0,70","0,49","0,91","0,98","0,97","
                    
                    1,13
                    
                ","
                    
                    1,09
                    
                ","
                    
                    0,90
                    
                ","
                    
                    0,66
                    
                ","
                    
                    1,00
                    
                ","
                    
                    1,11
                    
                ","
                    
                    1,28
                    
                ","
                    
                    1,20
                    
                ","
                    
                    1,39
                    
                ","
                    
                    1,61
                    
                "
"LPA","3,83","3,41","3,03","2,68","1,93","2,72","
                    
                    2,24
                    
                ","
                    
                    2,15
                    
                ","
                    
                    1,92
                    
                ","
                    
                    2,15
                    
                ","
                    
                    1,77
                    
                ","
                    
                    1,19
                    
                ","
                    
                    1,10
                    
                ","
                    
                    1,21
                    
                ","
                    
                    1,05
                    
                ","
                    
                    0,79
                    
                "
"VPA","19,80","18,62","16,53","14,75","13,94","13,49","
                    
                    13,45
                    
                ","
                    
                    13,11
                    
                ","
                    
                    12,09
                    
                ","
                    
                    11,29
                    
                ","
                    
                    10,39
                    
                ","
                    
                    9,10
                    
                ","
                    
                    8,75
                    
                ","
                    
                    7,99
                    
                ","
                    
                    7,21
                    
                ","
                    
                    6,48
                    
                "
"EBIT por ação","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Ativo por ação","45,18","41,65","38,88","22,28","21,46","18,60","
                    
                    20,21
                    
                ","
                    
                    19,62
                    
                ","
                    
                    17,14
                    
                ","
                    
                    16,73
                    
                ","
                    
                    12,80
                    
                ","
                    
                    11,18
                    
                ","
                    
                    10,70
                    
                ","
                    
                    9,29
                    
                ","
                    
                    8,29
                    
                ","
                    
                    6,88
                    
                "
"Receita líquida por ação","2,15","2,31","0,53","0,44","0,42","0,42","
                    
                    0,89
                    
                ","
                    
                    0,56
                    
                ","
                    
                    0,28
                    
                ","
                    
                    0,67
                    
                ","
                    
                    0,46
                    
                ","
                    
                    0,36
                    
                ","
                    
                    0,32
                    
                ","
                    
                    0,27
                    
                ","
                    
                    0,10
                    
                ","
                    
                    0,04
                    
                "
"Margem bruta","34,28%","31,59%","-0,33%","14,89%","16,50%","43,39%","
                    
                    24,80%
                    
                ","
                    
                    51,02%
                    
                ","
                    
                    118,13%
                    
                ","
                    
                    66,77%
                    
                ","
                    
                    75,43%
                    
                ","
                    
                    71,25%
                    
                ","
                    
                    66,38%
                    
                ","
                    
                    71,12%
                    
                ","
                    
                    63,19%
                    
                ","
                    
                    84,19%
                    
                "
"Margem líquida","177,89%","147,16%","575,60%","610,57%","462,24%","647,88%","
                    
                    252,32%
                    
                ","
                    
                    386,24%
                    
                ","
                    
                    692,49%
                    
                ","
                    
                    319,86%
                    
                ","
                    
                    386,83%
                    
                ","
                    
                    328,56%
                    
                ","
                    
                    349,67%
                    
                ","
                    
                    455,83%
                    
                ","
                    
                    1.005,63%
                    
                ","
                    
                    1.749,61%
                    
                "
"Margem EBIT","--%","--%","--%","--%","--%","--%","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                "
"Margem EBITDA","--%","--%","--%","--%","--%","--%","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                "
"Margem operacional","170,29%","137,42%","566,21%","618,78%","412,21%","654,31%","
                    
                    244,86%
                    
                ","
                    
                    382,64%
                    
                ","
                    
                    683,93%
                    
                ","
                    
                    312,60%
                    
                ","
                    
                    389,23%
                    
                ","
                    
                    340,37%
                    
                ","
                    
                    343,21%
                    
                ","
                    
                    449,11%
                    
                ","
                    
                    999,85%
                    
                ","
                    
                    1.735,15%
                    
                "
"ROE","19,32%","18,29%","18,32%","18,15%","13,87%","20,20%","
                    
                    16,64%
                    
                ","
                    
                    16,43%
                    
                ","
                    
                    15,90%
                    
                ","
                    
                    19,05%
                    
                ","
                    
                    17,07%
                    
                ","
                    
                    13,07%
                    
                ","
                    
                    12,58%
                    
                ","
                    
                    15,17%
                    
                ","
                    
                    14,54%
                    
                ","
                    
                    12,14%
                    
                "
"ROA","0,08","0,08","0,08","0,12","0,09","0,15","
                    
                    0,11
                    
                ","
                    
                    0,11
                    
                ","
                    
                    0,11
                    
                ","
                    
                    0,13
                    
                ","
                    
                    0,14
                    
                ","
                    
                    0,11
                    
                ","
                    
                    0,10
                    
                ","
                    
                    0,13
                    
                ","
                    
                    0,13
                    
                ","
                    
                    0,11
                    
                "
"Giro do ativo","0,05","0,06","0,01","0,02","0,02","0,02","
                    
                    0,04
                    
                ","
                    
                    0,03
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,04
                    
                ","
                    
                    0,04
                    
                ","
                    
                    0,03
                    
                ","
                    
                    0,03
                    
                ","
                    
                    0,03
                    
                ","
                    
                    0,01
                    
                ","
                    
                    0,01
                    
                "
"EBITDA","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Liquidez corrente","0,97","1,60","1,46","1,54","1,31","5,17","
                    
                    1,02
                    
                ","
                    
                    1,06
                    
                ","
                    
                    0,75
                    
                ","
                    
                    3,12
                    
                ","
                    
                    8,90
                    
                ","
                    
                    9,39
                    
                ","
                    
                    8,41
                    
                ","
                    
                    4,60
                    
                ","
                    
                    1,33
                    
                ","
                    
                    4,03
                    
                "
"Liquidez seca","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Liquidez imediata","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Dívida bruta","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Dívida líquida","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Capital de giro","-5.881 mi","58.208 mi","45.840 mi","9.948 mi","4.934 mi","21.262 mi","
                    
                    363 mi
                    
                ","
                    
                    1.617 mi
                    
                ","
                    
                    -4.091 mi
                    
                ","
                    
                    10.968 mi
                    
                ","
                    
                    18.191 mi
                    
                ","
                    
                    13.801 mi
                    
                ","
                    
                    12.075 mi
                    
                ","
                    
                    22.420 mi
                    
                ","
                    
                    935 mi
                    
                ","
                    
                    8.114 mi
                    
                "
