"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","10,91","-41,39","2,23","3,29","10,86","5,41","
                    
                    1.018,44
                    
                ","
                    
                    28,07
                    
                ","
                    
                    69,90
                    
                ","
                    
                    3,60
                    
                ","
                    
                    10,54
                    
                ","
                    
                    12,52
                    
                ","
                    
                    14,01
                    
                ","
                    
                    -146,79
                    
                ","
                    
                    -29,62
                    
                ","
                    
                    48,04
                    
                "
"P/VP","1,70","1,01","0,74","1,53","1,25","1,11","
                    
                    1,00
                    
                ","
                    
                    0,62
                    
                ","
                    
                    0,73
                    
                ","
                    
                    0,60
                    
                ","
                    
                    0,89
                    
                ","
                    
                    0,52
                    
                ","
                    
                    0,49
                    
                ","
                    
                    0,54
                    
                ","
                    
                    0,49
                    
                ","
                    
                    0,61
                    
                "
"P/EBIT","4,00","8,21","1,40","2,09","2,44","2,43","
                    
                    3,57
                    
                ","
                    
                    2,22
                    
                ","
                    
                    2,47
                    
                ","
                    
                    1,82
                    
                ","
                    
                    2,74
                    
                ","
                    
                    2,79
                    
                ","
                    
                    3,70
                    
                ","
                    
                    6,24
                    
                ","
                    
                    3,80
                    
                ","
                    
                    10,80
                    
                "
"PSR","0,20","0,12","0,09","0,19","0,18","0,16","
                    
                    0,14
                    
                ","
                    
                    0,09
                    
                ","
                    
                    0,10
                    
                ","
                    
                    0,10
                    
                ","
                    
                    0,18
                    
                ","
                    
                    0,12
                    
                ","
                    
                    0,13
                    
                ","
                    
                    0,18
                    
                ","
                    
                    0,16
                    
                ","
                    
                    0,30
                    
                "
"P/Ativos","0,35","0,21","0,17","0,32","0,30","0,26","
                    
                    0,22
                    
                ","
                    
                    0,14
                    
                ","
                    
                    0,16
                    
                ","
                    
                    0,14
                    
                ","
                    
                    0,26
                    
                ","
                    
                    0,17
                    
                ","
                    
                    0,20
                    
                ","
                    
                    0,23
                    
                ","
                    
                    0,20
                    
                ","
                    
                    0,24
                    
                "
"LPA","3,28","-0,48","6,97","9,24","2,07","2,74","
                    
                    0,01
                    
                ","
                    
                    0,24
                    
                ","
                    
                    0,11
                    
                ","
                    
                    2,09
                    
                ","
                    
                    0,92
                    
                ","
                    
                    0,42
                    
                ","
                    
                    0,32
                    
                ","
                    
                    -0,03
                    
                ","
                    
                    -0,13
                    
                ","
                    
                    0,10
                    
                "
"VPA","21,06","19,54","20,89","19,89","18,09","13,36","
                    
                    11,56
                    
                ","
                    
                    10,95
                    
                ","
                    
                    10,09
                    
                ","
                    
                    12,64
                    
                ","
                    
                    10,87
                    
                ","
                    
                    9,98
                    
                ","
                    
                    9,29
                    
                ","
                    
                    9,32
                    
                ","
                    
                    7,93
                    
                ","
                    
                    7,89
                    
                "
"EBIT por ação","8,97","2,41","11,11","14,55","9,24","6,08","
                    
                    3,24
                    
                ","
                    
                    3,04
                    
                ","
                    
                    2,98
                    
                ","
                    
                    4,14
                    
                ","
                    
                    3,53
                    
                ","
                    
                    1,87
                    
                ","
                    
                    1,23
                    
                ","
                    
                    0,80
                    
                ","
                    
                    1,03
                    
                ","
                    
                    0,44
                    
                "
"Ativo por ação","102,15","92,93","93,82","93,44","73,85","56,96","
                    
                    51,46
                    
                ","
                    
                    49,00
                    
                ","
                    
                    46,35
                    
                ","
                    
                    55,23
                    
                ","
                    
                    37,11
                    
                ","
                    
                    31,08
                    
                ","
                    
                    22,43
                    
                ","
                    
                    21,37
                    
                ","
                    
                    19,76
                    
                ","
                    
                    19,79
                    
                "
"Receita líquida por ação","178,80","164,02","169,00","158,11","121,82","92,21","
                    
                    81,91
                    
                ","
                    
                    73,56
                    
                ","
                    
                    76,81
                    
                ","
                    
                    73,45
                    
                ","
                    
                    54,31
                    
                ","
                    
                    41,88
                    
                ","
                    
                    34,13
                    
                ","
                    
                    27,86
                    
                ","
                    
                    24,67
                    
                ","
                    
                    15,74
                    
                "
"Margem bruta","14,24%","10,90%","15,87%","18,87%","16,73%","15,62%","
                    
                    14,50%
                    
                ","
                    
                    14,57%
                    
                ","
                    
                    12,51%
                    
                ","
                    
                    13,87%
                    
                ","
                    
                    15,50%
                    
                ","
                    
                    12,75%
                    
                ","
                    
                    11,48%
                    
                ","
                    
                    10,84%
                    
                ","
                    
                    12,28%
                    
                ","
                    
                    8,99%
                    
                "
"Margem líquida","2,08%","-0,20%","4,32%","5,85%","1,72%","3,16%","
                    
                    0,12%
                    
                ","
                    
                    0,63%
                    
                ","
                    
                    0,33%
                    
                ","
                    
                    3,15%
                    
                ","
                    
                    2,00%
                    
                ","
                    
                    1,20%
                    
                ","
                    
                    1,01%
                    
                ","
                    
                    -0,52%
                    
                ","
                    
                    -0,47%
                    
                ","
                    
                    0,63%
                    
                "
