"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","67,55","50,04","20,51","37,67","-50,85","108,36","
                    
                    546,69
                    
                ","
                    
                    163,50
                    
                ","
                    
                    25,02
                    
                ","
                    
                    -61,44
                    
                ","
                    
                    97,05
                    
                ","
                    
                    151,67
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"P/VP","13,96","11,64","9,57","19,82","33,20","12,11","
                    
                    11,94
                    
                ","
                    
                    12,03
                    
                ","
                    
                    8,75
                    
                ","
                    
                    14,39
                    
                ","
                    
                    10,04
                    
                ","
                    
                    8,16
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"P/EBIT","34,13","31,73","13,68","20,66","39,35","28,99","
                    
                    25,19
                    
                ","
                    
                    56,06
                    
                ","
                    
                    44,42
                    
                ","
                    
                    51,61
                    
                ","
                    
                    41,70
                    
                ","
                    
                    39,31
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"PSR","7,39","7,48","4,57","6,90","10,59","7,13","
                    
                    7,50
                    
                ","
                    
                    10,39
                    
                ","
                    
                    8,76
                    
                ","
                    
                    13,54
                    
                ","
                    
                    14,48
                    
                ","
                    
                    9,57
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"P/Ativos","2,36","2,43","1,92","2,70","3,59","2,11","
                    
                    2,54
                    
                ","
                    
                    2,85
                    
                ","
                    
                    2,12
                    
                ","
                    
                    2,93
                    
                ","
                    
                    3,35
                    
                ","
                    
                    2,95
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"LPA","0,33","0,44","0,72","0,49","-0,40","0,11","
                    
                    0,02
                    
                ","
                    
                    0,09
                    
                ","
                    
                    0,40
                    
                ","
                    
                    -0,20
                    
                ","
                    
                    0,12
                    
                ","
                    
                    0,05
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"VPA","1,62","1,87","1,55","0,93","0,62","0,98","
                    
                    1,02
                    
                ","
                    
                    1,17
                    
                ","
                    
                    1,15
                    
                ","
                    
                    0,87
                    
                ","
                    
                    1,14
                    
                ","
                    
                    0,87
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"EBIT por ação","0,66","0,69","1,08","0,89","0,52","0,41","
                    
                    0,48
                    
                ","
                    
                    0,25
                    
                ","
                    
                    0,23
                    
                ","
                    
                    0,24
                    
                ","
                    
                    0,28
                    
                ","
                    
                    0,18
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"Ativo por ação","9,55","8,97","7,71","6,81","5,71","5,62","
                    
                    4,80
                    
                ","
                    
                    4,94
                    
                ","
                    
                    4,74
                    
                ","
                    
                    4,25
                    
                ","
                    
                    3,43
                    
                ","
                    
                    2,41
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"Receita líquida por ação","3,05","2,92","3,24","2,67","1,93","1,66","
                    
                    1,62
                    
                ","
                    
                    1,35
                    
                ","
                    
                    1,15
                    
                ","
                    
                    0,92
                    
                ","
                    
                    0,79
                    
                ","
                    
                    0,74
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
