"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","65,02","-5,16","1,21","3,06","2,91","22,14","
                    
                    2,34
                    
                ","
                    
                    -6,71
                    
                ","
                    
                    -4,58
                    
                ","
                    
                    -6,03
                    
                ","
                    
                    -2,98
                    
                ","
                    
                    -2,62
                    
                ","
                    
                    -20,54
                    
                ","
                    
                    -8,41
                    
                ","
                    
                    54,40
                    
                ","
                    
                    15,72
                    
                "
"P/VP","2,76","1,03","0,91","3,39","4,58","7,81","
                    
                    4,84
                    
                ","
                    
                    1,36
                    
                ","
                    
                    3,43
                    
                ","
                    
                    5,50
                    
                ","
                    
                    1,13
                    
                ","
                    
                    0,79
                    
                ","
                    
                    1,11
                    
                ","
                    
                    1,93
                    
                ","
                    
                    2,06
                    
                ","
                    
                    2,23
                    
                "
"P/EBIT","2,82","7,38","0,55","1,05","1,22","1,42","
                    
                    7,72
                    
                ","
                    
                    7,64
                    
                ","
                    
                    3,00
                    
                ","
                    
                    3,42
                    
                ","
                    
                    2,34
                    
                ","
                    
                    2,76
                    
                ","
                    
                    3,22
                    
                ","
                    
                    6,40
                    
                ","
                    
                    9,08
                    
                ","
                    
                    20,79
                    
                "
"PSR","0,10","0,06","0,04","0,16","0,14","0,10","
                    
                    0,11
                    
                ","
                    
                    0,32
                    
                ","
                    
                    0,17
                    
                ","
                    
                    0,18
                    
                ","
                    
                    0,15
                    
                ","
                    
                    0,13
                    
                ","
                    
                    0,28
                    
                ","
                    
                    0,30
                    
                ","
                    
                    0,50
                    
                ","
                    
                    0,87
                    
                "
"P/Ativos","0,11","0,06","0,04","0,28","0,24","0,15","
                    
                    0,12
                    
                ","
                    
                    0,15
                    
                ","
                    
                    0,15
                    
                ","
                    
                    0,17
                    
                ","
                    
                    0,11
                    
                ","
                    
                    0,13
                    
                ","
                    
                    0,18
                    
                ","
                    
                    0,26
                    
                ","
                    
                    0,35
                    
                ","
                    
                    0,69
                    
                "
"LPA","0,26","-1,71","4,70","4,90","3,73","0,25","
                    
                    1,57
                    
                ","
                    
                    -0,55
                    
                ","
                    
                    -0,77
                    
                ","
                    
                    -0,66
                    
                ","
                    
                    -0,83
                    
                ","
                    
                    -1,03
                    
                ","
                    
                    -0,25
                    
                ","
                    
                    -0,84
                    
                ","
                    
                    0,16
                    
                ","
                    
                    0,60
                    
                "
"VPA","6,08","8,61","6,29","4,42","2,36","0,70","
                    
                    0,76
                    
                ","
                    
                    2,70
                    
                ","
                    
                    1,02
                    
                ","
                    
                    0,73
                    
                ","
                    
                    2,20
                    
                ","
                    
                    3,42
                    
                ","
                    
                    4,69
                    
                ","
                    
                    3,67
                    
                ","
                    
                    4,36
                    
                ","
                    
                    4,26
                    
                "
"EBIT por ação","5,96","1,20","10,35","14,23","8,86","3,85","
                    
                    0,48
                    
                ","
                    
                    0,48
                    
                ","
                    
                    1,17
                    
                ","
                    
                    1,17
                    
                ","
                    
                    1,06
                    
                ","
                    
                    0,98
                    
                ","
                    
                    1,61
                    
                ","
                    
                    1,11
                    
                ","
                    
                    0,99
                    
                ","
                    
                    0,46
                    
                "
"Ativo por ação","152,21","147,80","153,62","54,18","44,59","35,63","
                    
                    29,91
                    
                ","
                    
                    24,04
                    
                ","
                    
                    22,87
                    
                ","
                    
                    23,25
                    
                ","
                    
                    22,78
                    
                ","
                    
                    20,12
                    
                ","
                    
                    28,88
                    
                ","
                    
                    26,89
                    
                ","
                    
                    25,51
                    
                ","
                    
                    13,83
                    
                "
"Receita líquida por ação","160,48","149,23","141,50","96,38","76,16","55,04","
                    
                    33,54
                    
                ","
                    
                    11,43
                    
                ","
                    
                    21,25
                    
                ","
                    
                    22,06
                    
                ","
                    
                    17,17
                    
                ","
                    
                    21,17
                    
                ","
                    
                    18,64
                    
                ","
                    
                    23,72
                    
                ","
                    
                    17,92
                    
                ","
                    
                    10,86
                    
                "
"Margem bruta","12,92%","10,12%","13,15%","20,14%","17,37%","13,09%","
                    
                    12,93%
                    
                ","
                    
                    13,50%
                    
                ","
                    
                    11,51%
                    
                ","
                    
                    11,76%
                    
                ","
                    
                    13,03%
                    
                ","
                    
                    12,32%
                    
                ","
                    
                    14,30%
                    
                ","
                    
                    14,19%
                    
                ","
                    
                    16,38%
                    
                ","
                    
                    13,03%
                    
                "
"Margem líquida","0,91%","-2,74%","2,20%","7,78%","6,71%","3,24%","
                    
                    7,25%
                    
                ","
                    
                    -4,40%
                    
                ","
                    
                    -3,36%
                    
                ","
                    
                    -2,76%
                    
                ","
                    
                    -4,74%
                    
                ","
                    
                    -4,78%
                    
                ","
                    
                    -1,41%
                    
                ","
                    
                    -3,55%
                    
                ","
                    
                    0,88%
                    
                ","
                    
                    5,64%
                    
                "
"Margem EBIT","3,71%","0,80%","7,31%","14,77%","11,64%","7,00%","
                    
                    1,42%
                    
                ","
                    
                    4,19%
                    
                ","
                    
                    5,51%
                    
                ","
                    
                    5,29%
                    
                ","
                    
                    6,19%
                    
                ","
                    
                    4,62%
                    
                ","
                    
                    8,66%
                    
                ","
                    
                    4,67%
                    
                ","
                    
                    5,52%
                    
                ","
                    
                    4,20%
                    
                "
"Margem EBITDA","8,63%","5,90%","11,56%","16,60%","13,70%","9,45%","
                    
                    3,62%
                    
                ","
                    
                    6,60%
                    
                ","
                    
                    7,98%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                "
"Margem operacional","0,30%","-3,43%","2,39%","10,43%","7,60%","2,77%","
                    
                    -6,35%
                    
                ","
                    
                    -14,46%
                    
                ","
                    
                    -5,19%
                    
                ","
                    
                    -10,56%
                    
                ","
                    
                    -7,37%
                    
                ","
                    
                    -6,21%
                    
                ","
                    
                    0,07%
                    
                ","
                    
                    -6,28%
                    
                ","
                    
                    -1,71%
                    
                ","
                    
                    5,71%
                    
                "
"ROE","5,60%","-14,55%","10,45%","119,29%","128,93%","89,07%","
                    
                    53,69%
                    
                ","
                    
                    -16,90%
                    
                ","
                    
                    -57,48%
                    
                ","
                    
                    -63,88%
                    
                ","
                    
                    -34,77%
                    
                ","
                    
                    -28,76%
                    
                ","
                    
                    -5,42%
                    
                ","
                    
                    -21,84%
                    
                ","
                    
                    3,49%
                    
                ","
                    
                    14,33%
                    
                "
"ROA","0,01","-0,03","0,02","0,14","0,11","0,05","
                    
                    0,08
                    
                ","
                    
                    -0,02
                    
                ","
                    
                    -0,03
                    
                ","
                    
                    -0,03
                    
                ","
                    
                    -0,04
                    
                ","
                    
                    -0,05
                    
                ","
                    
                    -0,01
                    
                ","
                    
                    -0,03
                    
                ","
                    
                    0,01
                    
                ","
                    
                    0,04
                    
                "
"Giro do ativo","1,05","1,01","0,92","1,78","1,71","1,54","
                    
                    1,12
                    
                ","
                    
                    0,48
                    
                ","
                    
                    0,93
                    
                ","
                    
                    0,95
                    
                ","
                    
                    0,75
                    
                ","
                    
                    1,05
                    
                ","
                    
                    0,65
                    
                ","
                    
                    0,88
                    
                ","
                    
                    0,70
                    
                ","
                    
                    0,79
                    
                "
"EBITDA","12.274 mi","7.801 mi","14.499 mi","14.174 mi","9.247 mi","4.609 mi","
                    
                    1.075 mi
                    
                ","
                    
                    668 mi
                    
                ","
                    
                    1.501 mi
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Liquidez corrente","1,23","1,24","1,25","1,14","1,33","1,36","
                    
                    1,36
                    
                ","
                    
                    1,62
                    
                ","
                    
                    1,26
                    
                ","
                    
                    1,82
                    
                ","
                    
                    1,79
                    
                ","
                    
                    2,03
                    
                ","
                    
                    1,33
                    
                ","
                    
                    1,40
                    
                ","
                    
                    1,35
                    
                ","
                    
                    1,83
                    
                "
"Liquidez seca","0,96","1,00","0,93","0,89","1,12","1,13","
                    
                    1,15
                    
                ","
                    
                    1,33
                    
                ","
                    
                    1,09
                    
                ","
                    
                    1,54
                    
                ","
                    
                    1,36
                    
                ","
                    
                    1,54
                    
                ","
                    
                    0,98
                    
                ","
                    
                    1,02
                    
                ","
                    
                    1,03
                    
                ","
                    
                    1,47
                    
                "
"Liquidez imediata","0,11","0,15","0,16","0,10","0,15","0,17","
                    
                    0,28
                    
                ","
                    
                    0,20
                    
                ","
                    
                    0,45
                    
                ","
                    
                    0,30
                    
                ","
                    
                    0,23
                    
                ","
                    
                    0,21
                    
                ","
                    
                    0,12
                    
                ","
                    
                    0,16
                    
                ","
                    
                    0,11
                    
                ","
                    
                    0,19
                    
                "
"Dívida bruta","58.546 mi","55.824 mi","64.775 mi","30.968 mi","27.499 mi","22.240 mi","
                    
                    15.238 mi
                    
                ","
                    
                    12.458 mi
                    
                ","
                    
                    11.188 mi
                    
                ","
                    
                    12.183 mi
                    
                ","
                    
                    11.200 mi
                    
                ","
                    
                    9.092 mi
                    
                ","
                    
                    12.528 mi
                    
                ","
                    
                    11.680 mi
                    
                ","
                    
                    9.679 mi
                    
                ","
                    
                    5.269 mi
                    
                "
"Dívida líquida","38.696 mi","33.931 mi","42.283 mi","22.568 mi","15.742 mi","13.830 mi","
                    
                    8.046 mi
                    
                ","
                    
                    8.056 mi
                    
                ","
                    
                    5.910 mi
                    
                ","
                    
                    7.179 mi
                    
                ","
                    
                    8.542 mi
                    
                ","
                    
                    7.280 mi
                    
                ","
                    
                    9.350 mi
                    
                ","
                    
                    8.203 mi
                    
                ","
                    
                    5.802 mi
                    
                ","
                    
                    2.236 mi
                    
                "
"Capital de giro","10.098 mi","9.929 mi","10.177 mi","2.466 mi","4.555 mi","3.805 mi","
                    
                    3.116 mi
                    
                ","
                    
                    3.717 mi
                    
                ","
                    
                    1.920 mi
                    
                ","
                    
                    4.435 mi
                    
                ","
                    
                    3.706 mi
                    
                ","
                    
                    3.805 mi
                    
                ","
                    
                    2.547 mi
                    
                ","
                    
                    2.686 mi
                    
                ","
                    
                    2.451 mi
                    
                ","
                    
                    2.638 mi
                    
                "
"Endividamento geral","481,34%","426,14%","414,58%","761,55%","1.024,27%","1.677,36%","
                    
                    560,70%
                    
                ","
                    
                    708,51%
                    
                ","
                    
                    1.740,37%
                    
                ","
                    
                    2.342,24%
                    
                ","
                    
                    874,35%
                    
                ","
                    
                    471,58%
                    
                ","
                    
                    494,40%
                    
                ","
                    
                    596,75%
                    
                ","
                    
                    463,76%
                    
                ","
                    
                    223,69%
                    
                "
