"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","6,16","5,37","3,50","4,57","6,03","7,68","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"P/VP","0,71","0,80","0,62","0,75","0,80","0,90","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"P/EBIT","2,43","2,44","1,77","2,28","3,47","4,01","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"PSR","0,49","0,54","0,39","0,42","0,53","0,60","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"P/Ativos","0,22","0,24","0,18","0,21","0,26","0,32","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"LPA","3,09","3,68","3,89","3,23","2,31","1,84","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"VPA","26,80","24,61","22,03","19,68","17,44","15,63","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"EBIT por ação","7,86","8,07","7,69","6,49","4,02","3,52","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"Ativo por ação","87,61","81,65","76,06","70,69","54,62","44,67","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"Receita líquida por ação","38,65","36,53","35,25","35,56","26,35","23,45","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"Margem bruta","26,71%","26,43%","29,14%","25,26%","23,05%","22,40%","
                    
                    19,56%
                    
                ","
                    
                    17,64%
                    
                ","
                    
                    22,17%
                    
                ","
                    
                    21,96%
                    
                ","
                    
                    24,77%
                    
                ","
                    
                    28,59%
                    
                ","
                    
                    28,07%
                    
                ","
                    
                    35,95%
                    
                ","
                    
                    36,44%
                    
                ","
                    
                    39,50%
                    
                "
"Margem líquida","8,12%","10,21%","11,19%","9,42%","9,08%","8,11%","
                    
                    6,14%
                    
                ","
                    
                    2,20%
                    
                ","
                    
                    2,39%
                    
                ","
                    
                    2,55%
                    
                ","
                    
                    6,31%
                    
                ","
                    
                    10,61%
                    
                ","
                    
                    10,92%
                    
                ","
                    
                    18,88%
                    
                ","
                    
                    23,05%
                    
                ","
                    
                    25,88%
                    
                "
"Margem EBIT","20,33%","22,10%","21,83%","18,24%","15,25%","15,01%","
                    
                    12,60%
                    
                ","
                    
                    10,36%
                    
                ","
                    
                    12,52%
                    
                ","
                    
                    9,96%
                    
                ","
                    
                    13,52%
                    
                ","
                    
                    15,61%
                    
                ","
                    
                    13,57%
                    
                ","
                    
                    22,56%
                    
                ","
                    
                    26,55%
                    
                ","
                    
                    30,44%
                    
                "
"Margem EBITDA","26,33%","27,99%","27,16%","22,35%","19,85%","19,58%","
                    
                    16,95%
                    
                ","
                    
                    14,65%
                    
                ","
                    
                    17,46%
                    
                ","
                    
                    14,75%
                    
                ","
                    
                    19,08%
                    
                ","
                    
                    21,19%
                    
                ","
                    
                    18,71%
                    
                ","
                    
                    28,29%
                    
                ","
                    
                    31,94%
                    
                ","
                    
                    --%
                    
                "
"Margem operacional","10,20%","11,18%","12,95%","12,95%","12,03%","10,30%","
                    
                    8,09%
                    
                ","
                    
                    3,56%
                    
                ","
                    
                    3,78%
                    
                ","
                    
                    3,99%
                    
                ","
                    
                    7,83%
                    
                ","
                    
                    13,19%
                    
                ","
                    
                    12,59%
                    
                ","
                    
                    21,65%
                    
                ","
                    
                    27,42%
                    
                ","
                    
                    31,08%
                    
                "
"ROE","11,68%","15,05%","17,77%","16,78%","13,51%","11,99%","
                    
                    9,07%
                    
                ","
                    
                    2,89%
                    
                ","
                    
                    3,84%
                    
                ","
                    
                    3,99%
                    
                ","
                    
                    7,82%
                    
                ","
                    
                    11,54%
                    
                ","
                    
                    11,16%
                    
                ","
                    
                    15,40%
                    
                ","
                    
                    18,32%
                    
                ","
                    
                    21,56%
                    
                "
"ROA","0,04","0,05","0,05","0,05","0,04","0,04","
                    
                    0,03
                    
                ","
                    
                    0,01
                    
                ","
                    
                    0,01
                    
                ","
                    
                    0,01
                    
                ","
                    
                    0,03
                    
                ","
                    
                    0,05
                    
                ","
                    
                    0,06
                    
                ","
                    
                    0,09
                    
                ","
                    
                    0,11
                    
                ","
                    
                    0,12
                    
                "
"Giro do ativo","0,44","0,45","0,46","0,50","0,48","0,53","
                    
                    0,56
                    
                ","
                    
                    0,49
                    
                ","
                    
                    0,53
                    
                ","
                    
                    0,53
                    
                ","
                    
                    0,54
                    
                ","
                    
                    0,51
                    
                ","
                    
                    0,55
                    
                ","
                    
                    0,46
                    
                ","
                    
                    0,46
                    
                ","
                    
                    0,47
                    
                "
"EBITDA","12.352 mi","12.410 mi","11.619 mi","9.649 mi","6.351 mi","5.572 mi","
                    
                    4.397 mi
                    
                ","
                    
                    3.003 mi
                    
                ","
                    
                    2.590 mi
                    
                ","
                    
                    2.154 mi
                    
                ","
                    
                    2.348 mi
                    
                ","
                    
                    2.244 mi
                    
                ","
                    
                    2.180 mi
                    
                ","
                    
                    2.763 mi
                    
                ","
                    
                    2.861 mi
                    
                ","
                    
                    --
                    
                "
"Liquidez corrente","1,14","1,07","1,13","1,09","1,25","1,35","
                    
                    1,43
                    
                ","
                    
                    0,92
                    
                ","
                    
                    0,76
                    
                ","
                    
                    0,87
                    
                ","
                    
                    1,16
                    
                ","
                    
                    1,36
                    
                ","
                    
                    1,94
                    
                ","
                    
                    2,32
                    
                ","
                    
                    2,17
                    
                ","
                    
                    2,33
                    
                "
"Liquidez seca","1,14","1,07","1,13","1,09","1,25","1,35","
                    
                    1,43
                    
                ","
                    
                    0,92
                    
                ","
                    
                    0,76
                    
                ","
                    
                    0,87
                    
                ","
                    
                    1,15
                    
                ","
                    
                    1,35
                    
                ","
                    
                    1,93
                    
                ","
                    
                    2,32
                    
                ","
                    
                    2,17
                    
                ","
                    
                    2,32
                    
                "
"Liquidez imediata","0,38","0,34","0,37","0,28","0,42","0,42","
                    
                    0,49
                    
                ","
                    
                    0,32
                    
                ","
                    
                    0,05
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,03
                    
                ","
                    
                    1,09
                    
                ","
                    
                    1,33
                    
                ","
                    
                    1,16
                    
                ","
                    
                    1,14
                    
                "
"Dívida bruta","50.730 mi","45.883 mi","43.503 mi","38.623 mi","26.380 mi","22.664 mi","
                    
                    21.056 mi
                    
                ","
                    
                    18.314 mi
                    
                ","
                    
                    11.960 mi
                    
                ","
                    
                    11.807 mi
                    
                ","
                    
                    8.556 mi
                    
                ","
                    
                    7.325 mi
                    
                ","
                    
                    6.234 mi
                    
                ","
                    
                    6.554 mi
                    
                ","
                    
                    5.767 mi
                    
                ","
                    
                    5.034 mi
                    
                "
"Dívida líquida","42.935 mi","38.361 mi","36.602 mi","33.006 mi","21.304 mi","18.598 mi","
                    
                    17.100 mi
                    
                ","
                    
                    14.441 mi
                    
                ","
                    
                    10.567 mi
                    
                ","
                    
                    9.210 mi
                    
                ","
                    
                    7.398 mi
                    
                ","
                    
                    5.319 mi
                    
                ","
                    
                    2.293 mi
                    
                ","
                    
                    2.141 mi
                    
                ","
                    
                    2.132 mi
                    
                ","
                    
                    2.276 mi
                    
                "
"Capital de giro","2.859 mi","1.426 mi","2.375 mi","1.840 mi","2.977 mi","3.379 mi","
                    
                    3.467 mi
                    
                ","
                    
                    -933 mi
                    
                ","
                    
                    -1.980 mi
                    
                ","
                    
                    -957 mi
                    
                ","
                    
                    676 mi
                    
                ","
                    
                    1.230 mi
                    
                ","
                    
                    3.247 mi
                    
                ","
                    
                    4.047 mi
                    
                ","
                    
                    3.420 mi
                    
                ","
                    
                    3.041 mi
                    
                "
"Endividamento geral","225,83%","229,54%","242,72%","253,99%","208,23%","181,50%","
                    
                    164,92%
                    
                ","
                    
                    170,02%
                    
                ","
                    
                    203,34%
                    
                ","
                    
                    193,85%
                    
                ","
                    
                    128,10%
                    
                ","
                    
                    113,55%
                    
                ","
                    
                    86,50%
                    
                ","
                    
                    76,53%
                    
                ","
                    
                    74,02%
                    
                ","
                    
                    75,54%
                    
                "
