"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","8,98","8,58","12,29","7,75","7,46","8,37","
                    
                    10,18
                    
                ","
                    
                    10,10
                    
                ","
                    
                    6,84
                    
                ","
                    
                    5,80
                    
                ","
                    
                    8,42
                    
                ","
                    
                    4,48
                    
                ","
                    
                    7,81
                    
                ","
                    
                    6,33
                    
                ","
                    
                    7,74
                    
                ","
                    
                    15,30
                    
                "
"P/VP","1,78","1,57","1,33","1,28","1,40","1,40","
                    
                    1,75
                    
                ","
                    
                    1,44
                    
                ","
                    
                    0,89
                    
                ","
                    
                    0,90
                    
                ","
                    
                    1,23
                    
                ","
                    
                    1,07
                    
                ","
                    
                    1,05
                    
                ","
                    
                    0,78
                    
                ","
                    
                    1,09
                    
                ","
                    
                    1,20
                    
                "
"P/EBIT","7,37","6,93","16,71","9,60","7,47","11,68","
                    
                    10,76
                    
                ","
                    
                    27,65
                    
                ","
                    
                    52,37
                    
                ","
                    
                    16,95
                    
                ","
                    
                    17,28
                    
                ","
                    
                    4,96
                    
                ","
                    
                    572,21
                    
                ","
                    
                    -49,56
                    
                ","
                    
                    24,59
                    
                ","
                    
                    -41,47
                    
                "
"PSR","0,67","0,60","0,53","0,56","0,67","0,64","
                    
                    0,75
                    
                ","
                    
                    0,66
                    
                ","
                    
                    0,39
                    
                ","
                    
                    0,38
                    
                ","
                    
                    0,51
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"P/Ativos","0,52","0,44","0,35","0,28","0,34","0,35","
                    
                    0,44
                    
                ","
                    
                    0,38
                    
                ","
                    
                    0,25
                    
                ","
                    
                    0,25
                    
                ","
                    
                    0,34
                    
                ","
                    
                    0,31
                    
                ","
                    
                    0,28
                    
                ","
                    
                    0,22
                    
                ","
                    
                    0,32
                    
                ","
                    
                    0,38
                    
                "
"LPA","4,12","3,50","1,76","2,39","2,61","2,13","
                    
                    2,03
                    
                ","
                    
                    1,70
                    
                ","
                    
                    1,42
                    
                ","
                    
                    1,55
                    
                ","
                    
                    1,35
                    
                ","
                    
                    2,17
                    
                ","
                    
                    1,06
                    
                ","
                    
                    0,90
                    
                ","
                    
                    0,96
                    
                ","
                    
                    0,49
                    
                "
"VPA","20,75","19,20","16,27","14,48","13,92","12,79","
                    
                    11,82
                    
                ","
                    
                    11,93
                    
                ","
                    
                    10,82
                    
                ","
                    
                    9,95
                    
                ","
                    
                    9,28
                    
                ","
                    
                    9,11
                    
                ","
                    
                    7,84
                    
                ","
                    
                    7,27
                    
                ","
                    
                    6,87
                    
                ","
                    
                    6,29
                    
                "
"EBIT por ação","5,02","4,34","1,30","1,93","2,60","1,53","
                    
                    1,92
                    
                ","
                    
                    0,62
                    
                ","
                    
                    0,18
                    
                ","
                    
                    0,53
                    
                ","
                    
                    0,66
                    
                ","
                    
                    1,96
                    
                ","
                    
                    0,01
                    
                ","
                    
                    -0,11
                    
                ","
                    
                    0,30
                    
                ","
                    
                    -0,18
                    
                "
"Ativo por ação","71,58","68,42","61,73","66,31","56,81","50,59","
                    
                    47,27
                    
                ","
                    
                    44,82
                    
                ","
                    
                    39,22
                    
                ","
                    
                    35,86
                    
                ","
                    
                    33,13
                    
                ","
                    
                    31,56
                    
                ","
                    
                    29,19
                    
                ","
                    
                    25,47
                    
                ","
                    
                    23,34
                    
                ","
                    
                    19,80
                    
                "
"Receita líquida por ação","55,05","50,10","40,85","32,83","28,91","27,96","
                    
                    27,56
                    
                ","
                    
                    26,13
                    
                ","
                    
                    24,95
                    
                ","
                    
                    23,91
                    
                ","
                    
                    22,16
                    
                ","
                    
                    0,00
                    
                ","
                    
                    0,00
                    
                ","
                    
                    0,00
                    
                ","
                    
                    0,00
                    
                ","
                    
                    0,00
                    
                "
