"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","14,79","21,81","12,91","15,52","17,65","9,45","
                    
                    19,21
                    
                ","
                    
                    23,69
                    
                ","
                    
                    19,72
                    
                ","
                    
                    8,73
                    
                ","
                    
                    11,33
                    
                ","
                    
                    9,71
                    
                ","
                    
                    11,27
                    
                ","
                    
                    8,86
                    
                ","
                    
                    10,47
                    
                ","
                    
                    15,89
                    
                "
"P/VP","1,54","1,80","1,67","2,28","2,24","1,60","
                    
                    2,64
                    
                ","
                    
                    2,43
                    
                ","
                    
                    1,71
                    
                ","
                    
                    1,07
                    
                ","
                    
                    0,81
                    
                ","
                    
                    0,68
                    
                ","
                    
                    0,78
                    
                ","
                    
                    0,88
                    
                ","
                    
                    1,05
                    
                ","
                    
                    1,26
                    
                "
"P/EBIT","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"PSR","1,37","1,61","1,60","3,09","3,77","2,13","
                    
                    3,43
                    
                ","
                    
                    2,96
                    
                ","
                    
                    1,88
                    
                ","
                    
                    1,22
                    
                ","
                    
                    1,08
                    
                ","
                    
                    1,08
                    
                ","
                    
                    1,17
                    
                ","
                    
                    1,33
                    
                ","
                    
                    1,89
                    
                ","
                    
                    2,22
                    
                "
"P/Ativos","0,15","0,18","0,19","0,26","0,25","0,20","
                    
                    0,33
                    
                ","
                    
                    0,33
                    
                ","
                    
                    0,23
                    
                ","
                    
                    0,14
                    
                ","
                    
                    0,12
                    
                ","
                    
                    0,12
                    
                ","
                    
                    0,15
                    
                ","
                    
                    0,17
                    
                ","
                    
                    0,21
                    
                ","
                    
                    0,28
                    
                "
"LPA","1,65","1,26","1,91","2,07","1,79","2,19","
                    
                    1,68
                    
                ","
                    
                    1,19
                    
                ","
                    
                    0,98
                    
                ","
                    
                    1,30
                    
                ","
                    
                    0,75
                    
                ","
                    
                    0,76
                    
                ","
                    
                    0,73
                    
                ","
                    
                    1,03
                    
                ","
                    
                    0,98
                    
                ","
                    
                    0,73
                    
                "
"VPA","15,80","15,26","14,69","14,09","14,11","12,89","
                    
                    12,22
                    
                ","
                    
                    11,61
                    
                ","
                    
                    11,31
                    
                ","
                    
                    10,65
                    
                ","
                    
                    10,49
                    
                ","
                    
                    10,89
                    
                ","
                    
                    10,55
                    
                ","
                    
                    10,41
                    
                ","
                    
                    9,78
                    
                ","
                    
                    9,24
                    
                "
"EBIT por ação","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Ativo por ação","163,89","148,78","131,42","124,19","124,50","101,65","
                    
                    96,53
                    
                ","
                    
                    86,11
                    
                ","
                    
                    84,60
                    
                ","
                    
                    80,74
                    
                ","
                    
                    69,38
                    
                ","
                    
                    60,42
                    
                ","
                    
                    56,36
                    
                ","
                    
                    53,33
                    
                ","
                    
                    49,96
                    
                ","
                    
                    42,14
                    
                "
"Receita líquida por ação","17,76","17,11","15,37","10,40","8,37","9,71","
                    
                    9,40
                    
                ","
                    
                    9,52
                    
                ","
                    
                    10,29
                    
                ","
                    
                    9,32
                    
                ","
                    
                    7,86
                    
                ","
                    
                    6,83
                    
                ","
                    
                    7,02
                    
                ","
                    
                    6,90
                    
                ","
                    
                    5,46
                    
                ","
                    
                    5,25
                    
                "
"Margem bruta","40,19%","36,55%","41,23%","65,80%","70,80%","60,85%","
                    
                    59,48%
                    
                ","
                    
                    48,93%
                    
                ","
                    
                    39,65%
                    
                ","
                    
                    44,85%
                    
                ","
                    
                    46,21%
                    
                ","
                    
                    55,60%
                    
                ","
                    
                    60,00%
                    
                ","
                    
                    53,93%
                    
                ","
                    
                    58,90%
                    
                ","
                    
                    56,34%
                    
                "
"Margem líquida","9,32%","7,40%","12,44%","19,95%","21,43%","22,83%","
                    
                    18,16%
                    
                ","
                    
                    12,80%
                    
                ","
                    
                    9,68%
                    
                ","
                    
                    14,07%
                    
                ","
                    
                    9,69%
                    
                ","
                    
                    11,42%
                    
                ","
                    
                    10,43%
                    
                ","
                    
                    14,99%
                    
                ","
                    
                    18,05%
                    
                ","
                    
                    14,00%
                    
                "
"Margem EBIT","--%","--%","--%","--%","--%","--%","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                "
"Margem EBITDA","--%","--%","--%","--%","--%","--%","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                "
"Margem operacional","13,28%","9,29%","16,99%","31,74%","15,39%","30,58%","
                    
                    22,57%
                    
                ","
                    
                    20,32%
                    
                ","
                    
                    21,24%
                    
                ","
                    
                    -4,60%
                    
                ","
                    
                    10,94%
                    
                ","
                    
                    7,85%
                    
                ","
                    
                    10,40%
                    
                ","
                    
                    17,22%
                    
                ","
                    
                    24,44%
                    
                ","
                    
                    20,68%
                    
                "
"ROE","10,48%","8,27%","12,96%","14,68%","12,68%","17,11%","
                    
                    13,97%
                    
                ","
                    
                    10,49%
                    
                ","
                    
                    8,80%
                    
                ","
                    
                    12,32%
                    
                ","
                    
                    7,25%
                    
                ","
                    
                    7,16%
                    
                ","
                    
                    6,94%
                    
                ","
                    
                    9,94%
                    
                ","
                    
                    10,06%
                    
                ","
                    
                    7,95%
                    
                "
"ROA","0,01","0,01","0,01","0,02","0,01","0,02","
                    
                    0,02
                    
                ","
                    
                    0,01
                    
                ","
                    
                    0,01
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,01
                    
                ","
                    
                    0,01
                    
                ","
                    
                    0,01
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,02
                    
                "
"Giro do ativo","0,11","0,12","0,12","0,08","0,07","0,10","
                    
                    0,10
                    
                ","
                    
                    0,11
                    
                ","
                    
                    0,12
                    
                ","
                    
                    0,12
                    
                ","
                    
                    0,11
                    
                ","
                    
                    0,11
                    
                ","
                    
                    0,12
                    
                ","
                    
                    0,13
                    
                ","
                    
                    0,11
                    
                ","
                    
                    0,12
                    
                "
"EBITDA","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Liquidez corrente","1,01","1,02","0,96","0,91","0,84","0,85","
                    
                    0,94
                    
                ","
                    
                    0,82
                    
                ","
                    
                    0,83
                    
                ","
                    
                    0,87
                    
                ","
                    
                    0,92
                    
                ","
                    
                    0,89
                    
                ","
                    
                    0,90
                    
                ","
                    
                    0,91
                    
                ","
                    
                    0,89
                    
                ","
                    
                    0,98
                    
                "
