"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","26,58","25,56","22,01","22,51","27,41","26,61","
                    
                    32,27
                    
                ","
                    
                    31,85
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"P/VP","3,77","3,94","2,88","3,39","3,93","4,66","
                    
                    5,04
                    
                ","
                    
                    4,24
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"P/EBIT","16,85","16,37","14,17","14,11","17,39","17,59","
                    
                    21,01
                    
                ","
                    
                    19,23
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"PSR","5,88","6,11","4,47","5,09","5,69","6,09","
                    
                    6,92
                    
                ","
                    
                    5,65
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"P/Ativos","1,98","2,04","1,52","1,81","2,07","2,41","
                    
                    2,67
                    
                ","
                    
                    2,16
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"LPA","0,99","0,99","0,76","0,78","0,66","0,71","
                    
                    0,59
                    
                ","
                    
                    0,45
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"VPA","6,99","6,45","5,81","5,18","4,59","4,09","
                    
                    3,78
                    
                ","
                    
                    3,41
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"EBIT por ação","1,56","1,55","1,18","1,24","1,04","1,08","
                    
                    0,91
                    
                ","
                    
                    0,75
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"Ativo por ação","13,32","12,44","11,02","9,69","8,73","7,90","
                    
                    7,13
                    
                ","
                    
                    6,70
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"Receita líquida por ação","4,48","4,16","3,75","3,44","3,18","3,13","
                    
                    2,75
                    
                ","
                    
                    2,56
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"Margem bruta","58,29%","60,03%","57,99%","59,27%","59,97%","60,64%","
                    
                    59,64%
                    
                ","
                    
                    59,78%
                    
                ","
                    
                    58,44%
                    
                ","
                    
                    54,73%
                    
                ","
                    
                    57,39%
                    
                ","
                    
                    60,29%
                    
                ","
                    
                    61,44%
                    
                ","
                    
                    58,30%
                    
                ","
                    
                    54,93%
                    
                ","
                    
                    54,68%
                    
                "
"Margem líquida","22,12%","23,89%","20,30%","22,63%","20,76%","22,87%","
                    
                    21,44%
                    
                ","
                    
                    17,73%
                    
                ","
                    
                    18,03%
                    
                ","
                    
                    14,76%
                    
                ","
                    
                    16,11%
                    
                ","
                    
                    17,00%
                    
                ","
                    
                    15,81%
                    
                ","
                    
                    16,32%
                    
                ","
                    
                    10,06%
                    
                ","
                    
                    9,92%
                    
                "
"Margem EBIT","34,90%","37,30%","31,52%","36,10%","32,72%","34,60%","
                    
                    32,93%
                    
                ","
                    
                    29,36%
                    
                ","
                    
                    27,43%
                    
                ","
                    
                    23,55%
                    
                ","
                    
                    25,25%
                    
                ","
                    
                    27,11%
                    
                ","
                    
                    26,94%
                    
                ","
                    
                    28,39%
                    
                ","
                    
                    22,47%
                    
                ","
                    
                    22,22%
                    
                "
"Margem EBITDA","42,83%","44,93%","39,16%","43,68%","40,26%","41,75%","
                    
                    39,45%
                    
                ","
                    
                    35,76%
                    
                ","
                    
                    33,67%
                    
                ","
                    
                    30,09%
                    
                ","
                    
                    31,94%
                    
                ","
                    
                    33,87%
                    
                ","
                    
                    33,94%
                    
                ","
                    
                    36,90%
                    
                ","
                    
                    32,19%
                    
                ","
                    
                    33,00%
                    
                "
