"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","6,54","16,19","10,69","13,36","27,13","7,24","
                    
                    9,04
                    
                ","
                    
                    8,27
                    
                ","
                    
                    6,38
                    
                ","
                    
                    25,58
                    
                ","
                    
                    11,03
                    
                ","
                    
                    5,98
                    
                ","
                    
                    19,71
                    
                ","
                    
                    10,13
                    
                ","
                    
                    4,96
                    
                ","
                    
                    4,86
                    
                "
"P/VP","1,61","1,91","1,22","1,24","1,16","1,13","
                    
                    1,31
                    
                ","
                    
                    1,19
                    
                ","
                    
                    1,22
                    
                ","
                    
                    1,00
                    
                ","
                    
                    0,75
                    
                ","
                    
                    0,89
                    
                ","
                    
                    3,22
                    
                ","
                    
                    1,18
                    
                ","
                    
                    0,83
                    
                ","
                    
                    0,87
                    
                "
"P/EBIT","3,83","8,99","7,18","7,52","5,88","4,27","
                    
                    4,95
                    
                ","
                    
                    5,26
                    
                ","
                    
                    5,48
                    
                ","
                    
                    4,51
                    
                ","
                    
                    5,21
                    
                ","
                    
                    3,66
                    
                ","
                    
                    13,25
                    
                ","
                    
                    5,26
                    
                ","
                    
                    3,02
                    
                ","
                    
                    3,45
                    
                "
"PSR","1,71","2,23","1,51","1,58","1,48","1,35","
                    
                    1,59
                    
                ","
                    
                    1,43
                    
                ","
                    
                    1,33
                    
                ","
                    
                    1,17
                    
                ","
                    
                    0,89
                    
                ","
                    
                    1,02
                    
                ","
                    
                    3,50
                    
                ","
                    
                    1,25
                    
                ","
                    
                    0,88
                    
                ","
                    
                    0,85
                    
                "
"P/Ativos","0,80","0,93","0,58","0,58","0,52","0,52","
                    
                    0,59
                    
                ","
                    
                    0,53
                    
                ","
                    
                    0,51
                    
                ","
                    
                    0,41
                    
                ","
                    
                    0,33
                    
                ","
                    
                    0,41
                    
                ","
                    
                    1,41
                    
                ","
                    
                    0,49
                    
                ","
                    
                    0,35
                    
                ","
                    
                    0,36
                    
                "
"LPA","13,65","5,16","0,00","3,37","1,42","4,93","
                    
                    4,15
                    
                ","
                    
                    3,69
                    
                ","
                    
                    4,31
                    
                ","
                    
                    0,78
                    
                ","
                    
                    1,32
                    
                ","
                    
                    2,81
                    
                ","
                    
                    2,80
                    
                ","
                    
                    1,79
                    
                ","
                    
                    2,39
                    
                ","
                    
                    2,21
                    
                "
"VPA","55,46","43,68","0,00","36,48","33,35","31,65","
                    
                    28,60
                    
                ","
                    
                    25,62
                    
                ","
                    
                    22,56
                    
                ","
                    
                    20,07
                    
                ","
                    
                    19,46
                    
                ","
                    
                    18,92
                    
                ","
                    
                    17,14
                    
                ","
                    
                    15,43
                    
                ","
                    
                    14,16
                    
                ","
                    
                    12,35
                    
                "
"EBIT por ação","23,28","9,28","0,00","5,99","6,57","8,36","
                    
                    7,57
                    
                ","
                    
                    5,80
                    
                ","
                    
                    5,02
                    
                ","
                    
                    4,45
                    
                ","
                    
                    2,80
                    
                ","
                    
                    4,59
                    
                ","
                    
                    4,16
                    
                ","
                    
                    3,44
                    
                ","
                    
                    3,91
                    
                ","
                    
                    3,10
                    
                "
"Ativo por ação","111,39","89,93","0,00","77,78","73,76","67,97","
                    
                    63,74
                    
                ","
                    
                    57,86
                    
                ","
                    
                    53,76
                    
                ","
                    
                    49,31
                    
                ","
                    
                    44,41
                    
                ","
                    
                    41,37
                    
                ","
                    
                    39,03
                    
                ","
                    
                    36,89
                    
                ","
                    
                    34,16
                    
                ","
                    
                    29,62
                    
                "
"Receita líquida por ação","52,04","37,41","0,00","28,52","26,04","26,31","
                    
                    23,53
                    
                ","
                    
                    21,37
                    
                ","
                    
                    20,63
                    
                ","
                    
                    17,13
                    
                ","
                    
                    16,41
                    
                ","
                    
                    16,56
                    
                ","
                    
                    15,73
                    
                ","
                    
                    14,54
                    
                ","
                    
                    13,51
                    
                ","
                    
                    12,55
                    
                "
"Margem bruta","54,82%","37,23%","34,93%","34,33%","37,18%","43,63%","
                    
                    43,51%
                    
                ","
                    
                    39,90%
                    
                ","
                    
                    36,07%
                    
                ","
                    
                    29,46%
                    
                ","
                    
                    31,91%
                    
                ","
                    
                    39,76%
                    
                ","
                    
                    39,88%
                    
                ","
                    
                    39,34%
                    
                ","
                    
                    43,73%
                    
                ","
                    
                    40,70%
                    
                "
"Margem líquida","26,23%","13,78%","14,15%","11,83%","5,47%","18,73%","
                    
                    17,63%
                    
                ","
                    
                    17,25%
                    
                ","
                    
                    20,90%
                    
                ","
                    
                    4,58%
                    
                ","
                    
                    8,05%
                    
                ","
                    
                    17,00%
                    
                ","
                    
                    17,78%
                    
                ","
                    
                    12,31%
                    
                ","
                    
                    17,66%
                    
                ","
                    
                    17,57%
                    
                "
"Margem EBIT","44,73%","24,82%","21,06%","21,02%","25,24%","31,76%","
                    
                    32,18%
                    
                ","
                    
                    27,12%
                    
                ","
                    
                    24,33%
                    
                ","
                    
                    25,99%
                    
                ","
                    
                    17,04%
                    
                ","
                    
                    27,74%
                    
                ","
                    
                    26,46%
                    
                ","
                    
                    23,68%
                    
                ","
                    
                    28,95%
                    
                ","
                    
                    24,71%
                    
                "
"Margem EBITDA","52,90%","35,73%","32,17%","32,58%","36,69%","41,66%","
                    
                    40,84%
                    
                ","
                    
                    36,03%
                    
                ","
                    
                    32,46%
                    
                ","
                    
                    35,16%
                    
                ","
                    
                    26,00%
                    
                ","
                    
                    35,44%
                    
                ","
                    
                    33,34%
                    
                ","
                    
                    31,41%
                    
                ","
                    
                    34,93%
                    
                ","
                    
                    31,27%
                    
                "
"Margem operacional","38,51%","18,59%","19,37%","16,26%","7,45%","26,01%","
                    
                    24,32%
                    
                ","
                    
                    23,98%
                    
                ","
                    
                    29,29%
                    
                ","
                    
                    5,02%
                    
                ","
                    
                    11,37%
                    
                ","
                    
                    23,47%
                    
                ","
                    
                    23,65%
                    
                ","
                    
                    17,31%
                    
                ","
                    
                    24,84%
                    
                ","
                    
                    24,60%
                    
                "
"ROE","24,61%","11,80%","11,42%","9,25%","4,27%","15,56%","
                    
                    14,50%
                    
                ","
                    
                    14,39%
                    
                ","
                    
                    19,11%
                    
                ","
                    
                    3,91%
                    
                ","
                    
                    6,79%
                    
                ","
                    
                    14,88%
                    
                ","
                    
                    16,32%
                    
                ","
                    
                    11,60%
                    
                ","
                    
                    16,84%
                    
                ","
                    
                    17,87%
                    
                "
"ROA","0,12","0,06","0,05","0,04","0,02","0,07","
                    
                    0,07
                    
                ","
                    
                    0,06
                    
                ","
                    
                    0,08
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,03
                    
                ","
                    
                    0,07
                    
                ","
                    
                    0,07
                    
                ","
                    
                    0,05
                    
                ","
                    
                    0,07
                    
                ","
                    
                    0,07
                    
                "
"Giro do ativo","0,47","0,42","0,39","0,37","0,35","0,39","
                    
                    0,37
                    
                ","
                    
                    0,37
                    
                ","
                    
                    0,38
                    
                ","
                    
                    0,35
                    
                ","
                    
                    0,37
                    
                ","
                    
                    0,40
                    
                ","
                    
                    0,40
                    
                ","
                    
                    0,39
                    
                ","
                    
                    0,40
                    
                ","
                    
                    0,42
                    
                "
"EBITDA","18.816 mi","9.136 mi","0 mi","6.350 mi","6.529 mi","7.491 mi","
                    
                    6.569 mi
                    
                ","
                    
                    5.263 mi
                    
                ","
                    
                    4.576 mi
                    
                ","
                    
                    4.118 mi
                    
                ","
                    
                    2.915 mi
                    
                ","
                    
                    4.009 mi
                    
                ","
                    
                    3.585 mi
                    
                ","
                    
                    3.123 mi
                    
                ","
                    
                    3.224 mi
                    
                ","
                    
                    2.682 mi
                    
                "
"Liquidez corrente","1,14","0,93","1,09","1,28","1,09","0,76","
                    
                    1,04
                    
                ","
                    
                    0,96
                    
                ","
                    
                    0,89
                    
                ","
                    
                    0,92
                    
                ","
                    
                    0,92
                    
                ","
                    
                    1,09
                    
                ","
                    
                    0,88
                    
                ","
                    
                    0,94
                    
                ","
                    
                    1,02
                    
                ","
                    
                    0,74
                    
                "
"Liquidez seca","1,13","0,92","1,08","1,25","1,07","0,75","
                    
                    1,03
                    
                ","
                    
                    0,94
                    
                ","
                    
                    0,88
                    
                ","
                    
                    0,91
                    
                ","
                    
                    0,90
                    
                ","
                    
                    1,08
                    
                ","
                    
                    0,86
                    
                ","
                    
                    0,93
                    
                ","
                    
                    1,01
                    
                ","
                    
                    0,72
                    
                "
"Liquidez imediata","0,33","0,10","0,28","0,14","0,07","0,35","
                    
                    0,56
                    
                ","
                    
                    0,48
                    
                ","
                    
                    0,44
                    
                ","
                    
                    0,44
                    
                ","
                    
                    0,49
                    
                ","
                    
                    0,60
                    
                ","
                    
                    0,51
                    
                ","
                    
                    0,54
                    
                ","
                    
                    0,57
                    
                ","
                    
                    0,25
                    
                "
"Dívida bruta","23.857 mi","19.536 mi","18.958 mi","17.723 mi","17.258 mi","13.244 mi","
                    
                    13.152 mi
                    
                ","
                    
                    12.100 mi
                    
                ","
                    
                    11.964 mi
                    
                ","
                    
                    13.121 mi
                    
                ","
                    
                    10.785 mi
                    
                ","
                    
                    9.450 mi
                    
                ","
                    
                    9.069 mi
                    
                ","
                    
                    8.596 mi
                    
                ","
                    
                    8.264 mi
                    
                ","
                    
                    6.557 mi
                    
                "
"Dívida líquida","20.188 mi","16.271 mi","15.413 mi","14.572 mi","13.451 mi","10.991 mi","
                    
                    10.123 mi
                    
                ","
                    
                    9.817 mi
                    
                ","
                    
                    10.077 mi
                    
                ","
                    
                    11.482 mi
                    
                ","
                    
                    9.062 mi
                    
                ","
                    
                    7.668 mi
                    
                ","
                    
                    7.148 mi
                    
                ","
                    
                    6.446 mi
                    
                ","
                    
                    6.275 mi
                    
                ","
                    
                    5.786 mi
                    
                "
"Capital de giro","996 mi","-625 mi","627 mi","1.410 mi","540 mi","-1.558 mi","
                    
                    203 mi
                    
                ","
                    
                    -198 mi
                    
                ","
                    
                    -479 mi
                    
                ","
                    
                    -290 mi
                    
                ","
                    
                    -266 mi
                    
                ","
                    
                    281 mi
                    
                ","
                    
                    -461 mi
                    
                ","
                    
                    -243 mi
                    
                ","
                    
                    84 mi
                    
                ","
                    
                    -811 mi
                    
                "
"Endividamento geral","100,84%","105,88%","109,30%","113,24%","121,20%","114,73%","
                    
                    122,82%
                    
                ","
                    
                    125,81%
                    
                ","
                    
                    138,31%
                    
                ","
                    
                    145,74%
                    
                ","
                    
                    128,16%
                    
                ","
                    
                    118,66%
                    
                ","
                    
                    127,70%
                    
                ","
                    
                    139,10%
                    
                ","
                    
                    141,18%
                    
                ","
                    
                    139,89%
                    
                "
