"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","19,13","9,37","6,50","8,04","13,93","10,70","
                    
                    7,72
                    
                ","
                    
                    6,62
                    
                ","
                    
                    37,01
                    
                ","
                    
                    7,71
                    
                ","
                    
                    15,15
                    
                ","
                    
                    10,58
                    
                ","
                    
                    27,92
                    
                ","
                    
                    13,14
                    
                ","
                    
                    41,95
                    
                ","
                    
                    258,04
                    
                "
"P/VP","1,55","1,70","1,79","2,42","2,32","1,20","
                    
                    1,13
                    
                ","
                    
                    0,94
                    
                ","
                    
                    0,45
                    
                ","
                    
                    0,43
                    
                ","
                    
                    0,47
                    
                ","
                    
                    0,50
                    
                ","
                    
                    0,55
                    
                ","
                    
                    0,56
                    
                ","
                    
                    0,67
                    
                ","
                    
                    0,66
                    
                "
"P/EBIT","6,68","4,33","3,29","4,46","8,72","5,97","
                    
                    4,48
                    
                ","
                    
                    3,97
                    
                ","
                    
                    10,05
                    
                ","
                    
                    3,31
                    
                ","
                    
                    5,39
                    
                ","
                    
                    6,72
                    
                ","
                    
                    7,33
                    
                ","
                    
                    4,18
                    
                ","
                    
                    9,95
                    
                ","
                    
                    104,89
                    
                "
"PSR","1,00","0,92","0,87","1,35","1,76","1,10","
                    
                    1,04
                    
                ","
                    
                    1,06
                    
                ","
                    
                    0,67
                    
                ","
                    
                    0,54
                    
                ","
                    
                    0,69
                    
                ","
                    
                    0,86
                    
                ","
                    
                    0,95
                    
                ","
                    
                    1,07
                    
                ","
                    
                    1,41
                    
                ","
                    
                    2,04
                    
                "
"P/Ativos","0,46","0,53","0,55","0,66","0,79","0,48","
                    
                    0,51
                    
                ","
                    
                    0,45
                    
                ","
                    
                    0,20
                    
                ","
                    
                    0,18
                    
                ","
                    
                    0,23
                    
                ","
                    
                    0,24
                    
                ","
                    
                    0,29
                    
                ","
                    
                    0,30
                    
                ","
                    
                    0,41
                    
                ","
                    
                    0,41
                    
                "
"LPA","0,91","2,02","2,86","2,40","1,10","0,70","
                    
                    0,86
                    
                ","
                    
                    0,80
                    
                ","
                    
                    0,07
                    
                ","
                    
                    0,28
                    
                ","
                    
                    0,15
                    
                ","
                    
                    0,22
                    
                ","
                    
                    0,09
                    
                ","
                    
                    0,18
                    
                ","
                    
                    0,07
                    
                ","
                    
                    0,01
                    
                "
"VPA","11,18","11,11","10,37","7,95","6,63","6,28","
                    
                    5,86
                    
                ","
                    
                    5,67
                    
                ","
                    
                    5,53
                    
                ","
                    
                    4,98
                    
                ","
                    
                    4,97
                    
                ","
                    
                    4,53
                    
                ","
                    
                    4,39
                    
                ","
                    
                    4,33
                    
                ","
                    
                    4,23
                    
                ","
                    
                    4,08
                    
                "
"EBIT por ação","2,59","4,37","5,65","4,32","1,76","1,26","
                    
                    1,48
                    
                ","
                    
                    1,34
                    
                ","
                    
                    0,25
                    
                ","
                    
                    0,64
                    
                ","
                    
                    0,43
                    
                ","
                    
                    0,34
                    
                ","
                    
                    0,33
                    
                ","
                    
                    0,58
                    
                ","
                    
                    0,28
                    
                ","
                    
                    0,03
                    
                "
"Ativo por ação","37,89","35,77","33,54","29,02","19,38","15,70","
                    
                    12,98
                    
                ","
                    
                    11,94
                    
                ","
                    
                    12,30
                    
                ","
                    
                    11,98
                    
                ","
                    
                    10,15
                    
                ","
                    
                    9,61
                    
                ","
                    
                    8,34
                    
                ","
                    
                    8,09
                    
                ","
                    
                    6,87
                    
                ","
                    
                    6,66
                    
                "
"Receita líquida por ação","17,30","20,58","21,47","14,27","8,74","6,86","
                    
                    6,37
                    
                ","
                    
                    5,01
                    
                ","
                    
                    3,74
                    
                ","
                    
                    3,97
                    
                ","
                    
                    3,38
                    
                ","
                    
                    2,67
                    
                ","
                    
                    2,52
                    
                ","
                    
                    2,27
                    
                ","
                    
                    2,00
                    
                ","
                    
                    1,33
                    
                "
"Margem bruta","24,64%","28,73%","32,90%","35,54%","27,63%","25,76%","
                    
                    29,96%
                    
                ","
                    
                    30,51%
                    
                ","
                    
                    14,85%
                    
                ","
                    
                    24,59%
                    
                ","
                    
                    22,22%
                    
                ","
                    
                    22,11%
                    
                ","
                    
                    22,68%
                    
                ","
                    
                    36,22%
                    
                ","
                    
                    24,72%
                    
                ","
                    
                    14,56%
                    
                "
"Margem líquida","4,95%","10,28%","14,04%","17,88%","13,19%","10,36%","
                    
                    14,40%
                    
                ","
                    
                    16,63%
                    
                ","
                    
                    0,94%
                    
                ","
                    
                    6,88%
                    
                ","
                    
                    4,68%
                    
                ","
                    
                    8,18%
                    
                ","
                    
                    3,44%
                    
                ","
                    
                    15,91%
                    
                ","
                    
                    6,60%
                    
                ","
                    
                    1,55%
                    
                "
"Margem EBIT","14,99%","21,21%","26,32%","30,25%","20,16%","18,37%","
                    
                    23,30%
                    
                ","
                    
                    26,73%
                    
                ","
                    
                    6,65%
                    
                ","
                    
                    16,21%
                    
                ","
                    
                    12,73%
                    
                ","
                    
                    12,74%
                    
                ","
                    
                    12,97%
                    
                ","
                    
                    25,54%
                    
                ","
                    
                    14,18%
                    
                ","
                    
                    1,95%
                    
                "
"Margem EBITDA","18,46%","23,62%","28,19%","32,56%","23,25%","21,85%","
                    
                    27,24%
                    
                ","
                    
                    30,86%
                    
                ","
                    
                    12,93%
                    
                ","
                    
                    22,27%
                    
                ","
                    
                    19,39%
                    
                ","
                    
                    22,51%
                    
                ","
                    
                    22,61%
                    
                ","
                    
                    32,97%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                "
"Margem operacional","4,22%","13,42%","18,97%","24,68%","17,79%","13,64%","
                    
                    20,72%
                    
                ","
                    
                    22,57%
                    
                ","
                    
                    -0,25%
                    
                ","
                    
                    9,46%
                    
                ","
                    
                    5,94%
                    
                ","
                    
                    10,63%
                    
                ","
                    
                    6,48%
                    
                ","
                    
                    23,98%
                    
                ","
                    
                    9,44%
                    
                ","
                    
                    1,29%
                    
                "
"ROE","7,28%","17,89%","27,30%","29,95%","16,22%","10,56%","
                    
                    14,55%
                    
                ","
                    
                    13,67%
                    
                ","
                    
                    0,59%
                    
                ","
                    
                    5,07%
                    
                ","
                    
                    2,93%
                    
                ","
                    
                    4,52%
                    
                ","
                    
                    1,93%
                    
                ","
                    
                    8,33%
                    
                ","
                    
                    3,13%
                    
                ","
                    
                    0,50%
                    
                "
"ROA","0,02","0,06","0,09","0,09","0,06","0,05","
                    
                    0,07
                    
                ","
                    
                    0,07
                    
                ","
                    
                    0,00
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,01
                    
                ","
                    
                    0,04
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,00
                    
                "
"Giro do ativo","0,46","0,58","0,64","0,49","0,45","0,44","
                    
                    0,49
                    
                ","
                    
                    0,42
                    
                ","
                    
                    0,30
                    
                ","
                    
                    0,33
                    
                ","
                    
                    0,33
                    
                ","
                    
                    0,28
                    
                ","
                    
                    0,30
                    
                ","
                    
                    0,28
                    
                ","
                    
                    0,29
                    
                ","
                    
                    0,20
                    
                "
"EBITDA","1.416 mi","2.154 mi","2.683 mi","2.059 mi","900 mi","664 mi","
                    
                    768 mi
                    
                ","
                    
                    684 mi
                    
                ","
                    
                    214 mi
                    
                ","
                    
                    392 mi
                    
                ","
                    
                    290 mi
                    
                ","
                    
                    265 mi
                    
                ","
                    
                    252 mi
                    
                ","
                    
                    331 mi
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Liquidez corrente","1,71","1,82","1,53","1,33","1,80","1,51","
                    
                    1,37
                    
                ","
                    
                    1,35
                    
                ","
                    
                    1,27
                    
                ","
                    
                    1,25
                    
                ","
                    
                    1,20
                    
                ","
                    
                    1,22
                    
                ","
                    
                    1,35
                    
                ","
                    
                    1,21
                    
                ","
                    
                    1,50
                    
                ","
                    
                    1,85
                    
                "
"Liquidez seca","0,67","0,92","0,80","0,60","1,24","0,99","
                    
                    0,91
                    
                ","
                    
                    1,01
                    
                ","
                    
                    1,00
                    
                ","
                    
                    0,83
                    
                ","
                    
                    0,74
                    
                ","
                    
                    0,79
                    
                ","
                    
                    0,83
                    
                ","
                    
                    0,71
                    
                ","
                    
                    1,01
                    
                ","
                    
                    1,22
                    
                "
"Liquidez imediata","0,37","0,40","0,27","0,04","0,69","0,41","
                    
                    0,27
                    
                ","
                    
                    0,37
                    
                ","
                    
                    0,48
                    
                ","
                    
                    0,40
                    
                ","
                    
                    0,28
                    
                ","
                    
                    0,33
                    
                ","
                    
                    0,20
                    
                ","
                    
                    0,16
                    
                ","
                    
                    0,22
                    
                ","
                    
                    0,00
                    
                "
"Dívida bruta","5.899 mi","4.393 mi","3.454 mi","2.587 mi","2.417 mi","1.859 mi","
                    
                    1.605 mi
                    
                ","
                    
                    1.589 mi
                    
                ","
                    
                    1.901 mi
                    
                ","
                    
                    1.878 mi
                    
                ","
                    
                    1.331 mi
                    
                ","
                    
                    1.170 mi
                    
                ","
                    
                    810 mi
                    
                ","
                    
                    640 mi
                    
                ","
                    
                    449 mi
                    
                ","
                    
                    460 mi
                    
                "
"Dívida líquida","4.168 mi","2.779 mi","2.218 mi","2.447 mi","813 mi","974 mi","
                    
                    962 mi
                    
                ","
                    
                    839 mi
                    
                ","
                    
                    836 mi
                    
                ","
                    
                    1.177 mi
                    
                ","
                    
                    960 mi
                    
                ","
                    
                    777 mi
                    
                ","
                    
                    653 mi
                    
                ","
                    
                    509 mi
                    
                ","
                    
                    339 mi
                    
                ","
                    
                    318 mi
                    
                "
"Capital de giro","3.292 mi","3.326 mi","2.442 mi","1.277 mi","1.864 mi","1.047 mi","
                    
                    691 mi
                    
                ","
                    
                    588 mi
                    
                ","
                    
                    493 mi
                    
                ","
                    
                    428 mi
                    
                ","
                    
                    270 mi
                    
                ","
                    
                    258 mi
                    
                ","
                    
                    274 mi
                    
                ","
                    
                    169 mi
                    
                ","
                    
                    244 mi
                    
                ","
                    
                    321 mi
                    
                "
"Endividamento geral","221,92%","202,49%","203,66%","240,73%","172,60%","133,15%","
                    
                    105,94%
                    
                ","
                    
                    95,93%
                    
                ","
                    
                    107,44%
                    
                ","
                    
                    121,95%
                    
                ","
                    
                    87,99%
                    
                ","
                    
                    99,39%
                    
                ","
                    
                    85,52%
                    
                ","
                    
                    86,67%
                    
                ","
                    
                    62,38%
                    
                ","
                    
                    63,39%
                    
                "
