"Conta","3T2024 (TTM)","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010"
"P/L","7,30","7,15","10,46","7,36","10,90","9,08","
                    
                    17,04
                    
                ","
                    
                    9,40
                    
                ","
                    
                    15,45
                    
                ","
                    
                    21,72
                    
                ","
                    
                    10,84
                    
                ","
                    
                    24,28
                    
                ","
                    
                    28,57
                    
                ","
                    
                    13,02
                    
                ","
                    
                    13,36
                    
                ","
                    
                    19,46
                    
                "
"P/VP","1,26","1,54","1,80","2,05","2,54","1,73","
                    
                    1,58
                    
                ","
                    
                    1,41
                    
                ","
                    
                    1,29
                    
                ","
                    
                    1,70
                    
                ","
                    
                    1,19
                    
                ","
                    
                    1,58
                    
                ","
                    
                    0,99
                    
                ","
                    
                    0,81
                    
                ","
                    
                    0,97
                    
                ","
                    
                    1,06
                    
                "
"P/EBIT","3,98","4,17","5,12","4,52","6,52","4,89","
                    
                    7,67
                    
                ","
                    
                    5,78
                    
                ","
                    
                    6,56
                    
                ","
                    
                    9,23
                    
                ","
                    
                    6,81
                    
                ","
                    
                    13,44
                    
                ","
                    
                    11,65
                    
                ","
                    
                    6,98
                    
                ","
                    
                    8,07
                    
                ","
                    
                    15,62
                    
                "
"PSR","1,08","1,53","1,60","1,91","2,35","1,57","
                    
                    1,59
                    
                ","
                    
                    1,35
                    
                ","
                    
                    1,68
                    
                ","
                    
                    1,92
                    
                ","
                    
                    1,62
                    
                ","
                    
                    2,14
                    
                ","
                    
                    1,61
                    
                ","
                    
                    1,21
                    
                ","
                    
                    1,47
                    
                ","
                    
                    1,71
                    
                "
"P/Ativos","0,39","0,52","0,56","0,63","0,81","0,48","
                    
                    0,55
                    
                ","
                    
                    0,51
                    
                ","
                    
                    0,50
                    
                ","
                    
                    0,61
                    
                ","
                    
                    0,43
                    
                ","
                    
                    0,65
                    
                ","
                    
                    0,42
                    
                ","
                    
                    0,34
                    
                ","
                    
                    0,48
                    
                ","
                    
                    0,48
                    
                "
"LPA","3,40","4,44","3,06","4,45","2,79","1,92","
                    
                    0,94
                    
                ","
                    
                    1,48
                    
                ","
                    
                    0,85
                    
                ","
                    
                    0,62
                    
                ","
                    
                    0,86
                    
                ","
                    
                    0,41
                    
                ","
                    
                    0,22
                    
                ","
                    
                    0,38
                    
                ","
                    
                    0,43
                    
                ","
                    
                    0,31
                    
                "
"VPA","19,76","20,64","17,79","16,00","11,99","10,07","
                    
                    10,20
                    
                ","
                    
                    9,90
                    
                ","
                    
                    10,24
                    
                ","
                    
                    7,96
                    
                ","
                    
                    7,87
                    
                ","
                    
                    6,24
                    
                ","
                    
                    6,32
                    
                ","
                    
                    6,09
                    
                ","
                    
                    5,88
                    
                ","
                    
                    5,74
                    
                "
"EBIT por ação","6,24","7,62","6,25","7,26","4,67","3,57","
                    
                    2,10
                    
                ","
                    
                    2,41
                    
                ","
                    
                    2,01
                    
                ","
                    
                    1,46
                    
                ","
                    
                    1,37
                    
                ","
                    
                    0,73
                    
                ","
                    
                    0,54
                    
                ","
                    
                    0,71
                    
                ","
                    
                    0,71
                    
                ","
                    
                    0,39
                    
                "
"Ativo por ação","63,79","61,28","56,62","52,22","37,35","36,44","
                    
                    29,33
                    
                ","
                    
                    27,42
                    
                ","
                    
                    26,15
                    
                ","
                    
                    22,20
                    
                ","
                    
                    21,56
                    
                ","
                    
                    15,16
                    
                ","
                    
                    14,81
                    
                ","
                    
                    14,40
                    
                ","
                    
                    11,86
                    
                ","
                    
                    12,60
                    
                "
"Receita líquida por ação","22,91","20,73","19,94","17,21","12,95","11,11","
                    
                    10,11
                    
                ","
                    
                    10,33
                    
                ","
                    
                    7,85
                    
                ","
                    
                    7,04
                    
                ","
                    
                    5,76
                    
                ","
                    
                    4,61
                    
                ","
                    
                    3,88
                    
                ","
                    
                    4,11
                    
                ","
                    
                    3,90
                    
                ","
                    
                    3,56
                    
                "
