"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","20,74","25,43","21,76","15,57","12,02","14,72","
                    
                    13,68
                    
                ","
                    
                    17,46
                    
                ","
                    
                    12,88
                    
                ","
                    
                    9,44
                    
                ","
                    
                    8,94
                    
                ","
                    
                    7,21
                    
                ","
                    
                    11,54
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"P/VP","4,97","5,33","4,80","5,16","4,51","3,26","
                    
                    3,21
                    
                ","
                    
                    2,60
                    
                ","
                    
                    2,58
                    
                ","
                    
                    1,96
                    
                ","
                    
                    1,92
                    
                ","
                    
                    1,50
                    
                ","
                    
                    1,66
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"P/EBIT","12,68","14,89","12,92","10,03","8,51","10,75","
                    
                    10,25
                    
                ","
                    
                    12,22
                    
                ","
                    
                    8,09
                    
                ","
                    
                    5,59
                    
                ","
                    
                    5,34
                    
                ","
                    
                    4,87
                    
                ","
                    
                    6,47
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"PSR","8,79","10,34","12,05","9,93","7,64","8,85","
                    
                    8,96
                    
                ","
                    
                    10,51
                    
                ","
                    
                    7,98
                    
                ","
                    
                    5,57
                    
                ","
                    
                    5,41
                    
                ","
                    
                    4,45
                    
                ","
                    
                    6,03
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"P/Ativos","1,71","1,80","1,82","2,17","1,93","1,44","
                    
                    1,70
                    
                ","
                    
                    1,41
                    
                ","
                    
                    1,32
                    
                ","
                    
                    0,97
                    
                ","
                    
                    0,93
                    
                ","
                    
                    0,70
                    
                ","
                    
                    0,71
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"LPA","1,61","1,32","1,40","2,14","2,19","1,07","
                    
                    1,04
                    
                ","
                    
                    0,63
                    
                ","
                    
                    0,83
                    
                ","
                    
                    0,88
                    
                ","
                    
                    0,88
                    
                ","
                    
                    0,86
                    
                ","
                    
                    0,57
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"VPA","6,73","6,31","6,36","6,47","5,83","4,83","
                    
                    4,42
                    
                ","
                    
                    4,21
                    
                ","
                    
                    4,17
                    
                ","
                    
                    4,24
                    
                ","
                    
                    4,09
                    
                ","
                    
                    4,17
                    
                ","
                    
                    3,96
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"EBIT por ação","2,64","2,26","2,36","3,32","3,09","1,46","
                    
                    1,38
                    
                ","
                    
                    0,90
                    
                ","
                    
                    1,33
                    
                ","
                    
                    1,49
                    
                ","
                    
                    1,47
                    
                ","
                    
                    1,28
                    
                ","
                    
                    1,02
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"Ativo por ação","19,53","18,71","16,75","15,38","13,65","10,93","
                    
                    8,34
                    
                ","
                    
                    7,79
                    
                ","
                    
                    8,14
                    
                ","
                    
                    8,58
                    
                ","
                    
                    8,38
                    
                ","
                    
                    8,86
                    
                ","
                    
                    9,27
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"Receita líquida por ação","3,81","3,25","2,53","3,36","3,45","1,78","
                    
                    1,58
                    
                ","
                    
                    1,04
                    
                ","
                    
                    1,35
                    
                ","
                    
                    1,49
                    
                ","
                    
                    1,45
                    
                ","
                    
                    1,40
                    
                ","
                    
                    1,09
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
