"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","6,98","8,72","5,21","1,69","25,87","23,27","
                    
                    13,81
                    
                ","
                    
                    46,30
                    
                ","
                    
                    -6,55
                    
                ","
                    
                    -0,55
                    
                ","
                    
                    37,72
                    
                ","
                    
                    -70,93
                    
                ","
                    
                    -15,06
                    
                ","
                    
                    50,64
                    
                ","
                    
                    12,28
                    
                ","
                    
                    14,62
                    
                "
"P/VP","0,27","0,51","0,36","0,70","1,17","0,35","
                    
                    0,70
                    
                ","
                    
                    0,78
                    
                ","
                    
                    0,32
                    
                ","
                    
                    0,13
                    
                ","
                    
                    0,29
                    
                ","
                    
                    0,60
                    
                ","
                    
                    0,64
                    
                ","
                    
                    0,68
                    
                ","
                    
                    1,11
                    
                ","
                    
                    1,19
                    
                "
"P/EBIT","10,14","15,17","3,16","1,33","5,94","5,21","
                    
                    8,79
                    
                ","
                    
                    12,21
                    
                ","
                    
                    -19,79
                    
                ","
                    
                    -0,49
                    
                ","
                    
                    6,91
                    
                ","
                    
                    14,34
                    
                ","
                    
                    -34,59
                    
                ","
                    
                    17,04
                    
                ","
                    
                    9,85
                    
                ","
                    
                    15,84
                    
                "
"PSR","0,24","0,44","0,26","0,45","1,08","0,33","
                    
                    0,73
                    
                ","
                    
                    1,01
                    
                ","
                    
                    0,52
                    
                ","
                    
                    0,18
                    
                ","
                    
                    0,42
                    
                ","
                    
                    0,78
                    
                ","
                    
                    0,84
                    
                ","
                    
                    0,99
                    
                ","
                    
                    1,49
                    
                ","
                    
                    1,70
                    
                "
"P/Ativos","0,16","0,30","0,21","0,39","0,58","0,19","
                    
                    0,38
                    
                ","
                    
                    0,42
                    
                ","
                    
                    0,17
                    
                ","
                    
                    0,06
                    
                ","
                    
                    0,16
                    
                ","
                    
                    0,32
                    
                ","
                    
                    0,32
                    
                ","
                    
                    0,35
                    
                ","
                    
                    0,61
                    
                ","
                    
                    0,72
                    
                "
"LPA","0,73","1,11","1,29","7,24","0,54","0,17","
                    
                    0,58
                    
                ","
                    
                    0,19
                    
                ","
                    
                    -0,53
                    
                ","
                    
                    -2,58
                    
                ","
                    
                    0,10
                    
                ","
                    
                    -0,11
                    
                ","
                    
                    -0,56
                    
                ","
                    
                    0,19
                    
                ","
                    
                    1,25
                    
                ","
                    
                    1,02
                    
                "
"VPA","19,03","19,04","18,48","17,36","11,86","11,21","
                    
                    11,38
                    
                ","
                    
                    10,99
                    
                ","
                    
                    10,80
                    
                ","
                    
                    10,70
                    
                ","
                    
                    13,34
                    
                ","
                    
                    13,34
                    
                ","
                    
                    13,25
                    
                ","
                    
                    13,79
                    
                ","
                    
                    13,91
                    
                ","
                    
                    12,49
                    
                "
"EBIT por ação","0,50","0,64","2,13","9,17","2,34","0,76","
                    
                    0,91
                    
                ","
                    
                    0,71
                    
                ","
                    
                    -0,18
                    
                ","
                    
                    -2,90
                    
                ","
                    
                    0,56
                    
                ","
                    
                    0,56
                    
                ","
                    
                    -0,25
                    
                ","
                    
                    0,55
                    
                ","
                    
                    1,56
                    
                ","
                    
                    0,94
                    
                "
"Ativo por ação","31,47","32,05","31,92","31,51","23,90","21,02","
                    
                    21,17
                    
                ","
                    
                    20,74
                    
                ","
                    
                    20,95
                    
                ","
                    
                    22,15
                    
                ","
                    
                    24,33
                    
                ","
                    
                    25,02
                    
                ","
                    
                    26,15
                    
                ","
                    
                    26,62
                    
                ","
                    
                    25,37
                    
                ","
                    
                    20,70
                    
                "
"Receita líquida por ação","20,89","22,06","25,91","26,92","12,84","11,93","
                    
                    10,96
                    
                ","
                    
                    8,57
                    
                ","
                    
                    6,75
                    
                ","
                    
                    8,13
                    
                ","
                    
                    9,37
                    
                ","
                    
                    10,24
                    
                ","
                    
                    10,14
                    
                ","
                    
                    9,50
                    
                ","
                    
                    10,34
                    
                ","
                    
                    8,72
                    
                "
"Margem bruta","4,91%","6,47%","17,49%","33,42%","20,24%","12,54%","
                    
                    16,13%
                    
                ","
                    
                    15,23%
                    
                ","
                    
                    5,76%
                    
                ","
                    
                    1,69%
                    
                ","
                    
                    8,83%
                    
                ","
                    
                    11,50%
                    
                ","
                    
                    3,79%
                    
                ","
                    
                    10,87%
                    
                ","
                    
                    19,52%
                    
                ","
                    
                    13,58%
                    
                "
"Margem líquida","4,18%","5,94%","6,45%","29,82%","8,03%","2,52%","
                    
                    6,03%
                    
                ","
                    
                    2,94%
                    
                ","
                    
                    -6,82%
                    
                ","
                    
                    -36,18%
                    
                ","
                    
                    1,78%
                    
                ","
                    
                    0,13%
                    
                ","
                    
                    -4,71%
                    
                ","
                    
                    3,40%
                    
                ","
                    
                    12,22%
                    
                ","
                    
                    11,68%
                    
                "
"Margem EBIT","2,40%","2,89%","8,21%","34,06%","18,20%","6,37%","
                    
                    8,32%
                    
                ","
                    
                    8,23%
                    
                ","
                    
                    -2,62%
                    
                ","
                    
                    -35,63%
                    
                ","
                    
                    6,02%
                    
                ","
                    
                    5,46%
                    
                ","
                    
                    -2,42%
                    
                ","
                    
                    5,82%
                    
                ","
                    
                    15,12%
                    
                ","
                    
                    10,75%
                    
                "
"Margem EBITDA","6,99%","6,73%","10,99%","36,97%","24,42%","13,01%","
                    
                    15,81%
                    
                ","
                    
                    19,15%
                    
                ","
                    
                    11,77%
                    
                ","
                    
                    -22,75%
                    
                ","
                    
                    15,51%
                    
                ","
                    
                    13,82%
                    
                ","
                    
                    5,17%
                    
                ","
                    
                    13,02%
                    
                ","
                    
                    21,47%
                    
                ","
                    
                    18,64%
                    
                "
"Margem operacional","1,52%","4,22%","10,10%","36,57%","11,47%","2,96%","
                    
                    8,99%
                    
                ","
                    
                    3,92%
                    
                ","
                    
                    -2,98%
                    
                ","
                    
                    -47,86%
                    
                ","
                    
                    1,57%
                    
                ","
                    
                    -1,51%
                    
                ","
                    
                    -6,28%
                    
                ","
                    
                    5,40%
                    
                ","
                    
                    15,23%
                    
                ","
                    
                    16,32%
                    
                "
"ROE","4,11%","6,18%","8,08%","41,30%","7,67%","2,42%","
                    
                    5,28%
                    
                ","
                    
                    2,08%
                    
                ","
                    
                    -3,80%
                    
                ","
                    
                    -24,58%
                    
                ","
                    
                    1,11%
                    
                ","
                    
                    0,09%
                    
                ","
                    
                    -3,23%
                    
                ","
                    
                    2,13%
                    
                ","
                    
                    8,32%
                    
                ","
                    
                    7,97%
                    
                "
"ROA","0,03","0,04","0,05","0,25","0,04","0,01","
                    
                    0,03
                    
                ","
                    
                    0,01
                    
                ","
                    
                    -0,02
                    
                ","
                    
                    -0,13
                    
                ","
                    
                    0,01
                    
                ","
                    
                    0,00
                    
                ","
                    
                    -0,02
                    
                ","
                    
                    0,01
                    
                ","
                    
                    0,05
                    
                ","
                    
                    0,05
                    
                "
