"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009"
"P/L","4,90","6,66","3,32","2,91","11,57","-18,85","
                    
                    5,65
                    
                ","
                    
                    6,65
                    
                ","
                    
                    5,93
                    
                ","
                    
                    -0,90
                    
                ","
                    
                    47,27
                    
                ","
                    
                    646,53
                    
                ","
                    
                    8,00
                    
                ","
                    
                    2,45
                    
                ","
                    
                    3,63
                    
                ","
                    
                    10,90
                    
                "
"P/VP","1,13","1,39","1,70","1,83","1,66","0,78","
                    
                    0,85
                    
                ","
                    
                    0,82
                    
                ","
                    
                    0,62
                    
                ","
                    
                    0,30
                    
                ","
                    
                    0,31
                    
                ","
                    
                    0,50
                    
                ","
                    
                    0,53
                    
                ","
                    
                    0,65
                    
                ","
                    
                    0,97
                    
                ","
                    
                    1,18
                    
                "
"P/EBIT","3,34","4,07","3,52","2,49","4,94","56,14","
                    
                    3,36
                    
                ","
                    
                    3,39
                    
                ","
                    
                    3,81
                    
                ","
                    
                    -1,47
                    
                ","
                    
                    2,57
                    
                ","
                    
                    2,23
                    
                ","
                    
                    5,22
                    
                ","
                    
                    1,77
                    
                ","
                    
                    2,70
                    
                ","
                    
                    8,43
                    
                "
"PSR","1,12","1,28","1,40","1,20","1,50","0,85","
                    
                    1,08
                    
                ","
                    
                    1,08
                    
                ","
                    
                    0,83
                    
                ","
                    
                    0,51
                    
                ","
                    
                    0,51
                    
                ","
                    
                    0,74
                    
                ","
                    
                    0,87
                    
                ","
                    
                    0,91
                    
                ","
                    
                    1,31
                    
                ","
                    
                    2,32
                    
                "
"P/Ativos","0,49","0,58","0,70","0,71","0,65","0,34","
                    
                    0,42
                    
                ","
                    
                    0,36
                    
                ","
                    
                    0,24
                    
                ","
                    
                    0,12
                    
                ","
                    
                    0,15
                    
                ","
                    
                    0,26
                    
                ","
                    
                    0,30
                    
                ","
                    
                    0,39
                    
                ","
                    
                    0,51
                    
                ","
                    
                    0,63
                    
                "
"LPA","10,63","8,80","21,13","26,71","5,89","-1,47","
                    
                    5,65
                    
                ","
                    
                    3,88
                    
                ","
                    
                    2,93
                    
                ","
                    
                    -9,74
                    
                ","
                    
                    0,21
                    
                ","
                    
                    0,03
                    
                ","
                    
                    2,18
                    
                ","
                    
                    8,33
                    
                ","
                    
                    6,62
                    
                ","
                    
                    2,28
                    
                "
"VPA","45,95","42,07","41,22","42,39","40,93","35,58","
                    
                    37,54
                    
                ","
                    
                    31,67
                    
                ","
                    
                    28,03
                    
                ","
                    
                    28,90
                    
                ","
                    
                    32,26
                    
                ","
                    
                    32,68
                    
                ","
                    
                    32,97
                    
                ","
                    
                    31,61
                    
                ","
                    
                    24,70
                    
                ","
                    
                    21,10
                    
                "
"EBIT por ação","15,60","14,38","19,90","31,14","13,78","0,49","
                    
                    9,51
                    
                ","
                    
                    7,61
                    
                ","
                    
                    4,56
                    
                ","
                    
                    -5,99
                    
                ","
                    
                    3,87
                    
                ","
                    
                    7,37
                    
                ","
                    
                    3,34
                    
                ","
                    
                    11,52
                    
                ","
                    
                    8,91
                    
                ","
                    
                    2,94
                    
                "
"Ativo por ação","106,69","100,46","99,89","109,96","105,34","81,44","
                    
                    75,28
                    
                ","
                    
                    72,28
                    
                ","
                    
                    71,09
                    
                ","
                    
                    76,13
                    
                ","
                    
                    68,17
                    
                ","
                    
                    64,30
                    
                ","
                    
                    58,81
                    
                ","
                    
                    52,23
                    
                ","
                    
                    47,29
                    
                ","
                    
                    39,16
                    
                "
"Receita líquida por ação","46,51","45,84","49,90","64,67","45,41","32,75","
                    
                    29,63
                    
                ","
                    
                    23,91
                    
                ","
                    
                    20,85
                    
                ","
                    
                    17,20
                    
                ","
                    
                    19,45
                    
                ","
                    
                    22,36
                    
                ","
                    
                    20,11
                    
                ","
                    
                    22,48
                    
                ","
                    
                    18,34
                    
                ","
                    
                    10,68
                    
                "
"Margem bruta","39,06%","42,32%","45,17%","60,05%","55,87%","43,60%","
                    
                    39,62%
                    
                ","
                    
                    38,03%
                    
                ","
                    
                    35,39%
                    
                ","
                    
                    19,57%
                    
                ","
                    
                    33,07%
                    
                ","
                    
                    48,26%
                    
                ","
                    
                    45,40%
                    
                ","
                    
                    58,39%
                    
                ","
                    
                    59,44%
                    
                ","
                    
                    42,78%
                    
                "
"Margem líquida","22,87%","19,49%","42,53%","41,34%","12,08%","-5,85%","
                    
                    19,17%
                    
                ","
                    
                    16,28%
                    
                ","
                    
                    14,05%
                    
                ","
                    
                    -58,93%
                    
                ","
                    
                    0,25%
                    
                ","
                    
                    -0,25%
                    
                ","
                    
                    10,29%
                    
                ","
                    
                    36,67%
                    
                ","
                    
                    36,55%
                    
                ","
                    
                    21,66%
                    
                "
"Margem EBIT","33,54%","31,37%","39,88%","48,15%","30,35%","1,51%","
                    
                    32,10%
                    
                ","
                    
                    31,82%
                    
                ","
                    
                    21,89%
                    
                ","
                    
                    -34,84%
                    
                ","
                    
                    19,91%
                    
                ","
                    
                    32,95%
                    
                ","
                    
                    16,62%
                    
                ","
                    
                    51,24%
                    
                ","
                    
                    48,59%
                    
                ","
                    
                    27,56%
                    
                "
"Margem EBITDA","41,14%","38,72%","47,11%","53,73%","38,41%","11,43%","
                    
                    41,21%
                    
                ","
                    
                    42,73%
                    
                ","
                    
                    34,69%
                    
                ","
                    
                    -18,88%
                    
                ","
                    
                    31,36%
                    
                ","
                    
                    41,77%
                    
                ","
                    
                    25,53%
                    
                ","
                    
                    57,75%
                    
                ","
                    
                    55,49%
                    
                ","
                    
                    38,79%
                    
                "
"Margem operacional","26,35%","26,70%","44,90%","54,22%","18,63%","-7,54%","
                    
                    18,68%
                    
                ","
                    
                    22,93%
                    
                ","
                    
                    28,55%
                    
                ","
                    
                    -82,86%
                    
                ","
                    
                    3,19%
                    
                ","
                    
                    14,77%
                    
                ","
                    
                    7,59%
                    
                ","
                    
                    45,01%
                    
                ","
                    
                    45,27%
                    
                ","
                    
                    31,88%
                    
                "
"ROE","22,33%","20,45%","49,43%","61,58%","13,76%","-5,53%","
                    
                    14,84%
                    
                ","
                    
                    11,93%
                    
                ","
                    
                    9,94%
                    
                ","
                    
                    -32,99%
                    
                ","
                    
                    0,15%
                    
                ","
                    
                    -0,17%
                    
                ","
                    
                    6,14%
                    
                ","
                    
                    25,50%
                    
                ","
                    
                    26,15%
                    
                ","
                    
                    10,47%
                    
                "
"ROA","0,10","0,09","0,21","0,24","0,05","-0,02","
                    
                    0,08
                    
                ","
                    
                    0,05
                    
                ","
                    
                    0,04
                    
                ","
                    
                    -0,13
                    
                ","
                    
                    0,00
                    
                ","
                    
                    -0,00
                    
                ","
                    
                    0,04
                    
                ","
                    
                    0,16
                    
                ","
                    
                    0,14
                    
                ","
                    
                    0,06
                    
                "
"Giro do ativo","0,44","0,46","0,50","0,59","0,43","0,40","
                    
                    0,39
                    
                ","
                    
                    0,33
                    
                ","
                    
                    0,29
                    
                ","
                    
                    0,23
                    
                ","
                    
                    0,29
                    
                ","
                    
                    0,35
                    
                ","
                    
                    0,34
                    
                ","
                    
                    0,43
                    
                ","
                    
                    0,39
                    
                ","
                    
                    0,27
                    
                "
